Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,1.3,1.8,11.1,9.9,4.1,12.5,14.5,9.4,9,7,10.6,7,8.2,1.5,8.4,12.1,8.8
1954,4.7,5,0.6,2.6,6.7,8.2,11.6,7.3,8.3,5.2,5.6,7,6.1,5.5,3.3,9.1,6.3
1955,8.9,4.3,-9999.9,7.9,1.3,9.8,6.4,9.6,7.6,11.8,7.7,6,7.4,6.7,4.6,8.6,9.1
1956,12.1,19.2,11,6.7,-9999.9,10,11.2,4.9,1.6,8.6,12.3,8.5,9.7,12.5,8.8,8.7,7.5
1957,7.8,4.7,7.5,0.4,4.6,9.5,11.6,11.5,9.3,12.1,5,3.1,7.3,7,4.2,10.8,8.8
1958,19.6,3.4,7.8,9.3,7.6,4.9,12.1,5.7,15.5,13.5,5.9,4.4,9.1,8.7,8.3,7.6,11.6
1959,4.2,12.7,4,6.9,6.8,4.5,6.2,10.4,10.2,1.2,10.3,9.6,7.3,7.1,5.9,7,7.2
1960,10.9,8.2,2.2,4.3,18.1,12,14.1,4.8,9.2,9.4,6.8,5.6,8.8,9.6,8.2,10.3,8.5
1961,10.1,9.2,2.7,1.3,4,9.7,24.3,6.9,5.8,13.7,14.7,10.4,9.4,8.3,2.7,13.6,11.4
1962,5.5,8.7,4.3,7.5,4.2,11,9.3,13.5,16.7,12.7,11.7,15.4,10,8.2,5.3,11.2,13.7
1963,9.4,11.7,5.7,10.9,7,4.6,8.1,14.1,9.1,8.9,6.2,9.5,8.8,12.2,7.9,8.9,8.1
1964,8.8,7.6,9,9.3,13.2,16,16.8,8.5,5.1,13.6,4.1,13,10.4,8.6,10.5,13.7,7.6
1965,8.5,9.8,3.8,3.9,5.2,9.8,14.8,4.7,3.9,3.3,8.8,6.4,6.9,10.4,4.3,9.7,5.3
1966,10.6,8.3,2.2,1.2,8.2,16.5,9.7,5.3,8.9,0.6,4.3,6.4,6.9,8.4,3.9,10.5,4.6
1967,2.8,3.3,2.9,15.1,14.9,8.2,15.4,9.9,9.2,15.3,3.1,4.6,8.7,4.2,11,11.2,9.2
1968,5.4,3.4,4.3,2.3,8.4,9.4,4.8,9.6,11.9,8.4,2.8,9.3,6.7,4.4,5,7.9,7.7
1969,4.1,6.8,6.9,4.2,10.7,7.8,19.5,14.1,15.1,10.5,9.9,7.5,9.8,6.7,7.3,13.8,11.8
1970,12.7,4.3,8.6,6.2,11.3,11.9,9.2,13.3,10.7,16.2,11.3,8.8,10.4,8.2,8.7,11.5,12.8
1971,7.2,9.9,6.8,11,8.9,7.6,9.6,17,9.7,12.7,9,10.8,10,8.6,8.9,11.4,10.5
1972,8.3,7.2,11,3.2,7.9,11.8,13.8,14.7,6.8,11.6,14.3,7.6,9.8,8.8,7.4,13.4,10.9
1973,10.3,6,3.5,3.4,7.5,8.2,12,7.5,7.9,8.8,6.4,8.2,7.5,8,4.8,9.2,7.7
1974,2.3,5.1,3.6,5.5,10.5,9.5,5.3,12.5,4.7,8.9,12.5,17.6,8.2,5.2,6.5,9.1,8.7
1975,2.9,6,4.4,12.3,6,4.7,16.8,18,14.7,8.6,8.2,13.5,9.7,8.8,7.6,13.2,10.5
1976,10,5.7,7.4,5.1,5.5,11.1,7.7,12,6,8.5,8.8,5.2,7.7,9.7,6,10.3,7.8
1977,7.6,4.5,2.4,4.4,6.3,10.2,6.3,7.3,10.2,7.5,6.4,6.2,6.6,5.7,4.3,7.9,8
