Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,15,20.5,22.3,17.2,17.3,17.5,15.8,10.8,12.6,12.1,14.6,18.9,16.2,17.7,18.9,14.7,13.1
1954,15.2,17.3,21.4,18.4,18.3,13.5,12.7,14.4,13.9,16.7,15.4,14,15.9,17.1,19.4,13.5,15.3
1955,13.3,13,20.5,14.8,18.4,13.5,13,12.5,14.8,19.8,16.2,16.7,15.5,13.4,17.9,13,16.9
1956,15.9,18.2,16.2,15.5,19.6,15,14.9,12.1,11.7,11.6,16.4,16,15.3,16.9,17.1,14,13.2
1957,15.8,18.1,17.9,20.2,17.4,18.2,14.6,15,16.3,14.6,16.4,18.1,16.9,16.7,18.5,15.9,15.8
1958,18.1,15.4,12.7,16.4,17.4,19,14.1,13.8,14.2,15.8,20.9,15.3,16.1,17.2,15.5,15.6,17
1959,21.5,15.1,21.3,18.2,17.2,14.4,9.6,10.9,14.5,19.6,18,11.8,16,17.3,18.9,11.6,17.4
1960,12.6,18,17.1,18.4,16.2,16.8,13.9,13.8,15.8,15.9,18.3,17.1,16.1,14.1,17.2,14.8,16.6
1961,14.8,15.1,18.6,14.5,15.4,15,10.8,11.7,13.7,16.5,16.8,15.9,14.9,15.7,16.2,12.5,15.7
1962,21.2,18.3,17.3,17.9,21.1,16.1,13.4,9.4,14.7,16.2,12.1,13.9,16,18.5,18.8,12.9,14.3
1963,12.2,17,16.4,16.9,15.2,13.9,13.7,11.8,12.2,13.9,19.9,14.7,14.8,14.3,16.1,13.1,15.3
1964,16.3,15.1,20.3,16.4,19.9,17.7,14.3,15.6,15.5,16.4,18.2,16.2,16.8,15.4,18.9,15.9,16.7
1965,17.1,19.2,18.2,17.5,16.3,16.6,14.6,16.3,15.5,18.3,17,15.1,16.8,17.5,17.4,15.9,16.9
1966,16,13.2,17.2,14.7,16.9,15.3,15.3,15.2,17,19.4,16.6,13.8,15.9,14.8,16.3,15.3,17.7
1967,17.3,17.4,15.6,19.8,19.1,13.9,11.9,11.9,14.3,14.2,14.9,16.3,15.5,16.2,18.2,12.6,14.4
1968,18,17.4,19.1,19.9,14.9,13.2,14.2,15.9,12.1,17.6,15.9,18.9,16.4,17.2,18,14.4,15.2
1969,16.4,16.2,19.1,17.4,18.2,16.5,16.4,14.5,16.7,18.4,17.6,16.3,17,17.2,18.2,15.8,17.5
1970,16.9,18.8,18.7,19.7,16.9,13.1,10.2,12.5,15.2,12.2,13.9,16.2,15.3,17.3,18.4,11.9,13.7
1971,16.3,16.6,16.9,13.7,14.2,14.2,12.5,13.7,15,14.3,15.1,17.5,15,16.3,14.9,13.5,14.8
1972,19.4,18.1,18.4,17.7,16.2,15.2,12.8,13,15.3,13.3,13.6,15.6,15.7,18.3,17.5,13.7,14.1
1973,18.8,15.5,17.2,22.2,15.7,14.2,12.8,12.6,14.3,16.3,22.2,18.7,16.7,16.6,18.4,13.2,17.6
1974,15,18.1,22.9,17.9,21.1,15.8,13.8,12.9,14.2,16.6,15,12.5,16.3,17.3,20.6,14.1,15.3
1975,14.5,14.8,17.7,16.7,13.5,14,13.7,16.4,13.9,15.1,16.1,15.9,15.2,13.9,16,14.7,15.1
1976,17.3,19.9,20,21.6,17.5,12.3,12.8,12.8,12.9,15.8,15.9,18.8,16.5,17.7,19.7,12.6,14.8
1977,14.1,15.7,17.7,18.1,15.7,11.7,13.6,11.6,13.3,13.4,16.6,17.6,14.9,16.2,17.2,12.3,14.5
1978,14.6,15.2,20,18.4,17.2,14.7,11.9,12.3,12.6,15.8,17.9,16.1,15.6,15.8,18.5,13,15.4
1979,13.4,22.8,17,20.7,17.4,13.6,11.5,11.8,13.7,15.9,14.9,17.7,15.9,17.4,18.4,12.3,14.8
1980,22.3,17,20.8,18.5,16.9,15.1,13,11.6,16.1,16.6,18,17.9,17,19,18.7,13.2,16.9
1981,16.2,17.9,15,22.1,17.7,14.8,12.6,9.8,15.3,13,16.3,14.6,15.4,17.3,18.3,12.4,14.9
1982,21.2,17.6,20.5,23.6,16.2,13.8,13.1,12.8,11.2,13.4,15.6,16.9,16.3,17.8,20.1,13.2,13.4
1983,14.7,17.1,19.8,17.7,17.3,14.3,14,13.3,13.9,14.2,17.5,16.2,15.8,16.3,18.3,13.8,15.2
1984,10.5,14.5,17.5,14.9,15.7,14.1,10.5,11.2,17.1,13.6,15.9,17,14.4,13.7,16.1,12,15.5
1985,18.8,17,20.3,18.2,15.7,13.9,11.4,10,12.6,17.2,16.1,14.7,15.5,17.6,18.1,11.8,15.3
1986,17.8,16.9,19,17.1,15.6,17.6,12.8,12,15,14.8,18.4,17.5,16.2,16.5,17.3,14.1,16.1
1987,14.7,21,13.8,15.9,15.4,15.7,13.3,12.4,14.8,15,16.4,15.5,15.3,17.7,15.1,13.8,15.4
