Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,12.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.1,15.1,19.1,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,17.7
1959,-9999.9,-9999.9,20.2,18.1,16.4,15,15.4,-9999.9,17.3,15.9,18.1,-9999.9,17.1,-9999.9,18.2,15.2,17.1
1960,20,20.3,16.8,-9999.9,13.1,16.3,16.2,19,16.7,17.6,17.6,16.4,17.3,20.1,14.9,17.2,17.3
1961,16.1,-9999.9,19.3,17.4,22.2,20.2,16.5,16.7,16.1,13,14.7,18,17.3,16.3,19.6,17.8,14.6
1962,20.4,-9999.9,15.4,18.4,19.3,13.8,15.2,11.3,14.7,15.9,13.5,16.7,15.9,19.2,17.7,13.4,14.7
1963,-9999.9,-9999.9,19.6,20.5,18.5,15.7,15.1,14.1,15.3,15.8,19.2,19.8,17.4,-9999.9,19.5,15,16.8
1964,15.6,18.6,20.1,15.3,17.8,16.8,12.9,14.3,15.3,14.2,15.9,15,16,18,17.7,14.7,15.2
1965,19,16.9,19.4,14.5,16.4,14.4,11.5,12.3,-9999.9,14.3,16.6,14.8,15.5,17,16.8,12.8,15.5
1966,15.8,-9999.9,13.5,10.7,12.3,11.3,11.5,11.1,12.2,14.2,11.3,15.1,12.6,15.3,12.2,11.3,12.6
1967,15.2,17.2,13.6,15.5,19.3,14,13.1,11.8,13.1,15.3,16.6,17.5,15.2,15.8,16.1,13,15
1968,18,17.7,16.8,16.9,14.7,13,16.8,15.3,9.8,16,18.9,25.1,16.6,17.7,16.2,15,14.9
1969,19.4,16.1,18.1,14.8,13,13.6,10.9,8.2,12.6,12.2,12.9,16.8,14.1,20.2,15.3,10.9,12.6
1970,14.7,14.2,13.2,12.6,8.8,9.9,9.3,8.4,11.4,9,10.7,12.9,11.3,15.2,11.5,9.2,10.4
1971,11.1,10.2,9.4,12.4,13.5,13.2,11.8,12.3,13.3,12.6,14.4,15.6,12.5,11.4,11.8,12.4,13.4
1972,14.5,16.3,14.9,10.8,10.9,11.7,10.4,12.4,13.4,15.9,15.9,16.8,13.7,15.5,12.2,11.5,15.1
1973,16.7,15.8,13.2,19.2,13.7,12.4,11,10.5,12.4,14,13.8,14.1,13.9,16.4,15.3,11.3,13.4
1974,13.7,16.7,19.5,15.3,16.2,13.9,11.2,11.9,10.8,14,14,12.6,14.2,14.9,17,12.4,13
1975,13,12.9,19.1,22.3,13.3,15.7,14.7,13,14.5,14.4,17.7,19.4,15.8,12.8,18.3,14.5,15.6
1976,18.9,18,18.7,14.5,15.8,14.8,15.3,15.7,11.5,18.8,19.2,22.4,17,18.7,16.3,15.3,16.5
1977,20.4,17.4,17.2,16.3,13.6,12.2,12.7,13.5,12.4,16.4,17.1,19.3,15.7,20.1,15.7,12.8,15.3
1978,17.3,16.9,20.5,15.7,16,13.2,12.7,15.4,14.3,15.9,17.8,18.8,16.2,17.8,17.4,13.8,16
1979,18.7,23.4,17.3,17.2,16.7,15.4,15.1,13.9,17.6,14.6,10.8,16.8,16.5,20.3,17.1,14.8,14.3
1980,19.2,14.6,18.9,15,14.2,15.1,12.3,11.4,13.7,17.2,12.8,14.3,14.9,16.8,16,12.9,14.6
1981,14,15.4,19.6,16.8,16.6,14.8,11.9,10.8,12.7,13.6,16.2,14.3,14.7,14.6,17.7,12.5,14.2
1982,17.8,14.9,15.3,17,11.2,12.2,11.5,9.8,10.5,13.9,15.1,16.4,13.8,15.7,14.5,11.2,13.2
1983,16.3,17,18.1,16.2,15.7,12.4,12,13.1,12.9,13.3,16.6,17.4,15.1,16.6,16.7,12.5,14.3
1984,15.6,16.1,17.6,14.6,14.9,13.3,12.7,11.9,16,12.3,14.6,14.7,14.5,16.3,15.7,12.6,14.3
1985,17.3,15.9,17.8,16.6,14.2,13.4,14.9,11.5,13.9,17,15.2,16.8,15.4,15.9,16.2,13.3,15.4
1986,19.4,15.7,16.6,13.9,10.7,12.7,11.7,11.8,12.7,11.4,13.9,15.8,13.9,17.3,13.8,12.1,12.7
1987,15.6,16.1,14.6,16.5,16.2,14.4,13.8,10.5,14.3,15.9,15.2,15.1,14.8,15.9,15.8,12.9,15.1
1988,16.6,13.8,16.5,14.1,12.8,14,11.1,11.2,15.4,16.4,17.8,15.9,14.6,15.1,14.4,12.1,16.5
1989,17.4,15.5,14.7,14.4,13.4,10.8,12.3,12.2,14.2,15.6,17.5,17.1,14.6,16.2,14.2,11.7,15.8
1990,15.7,15.2,16.6,16.9,16.2,18,14.7,13.1,16.2,14,16.3,17.3,15.9,16,16.6,15.3,15.5
1991,14.6,15.1,14.9,17.2,14,15.1,13.5,12.5,13.8,13.5,15.3,16.3,14.7,15.7,15.4,13.7,14.2
1992,18.1,15.7,15.7,13.3,15.6,12.8,15.4,14.1,13.8,12.6,14,14.3,14.6,16.7,14.9,14.1,13.5
1993,13.4,15.2,16.9,14.7,15.7,12.2,10.5,11.6,14.2,12.9,13.8,12.9,13.7,14.3,15.8,11.4,13.6
1994,15.3,17.6,16.1,15.4,11.6,11.6,10.5,10.9,9.4,12.4,16.6,14.9,13.5,15.3,14.4,11,12.8
1995,16.3,16.9,13.9,14.8,13.6,13.2,11.7,12.5,14.6,17,16.4,16.3,14.8,16,14.1,12.5,16
1996,16.9,15,19.1,16.3,14,14,14.8,13.3,12.5,15.7,13.1,16.8,15.1,16.1,16.4,14,13.8
1997,18.8,15.5,16.7,13.2,16.4,12.3,14.9,12.4,14.2,13.3,13.6,13.8,14.6,17,15.4,13.2,13.7
1998,15.7,13.3,17.3,15.8,14,14,15.1,14.1,14.1,15.2,14.8,16.3,15,14.3,15.7,14.4,14.7
1999,18.7,15.1,18.3,13.2,15.1,16.3,15.2,12.8,11.2,15,16.2,15.1,15.2,16.7,15.5,14.8,14.2
2000,16.9,16.1,13.9,15.1,14.8,13.9,11.8,11.6,15,15.1,12.3,17.7,14.5,16,14.6,12.4,14.2
2001,13.2,17,15.2,14.7,14.3,13.5,14.8,14,15.2,17.6,13.9,16.1,14.9,15.9,14.7,14.1,15.5
2002,13.1,15.5,18.1,15.6,16.2,15,11.4,12.7,11.3,14.5,14.9,14.9,14.4,14.9,16.6,13,13.6
2003,14.9,18.8,15.4,14.9,11.8,13.5,12.9,12.8,13.2,16.1,17.1,16,14.8,16.2,14,13.1,15.5
2004,17.3,15,13.5,14.6,14.8,15,11.4,13,14.4,12.1,14.3,15.1,14.2,16.1,14.3,13.1,13.6
2005,13.5,14.3,14.8,17.6,14.7,16.4,11.5,12.7,14.4,15.3,17.4,16.9,15,14.3,15.7,13.5,15.7
2006,15.5,16.4,13.4,16.1,14.1,14.9,13.2,13.1,14,17.5,15.1,15.1,14.9,16.3,14.5,13.7,15.6
2007,15.5,17.3,17.2,17,14.2,13.4,13.5,12.3,15.1,14.1,15,16.1,15.1,16,16.1,13.1,14.7
2008,15.1,15.7,17.6,16.6,13.3,14.9,13.8,15.5,11.4,14.5,17.6,15.1,15.1,15.6,15.8,14.7,14.5
2009,15,15.6,15.1,16.8,14.7,15.7,14.4,12.9,14.3,11.9,12.8,15.9,14.6,15.2,15.5,14.3,13
2010,16.8,15.8,13.6,13.2,13.5,12.4,12.1,11.9,14.3,15.7,-9999.9,-9999.9,13.9,16.2,13.5,12.1,15
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,16.4,14.5,16.3,15,14.8,12.2,12.3,12.7,15,14.7,13.9,16.5,14.5,15.5,15.3,12.4,14.6
2013,16.2,16.9,15.7,17.5,15,14.2,14.4,14.7,16.5,13.8,16.9,14.7,15.5,16.6,16.1,14.5,15.7
2014,17.6,15.1,16.6,14.3,13.1,12.3,16.1,11.9,15.2,15.8,17.6,15,15.1,15.8,14.7,13.4,16.2
