Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,16.8,13.5,19.7,18.2,18.5,12.9,14.8,16.8,15.6,20.7,21.3,18.8,17.3,15.1,18.8,14.8,19.2
1956,15.2,23.6,17,18.3,20.2,16,12,16,20.3,18.9,16.6,14.4,17.4,19.2,18.5,14.7,18.6
1957,18.2,20,19.5,17.3,15.8,14.1,13.4,16.7,16.3,17.9,20.1,19.5,17.4,17.5,17.5,14.8,18.1
1958,15.4,17.1,11.9,14,23.2,17.3,11.1,12.4,13.5,16.8,16,19,15.6,17.3,16.4,13.6,15.4
1959,24.8,19.6,13.4,14.9,19,16,12.6,11.6,15.7,17,18.8,15.1,16.5,21.1,15.7,13.4,17.2
1960,17.1,17.3,17.3,17.9,15.5,13.1,12.5,15.8,20.5,23.2,21.6,25.3,18.1,16.5,16.9,13.8,21.8
1961,16.6,13,13.8,19.9,16.2,14.7,11.7,19.2,23.1,18.7,18.2,25.7,17.6,18.3,16.6,15.2,20
1962,18.5,18.1,13.5,20.2,13.3,11.7,11.6,15.7,14.2,20.6,16.3,19.2,16.1,20.8,15.6,13,17
1963,27.7,22.2,12.6,14.4,14.6,13.3,10.6,12.3,11.7,18.9,19.8,18.2,16.4,23,13.9,12,16.8
1964,14.6,20,14.5,15.5,13.4,11.4,9,10.4,17,19.3,14.6,11.6,14.3,17.6,14.5,10.3,17
1965,23.1,16.3,17.4,17.1,18.8,16.3,15.5,14.6,16.2,19.1,16.6,17.3,17.4,17,17.8,15.5,17.3
1966,18.6,17.9,19.9,17.8,16.3,13.7,12.8,12.6,18.9,18,16.5,13,16.3,17.9,18,13,17.8
1967,15.8,17.6,20.1,17.2,18.3,16.5,15.2,16.6,19.7,19.7,18,28.2,18.6,15.5,18.5,16.1,19.1
1968,18.5,25.2,24.1,18.8,17.6,12.6,18,16.6,14.7,16.3,19,17.7,18.3,24,20.2,15.7,16.7
1969,19.1,14.8,21,19.8,24.8,23.8,13.6,10.6,15,17.4,23.5,16.9,18.4,17.2,21.9,16,18.6
1970,24.7,31.4,27.5,16.8,14.4,17.7,14.1,14.2,18.6,20.1,16.1,12.7,19,24.3,19.6,15.3,18.3
1971,27.8,23.7,14.9,18.8,19.1,16.9,16.4,15.4,20.1,18.1,17.8,18.3,18.9,21.4,17.6,16.2,18.7
1972,18.8,26.3,16.8,20.2,18.1,18.1,18.9,14.6,20,19.3,17.3,14.1,18.6,21.1,18.4,17.2,18.9
1973,18.6,19.6,23.2,18.3,19.6,15.7,12.6,18.2,20.6,18.3,17.4,12.3,17.9,17.4,20.4,15.5,18.8
1974,10,15.4,15.3,14.9,14,12.2,11.5,10,16.4,22.6,17.2,15.5,14.6,12.6,14.7,11.2,18.7
1975,17.3,25.1,21,13.7,16,11,16.4,15.1,17,20,24.1,19.1,18,19.3,16.9,14.2,20.4
1976,26,19.9,17.4,17.7,17.7,11.2,14.3,19.3,20.9,16.5,24.3,22.8,19,21.7,17.6,14.9,20.6
1977,26.9,17.2,23.1,21.3,21.2,14.6,17,16.2,11.3,17.3,24.6,24.6,19.6,22.3,21.9,15.9,17.7
1978,29.6,17,19.9,20.7,14.4,18.2,19.8,14.8,10.9,18.3,19.6,22.6,18.8,23.7,18.4,17.6,16.3
1979,24,9.6,21.3,21.1,12.2,18.1,16.6,18.3,19.7,-9999.9,-9999.9,16.8,17.8,18.7,18.2,17.7,-9999.9
1980,19.7,23.1,20.3,19.7,16.8,13.9,16.9,15.6,14.5,19.1,21.2,28,19.1,19.9,19,15.5,18.3
1981,23.3,23.8,16.8,14.8,17.9,14.1,16.2,14.4,16,22.9,20.7,16.1,18.1,25,16.5,14.9,19.9
1982,17.2,20.1,19.7,17,12.6,13.5,15.1,12.7,13.8,16.1,16.1,15.1,15.7,17.8,16.4,13.8,15.3
1983,19.7,16,12.4,16.7,14.2,13.4,11.6,11,17.8,20.5,13.2,23.5,15.8,17,14.5,12,17.2
1984,28,15.8,19.5,18.8,12.3,11.4,11.8,16.4,16.8,18.5,17.7,20,17.2,22.4,16.8,13.2,17.7
1985,19.6,14.2,15.9,18.9,14,14.5,14.8,17.9,17.5,20.1,27.4,27.1,18.5,17.9,16.3,15.7,21.7
1986,23.9,19.7,23.1,19.2,15.1,17,12.2,17.4,14.6,15.9,20,20.7,18.2,23.6,19.1,15.6,16.9
1987,16.5,11.3,16.6,16.5,19.3,20.5,15.8,14.5,14.8,17.1,27.3,15.7,17.2,16.2,17.5,17,19.8
1988,22.9,31.5,15.9,17,20.6,12.8,10.9,13.1,15.1,21.7,17.4,19,18.2,23.3,17.8,12.3,18.1
1989,19.5,25.3,26.2,17.3,17.5,11,14.5,15.1,18.7,17.6,20.3,25,19,21.3,20.3,13.5,18.9
1990,19.6,21.7,26.3,21.2,17.7,15.2,17,15.1,19.1,17.7,24,20,19.6,22.1,21.7,15.8,20.3
1991,23.1,27.8,13.3,14.1,12.3,11.6,10,12.4,18.3,19.8,22.6,20,17.1,23.6,13.2,11.3,20.2
1992,26.3,26,18.2,17.1,17.8,13.9,10.8,14.8,19.2,22.7,16.2,25,19,24.1,17.7,13.2,19.4
1993,22.5,21.8,23.6,13.1,22.2,15.2,8.8,16.2,19.9,25.4,19.2,22,19.2,23.1,19.7,13.4,21.5
1994,24.3,16.9,18.3,22.8,18.5,16.9,18.1,20.1,19.5,18.5,21.7,23,19.9,21.1,19.9,18.4,19.9
1995,16.2,24.4,22.1,21,18.6,11.9,18.2,14.2,18.4,24.1,21.2,14.6,18.7,21.2,20.6,14.8,21.2
1996,25.9,22.8,23.4,23.4,18.2,8.5,11.1,14.3,18.5,23.1,23.4,19.1,19.3,21.1,21.7,11.3,21.7
1997,24.1,25.9,22.8,18.9,20.7,16.2,13.2,15,13.2,23.7,19.5,19.7,19.4,23,20.8,14.8,18.8
1998,13.7,15.5,17.2,15.2,22.5,12.6,17,17,16.9,18.6,14.4,26.3,17.2,16.3,18.3,15.5,16.6
1999,22,15.5,15,19.9,17.5,14.2,15.7,19.8,15.6,17.5,20.8,26.9,18.4,21.3,17.5,16.6,17.9
2000,19.1,27.7,22.1,18.5,16.3,13.7,6.9,16,19.9,18.7,17.7,22.1,18.2,24.6,19,12.2,18.8
2001,20,23.6,18.8,18.4,20.3,19.5,11.6,16.4,16.2,22.5,22.5,19.4,19.1,21.9,19.1,15.8,20.4
2002,21.8,15.9,21,18.4,15.7,11.7,13.8,15.3,18.4,18.8,24.2,18.4,17.8,19,18.3,13.6,20.5
2003,29.8,22.7,21,16.7,18.3,14.9,13,16.3,16.7,18,23.3,18.4,19.1,23.6,18.7,14.8,19.3
2004,14.4,15.8,18,21.3,19.4,14.8,13.8,15.7,17.5,23.6,19.5,23.4,18.1,16.2,19.5,14.7,20.2
2005,19.8,16.9,20.8,19.1,17.6,16.1,15.3,17.9,18.1,16.8,25.2,16.6,18.3,20,19.2,16.4,20
2006,18,22.8,11.4,20.2,16.1,17.5,18,16.4,18.5,18.9,19.6,20.4,18.1,19.1,15.9,17.3,19
2007,19.2,27.1,20,19.6,18.8,21.2,15.7,16.5,16.6,19.3,17.7,19.8,19.3,22.2,19.5,17.8,17.9
2008,20.8,17.7,16.4,16.1,18.5,13.4,11.8,14.2,16.9,16.7,16.7,24.5,17,19.5,17,13.1,16.8
2009,22.1,15.5,22.2,20.9,23.3,15,14.8,16.4,18.2,16.1,13.3,20.7,18.2,20.7,22.1,15.4,15.9
2010,19.5,12.1,16.1,15.7,18.3,12.9,11.5,17.8,17.6,20.2,23.9,22.8,17.3,17.4,16.7,14,20.5
2011,26.2,26.4,16,22.2,16.3,17.4,15.8,17.8,20.6,23.4,22,25.5,20.8,25.1,18.2,17,22
2012,20.4,24.2,18.6,18.5,15.3,19,16.6,15.7,17.9,20,21.8,23.3,19.3,23.4,17.5,17.1,19.9
2013,20.1,21,18.5,25.5,16.5,14.3,18.4,19.3,19.4,22.9,18.3,24.3,19.9,21.5,20.1,17.3,20.2
2014,28.4,29.6,23.3,24.3,18.8,17.1,16.9,19.7,21.2,20.2,26.3,24.7,22.6,27.5,22.1,17.9,22.6
