Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1969,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,2.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1970,3.6,4.3,4.6,7.3,7.3,8.4,7.6,7,5.7,4.7,5.5,5.1,5.9,3.6,6.4,7.7,5.3
1971,8.1,4.2,5.5,6.6,7,7,6.9,7.8,5.2,5.5,3.9,4.6,6,5.8,6.4,7.2,4.9
1972,7.2,6.9,4.9,9.2,7.4,8.2,7.6,6,6,5.9,3.7,5.2,6.5,6.2,7.2,7.3,5.2
1973,4.8,5.3,4.9,6.2,7.7,7.4,6.4,6.8,6.4,5.2,7.1,3.4,6,5.1,6.3,6.9,6.2
1974,5.2,3.9,5.1,5.1,7.5,7.4,6.4,6.8,5.5,4.4,4.3,4,5.5,4.2,5.9,6.9,4.7
1975,4,7,6.6,5.7,7.1,6.8,6,5.6,5.7,4.7,6.5,4.1,5.8,5,6.5,6.1,5.6
1976,4.3,6.2,6.2,5.8,6.7,6.9,6.2,5.4,4.9,4.4,3.7,3.3,5.3,4.8,6.2,6.2,4.3
1977,2.6,3,6.4,6.4,8.2,7.6,6.1,6.3,5.1,5.2,6.9,3.3,5.6,3,7,6.7,5.7
1978,4.1,3.5,4.7,6.6,6.2,5.9,5.3,5,4.4,3.9,5.2,4.8,5,3.6,5.9,5.4,4.5
1979,2.6,5,5.4,6.4,6.8,8.4,7.3,6.7,5.2,4.9,3.5,4.6,5.6,4.1,6.2,7.5,4.5
1980,6.3,4.9,7.3,6.6,8.5,7.6,7.6,4.3,4,3,4.1,7.9,6,5.3,7.5,6.5,3.7
1981,2.1,4.4,3.7,6.1,6.1,6.1,6.4,4.4,3.6,2.9,3.2,3.4,4.4,4.8,5.3,5.6,3.2
1982,6.3,4.6,4.9,7.2,6.1,5.5,3.4,3.2,2.9,2.8,3.6,2.4,4.4,4.8,6.1,4,3.1
1983,3.7,2.3,4.8,5.7,5.6,4.5,3.9,4.3,3.9,2.8,3.3,4.1,4.1,2.8,5.4,4.2,3.3
1984,2.5,2.8,3.6,4.5,5.6,5.3,5.4,3.9,4.7,5.4,3,5.2,4.3,3.1,4.5,4.8,4.3
1985,2.3,5.6,3.4,4,5.2,5.3,6.4,5.4,5.8,4,8.7,2.4,4.9,4.4,4.2,5.7,6.2
1986,2.7,7.3,3.7,5.9,5.3,5.3,4.7,4.7,5.4,3.2,5.4,3,4.7,4.1,5,4.9,4.7
1987,3.2,3.5,4,5.9,7,7.3,6.1,5.3,3.9,3.3,3.4,3.7,4.7,3.2,5.6,6.2,3.6
1988,3.5,4.7,3.9,5.1,5.6,5.5,5.5,5.2,4.7,2.9,3.2,3.2,4.4,3.9,4.9,5.4,3.6
1989,5.9,8.2,4.8,4.1,6.6,5.5,6,4.8,4,3.5,3.3,3.4,5,5.8,5.2,5.4,3.6
1990,5.4,6.1,5.1,6.9,5.5,5.9,5.5,5.7,4.3,5.3,5.2,6.9,5.6,5,5.8,5.7,4.9
1991,2.5,4.3,6.7,4.8,5.8,6.8,4.5,4.4,4.5,6.2,3.1,3,4.7,4.6,5.7,5.2,4.6
1992,2.4,4,3,4.9,6.9,6.5,6,5.5,4,2.9,2.8,8.4,4.8,3.1,4.9,6,3.2
1993,4.3,6.7,4,4,6.1,5.5,6.4,5.1,5.2,3.5,4.8,2.7,4.9,6.5,4.7,5.6,4.5
1994,3.7,7.2,4,6.4,6.5,5.3,5.6,6.2,3.9,4.3,4.1,3.7,5.1,4.6,5.6,5.7,4.1
1995,2.2,6.4,4.4,6.8,6.8,6.4,5.3,4.7,4.5,3.4,3.6,3.8,4.8,4.1,6,5.4,3.8
1996,6.2,4.2,10.3,4.6,5.9,6.3,4.9,4.8,3,3.5,8.4,4.3,5.5,4.7,6.9,5.3,4.9
1997,4.2,2.7,5.7,4.8,6.2,4.6,3.9,4.9,3.8,3.6,3.4,3,4.2,3.7,5.5,4.4,3.6
1998,4,2.3,3.3,3.9,5,5.4,4.1,4.3,4.3,2.7,2.5,4.5,3.8,3.1,4,4.6,3.2
1999,3.9,3,3,4.1,5.1,4.6,5.1,3.8,2.7,2.8,2.2,2.4,3.6,3.8,4,4.5,2.6
2000,3.2,2.9,3.4,5.3,4.5,4.4,3.9,4.1,4.6,2.9,3.8,3.3,3.9,2.8,4.4,4.2,3.7
2001,2.5,3.6,3,3.8,3.8,3.6,3.5,2.9,2.9,2.6,2.9,2.6,3.1,3.1,3.5,3.3,2.8
2002,3.3,3.8,7.4,3.7,5.2,3.6,4.1,3.4,2,1.4,1,0.9,3.3,3.2,5.4,3.7,1.5
2003,1.5,2,5.5,4.5,4.9,3.5,3.8,4.3,2.9,2.4,2.1,0.7,3.2,1.5,5,3.9,2.5
2004,2.8,0.7,3,3.3,8.3,5.5,4.6,4,3.6,3.9,1.4,4.3,3.8,1.4,4.9,4.7,3
2005,4.1,3.2,5.1,6.4,5.2,4.6,3.7,5.5,3.9,1.3,1.7,1,3.8,3.8,5.6,4.6,2.3
2006,0.7,3.7,2.6,3.6,5.1,4.7,4,3.3,3.1,2.7,3.4,1.1,3.2,1.8,3.7,4,3.1
2007,1.5,3.4,3.7,4.2,6.4,6,6,4.3,3.8,2.9,3.1,2.7,4,2,4.8,5.4,3.3
2008,2.2,2.3,4,7.3,6.3,5.4,5.4,3.2,2.5,3,1.6,3.8,3.9,2.4,5.8,4.7,2.4
2009,2.2,3.2,6.2,5.7,7.2,6.2,4.7,4.9,3.5,4.4,3.6,3.6,4.6,3.1,6.4,5.3,3.8
2010,2,1.1,3.4,7.1,7.2,5.7,4.9,4.4,3.8,2.1,4.8,1.4,4,2.2,5.9,5,3.6
2011,3.7,4.6,3.8,5.1,5.4,5,4.7,3.9,3.6,2.1,3.7,0.7,3.9,3.2,4.8,4.6,3.1
2012,3.1,1.3,2.3,3,4.6,3.2,3.3,2.5,3.9,4.5,2.6,1.6,3,1.7,3.3,3,3.7
2013,0.7,1,2.7,5.5,4,3.8,4.9,3.8,2.5,2.1,2,1.9,2.9,1.1,4.1,4.1,2.2
2014,2.1,5.2,5,5.1,6.2,5.8,5.9,3.9,3.4,2.3,3.5,2.1,4.2,3,5.4,5.2,3.1
