Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,35.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,33.2,31.2,38.6,29.1,22.8,24.8,23.8,24.6,29.1,34,37.5,36.8,30.4,33.2,30.2,24.4,33.5
1961,42.4,31.7,28.2,25.9,24.8,25.5,24.1,25.8,28,31,26.5,36.6,29.2,37,26.3,25.1,28.5
1962,41.8,34.6,27.6,27.5,24.8,24.6,21.9,21.6,23.4,28.2,26.4,30.1,27.7,37.7,26.7,22.7,26
1963,27.7,28.8,26,24.6,24.1,27.4,24.5,28.2,30.3,32.8,35.5,41.8,29.3,28.8,24.9,26.7,32.9
1964,40.1,33.1,30,32.4,24.6,22.2,23.7,23.9,29.3,30.6,31.8,31.6,29.4,38.3,29,23.3,30.6
1965,35.2,33.3,31,26.6,18.5,21,23.1,25.6,26.1,31.1,33.2,30.9,28,33.4,25.4,23.2,30.1
1966,34.8,38,24.8,32.7,25.7,21.1,20.5,20.1,25.5,29.6,24.2,30.8,27.3,34.6,27.7,20.6,26.4
1967,31.4,37.9,30.1,23.9,22.3,23.7,21.7,25.4,27.5,28.6,30.2,31.7,27.9,33.4,25.4,23.6,28.8
1968,37.2,28.9,30.1,26.8,27.6,25.5,25.3,29.9,22.3,31.4,37.5,25.5,29,32.6,28.2,26.9,30.4
1969,28,27.6,29.8,27.2,25.1,23.7,23.8,24.6,26.8,29.8,21.8,26.7,26.2,27,27.4,24,26.1
1970,30.7,29.7,24.8,28.2,26.8,24.1,26.5,25.1,26.6,30.6,28.9,36.5,28.2,29,26.6,25.2,28.7
1971,38.6,29.5,30.6,26.4,24,26.2,24.2,28,27.2,34.6,32.6,34.1,29.7,34.9,27,26.1,31.5
1972,37,37.1,30.1,28.2,26.5,25,23.3,25.9,25.5,30.9,37.4,40.1,30.6,36.1,28.3,24.7,31.3
1973,34.7,30,27.6,24.4,20.4,24.6,26,25.5,26.2,32.1,34.1,33.1,28.2,34.9,24.1,25.4,30.8
1974,41.4,40,40.1,28,25.8,25.2,24.3,24.5,27,33.2,31.6,32.2,31.1,38.2,31.3,24.7,30.6
1975,33,29.5,29.3,24.1,28.6,18.8,20.5,22.4,26.4,33.9,36.2,32,27.9,31.6,27.3,20.6,32.2
1976,32.7,32.2,32.5,23,21,22.1,18.1,23.5,20.9,30.8,35.4,39,27.6,32.3,25.5,21.2,29
1977,34.9,33.8,26.3,24.3,22.5,22.4,24.4,22.5,29.4,30.1,30.8,37,28.2,35.9,24.4,23.1,30.1
1978,33.8,38,35.6,24.8,24.5,26.1,24.1,24.6,32,29.1,35.7,38.5,30.6,36.3,28.3,24.9,32.3
1979,36,34.6,31.6,28,23.3,22,23.4,23.8,29.6,29.1,31.6,33.3,28.9,36.4,27.6,23.1,30.1
1980,34.8,32.4,32.3,24.2,23.9,23.3,20.8,22.6,28.7,29.3,32.6,34.1,28.2,33.5,26.8,22.2,30.2
1981,30.6,27,29.4,28.4,21.1,22.6,21.2,22,25,27.2,29.2,31.9,26.3,30.6,26.3,22,27.1
1982,40.3,40.2,32.2,32.1,28.9,24.9,25.8,26.5,29.1,35.7,35.2,37.9,32.4,37.5,31,25.8,33.3
1983,36.8,34.1,30.7,28.1,26.5,26.2,28.2,28.7,28,33.8,37.4,40.5,31.6,36.3,28.4,27.7,33.1
1984,33.5,34.9,33,29.9,28.2,27.6,27.7,26.7,32.3,33.3,34.5,38.9,31.7,36.3,30.4,27.3,33.3
1985,38.1,32.6,34.5,30.1,28.1,26.2,26.9,24.1,25.3,34.9,38.9,39,31.6,36.5,30.9,25.8,33
1986,37.5,37.4,34.8,29.2,26,29.1,24.3,20.9,23.3,31.3,35.1,35.5,30.4,38,30,24.8,29.9
1987,35.8,30,29.4,27.1,30.2,26,25.8,25.7,29.3,33.1,37.6,43.1,31.1,33.8,28.9,25.8,33.4
1988,41.5,39,37.5,32,28.5,31.8,23.3,25.9,32.2,30.4,43.5,41.4,33.9,41.2,32.6,27,35.4
1989,41.4,36.5,38.6,29.8,23.4,22.1,22.5,25.3,28.1,29,35.5,39.5,31,39.8,30.6,23.3,30.9
1990,37.8,34.4,29.6,29.5,28.5,23.1,21.1,23.9,22.6,28,33.6,35,28.9,37.2,29.2,22.7,28.1
1991,39.5,36.2,30.7,22.9,26.1,20.9,19.3,24,26,26,29.6,34.8,28,36.9,26.6,21.4,27.2
1992,33.4,32.7,36.9,28.3,26.4,21.8,20.1,24.9,23.7,31.7,31.6,33.9,28.8,33.6,30.5,22.3,29
1993,34,28.9,32.2,25.9,24.6,25.6,19,23.5,25.2,29.9,36.6,34.2,28.3,32.3,27.6,22.7,30.6
1994,40.6,31.8,30.4,30.1,26.1,25.9,22.5,21,22.7,29.3,36.3,36.4,29.4,35.5,28.9,23.1,29.4
1995,36.1,38.5,29.8,23.4,19.8,23.4,24.6,25,26.5,24,34,37,28.5,37,24.3,24.3,28.2
1996,42.3,31.4,31.9,27,21.9,24,25.7,20.7,30.6,32.3,34.3,37.8,30,36.9,26.9,23.5,32.4
1997,39.5,33.6,34.7,29.4,24.5,20.9,25.7,21.8,27,32,32.6,33.6,29.6,37,29.5,22.8,30.5
1998,40.9,27.4,34.8,24.4,27.6,23.3,21.6,23.6,25.4,31.6,33,44.6,29.9,34,28.9,22.8,30
1999,41.9,30.8,30.3,31.5,22.4,24.3,22.4,23,27.1,37.8,31.9,39.9,30.3,39.1,28.1,23.2,32.3
2000,36.1,37.1,24.4,27,28.2,24.1,21.6,21.1,27.4,36.7,29.8,43.6,29.8,37.7,26.5,22.2,31.3
2001,37.1,40,31.9,32.8,27,24.5,24.9,23.4,25.6,27.3,29.5,30.6,29.5,40.2,30.6,24.2,27.5
2002,41.5,41,41.7,32.7,23.9,23,22.6,24.9,29,34,37.3,42,32.8,37.7,32.7,23.5,33.5
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,36.5,36.6,33.3,31.5,26.1,23,19.4,22.7,32.3,29.2,37.3,39.4,30.6,36.6,30.3,21.7,32.9
2005,44.3,26.7,30.6,27.5,20.9,24.8,19.9,23.4,31.1,33.9,34.2,34.5,29.3,36.8,26.3,22.7,33.1
2006,40.8,41.6,33.1,28.2,26.5,27,-9999.9,25.7,26,33.2,32,38.4,32,38.9,29.3,26.3,30.4
2007,41.1,40.8,35.4,30,23.1,24.1,24.2,22,26.9,31,33,40.8,31,40.1,29.5,23.4,30.3
2008,35.9,35.9,34.8,25.7,27,21.8,22.7,24.6,25.9,28.8,31,38.1,29.4,37.5,29.2,23.1,28.6
2009,42.1,36.9,32.8,-9999.9,27,20.3,21,24.7,29.8,39.3,36.2,40.3,31.8,39,29.9,22,35.1
2010,37.1,27.2,-9999.9,-9999.9,-9999.9,26.4,25.5,19.4,30.9,30.8,33.8,36.1,29.7,34.9,-9999.9,23.8,31.8
2011,35,41.2,37.8,32.7,25.6,25.1,-9999.9,-9999.9,29.3,33.2,35.2,34,32.9,37.5,32,-9999.9,32.5
2012,35.2,36.3,31.4,26.1,28.2,24.9,24,22.1,25.4,32.2,37.2,39.3,30.2,35.2,28.6,23.7,31.6
2013,40,42.9,34.7,28.5,28.9,25.2,23.1,27.6,29,31.6,34.5,39.7,32.1,40.7,30.7,25.3,31.7
2014,40.1,37.3,34.5,32,23,21.4,27.5,22.8,30.5,29.9,38,31.5,30.7,39,29.8,23.9,32.8
