Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,15.2,16.5,15.1,21.6,-9999.9,-9999.9,-9999.9,17.1,20.4,18.3,21.3,19.4,18.3,15.8,18.3,-9999.9,20
1959,22.1,18.6,17.5,21,23,19.6,17.3,17.7,20.6,19.7,18.4,19.1,19.5,20,20.5,18.2,19.6
1960,17,15.8,17.7,22.3,18,18.8,15.2,16.8,18,17.5,18.5,17.6,17.8,17.3,19.3,16.9,18
1961,16,15.7,16.9,22.1,16.3,18,15.6,15.1,17.6,18.9,19.6,18.2,17.5,16.5,18.4,16.2,18.7
1962,21.5,16.6,18.8,19.5,20.3,16.4,15.8,17.4,18,17.4,18.3,19.2,18.3,18.8,19.5,16.5,17.9
1963,23.1,19,18.8,19,19.5,18.4,15,15.1,17.5,17.6,17.1,17.6,18.2,20.4,19.1,16.2,17.4
1964,16.8,17.4,20.5,21.5,21.6,18,15,19.4,18.8,17.7,19.1,18.4,18.7,17.3,21.2,17.5,18.5
1965,17.3,20.3,15.8,17,21.6,19.9,14.5,14.6,14.9,17.7,16.7,16.1,17.2,18.7,18.1,16.3,16.4
1966,14.6,13.1,21.2,22,20.8,18.7,18.2,15.6,16.2,21,18.3,16.7,18,14.6,21.3,17.5,18.5
1967,20.9,17.5,20.5,21.9,22.9,19.3,16.9,15.5,19,20.4,20.4,20.1,19.6,18.4,21.7,17.2,20
1968,17.4,17,15.6,16.1,19.6,18.3,17,16.7,16.2,15.8,15.1,16.8,16.8,18.2,17.1,17.3,15.7
1969,17.8,17.7,17,16.5,19.2,17,13.7,14.8,16,16.2,16.3,15.2,16.4,17.4,17.5,15.2,16.2
1970,18.5,18.5,16.3,23.5,20.9,19.2,17.4,15.3,17,17.7,19,19.8,18.6,17.4,20.2,17.3,17.9
1971,19.3,16.8,17.5,20.9,18.9,14.6,18.9,15.1,17.1,19.2,18.4,18.4,17.9,18.7,19.1,16.2,18.3
1972,20.8,17.4,17.5,17.7,16.6,17.9,14.8,14.5,19.3,18.1,13.5,18.3,17.2,18.9,17.3,15.7,17
1973,14.6,15.8,19.4,23.9,21.8,24,17.4,14.4,17.2,16.4,15.2,16.2,18,16.2,21.7,18.6,16.3
1974,16.5,16.6,19.7,17.8,20.7,18.1,14.4,14.9,16.6,16.7,17.8,17.3,17.3,16.5,19.4,15.8,17
1975,18.3,19.8,19.4,22,18.8,16.6,15.9,16.8,18.4,18.3,15.5,16.7,18,18.4,20.1,16.4,17.4
1976,18.4,19.1,19.8,19,19.2,16.6,15.3,14.5,17.7,19.6,19.6,19.1,18.2,18.1,19.3,15.5,19
1977,19.3,16.7,19.9,17.9,20,17.2,14.7,14.2,15.4,18.3,18.8,19.1,17.6,18.3,19.2,15.3,17.5
1978,18.7,17.3,17.1,21.2,18.8,18.6,13.9,16.3,21.8,19.4,19.3,21.8,18.7,18.4,19,16.3,20.1
1979,16.5,16.2,18.1,18.5,19,16.7,13.4,13.8,16.5,-9999.9,15.6,15.8,16.4,18.2,18.5,14.6,16.1
1980,16.9,16.6,15.8,14.8,15.6,17.8,15.2,13.9,16.1,17.1,17.1,17.6,16.2,16.5,15.4,15.6,16.8
1981,15.1,17.8,14.7,17.8,16.1,15,16.1,15.3,18.8,22.1,16.8,16.4,16.8,16.8,16.2,15.5,19.2
1982,22.4,20.2,21.5,19.3,19.9,16.1,14.7,15.2,18.1,17.3,16.7,18.1,18.3,19.7,20.2,15.3,17.4
1983,16.5,15.8,18.2,16.4,19.5,17.4,14.8,13.3,19.8,14.2,17.2,18.2,16.8,16.8,18,15.2,17.1
1984,17.8,14.3,14.5,19.3,19.8,17.6,15,15.7,16.6,19.1,17.4,18.3,17.1,16.8,17.9,16.1,17.7
1985,20,16.8,18.6,17.9,18.6,20.4,13.8,17.1,17.5,19.1,16.9,20.5,18.1,18.4,18.4,17.1,17.8
1986,18.5,14.1,16.9,19.3,21.9,16.1,15.2,13.9,15.7,15.6,17.7,17.3,16.9,17.7,19.3,15.1,16.3
1987,17.4,15.9,15,18.8,18.3,16.8,14.3,15.9,14.7,18.3,14.4,16.2,16.3,16.9,17.4,15.7,15.8
1988,18.1,20.6,19.3,20.8,19.1,18.3,15.4,18.5,19.1,16.9,14.9,18.4,18.3,18.3,19.7,17.4,17
1989,18,23.6,16,19.5,18.3,17.9,13.9,16.2,17.7,18,17.7,16.7,17.8,20,17.9,16,17.8
1990,19.3,19,21.5,19.6,18.7,17.1,15.4,15.8,15.6,16.9,18.8,18.6,18,18.3,19.9,16.1,17.1
1991,16.8,14.9,16.2,17.7,19.6,18.5,15.1,13.8,16.6,20.1,17.2,17.7,17,16.8,17.8,15.8,17.9
1992,16.7,15.2,14.9,19.1,21.1,16.4,12.4,13,16.4,14.2,14.8,16.6,15.9,16.5,18.4,13.9,15.1
1993,16.9,14.7,14.9,13.4,16.9,18.1,14.5,14.5,17.2,17.2,17.1,16.1,16,16,15.1,15.7,17.2
1994,17.1,18.3,20.4,20.4,19,17.1,14.6,13.2,14.5,20.4,17.9,14.5,17.3,17.2,19.9,14.9,17.6
1995,14.4,19.2,17.6,14.7,17.5,14.1,14.2,18,15.1,14.3,18,19,16.3,16,16.6,15.4,15.8
1996,17.4,18.6,18.9,16.2,15.3,17.7,14.7,15.3,16.8,17.2,15.8,16.3,16.7,18.3,16.8,15.9,16.6
1997,18.7,16.1,16.4,18.6,18.6,16.6,15,15.3,18.7,19.3,16.2,14.8,17,17.1,17.9,15.6,18.1
1998,15.3,15.2,13.2,17,17.4,15.1,13.7,14.3,15.4,16.5,14.5,16.8,15.4,15.1,15.9,14.4,15.5
1999,15.1,17.5,14.8,16.8,19.5,16,14.5,13.5,15.9,15.6,16.5,16.6,16,16.5,17,14.7,16
2000,15.2,15.9,16.5,17.2,18.4,17.2,13.2,15.8,16.8,15.4,18,16,16.3,15.9,17.4,15.4,16.7
2001,15.4,15.6,14.9,16.4,19,17.6,12.6,14.8,14.1,17.6,16.2,15.5,15.8,15.6,16.8,15,16
2002,13.6,16,16.3,16.7,19.3,16.7,13.8,15,16.9,14.6,15.1,17.2,15.9,15.1,17.4,15.2,15.5
2003,16.1,14.5,16,16.6,14.6,12.6,14.4,14.7,16.8,15,14.8,13.5,15,15.9,15.8,13.9,15.5
2004,16.2,15.1,17.8,16.4,17.1,17.2,12.5,13.9,14.6,15.8,15.5,17.3,15.8,14.9,17.1,14.5,15.3
2005,15.9,14.5,16.9,18.5,18.7,17.3,13.5,15.7,15.3,14.6,14.1,12.8,15.6,15.9,18,15.5,14.7
2006,15.4,15.6,14.9,14.7,16.3,13.1,8.8,11.5,15.4,17,17.1,15.3,14.6,14.6,15.3,11.1,16.5
2007,16.3,16,15.4,15.5,16.5,14.6,10.3,13.2,13.4,14.2,19,14.3,14.9,15.9,15.8,12.7,15.5
2008,16,16.9,17.8,17.6,18.5,16.5,14.5,14.2,16.2,18.7,14.9,17.2,16.6,15.8,18,15.1,16.6
2009,19,16.5,16.9,15.9,17.4,14.6,13.8,12.3,13.4,14.1,14.2,15.9,15.3,17.6,16.7,13.6,13.9
2010,15.6,12.3,14.1,17.6,19.7,13.4,13.1,13.9,16.6,17,15,13.5,15.2,14.6,17.1,13.5,16.2
2011,13.2,19.7,16.5,16.6,21.6,15.3,14.8,13.6,14.7,17.1,16.6,17,16.4,15.5,18.2,14.6,16.1
2012,17.1,14,17.9,19.2,18.7,14.9,12.2,14.5,16.2,18.7,16.6,12.7,16.1,16,18.6,13.9,17.2
2013,16.1,12.6,12.4,15.5,20.7,16.4,12.6,10.8,13.6,16.2,17.9,18.1,15.2,13.8,16.2,13.3,15.9
2014,21,20.1,17.5,19,17,18.9,15.4,14,15.6,18.9,20.7,14.4,17.7,19.8,17.8,16.1,18.4
