Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,16.7,12.5,10.2,-9999.9,-9999.9,-9999.9,-9999.9,14.6
1967,8.9,9.5,11.8,13.1,12.7,13.4,13.2,13,16.3,12.7,13,8.6,12.2,9.5,12.5,13.2,14
1968,9.9,13.4,12.5,17.6,14.7,13.6,11.5,11.4,12.5,10.7,11.3,9,12.4,10.6,15,12.2,11.5
1969,5.1,8.2,10.3,18.3,15.5,10.3,10.4,8.2,9.2,13.9,13.2,13.7,11.4,7.4,14.7,9.6,12.1
1970,5.8,9.7,12.3,13.5,12.7,12.8,14.2,12.9,10.7,13.4,9.2,7.8,11.3,9.7,12.9,13.3,11.1
1971,8.4,11.6,10,19.5,25.3,17.9,15.1,14.2,15.5,17.5,9.5,9.7,14.5,9.3,18.3,15.7,14.2
1972,6.7,8.9,10.3,12.6,15.5,15.4,11.1,16.2,14.7,13.4,9.9,8.6,12,8.4,12.8,14.2,12.7
1973,6.4,7.7,10.8,18,21.1,17.3,15.5,15,14.9,14.8,11.7,7.7,13.4,7.6,16.6,15.9,13.8
1974,7.1,12.2,9.4,15.7,13.3,15.2,13.1,12.6,15.2,16.9,14.6,8.3,12.8,9,12.8,13.7,15.6
1975,7,13.9,7.7,16.7,14.7,16.3,14.5,11.1,13.5,13,6.8,9.6,12.1,9.7,13,14,11.1
1976,8.2,6.3,8.1,15.2,18.3,8.9,10.4,11.7,17.9,13.2,20.4,12.4,12.6,8,13.9,10.3,17.2
1977,7.3,14.3,11.5,17,14.9,12.8,11.1,11.4,15.7,20,9.6,3,12.4,11.3,14.5,11.8,15.1
1978,5.3,15.8,12.4,14,17,13.7,12.9,11.8,14.1,20.4,9.1,7.9,12.9,8,14.5,12.8,14.5
1979,4.5,6.8,11.2,8.5,16.1,15.5,14,14.7,14.2,17.1,14.3,7.2,12,6.4,11.9,14.7,15.2
1980,11.7,11.3,7.7,19.6,17,11.4,11.3,8.9,11.2,18.4,11.5,1.6,11.8,10.1,14.8,10.5,13.7
1981,15.8,5.7,10.8,13.7,15.6,12.6,13.2,19.4,15.3,11.9,13.8,8.8,13,7.7,13.3,15.1,13.6
1982,4.3,9.2,8,17,13.4,15.9,14.5,12,14.3,16,8.8,8.3,11.8,7.5,12.8,14.1,13
1983,8,7.9,6.9,15.6,15.4,16.5,13,16.4,15.6,16.7,9.8,2.9,12.1,8.1,12.7,15.3,14
1984,9.6,12,11.9,17.5,13.5,15.7,15.2,14.3,13.3,15.1,5.7,9.3,12.8,8.2,14.3,15.1,11.4
1985,15.7,9.9,14.3,15.9,15.1,15.9,9.3,10.3,12.9,10.6,8.8,10,12.4,11.6,15.1,11.8,10.8
1986,9.6,11,7.8,10,11.7,12,10.5,12.8,8.8,10.9,9.1,11.8,10.5,10.2,9.8,11.8,9.6
1987,11.7,10.9,8.3,14.2,13.1,19,11.4,8.5,17,14.6,12.1,9.5,12.5,11.4,11.8,13,14.6
1988,5,11.8,14.4,19.6,14.7,15.1,12.9,16.5,14.3,16.3,9.9,12.6,13.6,8.8,16.2,14.8,13.5
1989,10.3,4,8.4,11.6,14.9,14.9,12.1,13.4,13.9,18.1,8.1,13.5,11.9,9,11.6,13.5,13.4
1990,8.1,10.7,12.7,11.9,12.2,12.2,15,14.8,16.1,13.7,9.2,8.9,12.1,10.7,12.3,14,13
1991,7.4,9.6,11.6,17.5,20.2,12.7,14.2,14.8,17.3,11.1,9.7,11.2,13.1,8.6,16.4,13.9,12.7
1992,9.3,12.2,15.3,13.2,15.5,14.9,13.8,16.2,14.8,12.7,15.6,8.2,13.5,10.9,14.7,15,14.4
1993,-9999.9,8.6,10.6,15.2,13.7,13.2,11.2,13.8,14.2,12.5,12,8,12.1,8.4,13.2,12.8,12.9
1994,7.3,8.5,17.9,16.4,18.1,16,15.9,11.7,16.3,16,14.5,10.4,14.1,7.9,17.5,14.5,15.6
1995,7.1,11.1,14.4,17.5,17.6,18.1,11.9,13.4,18.4,12.6,10.7,5.6,13.2,9.6,16.5,14.5,13.9
1996,3.7,15,11.2,15,13.3,16.6,13.3,13.6,17.2,12.2,5.6,7.4,12,8.1,13.2,14.5,11.7
1997,5.6,10.7,6.2,12.1,10.4,6.9,9,10.4,12.6,12.1,9.9,11.9,9.8,7.9,9.6,8.8,11.5
1998,5.5,8.5,8,15.3,17.6,14.5,17.5,16.5,13.3,11.4,7,6.8,11.8,8.6,13.7,16.2,10.6
1999,7,9.1,13.8,15.1,16.6,13,13.2,13.2,15.5,13.2,8.6,11.1,12.4,7.6,15.2,13.1,12.4
2000,10.8,4.1,12.5,14.4,12.9,12.6,14.3,10.2,12,17,9.9,7.9,11.5,8.6,13.2,12.4,13
2001,17.9,9.4,12.7,14.8,17.4,13.7,12.7,13.2,15.9,14.6,7.5,10,13.3,11.7,15,13.2,12.7
2002,11,9.3,8.6,9.6,11.9,14.6,12.8,13,13.1,15.9,15.2,6.1,11.8,10.1,10,13.5,14.7
2003,5.7,7.7,9.1,10.6,13.4,12.7,12.7,13.8,11.2,13.6,9.2,10.6,10.9,6.5,11.1,13,11.3
2004,6.5,11.4,11.6,14.8,12.7,10.9,11.9,8.3,15.1,13.1,8,9.9,11.2,9.5,13,10.4,12.1
2005,7.4,9.7,14.6,12.2,14.8,11.8,10.9,11.2,14.5,14.6,13.6,11.2,12.2,9,13.9,11.3,14.2
2006,4.5,12.1,10.9,13.8,16.4,15.5,14.3,17,17.1,14.2,8.8,14.2,13.2,9.3,13.7,15.6,13.4
2007,8.8,7.1,10.2,15.2,15.7,12.4,13.3,10.5,11.8,11.7,13.7,7.5,11.5,10,13.7,12.1,12.4
2008,5.5,12.9,12.7,13.9,17.7,14.8,13.6,11.9,15.3,14.9,9.7,6.1,12.4,8.6,14.8,13.4,13.3
2009,11.7,6.8,10.3,9.8,12,11.8,13,13.5,17.6,13.3,13,8.1,11.7,8.2,10.7,12.8,14.6
2010,3.1,10.6,16,17.6,13.3,16.5,14.6,11.6,10.6,16.7,13.5,7.6,12.6,7.3,15.6,14.2,13.6
2011,8.4,11.4,6.5,11.1,14.1,10.9,11.1,15.9,19.2,11.6,9.3,11.1,11.7,9.1,10.6,12.7,13.4
2012,11.1,14.3,5.7,9.5,19.9,14,16.2,12.5,23.5,12,7,7.8,12.8,12.2,11.7,14.2,14.1
2013,7.6,10.2,9.4,13.2,14.7,12.9,12.4,12.5,16.8,15.7,11.3,6.6,11.9,8.5,12.4,12.6,14.6
2014,12.5,8.1,9.6,11.4,12.8,20,14.3,16.7,15.6,12,7.4,7.4,12.3,9,11.2,17,11.7
