Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,19.1,20.7,20.5,18.9,19.4,18.1,18.4,17.8,18.8,20.2,19.2,21.8,19.4,19.9,19.6,18.1,19.4
1954,18.9,25.3,19.6,21.8,21.3,22.2,17.7,16.6,18.8,20.7,20.4,23.4,20.6,22,20.9,18.8,20
1955,18.2,20.3,22.5,21.3,22,20.9,18.1,16.9,18.7,21.4,18.3,16,19.6,20.6,21.9,18.6,19.5
1956,16.3,19,20.9,20.1,20.5,22.7,17.2,15.8,17.5,18.9,17.6,24.4,19.2,17.1,20.5,18.5,18
1957,19.6,20.9,20.7,21.9,21.9,19.8,19.6,16.8,19.6,19.6,21.2,20.8,20.2,21.7,21.5,18.8,20.1
1958,16.6,16.7,16.3,21.4,22.4,20.1,17.8,17.9,21.9,20.3,19.7,20.9,19.3,18,20,18.6,20.6
1959,18.6,18.1,21.9,23.5,23.2,21.5,20.4,18.1,20.3,23.9,21.6,21,21,19.2,22.9,20,21.9
1960,18.2,17.8,18.1,20.6,20.6,20.9,17.2,18.4,18.1,19.6,17.6,15.6,18.6,19,19.8,18.8,18.4
1961,20.2,20.1,16.2,21.1,18.6,19.1,17.3,14.3,20.3,23.3,18.6,20.1,19.1,18.7,18.6,16.9,20.7
1962,23.7,17.6,16.7,20.6,19.2,19.1,16.9,18.8,18.8,18.4,18.2,18.4,18.9,20.5,18.8,18.3,18.5
1963,23.3,15.3,19.4,19.9,22.2,22.9,20.3,19.1,18.9,21.2,21.4,18.4,20.2,19,20.5,20.8,20.5
1964,21.5,27.8,22.4,26,25,20.3,18.8,19.9,21,19,16.4,17.9,21.3,22.6,24.5,19.7,18.8
1965,17.1,24.1,18.5,20.9,23.1,20.8,16,16.3,20.4,19,16.7,15.6,19,19.7,20.8,17.7,18.7
1966,17.8,16.9,19.5,20.6,21.7,18.7,15.8,17.4,17.4,20,17.9,18.9,18.5,16.8,20.6,17.3,18.4
1967,18.1,20.6,19.5,19.6,19.9,17.9,15.9,14.3,17.1,18.6,18.5,20.6,18.4,19.2,19.7,16.1,18.1
1968,17.8,16.2,18.2,22.4,21.4,19.6,17.7,17.2,19.1,19,17.4,17,18.6,18.2,20.7,18.2,18.5
1969,14.8,11.7,17.5,20,17.7,17.2,15.9,17.1,16.6,16.7,19.3,14.8,16.6,14.5,18.4,16.7,17.5
1970,16.2,16.7,18,17.9,19.1,19.7,16.7,16.6,18.4,17.1,15.7,17.6,17.5,15.9,18.3,17.7,17
1971,18.7,18.7,19,20.1,20.8,20,18.2,18.7,19.5,17.8,19.3,20.7,19.3,18.3,20,19,18.9
1972,24.1,18.4,19.2,23.7,20.6,20.1,17.9,15.6,19.2,19.8,17.2,17.1,19.4,21.1,21.2,17.9,18.8
1973,19.4,17.1,18.8,22.7,19.4,20,17.8,19.3,17.8,17.5,14.1,13.7,18.1,17.9,20.3,19.1,16.4
1974,21.6,18.4,18.8,19.7,19.5,21.1,18.3,17.2,17.8,19.5,14.3,19.5,18.8,17.9,19.3,18.9,17.2
1975,18.4,18.5,16.7,17.7,19.2,16.8,15.6,17.1,15.8,17.1,17.4,20.4,17.6,18.8,17.9,16.5,16.8
1976,20.6,19.8,21,19.6,21.7,17,13.6,13.1,12.5,14.6,12.8,19.8,17.2,20.3,20.8,14.6,13.3
1977,16.7,17.2,19.5,19.4,19.4,18.9,18.9,14.8,14.5,17.7,19.5,14.5,17.6,17.9,19.4,17.5,17.2
1978,15.7,14.5,18.1,19.7,21.1,18.5,17.3,17.4,19.5,19.9,21,23.6,18.9,14.9,19.6,17.7,20.1
1979,17.5,18.2,19.5,19.5,18.9,18.9,17.4,16.2,16.9,16.6,16.1,18.5,17.9,19.8,19.3,17.5,16.5
1980,18.7,16.2,16.5,18.4,21.1,17.2,16.9,17.1,19.4,15.7,18.7,21.1,18.1,17.8,18.6,17.1,17.9
1981,15.3,20.6,20.1,21.9,20.7,19.1,18.4,15.6,17,17.2,17.5,17,18.4,19,20.9,17.7,17.2
1982,19.9,20,16.9,19.7,19.2,15.5,16.1,16,16.6,15.4,13.6,16.4,17.1,19,18.6,15.9,15.2
1983,15,15,17.8,18.4,21.4,20.6,18,15.5,20.7,16,17.1,13.6,17.4,15.5,19.2,18,17.9
1984,20.7,16.4,17,18.8,20.5,18.9,18.4,18,19,21.2,13.7,17.5,18.3,16.9,18.7,18.4,18
1985,17.1,19.4,19,21.9,19.3,19.8,18.4,19,21,19.5,15.5,18.5,19,18,20.1,19,18.7
1986,14.8,15.3,16.9,20,18.5,18.4,16.1,13.5,15.3,14.9,17.1,16.2,16.4,16.2,18.5,16,15.8
1987,17.5,14.4,16.6,18.1,18.4,18.8,15.2,17.4,15,17.2,14.7,20.4,17,16.1,17.7,17.2,15.6
1988,17.6,20.7,19.9,19,21.5,18.8,16.4,15.9,15.2,14.7,16.7,15.2,17.6,19.6,20.2,17,15.5
1989,18.7,16.4,12.6,14.3,19.2,17.9,16.1,13.4,15.8,15.8,17.6,17.2,16.3,16.8,15.4,15.8,16.4
1990,17.5,18.1,15.9,18.3,16.3,19.5,15.1,13.4,14.4,18.1,17.3,21.2,17.1,17.6,16.8,16,16.6
1991,18,18,15.3,20.3,16.1,16.2,14.3,12.8,13.5,17.6,15.2,15.8,16.1,19,17.2,14.5,15.4
1992,18,16.2,15.5,19.3,20.7,17.1,13.7,14.7,16.8,15.3,15.5,14.4,16.4,16.7,18.5,15.2,15.8
1993,13,13.5,15.8,14.4,16.4,18.8,16.2,13.5,16.1,15.6,19.1,17,15.8,13.7,15.5,16.2,16.9
1994,16.6,20.1,18,16.7,16.8,18,15.7,15.8,14.9,20.4,19.2,15,17.3,17.9,17.2,16.5,18.2
1995,10.4,18.6,16.7,19,15.7,15.8,14.5,15.6,14.4,17.1,14.8,14.3,15.6,14.7,17.1,15.3,15.4
1996,17.2,15.1,17.6,19.1,17.2,17.3,16.8,15.3,16.6,17,15.2,16.3,16.7,15.5,18,16.5,16.3
1997,18.1,14.7,17.9,18.4,19.2,16.5,15.9,14.6,15.7,18.1,14.7,17.5,16.8,16.4,18.5,15.7,16.2
1998,12.6,12.8,15.5,16.1,17.8,17.9,14.3,15.1,15.5,15.8,14.3,17.7,15.5,14.3,16.5,15.8,15.2
1999,16.7,16.5,15.7,18.1,19.4,15.5,18,14.6,15.3,16.8,14.5,17.5,16.6,17,17.7,16,15.5
2000,13,13.8,16.9,18.3,18,16.1,15.8,15,15.6,15.3,14.3,15.5,15.6,14.8,17.7,15.6,15.1
2001,16,15.9,18.1,20.7,20.8,17.6,16.3,15.7,15.9,17.6,13.8,13.9,16.9,15.8,19.9,16.5,15.8
2002,16.8,17.7,15.7,19.7,20.3,16,17.9,15.4,16.3,15.5,15.7,13.5,16.7,16.1,18.6,16.4,15.8
2003,15.9,15.3,17.1,16.1,18.9,17.7,16.8,15.9,14.8,17,14.8,13.4,16.1,14.9,17.4,16.8,15.5
2004,16.8,13.2,19.6,17.5,17.1,16.8,15.7,14.2,14.9,16.3,17.4,19.3,16.6,14.5,18,15.6,16.2
2005,14.7,15.2,18.8,19.5,18.8,17.9,15.8,16.1,15.2,14.6,16.7,15.6,16.6,16.4,19.1,16.6,15.5
2006,14,16.5,15.9,18.4,16.9,17.4,14.7,15,16.8,16.7,16.9,17.9,16.4,15.4,17.1,15.7,16.8
2007,20.1,14.5,18.6,19.2,18.9,16.4,14.5,14.6,14.7,15.6,16.8,15.1,16.6,17.5,18.9,15.1,15.7
2008,17.1,15.5,16.5,17.5,18.7,16.2,15,16,12.9,15.2,14.7,17.5,16.1,15.9,17.6,15.7,14.3
2009,19.1,13.6,18.5,16.4,17.3,16.8,15.9,14.8,17.6,16.4,18.2,14.7,16.6,16.7,17.4,15.8,17.4
2010,13.3,12.1,16.8,22.6,17.6,16.5,16.2,14.9,14,12.5,14.1,11.1,15.1,13.3,19,15.9,13.5
2011,18.4,16.7,12.2,15.7,17.8,17.5,17,13.4,15,15.6,18.4,19.6,16.5,15.4,15.2,16,16.4
2012,20.1,14.8,18.9,17.3,18,18.2,17.8,15.6,17,18.6,16.5,14.5,17.3,18.2,18,17.2,17.4
2013,17.4,17.1,15.3,18.8,16.3,16,14.8,13.7,16,14.7,14.9,17.3,16,16.3,16.8,14.8,15.2
2014,15.6,14.5,15.2,16,14.7,16.2,15.6,12.1,13.2,13.1,14.1,11.5,14.3,15.8,15.3,14.6,13.5
