Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,17.5,14.5,20.8,17.9,21.5,17.7,19.8,22.2,17.7,22.3,21.9,11,18.7,16,20.1,19.9,20.6
1954,21,21.8,16.4,18.1,18.4,16.2,19.9,15.4,19.4,20.5,18.8,13.3,18.3,17.9,17.6,17.2,19.5
1955,12.7,14.2,16.5,18.6,21.2,21.9,21.5,21.4,21,18.2,18.5,16.3,18.5,13.4,18.7,21.6,19.2
1956,21.1,19,16.1,22.2,19,21.7,16.8,22.9,24.8,22.4,18.8,14.5,19.9,18.8,19.1,20.4,22
1957,21,13.8,17.5,17.6,17.6,20.4,20,21.6,21.6,24.4,17.2,15.5,19,16.4,17.5,20.6,21.1
1958,18,11.4,15.4,15.6,22.5,21,21.1,17.8,15.8,24.8,15.9,16.3,18,15,17.8,19.9,18.8
1959,26.5,20.4,12.3,16,14.8,22.7,18.6,19.5,22.8,21.3,18.2,17.4,19.2,21.1,14.4,20.3,20.8
1960,15.1,16.4,14.7,19.7,21.5,17.9,23.9,21.9,23.6,22.1,19.8,25,20.1,16.3,18.6,21.2,21.8
1961,24.2,26.8,16.2,20.4,20.9,18.7,16.4,24.3,17.8,18.6,17.5,19,20.1,25.3,19.2,19.8,18
1962,23.2,20.7,19.8,19.6,16.2,15.4,18.2,18.1,20.8,21.1,18,21.2,19.4,21,18.5,17.2,20
1963,28.1,24.7,15.9,18.5,16.2,22.5,18.5,19.2,20.3,21.3,13,18.7,19.7,24.6,16.8,20.1,18.2
1964,14.9,18.7,21,18.6,15.9,22.3,15.4,18.9,19.6,21.7,24.2,22.8,19.5,17.5,18.5,18.9,21.8
1965,22,21.1,19.8,16.5,21,17.1,18.3,14.6,19.8,20.9,18.5,12.5,18.5,21.9,19.1,16.7,19.8
1966,19.4,15.7,19.6,17.1,21.7,17.4,17.6,18.9,21,22,20.2,15.7,18.9,15.9,19.5,18,21
1967,16,20.6,24.1,19,23,19.2,19.7,21.9,23.8,24.3,15,19.3,20.5,17.4,22,20.3,21
1968,17.5,21.3,23.2,18.2,19.4,18.5,18.6,17.8,22.9,18.6,21.4,16.5,19.5,19.4,20.2,18.3,21
1969,14,12.2,15.5,17.3,17.6,19.4,16.2,15.6,18.6,22.8,19.5,13.3,16.8,14.2,16.8,17.1,20.3
1970,17.8,19.8,15.5,16.6,15.3,18.3,16.8,19.7,25.6,19.7,18.6,16.4,18.3,17,15.8,18.2,21.3
1971,25.2,13.5,15.3,19.4,17.1,17.4,18.7,22.5,20.4,23.2,18,15.9,18.9,18.4,17.2,19.5,20.5
1972,21,17.7,16.4,15.6,16.9,18.7,17.5,18.8,22.4,21.1,19.4,16.5,18.5,18.2,16.3,18.3,21
1973,18,21,17.6,13.9,20.2,18.3,16.7,20.3,20.7,21.2,14.5,17.4,18.3,18.5,17.2,18.4,18.8
1974,22.8,16.5,19.2,18.2,16.9,19.8,20,19.7,29.7,26.7,16.5,14.6,20,18.9,18.1,19.8,24.3
1975,24.6,21.5,19.1,14.9,19.9,17.5,21.2,17.2,24,23.2,24.1,23.4,20.9,20.2,18,18.6,23.8
1976,21.6,26.1,21,20.5,22.2,18.7,15.5,23.8,23.5,22.1,21.9,22.2,21.6,23.7,21.3,19.3,22.5
1977,27.4,17.1,22.2,22.2,28,22.6,18.7,23.6,19.1,22.6,24.9,24.4,22.7,22.2,24.1,21.6,22.2
1978,28.1,16.6,19.5,17.5,18.1,20.9,18.4,17.3,16.9,18,19.9,13.5,18.7,23,18.3,18.9,18.3
1979,18.8,18.6,24.3,17,19.4,17.1,19.4,20.6,17.1,14.9,18.9,20.1,18.8,16.9,20.2,19,17
1980,20.8,18.1,13.6,18.9,17.4,17.5,17.6,22.1,18.6,14.8,22.3,27,19.1,19.7,16.6,19.1,18.6
1981,19.8,21.3,13.1,13.2,16.8,15.1,17.1,21,21.9,23.5,15.6,14.9,17.8,22.7,14.3,17.8,20.3
1982,20.1,25,21.3,21,17.4,17.1,19.2,19.5,16.5,18.3,20.6,20.4,19.7,20,19.9,18.6,18.5
1983,20.4,17,18.7,17.8,18.1,16,19.1,16.2,19.4,17.9,16.5,25.4,18.5,19.2,18.2,17.1,18
1984,18,15.5,18.3,19.7,14.6,14.7,14.6,21.2,19.7,29.5,21.4,22.9,19.2,19.6,17.5,16.8,23.5
1985,19.5,18.4,17.1,21.1,18.2,18.6,17.8,23.2,21.8,20.4,24.6,23.7,20.4,20.3,18.8,19.9,22.2
1986,20.7,21.8,25.1,21.3,21.5,15.5,17.1,21.6,18.1,20.3,18.9,18.4,20,22.1,22.6,18.1,19.1
1987,19.4,18.5,18,19.6,21.3,19.7,19.3,26.6,20.5,15.5,24.2,13.7,19.7,18.8,19.6,21.9,20.1
1988,22.4,24.2,16.1,17.2,19.2,16.8,15.6,18.8,21.5,20.4,12.3,15.8,18.4,20.1,17.5,17.1,18.1
1989,18.1,27.5,25.9,19,20.5,13.5,19.5,15.8,20.9,19.3,17,19,19.7,20.4,21.8,16.3,19
1990,17.9,16.6,26.8,23,21.4,23.5,15,18.6,22,19.8,14.6,23.2,20.2,17.8,23.7,19,18.8
1991,18.5,23.2,17.3,16.3,15.1,21.1,16.2,19,20.2,24,19.5,19.2,19.1,21.6,16.2,18.8,21.3
1992,21.8,23.3,19.9,19.3,16.8,18.2,17.4,16.3,18.5,23.6,16.5,23.2,19.6,21.4,18.7,17.3,19.5
1993,20.3,21.4,23.1,17.1,22.6,15.8,17.9,20.3,19.8,21.7,19.4,17,19.7,21.6,21,18,20.3
1994,19,20.4,20,21.4,17.4,23,23,22.6,25.4,26.6,22.6,23.5,22.1,18.8,19.6,22.9,24.9
1995,16.1,24.2,24.1,16.7,18.7,17.7,20.8,19.8,21.3,23.9,24.7,15.8,20.3,21.3,19.8,19.4,23.3
1996,23.1,18.8,22.3,20.5,20.8,19.2,18.7,19.2,22.2,22.9,21.8,18.5,20.7,19.3,21.2,19.1,22.3
1997,21.7,23.9,16.5,17.1,17.9,19.3,20.3,20.8,19,26.9,17.3,21.4,20.2,21.4,17.2,20.1,21.1
1998,17.7,18.2,18.8,19.3,21.6,16.4,18,19.1,17.8,25.7,16.6,22,19.3,19.1,19.9,17.8,20.1
1999,20.8,11.5,18.8,22.1,20.8,18.6,20.3,17.3,23.2,22.7,20.7,24.1,20.1,18.1,20.6,18.7,22.2
2000,21.4,22.3,18.2,21,18,13,18.4,19.6,25.2,17.6,19.8,20.7,19.6,22.6,19.1,17,20.9
2001,21,21,20.4,24.4,23.2,20,17,19,21.8,22.6,21.7,16.5,20.7,20.9,22.7,18.6,22
2002,16.6,17,20.1,15.5,19.4,16,17.6,17.7,22.9,18.7,23.4,20.2,18.7,16.7,18.3,17.1,21.6
2003,25.1,24.5,19.4,17,22.7,18.6,17.5,21,18.2,20.5,24.4,18.3,20.6,23.3,19.7,19,21.1
2004,18.4,18.5,21.5,20.9,17.6,23.8,17.8,20.6,23.1,24.4,18.4,16.7,20.2,18.4,20,20.8,22
2005,17.5,13.9,13.1,16.5,15.3,16.6,19.4,18,18,21,17.4,12.6,16.6,16,15,18,18.8
2006,16.4,19,13.8,17.1,18.2,19.2,19.2,16.1,18.8,19.9,17.8,17.5,17.8,16,16.4,18.2,18.9
2007,16.8,17.4,19,16.6,18.2,18.7,16.7,22.5,19.3,22,21,22.7,19.2,17.2,17.9,19.3,20.8
2008,22.5,17.9,17.4,23.3,22.5,21.8,19.7,21.9,22.4,22.5,14,19.2,20.4,21,21.1,21.1,19.6
2009,23.2,16.2,15.8,19.5,18.6,17.7,16.4,17,22.2,21.9,22.5,28.1,19.9,19.5,18,17,22.2
2010,21.8,14.5,18.8,18.4,16.6,19.8,18.4,18.7,17.7,22.7,22.1,21.5,19.2,21.5,17.9,18.9,20.8
2011,18.1,20.7,15.7,20,16.1,22.5,16.5,19.1,20,22.2,21.8,20.9,19.5,20.1,17.3,19.4,21.3
2012,18.9,20.5,18.1,18.4,19.3,16,16.4,16.2,20.8,18.1,21,13.1,18.1,20.1,18.6,16.2,20
2013,18.2,16.1,18.5,22.4,16.3,18.4,20.2,18.6,18.4,23.9,16.8,18.5,18.9,15.8,19.1,19.1,19.7
2014,19.2,24.7,23.1,19.3,18.1,20.9,16.5,16.1,21.2,18.6,24,22.2,20.3,20.8,20.2,17.8,21.3
