Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,24.3,23.8,25.9,30.2,29,26.8,19.9,28.4,26,21,19.4,22.6,24.8,24,28.4,25,22.2
1957,29.6,23.8,25.1,20,26.5,22.6,23.6,21.1,28.7,27.1,24.8,22.4,24.6,25.3,23.9,22.4,26.9
1958,28.1,18.1,25.8,25.6,26.7,26.4,23.1,21.7,21,28.6,31.1,23.6,25,22.9,26,23.7,26.9
1959,26.2,20.1,20.8,23.9,19.8,22.8,26.1,27,30.6,34.1,32.2,26.6,25.9,23.3,21.5,25.3,32.3
1960,34.5,30.5,26.7,23.4,25,22.9,26.6,26.5,29.5,25.8,20.9,24.7,26.4,30.5,25,25.3,25.4
1961,19.9,23.3,24.4,26.5,24,28.3,21.3,25.1,23.7,21.4,18,24.1,23.3,22.6,25,24.9,21
1962,26.7,23.5,21.5,23.1,22.6,26.5,26.7,27.1,30.8,31.7,23.9,33.1,26.4,24.8,22.4,26.8,28.8
1963,25,22.9,24.5,28.2,26.3,32.1,28.4,25.7,23.1,31.7,23.8,23.1,26.2,27,26.3,28.7,26.2
1964,22.4,24.9,24.5,18.3,23.6,28.2,22.5,24.3,23,24.9,26.3,29.8,24.4,23.4,22.2,25,24.7
1965,25.5,27.1,28.6,27,24,30.4,24.5,23,25.9,30.3,25.3,21.1,26.1,27.5,26.6,25.9,27.2
1966,27.7,21.9,24,21.1,30.7,25,24.3,21.7,27.4,24.8,22,21.1,24.3,23.6,25.3,23.7,24.7
1967,19.3,17.7,23,20.2,23.5,23.2,18.4,21.4,23.2,24.5,22.9,25.6,21.9,19.4,22.2,21,23.5
1968,22,21,21.9,23,24.1,25,24.8,26,25.8,29.5,27.2,23.2,24.5,22.9,23,25.3,27.5
1969,21.5,22.3,20.7,29.4,25.1,23.2,21.7,27.3,23.2,25.5,27,29.4,24.7,22.4,25.1,24.1,25.2
1970,23,17.7,27.7,35.2,24,22.3,28.6,24.9,30.9,28.6,24.7,24.5,26,23.4,29,25.3,28.1
1971,25.9,19.1,25.2,25.6,24.4,26.3,21.4,26.3,24.2,27.4,27.8,19.9,24.5,23.2,25.1,24.7,26.5
1972,23.8,22.1,27.3,27.9,23.5,30.9,23.2,24.8,24.6,29.9,28.2,24.1,25.9,21.9,26.2,26.3,27.6
1973,26.6,23.6,22.5,24.2,31.8,30.4,23.6,24.5,23.2,27.9,28.2,28.1,26.2,24.8,26.1,26.2,26.4
1974,32,21.2,19.2,22.7,20.7,25.6,20.9,25.3,28.6,29.4,22.2,22.5,24.2,27.1,20.9,23.9,26.7
1975,27.6,23.5,28.2,20,25.3,22.7,22.4,23,24.7,25.7,20,22.2,23.8,24.6,24.5,22.7,23.5
1976,26.8,25.5,23.4,23.3,33.4,23.8,21.9,26.2,27.5,24.4,28.2,23.4,25.7,24.9,26.7,24,26.7
1977,19.8,29.7,22,20.2,24.8,24.3,18.5,19.5,21.5,24.7,25.7,19.3,22.5,24.3,22.3,20.8,24
1978,22.7,21.7,16.3,18.2,20.8,17.1,20.1,20.1,22,23.3,22.8,18.4,20.3,21.2,18.4,19.1,22.7
1979,21.1,21.6,19.6,24,27.8,24.9,22.2,27.3,26.5,30.7,28.4,29.7,25.3,20.4,23.8,24.8,28.6
1980,29.3,28.3,20.2,30.9,33.9,23.6,24.6,21.1,26,25.9,31.3,27.5,26.9,29.1,28.3,23.1,27.7
1981,27.6,27.8,26.5,25.5,22.3,23.7,24.4,28.1,32.2,31.1,33.5,27.8,27.6,27.7,24.8,25.4,32.3
1982,21.2,27.9,22,25.6,26.3,23.8,24,26.5,28.3,30.8,21,15.2,24.4,25.6,24.6,24.8,26.7
1983,21.3,18.8,17.7,22.7,19.7,24.5,21.5,24.8,25.6,25.7,19.5,26.1,22.3,18.5,20,23.6,23.6
1984,23.2,20,22.6,31.6,20.7,31.4,23.1,25.1,22.2,24.2,19.3,25.8,24.1,23.1,25,26.6,21.9
1985,20.4,26.7,29.8,28.9,25.8,26.5,24,24,26.2,25.9,26.3,22.3,25.6,24.3,28.2,24.9,26.1
1986,24.3,25.3,22.6,23.7,23.9,24.1,22.4,24.3,25.5,29.8,19.6,25.5,24.3,24,23.4,23.6,25
1987,23.2,22.8,22.8,23.8,30.3,30.5,21.4,24.3,27.4,26.1,26.5,25.5,25.4,23.8,25.6,25.4,26.7
1988,24.1,29.1,23.9,26.2,29.3,27.2,26.9,28,25.8,28,20.3,27.8,26.4,26.2,26.5,27.4,24.7
1989,26.5,29.8,25.4,21.6,26.4,23.4,22.6,22.8,26.3,23.9,16.9,20.5,23.8,28,24.4,22.9,22.4
1990,24.2,24,29,30.2,25.6,27.8,19.7,25.4,26.6,29.7,21,30.3,26.1,22.9,28.3,24.3,25.8
1991,30.8,26.7,24.4,24.3,34,25.7,21.4,23,27.4,26,26.5,22,26,29.3,27.6,23.4,26.6
1992,23.9,24.7,24.1,24.4,22.1,23,22.1,24.6,25.4,25.3,28.2,29.2,24.7,23.5,23.5,23.2,26.3
1993,30.3,37.2,24.8,28.2,31,24.6,23.5,23.9,28.7,27.2,23.5,17.8,26.7,32.3,28,24,26.5
1994,16.5,14.5,27.6,21.2,27.8,22.3,21.4,-9999.9,26.9,26.9,29.6,19.1,23.1,16.3,25.6,21.9,27.8
1995,22.2,18.7,15.3,28.8,38.4,31.3,30,25.3,32,30.5,19.6,13.9,25.5,20,27.5,28.9,27.3
1996,13.2,21.6,26.8,28.1,22.1,25.7,21.2,25.4,22.8,15.3,-9999.9,17.4,21.8,16.2,25.6,24.1,19
1997,19.1,14.7,15,22.2,24.4,28.5,19.4,22.9,26.4,26.7,22.9,21.5,22,17.1,20.5,23.6,25.3
1998,27.5,32.1,26.2,25.3,35.6,28.1,21.1,23.6,24.8,29.4,22.5,24.1,26.7,27.1,29,24.3,25.6
1999,22.3,25.4,-9999.9,24.5,26.5,20.6,24.4,24.8,27.6,25,21.9,31.6,25,23.9,25.5,23.3,24.8
2000,28.9,28.2,23.7,27.3,21.8,22.4,18.4,15.7,20.3,26.4,20.9,19.9,22.8,29.6,24.3,18.8,22.5
2001,27.7,27.1,22.9,24.7,21.9,20.2,17.1,23.9,20,25.9,24.4,25.2,23.4,24.9,23.1,20.4,23.4
2002,20.2,22.3,21.9,23.2,18.3,19.4,19.6,17.8,19.9,30,27.5,28.4,22.4,22.6,21.1,18.9,25.8
2003,21,19.6,25.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,29.1,24.9,22.2,28,-9999.9,23,-9999.9,-9999.9,25.4
2004,26.1,27.8,28.7,25.7,19.2,22.8,16.5,16.4,21.3,22.7,22.8,21,22.6,27.3,24.5,18.6,22.3
2005,32.3,32,24.7,27.1,28.1,20.3,19.7,21.1,25.3,26.4,29.8,27.8,26.2,28.4,26.6,20.4,27.2
2006,23.1,31.3,19.7,25.1,23.8,20.9,19.3,17.6,-9999.9,24,25.6,31.8,23.8,27.4,22.9,19.3,24.8
2007,27.7,17.4,22.4,25.6,24.2,21.8,18.3,14.4,25.6,29.4,35.3,26,24,25.6,24.1,18.2,30.1
2008,28.4,31,26.4,31.4,30.2,27.7,27.5,-9999.9,-9999.9,-9999.9,-9999.9,21.6,28,28.5,29.3,27.6,-9999.9
2009,26.7,23.6,22.4,24,21.5,26.7,20.2,21.3,24,28,27.6,26.7,24.4,24,22.6,22.7,26.6
2010,27.1,23.4,28.4,25.5,29.8,24.2,23.8,23.7,17.7,23.1,24.3,20.6,24.3,25.7,27.9,23.9,21.7
2011,26,26.7,21.8,22.7,32,20.5,18.3,20.9,24,28.1,20.7,27.1,24.1,24.4,25.5,19.9,24.3
2012,-9999.9,24.4,22.7,22.8,29,30,22.5,18.1,24.6,20.8,25.8,18.6,23.6,25.8,24.8,23.5,23.7
2013,20.5,30.2,19.8,27.2,20.2,17.2,22.7,20.5,28.5,25.6,27.5,24.4,23.7,23.1,22.4,20.1,27.2
2014,23.8,25,24.1,22.6,23.1,31.7,20.1,19.2,32.7,28.2,24.6,27.2,25.2,24.4,23.3,23.7,28.5
