Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,9,13.5,10.4,5.3,6.3,8.5,4.2,4.6,11,16.8,11.9,15.4,9.7,11.3,7.3,5.8,13.2
1954,17.6,14.1,18.4,14.1,13.2,5.8,4.5,9.6,9.1,13.6,14.5,6.9,11.8,15.7,15.2,6.6,12.4
1955,20.2,17.2,17.5,15.6,14.9,10.3,8.1,8.1,12.9,14,15.7,15.9,14.2,14.8,16,8.8,14.2
1956,8.6,17.4,16.9,9.9,12.5,8.8,8.1,7.3,11.1,13.5,18.5,18,12.5,14,13.1,8,14.4
1957,24.3,22.3,18,20.4,13.2,8,6.7,9,15.4,13.2,16.4,19.8,15.5,21.5,17.2,7.9,15
1958,20.7,18.6,21.7,17.2,8.7,12.8,12.6,14.2,18,13.3,20.3,22.8,16.7,19.7,15.8,13.2,17.2
1959,19.4,25.2,27.2,15.5,13.2,12.3,9,6.5,12.3,11.4,17.4,19.4,15.7,22.5,18.7,9.3,13.7
1960,17,20,22.1,14.9,10.3,8.3,6.3,8.7,11.3,12.4,16.9,19.2,13.9,18.8,15.7,7.8,13.5
1961,26.5,18.1,17.6,9.5,11.2,8.1,6.4,9.9,9.5,16,11.1,15.7,13.3,21.2,12.8,8.1,12.2
1962,24.1,23.6,16.8,13.6,13.8,11.8,7.9,11.4,10.4,13.2,13.5,14.7,14.6,21.2,14.7,10.4,12.4
1963,15.1,24,18.1,16,12.9,12.3,8.6,10.4,14,13.7,18.5,23.6,15.6,17.9,15.7,10.4,15.4
1964,20.5,20.8,22.8,19.1,13.9,9.9,10.6,8.5,12.1,11.6,12.8,16.1,14.9,21.6,18.6,9.6,12.2
1965,23.1,18.6,23.3,15.7,11.1,11,8.1,8.8,11.2,13.1,11.8,17.1,14.4,19.3,16.7,9.3,12
1966,26.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,21.8,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1969,-9999.9,20,14.1,-9999.9,9.9,9.4,9.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.6,12,9.4,-9999.9
1970,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1971,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1972,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1973,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1974,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1975,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1976,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1977,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1978,24,28.6,-9999.9,17.8,19.5,17.8,13.4,15.2,20.5,17.9,20.2,25.5,20,26.3,18.6,15.4,19.5
1979,-9999.9,24.7,22,17.5,16.1,14.2,14.6,15.5,20.3,20.3,19.3,-9999.9,18.5,25.1,18.5,14.8,20
1980,24.5,26,-9999.9,-9999.9,15,16.6,13.1,13.6,16.6,17.2,20.5,22.7,18.6,25.2,-9999.9,14.4,18.1
1981,20.3,-9999.9,22.7,21.3,14.8,14.4,16.8,16.6,20.7,16.7,20,20.2,18.6,21.5,19.6,15.9,19.2
