Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,14.3,14.2,13.3,11.9,15.9,11.3,8.2,10.9,17.3,17.1,17.4,20.1,14.3,14.3,13.7,10.1,17.2
1954,20.5,17.1,22.6,19.7,15,14.7,9.4,13.1,15.2,23.4,18.8,16.5,17.2,19.2,19.1,12.4,19.1
1955,19.1,17.5,21.6,14.3,7.1,9,11.8,10.3,19.3,13.9,15.7,11.8,14.3,17.7,14.3,10.4,16.3
1956,12.3,14.1,14.6,12.1,11.9,8.9,5.3,8.2,10.8,12.1,16.8,14.5,11.8,12.7,12.8,7.5,13.2
1957,16,12.8,13.8,15.3,15,11.3,9.2,10.5,9.9,14.5,12.5,15.4,13,14.4,14.7,10.3,12.3
1958,8.1,8.7,8.7,12.7,13.5,12.5,11,10.1,17,20.2,23.8,14.7,13.4,10.7,11.6,11.2,20.3
1959,14,14.1,13.3,13.5,12.3,13.8,10.8,11.9,18.6,19.4,18.9,16.6,14.8,14.2,13,12.2,19
1960,17.3,12,20.9,20.4,11.3,15,11,13.6,18,14.3,17.2,22.6,16.1,15.3,17.5,13.2,16.5
1961,17,13.7,14.3,16.5,15.7,16.5,13.5,13,18.1,16.8,16.6,19.8,15.9,17.8,15.5,14.3,17.1
1962,19.8,17.3,28,23.3,13.9,16.2,10.8,9.8,9.2,14.6,16.2,17,16.3,19,21.8,12.3,13.3
1963,15.7,18,17.3,16.1,10.4,10.3,7.2,9.4,11.8,17.3,18.7,20.5,14.4,16.9,14.6,9,16
1964,15.1,18.9,18,20.5,11.8,10,12,9.4,16.4,14.4,23.7,15.3,15.5,18.1,16.7,10.5,18.2
1965,17.8,15.1,25.3,18.3,11.9,12.1,9.1,11.5,14.5,16.1,20.9,16.8,15.8,16.1,18.5,10.9,17.2
1966,17.1,20.4,15.1,19.5,12.3,13.6,12.5,9.2,11.4,17.6,15.3,18.6,15.2,18.1,15.6,11.8,14.7
1967,13,19.4,15.4,19.4,9.6,15.9,11.1,11.9,16,16.3,17.3,18.4,15.3,17,14.8,13,16.5
1968,21.9,15.6,15.8,14.3,19.1,14.6,11.6,11.8,10.2,15.2,27.4,22.5,16.7,18.6,16.4,12.7,17.6
1969,19.9,13.3,20,18.4,18.5,14.9,12.1,10.9,15.7,19.7,14.6,19.8,16.5,18.6,19,12.7,16.7
1970,16.7,22.2,20.1,21.8,16.1,17.3,11.5,11,16.8,16.5,16.6,22.5,17.4,19.6,19.3,13.3,16.6
1971,14.4,11.9,19.2,12.7,9.4,9.3,6.3,8.2,11.9,19.4,21.1,20.2,13.7,16.3,13.7,7.9,17.5
1972,19.4,19.1,19,16.5,13.9,12.6,10.6,11.1,18.1,19.2,16.5,24.8,16.7,19.6,16.5,11.4,17.9
1973,18.3,19.9,20.4,14.2,9.2,12.5,12.5,12.4,15.3,20.4,17,19.6,16,21,14.6,12.5,17.6
1974,20.6,21.6,24.8,19.4,19.3,14.1,12.2,13.7,14.9,18,22.8,19.3,18.4,20.6,21.2,13.3,18.6
1975,15.1,15.3,19.8,19.3,18.1,13.3,12.5,12.2,11.1,22.8,23,23.1,17.1,16.6,19.1,12.6,18.9
1976,21.5,19.5,22,19.3,15.7,15.3,12.3,16.3,15.3,19.6,18.6,22.4,18.2,21.4,19,14.6,17.8
1977,20.7,21.1,16.8,20.2,17.2,16.8,13.5,12,19.5,17.2,19.5,20.8,18,21.4,18.1,14.1,18.7
1978,18.7,20.4,20.1,19.3,15.2,15.1,10.7,15.8,18.7,20,20.9,18.4,17.8,19.9,18.2,13.9,19.9
1979,14.2,17.4,19.5,18.8,13.3,15,11.1,11.5,17.8,17.2,20.7,18.8,16.3,16.6,17.2,12.6,18.6
1980,20.2,21.5,16.7,18.9,15.3,16.9,12.2,10.9,17.5,17.8,22.5,22.1,17.7,20.2,17,13.3,19.3
1981,21,18.9,18.3,19.7,14.1,16.1,15.5,10.5,15.5,19.7,21.3,22.2,17.7,20.6,17.4,14,18.8
1982,21.1,21,19.3,17.5,15,10.8,13.3,11.4,12.6,18.9,19.1,19.2,16.6,21.4,17.3,11.8,16.9
1983,17.7,13.3,20.8,12.5,12.8,12,13.9,13.4,13.1,18.8,20.9,24.6,16.2,16.7,15.3,13.1,17.6
1984,16.8,23,16.9,13.3,14.3,14.9,12.4,11.1,16.3,17.3,21.9,22.3,16.7,21.5,14.8,12.8,18.5
1985,22.6,18.1,22.1,18.9,14.5,11.8,11.6,10.6,12.5,18.6,19.9,20.5,16.8,21,18.5,11.3,17
1986,19,19.8,19,13.3,13.2,15.1,11.5,9.9,12.9,18.3,19,16.3,15.6,19.8,15.2,12.2,16.7
1987,15.6,19.4,20,13.2,16.8,13.8,10.9,9.4,12,16.5,21.4,25.8,16.2,17.1,16.7,11.4,16.6
1988,15.5,15.6,16.2,15.3,10,15.1,9.1,9.3,13.5,12.9,21.9,18.5,14.4,19,13.8,11.1,16.1
1989,18.3,16.2,17.4,14.2,10.6,11.6,9.6,10.2,14.9,14.1,18.1,21.1,14.7,17.7,14.1,10.5,15.7
1990,15.1,17.9,15.6,15.5,13.5,11.7,10.6,9.4,16.1,17.6,26.9,21.9,16,18,14.8,10.6,20.2
1991,20.5,19.6,18.2,17,15.4,16.6,12.6,13.1,17.3,17.2,19.4,22.4,17.4,20.7,16.9,14.1,17.9
1992,21.5,20.6,20.2,20.8,17,14.5,13,12.3,14.5,17.1,23,22.5,18.1,21.5,19.3,13.3,18.2
1993,20.3,16.3,19.8,16.7,14.7,17,13.7,13.9,16,19.5,23.1,18.5,17.5,19.7,17.1,14.9,19.5
1994,20.7,17.4,15.8,19.7,13.5,14.6,14,14.1,16.3,19.5,25.1,22.1,17.7,18.8,16.4,14.2,20.3
1995,14.3,18.3,20.5,15.3,10.9,20.6,10.6,12.8,17.3,15.3,18.9,25,16.6,18.2,15.6,14.7,17.2
1996,20.6,15.9,17,13.7,16.2,15.6,13.6,13,18.4,15.8,22.1,21.8,17,20.5,15.7,14.1,18.8
1997,21.3,19,21.3,25.3,16,16,12.5,10.9,14.1,18.8,18.4,21.5,17.9,20.7,20.9,13.1,17.1
1998,20,17.6,15,17.2,12.2,16.2,11.8,11.4,12.8,16.7,20.7,24.6,16.3,19.7,14.8,13.1,16.7
1999,20.2,15.6,16.8,20.9,13.1,15.2,15.1,14.3,15.5,21.4,20.9,19.3,17.4,20.2,16.9,14.9,19.3
2000,19.7,22.1,19.5,18.2,18,13,12.2,8.9,16.4,18.3,15.8,21.3,16.9,20.4,18.6,11.4,16.8
2001,13.3,19.2,21.6,18.5,12.8,15.6,11.1,12.6,14.7,17.8,21.3,18.1,16.4,17.9,17.6,13.1,17.9
2002,18.1,20,20.8,19.3,16,15.1,12.3,11.8,15.4,21.2,18.3,20.9,17.4,18.7,18.7,13.1,18.3
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,26.2,24.9,19.5,13.9,17.8,16.5,12.6,9.4,17.2,15.3,20,21.6,17.9,25.5,17.1,12.8,17.5
2005,17.4,18.6,21.1,17.4,14.2,15.1,15.1,15.4,19.7,17.7,22.6,23.2,18.1,19.2,17.5,15.2,20
2006,25.8,18.2,20.6,19.5,15.2,12.8,13,12.6,14.7,18.8,20,25.4,18.1,22.4,18.4,12.8,17.9
2007,20.2,24.1,23.8,18,20.2,12.3,11.7,13.3,19.9,21.6,24.1,22.5,19.3,23.2,20.7,12.4,21.9
2008,20.2,20.7,21.6,18.5,11.6,13.5,12,12,19.4,19.4,19.6,22.3,17.6,21.1,17.2,12.5,19.5
2009,20.8,22.1,21.2,21.3,16.7,12.2,12.2,13.1,17.8,20,20,22.7,18.3,21.7,19.8,12.5,19.3
2010,27.7,21.1,14.9,14.2,19.6,16.1,11.2,12.9,16.6,18.9,22.1,20.1,18,23.8,16.2,13.4,19.2
2011,24.8,25.4,25.2,21,14.2,14.8,12.8,11.4,17.2,17.8,19.8,22.3,18.9,23.5,20.1,13,18.3
2012,17.8,19.1,23.3,15.4,15,14,11.9,10.2,14.5,15.8,20.7,23.3,16.8,19.8,17.9,12.1,17
2013,21.5,21.2,21.7,20,16.1,14,11.5,12.5,14.1,14.8,22.1,20.8,17.5,22,19.3,12.7,17
2014,20.2,17.8,17.5,15.9,16,13.1,9.7,10.9,16.4,14.8,23.2,18.5,16.2,19.6,16.5,11.2,18.1
