Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,17.5,25,22.3,16.2,15.1,14.6,15.5,13,16.9,16.8,14.8,20.7,17.4,21.3,17.9,14.4,16.2
1954,20.7,18.3,18.9,16.4,13.4,10.7,9.7,12.5,14.3,16.8,15.3,16.8,15.3,19.9,16.2,11,15.5
1955,19.8,14.4,18.2,13.8,13.6,12.9,11.3,10.6,14.1,15.8,18.2,16.1,14.9,17,15.2,11.6,16.1
1956,18.6,16.4,16.1,14.8,17.2,13.8,10.5,11.8,11.3,14.2,15.1,13.6,14.4,17,16,12,13.5
1957,17.2,16.3,17,14.3,13.9,11.8,11.3,9.5,10.9,10.6,11.9,14.2,13.2,15.7,15.1,10.9,11.1
1958,15.8,14.9,16.7,16.9,14.5,13,10.9,13.6,15.1,17,19.9,19.5,15.7,15,16.1,12.5,17.3
1959,16.5,17.8,21.2,14.7,15.2,14.7,12,11.7,15.4,16.2,17.5,17.3,15.8,17.9,17,12.8,16.4
1960,20.1,15.5,20.5,16.6,10.6,13.4,12,11.6,13.8,14.1,14.9,17.8,15.1,17.6,15.9,12.4,14.2
1961,19.3,16,21.2,17.4,18.2,12.5,10.6,11.4,10.3,14.6,13.8,19.4,15.4,17.7,19,11.5,12.9
1962,19.7,17.2,19.4,15.8,13.3,13.1,13.1,14.6,13.4,17.1,18.1,17.7,16.1,18.8,16.2,13.6,16.2
1963,18.7,21.3,16.9,18.7,11.8,13.6,10.9,10.7,13.2,14.7,19.2,17.8,15.6,19.2,15.8,11.7,15.7
1964,18.8,16.4,19,15.6,15.8,15.5,11.8,13.2,13.3,13,16.8,17.6,15.6,17.7,16.8,13.5,14.4
1965,19.1,18.3,19.6,17.5,17.2,15.5,12.3,14.1,12.7,15.7,16.3,14.1,16,18.3,18.1,14,14.9
1966,21.5,18,15.6,14.9,15.5,14.8,12.9,13,15.8,16.5,13.2,19.1,15.9,17.9,15.3,13.6,15.1
1967,15,20.2,17.4,17.6,17.2,12.5,10.6,12.2,14.7,14.5,16.2,17.1,15.4,18.1,17.4,11.8,15.1
1968,21.5,15.9,15.8,18.9,14.2,15,11.9,12.7,8.7,16.4,19.4,20.4,15.9,18.2,16.3,13.2,14.9
1969,15.7,14.1,15.5,14.4,16.7,12.2,12,11.1,12,14.6,13.7,16.5,14.1,16.7,15.6,11.8,13.5
1970,14.6,15.3,16.4,15.7,13.4,14.5,13.4,10.2,11.6,13.3,12.6,17.3,14,15.5,15.2,12.7,12.5
1971,15.9,14.8,15.6,14,11.7,11.4,10.8,13.5,13.4,14.8,18.4,16,14.2,16,13.8,11.9,15.5
1972,16.4,18.4,17.3,12.9,14.7,13.3,11.3,13,15.3,17.1,17.8,18.3,15.5,16.9,15,12.5,16.7
1973,19.1,20,15.6,16.4,15.9,15.6,15,11.6,13.6,16.2,16.9,17.9,16.1,19.1,16,14.1,15.6
