Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,21.5,22.2,23.1,19.2,18,15.9,19.1,19.5,25,24.3,20.5,22.2,20.9,21.9,20.1,18.2,23.3
1954,20.6,23.4,24,27.1,19.7,18,17.2,16,16.2,17.9,21.6,25.3,20.6,22.1,23.6,17.1,18.5
1955,23,23,25.1,24.4,22.7,18.2,19.5,18.7,25.5,24.7,27.1,24.8,23,23.7,24.1,18.8,25.7
1956,18.8,25.2,21.9,25.3,27.3,20.4,19.2,24,27.5,26.1,28.4,24.1,24,22.9,24.8,21.2,27.3
1957,28.1,26.6,21.3,21.8,19.1,18.7,19,20.4,26.1,26.6,25.9,23.2,23.1,26.3,20.7,19.4,26.2
1958,21.9,21.3,18.1,20.3,26,18.7,18.2,21.6,25.3,23.7,23.8,23.5,21.8,22.1,21.4,19.5,24.3
1959,27.2,27.8,22,20.7,23.3,23.4,22,23.3,29.8,23.8,23,19.9,23.9,26.2,22,22.9,25.5
1960,21.6,19.2,23,24.5,21.5,21.6,20.9,20.2,25.7,26.5,29.9,31.1,23.8,20.3,23,20.9,27.4
1961,21.6,23.5,23.5,27.3,24.4,19.3,18.5,19.5,25.3,24.6,24.6,21.8,22.8,25.4,25.1,19.1,24.8
1962,23.8,18.9,17.3,19.8,15.8,13.1,13.4,17.8,18.5,19,19.6,20,18.1,21.5,17.6,14.7,19
1963,24.1,21.3,19.4,23.2,22.8,22.6,20.1,17.5,20.4,23.7,29.1,24.1,22.4,21.8,21.8,20.1,24.4
1964,21.1,21.7,21.9,23.6,22.1,18.5,14.6,17.8,23.7,22.5,23.2,22.5,21.1,22.3,22.5,17,23.1
1965,31.3,27.7,20.5,22.8,24.2,24.1,22.6,17.9,22.3,29,24.3,17.4,23.7,27.2,22.5,21.5,25.2
1966,19.5,22.6,22.3,23.4,18.6,18.7,16.6,19.3,24.6,23.2,24.5,19.3,21,19.8,21.4,18.2,24.1
1967,20.7,23.9,26.6,22.2,23.1,24,22.4,20.8,25.4,25,31,26.6,24.3,21.3,24,22.4,27.1
1968,22.5,24.8,23.6,21.8,19.8,18.3,14.9,16.8,17.7,17.6,18.4,19.5,19.6,24.6,21.7,16.7,17.9
1969,20.8,17.7,23.4,20.6,25,20.1,17.8,20.4,18.9,29.7,29.8,17.6,21.8,19.3,23,19.4,26.1
1970,24.1,30.2,20.7,16.5,18.4,20.4,19.4,24.1,27,26.6,25.6,14.4,22.3,24,18.6,21.3,26.4
1971,23.9,20.3,13.6,16.5,18.1,18.9,18.8,20.1,23.6,22.3,22.7,24.5,20.3,19.5,16.1,19.3,22.8
