Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16.7,11.9,22.6,22.8,25.2,22.5,21.1,20.6,20.3,25.9,22,18,20.8,14.3,23.5,21.4,22.7
1954,17,20.5,20.7,22.7,21.3,17.3,14.8,21.2,18.9,19.1,21.4,24.1,19.9,18.5,21.5,17.8,19.8
1955,17,21.9,19.7,16.3,21.4,23.1,19.9,23.1,25.9,25.3,22.1,22.6,21.5,21,19.1,22,24.4
1956,19.4,26.2,15.1,24.6,20.6,21.8,18.4,19.6,29.3,24.3,23.3,19.5,21.8,22.8,20.1,20,25.6
1957,14.8,20.4,19.3,19,20.7,19.1,15.6,24.1,17.6,24.3,22,26,20.2,18.2,19.6,19.6,21.3
1958,24.7,23.4,15.8,20.8,24.2,21.2,22.5,21.5,18.6,17.5,19.4,25.1,21.2,24.7,20.3,21.7,18.5
1959,23.4,20,16.9,21.3,22.3,18.5,23.1,21,20.3,21.7,24.5,20.9,21.1,22.8,20.2,20.9,22.2
1960,20.3,25.4,13.7,19.3,20.9,21.8,21.6,21,28.6,21,23.5,26.2,21.9,22.2,17.9,21.5,24.4
1961,20.6,15.9,16.8,18.7,19.9,20.8,16.2,23.7,25,27.3,25.1,25.2,21.3,20.9,18.4,20.2,25.8
1962,23,18.4,17,19.1,21.1,18.8,14.9,24.1,18.6,22,24.4,27.9,20.8,22.2,19.1,19.3,21.7
1963,21.9,20.1,16.7,21.8,19.8,17.4,14.9,20.3,23.4,27.5,25.5,25,21.2,23.3,19.4,17.5,25.5
1964,21.7,26,14.9,18.7,19.8,20.3,18.2,21.9,22.5,23.1,22.6,19,20.7,24.2,17.8,20.2,22.7
1965,24.6,22.8,17.8,17.8,23.5,19.8,22.1,17.9,20.3,21.2,26,16.2,20.8,22.2,19.7,19.9,22.5
1966,17.6,17,20.8,18.2,20.4,22.8,15.1,17.4,19.9,23,25.3,24.4,20.2,17,19.8,18.4,22.7
1967,13.9,16.6,21.6,22.3,26,18.9,18.8,20.6,24,24.2,27.6,19.7,21.2,18.3,23.3,19.5,25.3
1968,20.5,27.9,18.9,20.6,19.9,15,22.2,19.6,18.4,20.1,20.1,18.8,20.2,22.7,19.8,18.9,19.5
1969,20.1,18.6,20.5,15.7,27,23.9,16.7,16.7,22,21,28.5,13.2,20.3,19.2,21.1,19.1,23.8
1970,22.4,21.2,26.6,16.1,20.9,23.3,19.6,17.1,20.4,21,27.2,22.4,21.5,18.9,21.2,20,22.9
1971,22.4,18.1,12.2,21.5,17.6,18.5,16.1,18.6,21.5,19.5,18.8,18.5,18.6,21,17.1,17.7,20
1972,19.9,22.5,15.1,18.5,14,15.8,18.1,15.5,18.7,15,14.1,12.3,16.6,20.3,15.8,16.5,15.9
1973,15.7,19.4,17.7,20.9,20.1,20.2,19.8,16.5,21.2,24.5,25.8,17.6,19.9,15.8,19.5,18.8,23.8
1974,12.1,23,22.1,20.1,14.6,18.5,14.1,17.5,15,20.3,19.8,11.5,17.4,17.5,18.9,16.7,18.4
1975,15.5,17.3,14.2,8.6,16.4,17,18,21.2,21.2,23.3,24.7,24.1,18.5,14.8,13.1,18.7,23.1
1976,22.1,18.8,18.4,20.5,22.6,20.3,21,19.6,21.9,19.6,27.3,22.4,21.2,21.7,20.5,20.3,22.9
1977,26,16.2,20.5,19.5,25,15.8,13,19.9,15.3,19.2,21.3,16.5,19,21.5,21.7,16.2,18.6
1978,17.6,12.2,17.3,20,17.6,18.8,14,13.1,15.1,23.8,19.2,15.6,17,15.4,18.3,15.3,19.4
1979,20.5,14.2,14.5,20.4,17.6,16.8,16.1,24.9,26.3,-9999.9,-9999.9,21.1,19.2,16.8,17.5,19.3,-9999.9
1980,21.9,16.7,17.9,19.7,19.2,18.2,18.8,24.2,22.3,22.4,23.2,21.9,20.5,19.9,18.9,20.4,22.6
1981,21.1,23.5,18.1,13.7,19.4,22.3,17.4,19,22.9,18.6,19.2,21.9,19.8,22.2,17.1,19.5,20.2
1982,25.8,24.7,22,22,18.1,23.1,21.9,19.5,18.1,26.3,28.9,21.7,22.7,24.1,20.7,21.5,24.4
1983,21.7,20.2,15.4,17.6,16.6,17.6,17.4,14.6,19.1,15.2,15.9,16.5,17.3,21.2,16.6,16.6,16.7
1984,23.8,14.3,17.7,24.6,18.6,15.4,13.9,18.7,19.1,18.6,17.5,14.4,18.1,18.2,20.3,16,18.4
1985,16.9,13.6,14.8,16.6,12.5,13,15.9,16.4,22.2,25.6,22.6,25,17.9,15,14.7,15.1,23.5
1986,17.4,23.6,23.3,18.5,18,21,15.6,23.7,19.4,21,19.5,17.6,19.9,22,19.9,20.1,20
1987,17.1,17.9,16.1,19.5,19.8,19.6,17.3,19.5,19.1,21,22.9,16.5,18.9,17.5,18.5,18.8,21
1988,17.8,20,22.7,20.5,16.5,14.7,16.5,17.6,17.8,23,21.2,22.4,19.2,18.1,19.9,16.3,20.7
1989,19.1,19,17.6,16.3,21,17.9,16.5,18.5,17.9,18.4,24.5,17.3,18.7,20.2,18.3,17.6,20.3
1990,14.3,15.5,19,21.1,14.6,18.3,20.8,19.2,21.9,23.9,27.2,19.6,19.6,15.7,18.3,19.4,24.3
1991,12.5,25.8,19,14.3,14.4,13.7,16.7,18.2,21.8,19.2,21.3,19.4,18,19.3,15.9,16.2,20.8
1992,21.4,17,13.6,16.6,17.7,16.5,11.7,12.8,23.5,17.7,18,17.1,17,19.3,16,13.7,19.7
