Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16.1,18.6,19.6,17,17.1,16.3,15.5,13.1,16.1,16.3,17.6,18.7,16.8,17.4,17.9,15,16.6
1954,17.5,19.6,17.1,20,18.6,16.8,15.1,13.3,14.2,16.4,15.5,16.6,16.7,18.6,18.6,15.1,15.4
1955,15.7,16.5,17.9,16.6,19.6,16.1,14.7,15,16.2,16.5,16.8,17.4,16.6,16.3,18,15.3,16.5
1956,13.9,17.7,18.2,15.9,17.4,18.9,15.7,13.6,15.5,17.3,18.7,17.5,16.7,16.3,17.2,16.1,17.2
1957,17.7,18.8,15.8,16.1,17.2,14.7,16,13.2,17.2,16.7,15.3,17.7,16.4,18,16.4,14.6,16.4
1958,15.3,13.9,15,15.4,17.9,15.5,15.2,15.3,17.9,17.4,15.2,16.8,15.9,15.6,16.1,15.3,16.8
1959,18.2,16.5,16.8,19,17.6,16.7,16.5,14.7,19.1,16.5,18.3,16.5,17.2,17.2,17.8,16,18
1960,15.1,15,16.8,16.5,17.2,18.3,14.7,14.6,15.3,16.2,17,15.7,16,15.5,16.8,15.8,16.2
1961,17.1,15.7,15.8,16.3,15.8,18.1,16.1,15,19.1,18.1,19.2,17.7,17,16.2,16,16.4,18.8
1962,19.7,12.3,13.4,18.5,16,17.4,15.5,15,16.2,16.6,17.2,16.2,16.2,16.6,16,16,16.7
1963,19.1,14.7,17.3,16.8,17.5,16.9,15.4,13.7,14.2,16.6,16.5,16.2,16.2,16.7,17.2,15.3,15.8
1964,16.2,21,16.9,19.4,17.9,15.9,17.4,18,19.8,16.6,15.6,16.3,17.6,17.8,18.1,17.1,17.3
1965,15.8,19.4,16.9,17.6,17.8,16.5,13.2,16,15,15.9,13.3,13.8,15.9,17.2,17.4,15.2,14.8
1966,16.7,13.7,15.6,18.1,17.1,14.4,13.8,14.6,14.8,16.3,16.3,14.9,15.5,14.7,16.9,14.3,15.8
1967,17,17.2,16,16.4,15.8,13.8,14.5,14.1,19,18.8,19.6,19.7,16.8,16.4,16.1,14.1,19.1
1968,18.6,15.7,15.9,17.1,19.4,15.5,13,12.9,15.6,15.5,13.8,15.4,15.7,18,17.5,13.8,14.9
1969,12.4,13.1,12.3,15.7,13.9,13.7,12.6,15.2,15.7,13.9,14.8,15,14,13.7,14,13.8,14.8
1970,15.1,15.7,15.5,13.6,17.3,16.3,15.6,15.3,15.4,17.1,14.4,16.6,15.7,15.2,15.5,15.8,15.6
1971,15.4,16,15.9,16.6,17.1,16.2,16,16.6,18,17.1,17.5,17.8,16.7,16,16.5,16.3,17.5
1972,17.4,14.7,15.1,19.9,14.6,18.4,16,14.3,16.5,19,14.5,15.8,16.4,16.7,16.5,16.3,16.7
1973,17.5,16,15.4,18.5,18.9,19.3,16.4,15.4,16.2,15.8,14.3,16.4,16.7,16.4,17.6,17,15.5
1974,19.5,16.8,17.7,15.6,16.2,17.3,16,15.1,15.6,17,15.8,17.1,16.6,17.6,16.5,16.1,16.1
1975,17,17.9,15.8,16.6,19,16.4,14.1,16.5,15.9,16,16.5,16.1,16.5,17.3,17.1,15.7,16.1
1976,17.4,16.7,16.8,17.2,20.1,16.1,14.4,15.5,15.2,18.3,17.5,17.2,16.9,16.7,18,15.3,17
1977,17.2,15.5,18.3,19.5,18.9,18.6,18.8,16.9,14.3,19.1,19.1,17,17.8,16.6,18.9,18.1,17.5
1978,18.5,20.4,16.3,20,18.5,16.4,15.5,14.4,15.3,19,15.2,18.8,17.4,18.6,18.2,15.5,16.5
1979,15.4,17.5,16.7,17.7,18.5,17.6,16.1,15.1,17.8,17.7,14.1,16.2,16.7,17.3,17.6,16.3,16.5
1980,19,17.6,20.5,19.4,18.7,17.7,15.5,17.5,18.1,17.9,17.4,18.2,18.1,17.6,19.5,16.9,17.8
1981,17.1,18.8,16.2,20.7,19.5,18.2,16.2,15.8,17.5,19.3,15.9,18.5,17.8,18,18.8,16.8,17.6
1982,20.2,20.1,20.5,22,17.9,15.6,14.9,14.8,16.2,16.2,13.6,14.7,17.2,19.6,20.1,15.1,15.3
1983,15.3,13.2,14.1,16.4,18,18,14.8,13.7,16.4,14.2,13.2,15.5,15.2,14.4,16.2,15.5,14.6
1984,18.3,16.7,14.9,16.4,19.7,15.3,15,14.5,13.7,18.2,12,17.3,16,16.8,17,14.9,14.6
1985,18.5,16.9,16.4,19,18,19.9,14.7,16.5,17.5,17.9,15,18.7,17.4,17.6,17.8,17,16.8
1986,16.7,12.7,16.2,18.6,18.3,16.3,15.6,13.2,13,15.4,16.3,17,15.8,16,17.7,15,14.9
1987,17.1,13.1,16.1,17.8,16.2,18.7,13.5,13.5,14.2,16.9,14.2,17.6,15.7,15.7,16.7,15.2,15.1
1988,17.2,18.5,16.2,16.6,18.7,18.1,16.3,15.2,15.5,15.6,14.8,14.2,16.4,17.8,17.2,16.5,15.3
1989,18,19.6,13.4,13.6,18.6,17.3,15,13.2,17.1,16.1,15.9,15.9,16.1,17.3,15.2,15.2,16.4
1990,16.9,19.8,16.4,17.5,17,16,13.8,12.9,15,17.2,16.5,17.8,16.4,17.5,17,14.2,16.2
1991,17.6,16.8,12.6,16.7,14.7,13.6,12.7,12.1,15.6,17.4,17.1,16.7,15.3,17.4,14.7,12.8,16.7
1992,16.6,14.2,13.5,17.5,16.2,15.3,12.5,13.2,16.2,15.5,14.8,15.1,15,15.8,15.7,13.7,15.5
