Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,11.6,13.7,9.2,10.3,7.5,7.8,9.2,10,8.1,5,9.2,-9999.9,11.5,8.5,9.1
1969,4.2,3.6,-9999.9,-9999.9,12.1,7.4,10.6,13.6,10.4,8.1,10.3,4.8,8.5,4.3,-9999.9,10.5,9.6
1970,5.8,6.9,10.1,12.3,10.5,10.3,10.7,11,8.1,7.1,3.9,6.8,8.6,5.8,10.9,10.7,6.4
1971,7.3,7.7,11.6,11.4,10.3,11.1,10.3,12,10.9,9.5,8.4,7.1,9.8,7.3,11.1,11.1,9.6
1972,9.2,11.1,12.2,14.2,10.7,12.3,11.2,10.6,9.9,6.9,6.6,7.1,10.2,9.1,12.4,11.4,7.8
1973,6.6,3.9,8.2,11.1,10.8,12.1,12,11.3,9,10.1,5,3.9,8.7,5.8,10,11.8,8.1
1974,8.5,8,10,9,10.3,10.6,10.2,7.9,6.4,7,7.2,6.8,8.5,6.8,9.8,9.6,6.9
1975,6.1,5.6,9.3,7.5,9.8,11.4,7.9,8.2,5.5,8.3,10.6,6.4,8.1,6.2,8.9,9.1,8.2
1976,3.8,10.2,11,10.3,13.4,10.2,10.6,8.8,7.9,7.3,4.1,7.9,8.8,6.8,11.5,9.9,6.4
1977,2.3,6.6,12,12.6,13.2,11.1,11.5,8.9,8,9.3,7.7,4.9,9,5.6,12.6,10.5,8.4
1978,2.4,3.6,8.1,10.7,11.9,10.6,8.9,10.3,10.9,7.2,8.5,6.4,8.3,3.6,10.2,9.9,8.8
1979,1.2,9.4,10.3,10.7,11.8,12.7,10.1,7.9,8.5,-9999.9,1.4,9.3,8.5,5.7,10.9,10.2,4.9
1980,3.9,4.1,10.6,9.9,10.5,9,10.7,9.2,10.2,5.5,8.7,8.3,8.4,5.8,10.4,9.6,8.1
1981,3.7,9.6,9.4,14.9,10.2,12.5,10.4,9.1,10.4,10.6,7.3,6.1,9.5,7.2,11.5,10.7,9.4
1982,7.2,8.5,9.9,14.2,12.1,8.9,11.3,10.5,7.5,8,5.7,5.4,9.1,7.3,12,10.2,7.1
1983,5.3,7.3,6.7,8.6,11.5,11,10.7,10.5,10.1,7.8,6.5,1.3,8.1,6,9,10.7,8.1
1984,7.5,8.3,8.5,11.7,11.5,10.8,11,10,7.7,8.1,6.6,6.5,9,5.7,10.6,10.6,7.5
1985,2.2,8.9,8.1,14,10.9,10.7,10.5,8.3,6.9,10,4.2,0.7,8,5.9,11,9.8,7
1986,5.1,4.2,9.1,11.3,9.8,10.7,9.5,8.5,6.7,2.6,6.4,4.4,7.4,3.4,10.1,9.5,5.2
1987,6.8,4.3,7.2,12.8,13,12.2,9.7,8.5,8.6,5.4,6.4,5.2,8.3,5.2,11,10.2,6.8
1988,5.6,8.3,13.5,12.5,11.8,11.7,12.3,11.1,9.4,7.7,8.2,4.4,9.7,6.4,12.6,11.7,8.4
1989,9.7,4.7,10.2,9.6,12.5,11.7,11.2,9.1,7.8,8.5,8,3,8.8,6.3,10.8,10.7,8.1
1990,9.1,9.1,8,9.9,9.9,11.6,9.7,11.3,10.3,11.2,11.7,6.7,9.9,7.1,9.3,10.9,11.1
1991,3.9,8,10.4,13,12,11.4,9.8,10.4,8.6,8.5,5.7,6.5,9,6.2,11.8,10.6,7.6
1992,5.1,4.1,6.8,12.9,11,11,9.4,9.4,10,8.2,4.9,5.3,8.2,5.2,10.2,9.9,7.7
1993,3.8,3,10.2,11.5,11.1,10.5,8.1,8.6,6.8,6.3,7.7,6,7.8,4,10.9,9.1,7
1994,7.3,8.9,11.1,10.4,10.8,10.5,11,10,8.2,8.6,7.5,6.4,9.2,7.4,10.8,10.5,8.1
1995,2,7.9,8.2,9.1,9.9,9.3,8.9,10.3,7,10.3,5.6,5.4,7.8,5.4,9.1,9.5,7.7
1996,5.9,5.8,7.4,11.3,10.2,11,10.8,11.6,8.5,8.6,5.2,4.2,8.4,5.7,9.7,11.1,7.5
1997,5.3,6.2,11.7,11.8,9.7,10.3,11.7,9.4,9.3,9,4.2,5.7,8.7,5.2,11.1,10.5,7.5
1998,6.1,5.6,7.3,8.7,10.8,8.4,8.8,10.7,9.5,8.5,8.6,9.2,8.5,5.8,8.9,9.3,8.9
1999,7.6,11,10.8,12.7,12.9,11.8,11.3,10.3,10.3,8.7,7.4,5.9,10.1,9.3,12.2,11.1,8.8
2000,5,5.6,10.6,10.5,12,10.2,11.8,10.4,9.4,6.8,4.1,2.9,8.3,5.5,11,10.8,6.8
2001,3.6,6.1,9.7,12.4,13.8,11.8,11.5,11.8,9.4,10.6,6.6,6.8,9.5,4.2,11.9,11.7,8.9
2002,5.1,8.1,10.8,11.4,11,11.5,10.4,10.1,9.9,6.5,7.2,5.6,9,6.7,11.1,10.7,7.8
2003,5.4,6.3,10.1,9.4,10.8,11.8,12.5,12.4,9.8,9.9,7.2,5,9.2,5.7,10.1,12.2,9
2004,6.2,4.6,10.7,10.6,10.8,9.7,9.3,8.4,7.8,7.2,6.1,6.2,8.1,5.3,10.7,9.1,7
2005,5.6,7.1,9.3,10.9,9.9,9.1,10.4,9,9.2,7.6,6.5,4.5,8.3,6.3,10,9.5,7.8
2006,8.7,8.5,8.5,10.9,10.5,10.2,11.8,10.3,7.8,7.8,8.5,5.5,9.1,7.2,10,10.8,8
2007,5.3,5.6,12.2,11.1,10.6,11.3,10.4,10.5,9.3,9.6,6.3,5.3,8.9,5.5,11.3,10.7,8.4
2008,5.2,7.1,9,11.5,10.8,10.7,10.9,11.5,7.3,8.8,6.4,5.1,8.7,5.9,10.4,11.1,7.5
2009,6.4,6.7,10.3,10.3,10.9,10,9,8.8,9.2,6.4,10.6,3.6,8.5,6,10.5,9.3,8.8
2010,3.5,3.9,9.8,10.3,10.3,9.8,10.1,9.2,8.1,7.8,4.8,3.6,7.6,3.7,10.1,9.7,6.9
2011,6.3,8,9.4,10.3,10.1,9.8,9.8,9.3,9.6,7.2,9.1,7.4,8.9,5.9,9.9,9.7,8.6
2012,9.8,6.2,12,11.2,11.8,10.1,8.9,8.3,7.9,9.1,7.2,6.6,9.1,7.8,11.7,9.1,8.1
2013,4.9,8.7,9.4,11,10.3,9.1,10.2,8.9,9.3,6.6,7,7.2,8.5,6.7,10.2,9.4,7.6
2014,6.3,7.8,10.5,11.7,10.1,10.5,11.3,9,8.9,9.4,8,4.9,9,7.1,10.8,10.3,8.8
