Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,32,24.6,29.7,33.2,21.3,19.4,-9999.9,-9999.9,-9999.9,28.3,28.1
1957,22.3,25.6,29,19.7,19.8,26.1,21.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.4,22.8,23.8,-9999.9
1958,-9999.9,20.9,20.2,27.5,32.1,24.3,25.6,22.6,21.4,18.4,20.3,27,23.7,-9999.9,26.6,24.2,20
1959,28,18.8,18.6,21.8,28.6,27.9,31.1,32.1,23.6,21.1,29.2,19.9,25.1,24.6,23,30.3,24.6
1960,24.5,23.6,11.9,21.3,25,26.4,26.9,31.9,24.8,28.1,25.3,23.7,24.5,22.7,19.4,28.4,26.1
1961,21.1,15.8,16,25.9,27,26,22.3,27.1,25.3,26.7,21.1,25.2,23.3,20.2,22.9,25.1,24.4
1962,20.4,18.7,27.7,19,27.5,22.6,26.1,24.8,23.5,17.3,24.4,27.3,23.3,21.5,24.7,24.5,21.8
1963,38.5,30.8,23.3,24.6,25.1,22.8,22.5,22.5,23.1,20,21.2,21.4,24.6,32.2,24.4,22.6,21.4
1964,21.6,26.7,19.4,25.9,22.6,27,22.2,23.8,25.3,19.3,21.2,24.1,23.3,23.2,22.6,24.3,21.9
1965,22.1,26.1,23.8,20.3,29.4,21.9,27.6,26.8,20,20.1,25.5,15.6,23.3,24.1,24.5,25.4,21.9
1966,24,27.4,22.7,18.7,22.1,24.5,22,23.1,26.7,22.8,22.1,17.3,22.8,22.3,21.2,23.2,23.9
1967,23.4,11.3,21,22,31.4,24.9,23.9,24,22.5,13.9,17.7,15.2,20.9,17.3,24.8,24.3,18
1968,16.5,19.7,15.5,27,24.9,23.4,28.8,23.2,20.2,19.1,16.2,17.6,21,17.2,22.5,25.1,18.5
1969,30.9,23,24.5,14.4,25.4,22.6,18.8,18.6,14.3,24.4,29.9,12.7,21.6,23.8,21.4,20,22.9
1970,20.2,34.9,29.5,24.1,23.5,24.8,25.6,27.1,23.8,22.3,24.7,17.1,24.8,22.6,25.7,25.8,23.6
1971,27.5,13.4,21.3,26.1,21.9,19.2,26.1,24.8,22.3,24.2,21.7,13.2,21.8,19.3,23.1,23.4,22.7
1972,10.8,17.1,20.6,26.7,23.1,24.1,27.3,27,28.9,26.5,21.8,19.6,22.8,13.7,23.5,26.2,25.7
1973,20.2,28.4,22.1,27.3,27.4,23.2,26.3,22.9,26.5,25.3,24.9,20.8,24.6,22.7,25.6,24.2,25.6
1974,17.1,23.4,24.9,25.6,24.9,24.5,24.9,27.7,28.4,21.9,22.1,12.8,23.2,20.4,25.1,25.7,24.1
1975,24.5,25.2,28.3,21.6,25.5,27.1,27.9,30.4,22.1,21.1,26.9,24.4,25.4,20.8,25.1,28.5,23.4
1976,26.6,22.3,23.4,22.5,30.1,23.2,32.6,28.4,27.9,19,27.1,32.2,26.3,24.4,25.3,28.1,24.6
1977,32.7,21,33.3,25.4,25.6,30,28.7,26.2,20.3,17.4,19.8,19.6,25,28.6,28.1,28.3,19.2
1978,13.4,16,17.9,22.8,18,24.6,22.1,20.5,22.2,24,19.5,29.9,20.9,16.4,19.6,22.4,21.9
1979,24.1,21.8,30.7,30,29.2,25.7,31,32.3,31.9,19.2,13.2,16.7,25.5,25.3,30,29.6,21.4
1980,20.2,10.5,19.9,17.8,18.6,16,20,31.1,28.8,27.6,22.8,28.4,21.8,15.8,18.8,22.4,26.4
1981,30.9,30.7,26.7,29.2,27.5,27.3,29.2,29.9,35.6,22.3,19.4,32.4,28.4,30,27.8,28.8,25.8
1982,32.9,10.2,17.4,27.4,21.5,25.3,29.2,28,23.2,22,25.4,12.7,22.9,25.1,22.1,27.5,23.5
1983,13.8,24.1,15.7,22.6,30.9,22,24.8,23.1,22,16.5,21.4,24.5,21.8,16.9,23.1,23.3,20
1984,16.9,13.5,19.6,22.4,21.9,24.6,25.6,26,23.2,17.5,17.3,22.5,20.9,18.3,21.3,25.4,19.3
1985,28.1,20.5,21.7,20.5,21.1,23.5,25.1,26,27,18.6,20,24.8,23.1,23.7,21.1,24.9,21.9
1986,17.2,19.3,13.3,19.3,19.1,14.6,14.4,22.4,20,10.6,19.1,21,17.5,20.5,17.2,17.1,16.5
1987,22.2,15.4,17.3,16.6,21.4,27,24.9,26.3,24.2,23.2,26.6,17.6,21.9,19.6,18.4,26,24.7
1988,29.2,36.1,26.9,30.4,32.1,22.5,26.4,29.7,25.4,-9999.9,-9999.9,-9999.9,28.7,27.6,29.8,26.2,-9999.9
1989,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,24.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1990,-9999.9,14.5,24.7,22.2,29.7,28.5,25.5,22.8,23,20.5,31.3,-9999.9,24.3,19.7,25.5,25.6,24.9
1991,22.6,-9999.9,23.9,20.8,-9999.9,20.5,23.7,-9999.9,20.3,22.3,25.8,25.3,22.8,-9999.9,22.4,22.1,22.8
1992,25.3,16.2,15.7,17.6,22.6,18,21.4,22.5,27.5,26.3,15.5,20.8,20.8,22.3,18.6,20.6,23.1
1993,18.8,16.7,20.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18,-9999.9,18.7,-9999.9,-9999.9,-9999.9
1994,-9999.9,19.1,18.1,23.2,23.2,23,-9999.9,-9999.9,25.1,8.5,-9999.9,15,19.4,18.6,21.5,-9999.9,16.8
1995,15.5,14.4,18.6,27.8,26.9,23.9,25.9,20,21.2,5.8,21.1,10.7,19.3,15,24.4,23.3,16.1
1996,18.7,20.5,17.1,25.1,28.1,19.9,20.7,24,20.6,14.5,-9999.9,-9999.9,20.9,16.7,23.4,21.5,17.6
1997,-9999.9,15.1,21,19.1,25.9,25.8,22.3,23.5,22.6,27.6,-9999.9,-9999.9,22.6,-9999.9,22,23.9,25.1
1998,-9999.9,-9999.9,21.7,21.5,25.6,17.7,21.6,19.6,26.1,22.8,20.7,18.1,21.5,-9999.9,22.9,19.6,23.2
1999,18.3,17.6,20.4,16.6,16.9,20.2,19.1,21.6,22.5,17,15.8,23.8,19.2,18,18,20.3,18.4
2000,23.6,18,21.5,19.9,18.4,25.5,18.4,22.7,22.3,20,28,26,22,21.8,19.9,22.2,23.5
2001,21.6,20.6,23.9,20.4,26.5,24.8,14.1,20.1,16.5,23.4,19.6,24.4,21.3,22.7,23.6,19.7,19.8
2002,17.4,18.7,19.9,21.8,16,15.8,18.6,17,21.5,22.7,29.9,20.6,20,20.2,19.2,17.1,24.7
2003,22.1,-9999.9,16.5,18.1,25.7,22.3,20.2,24,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,21.4,20.1,22.2,-9999.9
2004,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,34.1,24.4,18.4,-9999.9,-9999.9,-9999.9,-9999.9,29.2
2005,18.8,31.4,26.5,23.8,24,17.3,21.5,19.8,19.1,17.8,27.7,16.3,22,22.9,24.7,19.5,21.5
2006,19.3,27.2,16.3,24.2,25.1,18.7,21.4,17.6,20.4,22.6,19.9,17.8,20.9,20.9,21.9,19.2,21
2007,-9999.9,-9999.9,17.4,14.1,16.8,27.8,21.9,20.5,17.3,20.4,-9999.9,25.4,20.2,-9999.9,16.1,23.4,18.9
2008,23.2,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,24.3,-9999.9,-9999.9,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.8,16.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18.3,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,20.8,24.9,28.2,27.6,-9999.9,-9999.9,-9999.9,-9999.9,24.6
2011,20.9,17.4,18.9,18.2,21.2,22.5,19.5,23,21.3,20.4,25.2,23.8,21,22,19.5,21.7,22.3
2012,16.2,19.6,20.8,19.1,22.6,30.7,21.7,22.8,24.1,23.9,22.2,19.7,21.9,19.8,20.8,25.1,23.4
2013,18.9,20.2,24.5,25,18.4,17.7,22.8,22.7,22.6,22.9,15.9,18.3,20.8,19.6,22.6,21.1,20.5
2014,22.5,20.3,18.8,20.9,16.4,25.9,19,21,16,23.4,18.3,24,20.5,20.4,18.7,22,19.2
