Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,14.3,16.4,16.1,17.6,17.5,17.7,14.2,13,17.4,17.3,18.5,16.3,16.4,15.3,17.1,15,17.7
1962,18.3,14.2,14.4,18.5,17,17,13.3,13.5,14.8,14.6,15.7,15.7,15.6,16.3,16.6,14.6,15
1963,19,14.2,17.1,17.9,17.5,14.4,14.8,12.3,14.1,15.8,16,15.2,15.7,16.3,17.5,13.8,15.3
1964,13.1,19.6,17.1,21.4,17.7,15.2,14.2,14.7,15.5,13.9,13.7,14.4,15.9,16,18.7,14.7,14.3
1965,13.4,17.1,15.8,17.1,17.9,15.5,10.1,13.6,15.2,16.5,12.6,14.1,14.9,15,16.9,13.1,14.8
1966,16.7,15.2,15.8,18.7,21.7,14.3,13.3,13.8,14,16.9,16.7,13.2,15.9,15.3,18.7,13.8,15.9
1967,15,17.2,15.8,16.7,16.2,14.8,14.1,13.8,17.1,17.7,16.4,17.3,16,15.1,16.2,14.3,17.1
1968,15.5,15.1,15.5,17.5,22.2,17.3,13.5,13.2,15.3,15.3,13.5,16.2,15.8,16,18.4,14.7,14.7
1969,11.4,13.8,13.9,18.8,16.6,15.8,15.3,13.9,17.9,14.6,15.1,14.9,15.2,13.8,16.4,15,15.9
1970,15.3,15.7,17.6,15.7,20.6,16.8,13.7,13.6,15.1,15.9,13.6,13.4,15.6,15.3,18,14.7,14.9
1971,16,14.3,16.9,19,17.5,18,16.4,15.4,18.3,16,17.6,16.7,16.8,14.6,17.8,16.6,17.3
1972,17.4,14.1,14.2,18.6,15.1,16.6,13.4,11,14.7,17,13.4,14.2,15,16,16,13.7,15
1973,15.2,15.6,14.6,16.2,19.9,17.9,16.2,15.6,16.7,15.8,14.1,13.8,16,15,16.9,16.6,15.5
1974,16.9,16.4,15.7,16,15,15.7,13.2,13,13.7,15,15.3,16.7,15.2,15.7,15.6,14,14.7
1975,17.1,15.8,13.9,14,16.5,12.4,11,13.8,12.4,14,13.3,14.4,14.1,16.5,14.8,12.4,13.2
1976,14.7,14.7,14.3,14.1,17,14.5,12.7,13.1,12.1,15.3,15.5,14.3,14.4,14.6,15.1,13.4,14.3
1977,16.3,12.4,15,16,16.5,15.8,14.8,12.1,13.5,15.5,15.3,13.9,14.8,14.4,15.8,14.2,14.8
1978,14.6,17.8,14.5,18.8,16.6,14.7,12.5,12.6,14.1,15.9,15.4,17,15.4,15.4,16.7,13.3,15.1
1979,13.4,14.3,14.9,14.6,16.9,14.8,13.5,11.2,14,15.8,13.5,16.8,14.5,14.9,15.5,13.2,14.5
1980,17.4,15.7,17,17.9,19.1,15.4,14,15,15.4,14.7,15.2,15.2,16,16.6,18,14.8,15.1
1981,14.9,15.7,15.2,19,18.7,15.6,13.8,14.5,16.3,17.9,14.5,14.2,15.9,15.3,17.7,14.6,16.2
1982,16.2,14.8,20.1,19.6,21.4,13.9,10.9,13.2,15.5,16.3,14.8,14.5,15.9,15.1,20.3,12.7,15.5
1983,15.3,14.3,15.8,16.8,19,17.4,14.1,11.7,15.9,13.7,13.7,13.7,15.1,14.7,17.2,14.4,14.4
1984,16.6,13.9,15.4,16,19.7,15.3,13.5,13.7,14.9,17.5,11.7,13.7,15.1,14.7,17,14.2,14.7
1985,14.2,14.6,14.9,16.2,15,17.8,11.5,12.5,15.7,14.1,12.9,14.5,14.5,14.2,15.4,13.9,14.3
1986,13.1,11.1,14.7,18.7,18.1,15.8,14,11.9,14.7,14.4,15.7,15.7,14.8,12.9,17.2,13.9,15
1987,14.3,13.7,14.9,16.4,15,15.8,10.4,12.3,13.9,15.8,12.4,14.8,14.2,14.6,15.4,12.8,14
1988,15.3,17,15.7,19.2,18.7,15.4,14.6,13.1,15.6,15,14.8,13,15.6,15.7,17.9,14.4,15.2
1989,16.1,15.9,13.3,13.8,18,16.6,13.6,11.6,14.8,14.5,13.6,13.6,14.6,15,15,13.9,14.3
1990,15.2,16.8,14.7,16.3,17.1,17.1,12.8,12.5,16.2,15.5,15.9,17,15.6,15.2,16,14.1,15.9
1991,17.6,14.9,12.5,15.4,16.7,14.3,12.6,11.7,14.7,14.8,12.2,15.3,14.4,16.5,14.9,12.9,13.9
1992,14.9,13.8,14.4,17.5,17.6,16,11.3,12.3,14.8,15.6,13.8,13.3,14.6,14.7,16.5,13.2,14.7
1993,13.9,12.9,14.4,13.8,18.2,17.3,12.2,11.5,14.6,14.9,14.8,14.7,14.4,13.3,15.5,13.7,14.8
1994,15.7,15.2,14.7,15.5,17.6,16.1,13.7,11.3,13.5,16.3,13.8,14.2,14.8,15.2,15.9,13.7,14.5
1995,9.8,14.6,15.1,18.4,15.4,13.6,10.7,11.1,12.3,14.8,15,13.9,13.7,12.9,16.3,11.8,14
1996,12.7,13.7,16,16.4,14.4,16.2,14.1,13.4,15.7,14.7,14.2,14.6,14.7,13.4,15.6,14.6,14.9
1997,15,13.3,13.9,16.3,15.8,14.2,12.9,10.7,13.9,13.7,12.3,15.1,13.9,14.3,15.3,12.6,13.3
1998,9.9,10.9,15.1,15.2,16.6,13.9,12.8,12.3,14.4,14.4,13.1,16.7,13.8,12,15.7,13,14
1999,14.9,15.2,15.8,17.8,17.7,14.9,14.2,12.2,15.1,16.2,13.1,15.6,15.2,15.6,17.1,13.8,14.8
2000,13.5,12,15.1,17.7,17.7,15.9,12,13.9,14.2,15.3,13.7,13,14.5,13.7,16.8,13.9,14.4
2001,11.8,13.1,15.1,14.8,21.1,15.9,14.8,11.9,13.8,17,13.4,13,14.6,12.6,17,14.2,14.7
2002,12.7,15.4,14.3,16.8,18.5,14.5,15.6,13.5,14.6,14.5,13.5,12.2,14.7,13.7,16.5,14.5,14.2
2003,14.1,14.4,15.1,16.5,16.6,16.9,12.3,12.3,13.5,14.3,11.8,11.9,14.1,13.6,16.1,13.8,13.2
2004,14.5,13.1,16.6,16.1,15.6,14.3,12.7,11.3,13.1,13,13.9,15.3,14.1,13.2,16.1,12.8,13.3
2005,13.2,12.6,15.7,16.5,17.2,14.4,12,12.1,12.2,13.9,13.4,12.7,13.8,13.7,16.5,12.8,13.2
2006,11.3,15.5,16.2,16.2,17.2,15.3,11.7,12.1,13.6,13.1,15.9,15.4,14.5,13.2,16.5,13,14.2
2007,16.2,14,15.7,17.2,17.8,15.3,11.6,12.4,13.2,15.8,16.3,11.6,14.8,15.2,16.9,13.1,15.1
2008,14.2,13,13.7,16.5,17.5,13.8,13,13.5,13.1,15.3,15.3,14,14.4,13,15.9,13.4,14.6
2009,14.8,11.6,15,14.8,16.5,13.8,13,11.7,16.8,15,14,11.8,14.1,13.5,15.4,12.8,15.2
2010,11.7,12.3,14.3,21.2,16.3,13.3,12.2,11.5,12.4,13.6,12.7,11.9,13.6,11.9,17.2,12.4,12.9
2011,13.7,14.5,15.3,12.1,17,13.6,13.4,11.1,13.5,13.3,14.9,14.9,14,13.4,14.8,12.7,13.9
2012,14.4,13.5,14.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.3,-9999.9,-9999.9,-9999.9
2013,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2014,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
