Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,11.3,7.5,21.7,12.1,13.8,14.6,16.2,15.5,11.3,2.5,8.9,4.7,11.7,9.4,15.9,15.4,7.6
1954,7.8,7.7,5.8,5.3,13.9,16.6,18.1,15.7,15.9,12.7,11.7,11.9,11.9,6.7,8.3,16.8,13.4
1955,12.9,9.7,6.4,10.4,7.9,17,20.9,14.4,13.1,10,10.5,4.2,11.4,11.5,8.2,17.4,11.2
1956,11.2,11.1,14.2,10.8,9.1,19,17.1,11.7,7.7,7.1,3.6,5.2,10.7,8.8,11.4,15.9,6.1
1957,7.7,5.3,5.8,5,13.5,17.8,18.2,20.1,14.8,14.4,6,3.3,11,6.1,8.1,18.7,11.7
1958,19.6,7.1,6.8,9.2,11.3,18.6,19.6,14,10.6,11.5,11.6,9.1,12.4,10,9.1,17.4,11.2
1959,12.3,12.6,9.6,8.4,11.5,13.3,17.2,12.1,10,5.8,4.6,7.8,10.4,11.3,9.8,14.2,6.8
1960,7.4,13,4.8,6.2,18.5,15.3,15.4,10.8,8.1,8,6.8,10.4,10.4,9.4,9.8,13.8,7.6
1961,8.5,8.7,6.2,11,12.3,16.1,17.9,13.8,5.8,4.2,10.8,10.4,10.5,9.2,9.9,16,6.9
1962,8.4,5.2,2.2,9.6,13.6,18,13,11.8,11.7,4.9,6.6,8.3,9.4,8,8.4,14.3,7.7
1963,6.5,9.3,3.9,8.1,7.9,12.9,12.6,8.1,10.6,10.3,7.3,9.8,8.9,8,6.6,11.2,9.4
1964,8.1,6,7.8,9.1,15.4,15.7,13.8,8.9,11.9,10.3,4.4,11.8,10.3,8,10.8,12.8,8.9
1965,11.9,11.1,9,6.7,10.2,19.9,15.5,11.2,10.5,6.1,4.8,8.6,10.4,11.6,8.6,15.5,7.1
1966,11.9,4.7,4.8,7.3,12.9,19.6,15.9,13.3,13.3,8.7,7.6,10.3,10.9,8.4,8.4,16.2,9.9
1967,8.3,10.5,9.8,13.5,16.5,16.3,16.1,12.8,9.8,10.9,5.8,6.8,11.4,9.7,13.3,15.1,8.9
1968,7.6,11.3,9.4,5.3,13.7,16.6,19.7,14.5,11.9,11.9,8.4,9.8,11.7,8.6,9.5,16.9,10.7
1969,8.1,9.8,10.3,12.9,14.7,16.6,16.6,14.3,13.4,10,8.2,7.6,11.9,9.2,12.6,15.9,10.5
1970,9.9,7,7.2,8,12.8,13.7,16.4,15.9,9.7,13.4,12.7,8.9,11.3,8.2,9.3,15.3,11.9
1971,12.4,8.5,9.6,12.1,14,15,16.3,14.1,7.7,8.7,7.9,8.7,11.2,9.9,11.9,15.1,8.1
1972,8.3,10.2,9.9,8.6,9.7,17.8,16.4,16.3,9.2,9.3,7.2,6.2,10.8,9.1,9.4,16.8,8.6
1973,10.4,9.1,10.2,6.3,12.6,18.7,16.7,13.8,13,9.4,7.6,12.9,11.7,8.6,9.7,16.4,10
1974,4.2,4.7,5.3,11,14.6,17.4,15.4,16.3,11.7,9.8,10.5,17,11.5,7.3,10.3,16.4,10.7
1975,7.8,11.4,7.3,12.2,13.9,15.9,19.5,22.4,15.9,7.7,8.4,10.6,12.8,12.1,11.1,19.3,10.7
1976,9.1,6.9,4.3,5.3,9.9,19.9,16.9,15.1,7.9,5.6,6,5.4,9.4,8.9,6.5,17.3,6.5
1977,9.1,7.2,1.6,7.3,9.9,16.8,18.3,12.4,12.5,2.9,2.2,3.3,8.6,7.3,6.3,15.8,5.9
1978,7.8,15.9,5.9,11.8,9.3,12.6,16.2,14.6,9.1,1.7,3.9,6,9.6,9,9,14.5,4.9
1979,8.7,2.7,5.6,9.8,14,22.2,19.6,14.7,8.6,8.4,6.3,5.4,10.5,5.8,9.8,18.8,7.8
1980,7.7,9.5,5.5,4.8,6.5,14.6,14.5,20.6,13.3,10.2,5,7.1,10,7.5,5.6,16.6,9.5
1981,9.7,10.5,1.4,7.9,16,19.2,21.1,22.9,14.1,15.8,15,13.2,13.9,9.1,8.4,21.1,15
1982,15.3,11.9,12.4,6.8,12.4,15.6,20.1,17.6,14.9,6.9,7.5,9.3,12.6,13.5,10.5,17.8,9.7
1983,11.1,13.2,17.8,13.1,13.8,16.7,16.2,13.7,14.3,6.2,7.5,10.5,12.8,11.2,14.9,15.5,9.3
1984,6.3,4.2,6.7,3.8,17.3,16.1,16.8,16.7,10.5,9.9,2.9,6.4,9.8,7,9.3,16.5,7.8
1985,11.9,5.3,4.1,5.6,5.6,12.4,17.1,14.3,11.3,10.1,8,4.8,9.2,7.9,5.1,14.6,9.8
1986,5,11,7.5,12.3,9.9,16.4,16.9,17.7,8.7,7.1,6.6,11.5,10.9,6.9,9.9,17,7.5
1987,11.6,5.2,7.5,3.5,10.9,18,19.1,17.1,12.2,7.3,7,5.8,10.4,9.4,7.3,18.1,8.8
