Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.8,18.3,16.8,16.6,14.5,13.6,13.5,12.6,15.1,16.9,13.8,17,15.2,16.1,16,13.2,15.3
1954,13.8,19.4,15,15.9,15.7,16.9,14.6,10.4,15.1,18.6,17.1,19.3,16,16.7,15.5,14,17
1955,15,17.8,16.3,15.3,17.1,16.7,13.3,18.6,15.8,19.8,14.9,14.2,16.2,17.4,16.2,16.2,16.8
1956,10.8,20.3,17.5,15.8,16.2,16.4,12.8,14.7,13.1,18.9,22.4,20.2,16.6,15.1,16.5,14.7,18.1
1957,14.3,16.2,12.6,16,14.6,13.2,15.6,11.5,16.1,16.3,17.8,15.4,15,16.9,14.4,13.4,16.7
1958,12.9,13.8,12.5,14.7,18.3,12.2,13.8,16,15.5,19.7,18.3,15,15.2,14,15.2,14,17.8
1959,11.9,16.3,18.8,18,14.9,13.2,16.1,15.4,15.6,16.1,19.2,20,16.3,14.4,17.2,14.9,17
1960,11.3,12.7,15.3,17.1,15.3,14.6,13.4,13.7,14.3,16.4,16.4,16.7,14.8,14.7,15.9,13.9,15.7
1961,13.3,14.4,10.9,16.1,12.3,12.3,11.1,14.1,14.3,20.2,14.5,14.4,14,14.8,13.1,12.5,16.3
1962,19.6,11.8,13.6,16.9,13.3,18.3,11.2,15.9,15.6,20.5,17.4,16.4,15.9,15.3,14.6,15.1,17.8
1963,21.1,14.9,14.9,12.8,14.2,15,13.3,9.8,13.6,17.7,13.2,14.3,14.6,17.5,14,12.7,14.8
1964,15.3,22.2,13,20,15.6,13.9,12.9,13.1,15.2,15.7,16.5,15.3,15.7,17.3,16.2,13.3,15.8
1965,15.6,15.5,13.2,14.2,17,14.6,13.2,13.2,13.2,20.4,12,16.6,14.9,15.5,14.8,13.7,15.2
1966,12.3,14.8,17.5,17.3,21.9,19.1,15.2,16.8,16.7,20.2,15.3,13.6,16.7,14.5,18.9,17,17.4
1967,14.5,16.4,13.6,14.2,15.2,14.9,15.7,14.2,16.6,17.3,17,12.8,15.2,14.8,14.3,14.9,17
1968,14.7,13.9,15.2,19.3,16,15.6,12.3,12.5,15.4,16,15.2,13,14.9,13.8,16.9,13.5,15.5
1969,11.6,9.9,14.7,14.3,15,13.3,14.9,17.5,13.7,12,18.1,9.9,13.7,11.5,14.6,15.2,14.6
1970,13.5,15.6,13.8,14.5,18.1,14.8,15.5,16.7,18.1,14.2,11.6,14.7,15.1,13,15.5,15.7,14.6
1971,16.3,16.2,17.2,17.1,17.9,14.7,12.9,13,16.1,17.9,14.5,18.9,16.1,15.7,17.4,13.5,16.1
1972,19.1,16.2,16.9,19.8,15.9,17.8,12.9,12.5,13,17.2,11.4,12.6,15.4,18.1,17.5,14.4,13.9
1973,14.9,13.8,13.3,11.8,13.7,12.7,13.2,15.2,14.4,17.2,13.7,11,13.8,13.8,12.9,13.7,15.1
1974,16,17.9,14.8,14.9,15.1,17.6,13.8,11.2,13.6,18.8,16.7,18.5,15.8,15,15,14.2,16.4
1975,19.9,19,14.2,17,17.4,16.3,13.9,15.6,15.4,16.9,15.7,19.2,16.7,19.1,16.2,15.3,16
1976,17.5,19.1,15.7,15.4,19.1,14.3,15.5,11.9,14.1,17.5,16.3,13,15.8,18.6,16.7,13.9,16
1977,15.7,18,15.4,19.9,17.3,17.2,12.2,9.7,14,19.4,16.5,14.9,15.9,15.5,17.6,13,16.6
1978,13.8,17.4,15.9,12.9,14,15.7,13.1,14.1,13,21.3,16.2,17.3,15.4,15.4,14.3,14.3,16.8
1979,12.4,11.3,12.9,11.2,12.5,10.8,11.7,8.9,11.6,13.9,13,18.4,12.4,13.6,12.2,10.5,12.8
1980,17.3,14.3,14.6,16.8,17,14.5,16.4,14.2,15.4,18.4,19.6,17.3,16.3,16.7,16.1,15,17.8
1981,14.7,19.1,13.9,17.1,14.2,14.7,14,14.7,14.1,15.8,15.5,9.8,14.8,17,15.1,14.5,15.1
1982,10.4,13.4,12.4,16.8,16.1,12.8,13,14.3,14.2,17.8,15.8,12.2,14.1,11.2,15.1,13.4,15.9
1983,14.2,13.5,14,16.9,17.9,15.5,14.3,14.7,14.4,17,11.4,13.5,14.8,13.3,16.2,14.8,14.3
1984,19.5,17.4,14.3,15.5,15.6,15.3,15.5,15.7,12.6,15,11.1,16.9,15.4,16.8,15.1,15.5,12.9
1985,16.4,18.4,18.3,19.8,16.6,15.7,15.2,14.5,16.6,16.3,16.6,16.2,16.7,17.3,18.2,15.1,16.5
1986,15.3,14.9,17.1,18.7,14.8,17.4,14,15.3,11.9,16,17.8,16.6,15.8,15.5,16.9,15.5,15.2
1987,16.8,15.7,14.9,18.3,17.2,17.4,13.2,12.7,16,19.2,16.6,15.3,16.1,16.3,16.8,14.4,17.3
1988,13.9,19.2,15.6,15.5,16.3,16.5,17.1,15.6,15.5,15.6,16.3,15.3,16,16.1,15.8,16.4,15.8
1989,21.2,13.4,14.7,13.9,16.7,14.5,12.2,11.4,14.8,16.4,17.1,17.5,15.3,16.6,15.1,12.7,16.1
1990,16.2,18.2,15.3,14.6,13.8,16.5,11.3,13.5,16.2,13.7,14.7,17.4,15.1,17.3,14.6,13.8,14.9
1991,14.8,16.4,14.6,13.3,14.3,14.2,15.8,13.4,16,16.7,15.8,18.2,15.3,16.2,14,14.5,16.2
1992,17.5,16.1,16.4,16.7,18.6,16.6,13.3,14.9,17.8,15.4,15.5,13.2,16,17.3,17.3,15,16.2
1993,15.4,18,16.2,11.8,15,14.3,11.5,11.4,15.2,16.2,17.9,16.3,14.9,15.5,14.3,12.4,16.4
1994,12.3,15.3,15.6,16.5,16.8,13.7,13.6,10.8,15.8,16.4,17.9,14.3,14.9,14.6,16.3,12.7,16.7
1995,6.7,15.8,14.1,15.4,13.8,14.1,13.2,13.9,13.4,16.9,14.4,13.8,13.8,12.3,14.4,13.7,14.9
1996,14.4,17.7,17.5,15.8,13.9,17.8,15.1,15,12,16.3,15.4,10.1,15.1,15.3,15.7,15.9,14.6
