Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,9.4,7.6,8.2,10.8,12.4,10.8,9.9,-9999.9,-9999.9,-9999.9,8.4,11.3
1957,16.7,8.2,8.3,11.4,-9999.9,-9999.9,8.7,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,11.6,9.8,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,7.8,10.8,10.1,7.3,11.3,9.8,17,12.1,11.3,10.8,-9999.9,9.3,9.6,13
1961,15.7,11.3,6.1,13.5,9.4,9.5,11.7,10.2,14.4,10.2,8.8,8.9,10.8,12.8,9.7,10.4,11.1
1962,16,10.4,13.4,12.5,13.4,11.6,8.6,9.8,11.5,11.8,12.1,14.8,12.2,11.8,13.1,10,11.8
1963,12.8,16.3,10.6,13.1,9,14.8,9.6,8.8,12.8,14.6,10.4,9.5,11.8,14.6,10.9,11.1,12.6
1964,10.8,11.3,8.8,12.3,14.3,10.8,9,11,11.6,13.1,11,9.2,11.1,10.5,11.8,10.3,11.9
1965,9.9,11.1,11.4,9.8,12.3,11.3,7.3,10.9,10.4,11.7,13.9,7,10.6,10,11.2,9.8,12
1966,5.5,13.1,9.6,9.5,14,10.1,11.8,9.3,13.6,11,10.3,18.9,11.4,8.5,11,10.4,11.6
1967,11.9,15.7,10.5,12.4,10.5,10.8,7.1,9.5,14.3,8.6,10.4,10,11,15.5,11.1,9.1,11.1
1968,18.4,15.1,13.8,13.2,12.5,8,8.8,12.1,14.1,10.7,13.4,14.5,12.9,14.5,13.2,9.6,12.7
1969,16.7,11.9,9.4,10.3,8.5,7.7,13.5,8.8,14,11.7,9.8,10.3,11.1,14.3,9.4,10,11.9
1970,8.9,9.3,8.2,9.4,11.8,14.4,12.1,11.2,14.3,13.5,14.3,14.4,11.8,9.5,9.8,12.5,14
1971,18.7,13.3,12,11.7,11.5,6.7,9.3,10.6,13.7,12.4,11.7,12.6,12,15.5,11.7,8.9,12.6
1972,16.3,13.5,14.5,13.3,14.9,13.7,11.8,12.8,11.2,10.8,-9999.9,18.4,13.7,14.1,14.2,12.8,11
1973,19,12,10,10.2,11.7,9.3,8.5,14.7,13.2,10.1,10.4,12.8,11.8,16.5,10.6,10.8,11.2
1974,14,16.9,17.7,10.9,12,8.9,9.4,12.2,10.8,13.4,16.5,12,12.9,14.6,13.5,10.2,13.6
1975,13.8,17.2,12.9,10.7,16.6,15.5,12.6,13.9,15.1,13.9,15.6,17.9,14.6,14.3,13.4,14,14.9
1976,14.7,19.1,19.9,16.4,14,10.3,14.4,14.7,16.5,21.1,15,20,16.4,17.2,16.8,13.2,17.6
1977,14.1,21.6,12.8,12,13,11.8,11.7,13.6,16.8,13.9,17.6,14.4,14.4,18.6,12.6,12.3,16.1
1978,11.9,11.4,11.9,10.6,15.8,13.6,10.3,9.5,17.5,13.3,15.5,24.9,13.8,12.6,12.8,11.1,15.4
1979,12.4,18.4,13.6,16.7,11.9,11,11.8,15.4,12.9,15.1,15.5,14.6,14.1,18.5,14.1,12.7,14.5
1980,17.3,18.4,11.2,13.5,12.8,12.4,11.1,11.6,13.2,13.5,14,12.3,13.4,16.8,12.5,11.7,13.6
1981,15.3,12.8,11.9,8.7,12.9,12.9,15.5,13.2,19,15,14.8,11.4,13.6,13.5,11.1,13.9,16.3
1982,20.9,13.6,13.4,10.3,14.5,8.3,13.8,15.7,16.9,14.9,14.5,14.1,14.2,15.3,12.7,12.6,15.4
1983,10.9,15.6,10.2,8.4,11.3,9.7,14.3,11.9,18.6,14.5,16.1,12.4,12.8,13.5,10,12,16.4
1984,14,10.4,12.9,13.9,12.4,9.1,13.5,11.5,15.9,13.6,18,15.8,13.4,12.3,13.1,11.4,15.8
1985,17.3,16.5,16.1,13.8,19.5,11.6,13.1,12.2,12.2,11.5,17.8,18,15,16.5,16.4,12.3,13.8
1986,18.1,18.9,12.3,11.4,12.4,9.9,7.5,13.5,11.3,15.5,9.7,14.6,12.9,18.3,12.1,10.3,12.2
1987,13.4,15.4,17.2,14.2,15,16.3,11.5,12.1,16.2,15.3,17.7,19.8,15.3,14.4,15.4,13.3,16.4
1988,18.9,18.8,16.6,14,11.5,12.2,15.8,12.3,15,16.3,9.4,19.8,15.1,19.2,14,13.4,13.6
1989,17.4,15.3,18.5,17.4,16.5,19.2,13.6,14.2,16.5,15,22.3,12.8,16.6,17.5,17.5,15.7,17.9
1990,12.5,15.1,22.5,21,18.5,16,12.4,12.9,14.8,19.7,16.1,15.4,16.4,13.5,20.6,13.8,16.9
1991,16.4,18.3,13.7,17.6,14.6,17.2,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,16.7,15.3,-9999.9,-9999.9
1992,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1993,2.6,2.6,2.6,2.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,2.6,2.6,-9999.9,-9999.9
1994,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,15.2,-9999.9,-9999.9,15.5,6.2,3.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,8.4
1995,-9999.9,11.6,17.7,15.4,15.5,16.7,17.8,18.9,7.4,15,11.5,8.1,14.1,-9999.9,16.2,17.8,11.3
1996,18.5,20.6,16.1,15.9,19.8,19.5,14.3,13.7,18.4,11.8,19.3,14.9,16.9,15.7,17.3,15.8,16.5
1997,19.6,16.2,17.3,16,13.6,16.3,15.7,17.1,13.4,20.8,21,26.5,17.8,16.9,15.6,16.4,18.4
1998,18,24.9,19.4,15.9,18.1,12.5,12.7,16.7,14.1,15.8,20,20.6,17.4,23.1,17.8,14,16.6
1999,17.9,13.3,12.3,14.3,11.3,18.8,12.7,13.9,16,16,-9999.9,18.6,15,17.3,12.6,15.1,16
2000,17,17.7,15.8,15,13.5,14.7,14.4,14.5,18.6,25,21,-9999.9,17,17.7,14.8,14.6,21.6
2001,-9999.9,13.1,-9999.9,16.8,17.2,15.8,14.2,14.9,14.6,15.5,24.1,14.5,16.1,-9999.9,17,14.9,18.1
2002,21.8,16.3,15.2,20.4,16,18.7,15.4,14.6,16.3,15.7,21.3,19.9,17.6,17.5,17.2,16.2,17.8
2003,24,17.8,19,17.5,15.5,14.2,13,-9999.9,-9999.9,17.1,15.4,20.2,17.3,20.5,17.3,13.6,16.2
2004,22.5,21.2,16.9,14.2,12.3,12.3,11.8,12.6,17.9,19.5,23.3,14.2,16.6,21.3,14.5,12.2,20.2
2005,19.1,20.6,18.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18,-9999.9,-9999.9,-9999.9
2006,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2007,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2008,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2013,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,20.2,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2014,20.8,23.8,20.9,13.9,16.5,19.6,13.2,17.9,17,-9999.9,-9999.9,22.1,18.6,21.6,17.1,16.9,-9999.9
