Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.8,20.1,16.7,14.4,12.7,14.8,14.6,12.4,14.8,13.8,12,14.8,14.6,17,14.6,13.9,13.5
1954,15,14.2,17.2,16.5,13.7,10.6,12.6,13.3,12,12.5,13.6,12.7,13.7,14.7,15.8,12.2,12.7
1955,15,13.3,17.3,14.2,13,12,12.4,11.5,13.6,14.1,16.5,16,14.1,13.7,14.8,12,14.7
1956,15.8,14.7,15,13.3,17.5,14.7,11.6,11.5,10.7,11.8,12,11,13.3,15.5,15.3,12.6,11.5
1957,14.7,14.5,15,17.5,14.1,13.9,11.8,11.4,12.7,12.8,14,15.5,14,13.4,15.5,12.4,13.2
1958,17.3,17.3,15.3,16.9,15.1,14.7,12.1,13.2,13.6,14.2,16.3,15.3,15.1,16.7,15.8,13.4,14.7
1959,18.3,18.5,20.1,13.1,14.3,14.1,13.8,10.7,13.3,15.8,16.1,14.4,15.2,17.4,15.8,12.9,15.1
1960,18.3,16,18.7,17,13.5,14.9,14.2,13.8,13.5,14.4,14.1,16.3,15.4,16.2,16.4,14.3,14
1961,16.8,13.7,17,13.9,17.1,14.9,13.1,12.9,11.3,14,12.5,16.7,14.5,15.6,16,13.6,12.6
1962,18.3,13.1,18,17.1,14.9,14.3,14.4,13.8,12.8,16.3,14,13.8,15.1,16.1,16.7,14.1,14.3
1963,14.2,17.7,14,16.4,13.9,14.7,12.4,11.9,13,13.1,15.9,16.1,14.5,15.3,14.8,13,14
1964,14.8,16.2,17.3,12.9,15.9,13.4,10.8,12.6,11.2,11.8,11.8,13.7,13.5,15.7,15.4,12.3,11.6
1965,13.9,13.7,16.8,13,13.4,13.1,11.2,10.9,9.7,12.2,13.1,10,12.6,13.8,14.4,11.7,11.7
1966,14.4,10.8,11.4,10.2,10.3,9.8,11.4,10.6,11.4,11.5,10.3,12.6,11.2,11.8,10.6,10.6,11.1
1967,10.9,14.5,14.1,15.8,16.6,12.2,12.1,11.6,11.9,12,13.7,14,13.3,12.7,15.5,12,12.5
1968,15.1,13.8,15,17,12.4,13.1,12.5,13,9.2,13.3,14.6,17.4,13.9,14.3,14.8,12.9,12.3
1969,12.4,18.3,15.3,15.7,17.9,13,12.5,11.6,12.8,14.2,11.4,15,14.2,16,16.3,12.4,12.8
1970,13.7,14.6,14.3,13.6,13.4,14.9,13.5,11.7,11.8,11.9,10.9,16.4,13.4,14.4,13.8,13.4,11.5
1971,13.2,13.8,17.5,15.2,13.9,14.1,12.9,14,12.5,11.9,14.2,13.4,13.9,14.5,15.5,13.7,12.9
1972,12.4,16.3,15.2,14.9,17.5,14.8,12.6,13.3,14.3,14.5,14.8,12.8,14.4,14,15.9,13.6,14.5
1973,14.8,15.4,13.8,17.8,15.8,15,13,10.6,12.6,13.8,14.4,14.9,14.3,14.3,15.8,12.9,13.6
1974,13.3,16.4,20.6,12.9,15.4,13.2,10.7,10.2,10.5,12.7,13.5,12.1,13.5,14.9,16.3,11.4,12.2
1975,11.3,11.9,16,15.9,14.4,13.4,12.4,10.7,10.5,13.6,13.8,13.8,13.1,11.8,15.4,12.2,12.7
1976,12.7,15.7,17.7,16.6,19.3,14.7,13.1,11.7,11.3,13.5,13.3,15.7,14.6,14.1,17.9,13.2,12.7
1977,14.3,11.6,15.1,15.8,15.2,11.9,13,10.9,11.4,11.7,10.5,14.4,13,13.9,15.4,11.9,11.2
1978,13.6,13.1,15.6,13.2,13.5,14,11,9.9,12.3,11.6,12,13.7,12.8,13.7,14.1,11.6,12
1979,14.3,19.4,16.3,14,13.2,13,12.3,11.2,12.9,10.9,11.4,14.7,13.6,15.8,14.5,12.2,11.8
1980,17.2,12.9,16.9,13.3,13.5,13.4,10.7,9.8,12.8,13.6,15.5,13.5,13.6,15,14.6,11.3,14
1981,13.3,14.4,14.6,17.6,14.9,13.2,12.6,11.7,13.7,13.1,15.1,14,14,13.7,15.7,12.5,14
1982,16.7,16,15.4,19.7,14.9,12.9,14.1,12.8,11.4,11.8,14,14.5,14.5,15.5,16.7,13.2,12.4
1983,12.9,15.9,17,16,16.4,12.5,12.4,12.3,12.8,14.3,16.6,15.3,14.5,14.4,16.4,12.4,14.5
1984,9.6,12.8,18.3,17.3,16.2,14.5,13.1,10.9,13.2,11.3,13.4,13.1,13.6,12.6,17.3,12.8,12.6
1985,16.1,13.5,16.6,15.6,14.6,15.3,13.4,10.9,11,14,13,10.9,13.7,14.2,15.6,13.2,12.7
1986,15.3,12.5,14.1,13.8,15.1,12.9,11.4,10.2,10.5,11,11.6,11.9,12.5,12.9,14.3,11.5,11
1987,13.2,16.7,13.6,14.3,13,11.4,11.4,10.2,13.3,10.6,12.1,14.1,12.8,13.9,13.7,11,12
1988,12.9,12.5,15.1,18,15.6,14.1,9.7,10.9,13.2,13.7,14.5,11.3,13.5,13.2,16.2,11.6,13.8
1989,12,11.7,13.5,13,12.1,10.8,11.2,10.9,10.8,10.7,14.4,14.4,12.1,11.6,12.8,10.9,12
1990,13.1,13.2,13.5,13.8,15.4,13.1,10.3,9.7,11.3,15.1,14.5,13.7,13.1,13.6,14.3,11,13.6
1991,11.3,10.8,16.5,11.9,14,12.8,11.3,12.9,12,14.5,13.4,13.4,12.9,11.9,14.1,12.3,13.3
1992,14,15.9,15.2,16.5,14.4,10.7,11.1,11.1,11.6,11.3,9.5,14.6,13,14.4,15.3,11,10.8
1993,13.9,14.3,17.2,16.8,12.9,13.1,11.3,10.6,12.7,13.4,13.6,13.9,13.7,14.3,15.6,11.7,13.3
1994,13.5,14.3,12.8,14.2,15.8,13.6,11.4,11.5,10.5,11.6,15.5,12.7,13.1,13.9,14.3,12.1,12.6
1995,12.5,13.6,12.8,12.5,12.6,10.7,9.9,10.6,10.2,11.3,13,13.2,11.9,12.9,12.7,10.4,11.5
1996,14.5,13.1,13.3,15.4,13,12,11.9,8.8,12.3,13.4,12.3,13.7,12.8,13.6,13.9,10.9,12.7
1997,15.3,11.9,15.2,16.4,14.6,9.9,10.1,8,9.9,9.6,11.9,10.9,12,13.6,15.4,9.3,10.4
1998,14.4,11.2,13.3,14.3,11.1,10.9,9.9,9.6,9.3,14.7,11.6,12.7,11.9,12.1,12.9,10.1,11.9
1999,12.2,14.8,18.6,16.1,13.9,13,11.4,11,12.1,14,14,12.9,13.7,13.2,16.2,11.8,13.4
2000,15,13.5,13.9,15.5,14.1,12.2,11.2,10,11.3,13.8,13.8,15.1,13.3,13.8,14.5,11.1,13
2001,9.6,13.8,15.5,13.8,12.9,11.9,11.5,11.2,11.1,12.1,13.1,12.5,12.4,12.9,14.1,11.5,12.1
2002,11.1,14.7,14.4,15.6,16,13.3,11.1,10.2,11.9,12.6,13.7,15.6,13.4,12.8,15.4,11.5,12.7
2003,12.4,15.2,14.9,13.1,12.8,12.6,12.2,11,10.3,13.4,12.8,15.4,13,14.4,13.6,11.9,12.2
2004,14,15.6,13.4,14.4,14.2,11.5,9.4,9.8,11.4,11.5,13.9,12.2,12.6,15,14,10.2,12.3
2005,13.5,10.5,15.1,14.4,15.3,13.2,9.8,10,11.8,13.4,11.6,12.9,12.6,12.1,14.9,11,12.3
2006,13.3,14.2,12.3,16,12.3,12.6,10.5,10.3,9.5,12.3,10.7,12.4,12.2,13.5,13.5,11.1,10.8
2007,12.2,12.7,17,15.8,13.3,11.4,9.9,10.2,12,11.4,14,13,12.7,12.4,15.4,10.5,12.5
2008,11.9,11,13.8,12.2,13.1,11.6,10.9,9.8,11.6,12.3,11.4,13.7,11.9,12,13,10.7,11.8
2009,11.3,14.1,13.7,14.4,13.4,12.4,10.3,9.8,10.4,11.6,10.4,13.3,12.1,13,13.8,10.9,10.8
2010,13.6,15,15.4,12.9,13.4,10.6,11.3,9.2,11.2,13.1,12.6,15.2,12.8,14,13.9,10.4,12.3
2011,12.6,13.8,14.6,14.4,15.8,11.8,10.5,11.2,9.6,13.1,12.2,11.6,12.6,13.9,14.9,11.2,11.6
2012,12.1,11.9,13.7,14.2,11.4,13.4,10.7,9.8,11.6,11.4,11.4,14,12.1,11.9,13.1,11.3,11.5
2013,12.8,14.7,16.2,13.6,13.4,11.8,9.8,10.3,11.6,9.8,14,12.1,12.5,13.8,14.4,10.6,11.8
2014,13,12,15.9,15.1,12.6,12.1,12.9,9.5,11.8,12.8,13.3,12.9,12.8,12.3,14.6,11.5,12.6
