Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1969,10.9,9.9,13,13.1,13.8,12.9,12.2,9.2,10.5,13.9,8.7,11.7,11.6,10.4,13.3,11.4,11
1970,13.8,12.2,16.2,16.7,12.9,12.2,10.7,9,9.5,10.3,9.8,17,12.5,12.6,15.2,10.6,9.9
1971,15,9.5,17.2,12.5,11.2,11.6,6.1,8.1,10.2,10,13.5,12.5,11.4,13.8,13.6,8.6,11.2
1972,11.3,15.6,-9999.9,13.7,13.5,9.5,7.7,9.8,10.1,10.4,10.6,8.2,11,13.1,13.6,9,10.4
1973,11,11.6,11.8,13,9.4,9.9,8.1,7,10.9,10.8,9.7,10.6,10.3,10.3,11.4,8.3,10.5
1974,11,14.1,19.1,12.5,15.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,11,10.1,-9999.9,11.9,15.7,-9999.9,-9999.9
1975,9.6,10.8,13.3,14.1,9.2,11.7,8.6,7.3,7.7,11.5,14.1,12.6,10.9,10.2,12.2,9.2,11.1
1976,10.9,12.7,14.9,13.3,17.4,13.1,10.8,12.9,11.5,14,12.4,15.9,13.3,12.1,15.2,12.3,12.6
1977,13.1,10.3,11.8,16.4,12.3,10.1,10.7,10,10.5,11.5,12.4,16.6,12.2,13.1,13.5,10.3,11.5
1978,12.4,12.4,14.8,14.5,11.2,11.1,9,9.7,12.1,11.1,13.4,13.6,12.1,13.8,13.5,9.9,12.2
1979,12.9,18.9,12.1,10.7,11.6,10,7.5,7.5,9.7,-9999.9,8.2,11.4,11,15.1,11.5,8.3,8.9
1980,15.1,11.1,14.5,9.2,9.6,9.8,7.3,7.5,11.2,10.6,13.4,13.4,11.1,12.5,11.1,8.2,11.8
1981,12.9,13.2,13.4,12.6,10.5,10.6,9.6,7.2,7.7,10.2,11.6,11.1,10.9,13.2,12.2,9.1,9.8
1982,16.9,15.8,15,15.5,12.2,9.9,9.3,8.6,8.2,9.6,10.2,11.6,11.9,14.6,14.2,9.3,9.3
1983,11,12.5,12.7,10.8,12,10.1,9.5,8.9,9.2,10.9,12.4,13.6,11.1,11.7,11.8,9.5,10.8
1984,8.5,11.8,13.3,11.1,11.9,10.4,9.1,7.8,10.9,9.8,11.5,11.8,10.7,11.3,12.1,9.1,10.7
1985,14.9,12,16.3,14.8,11.6,10.9,10.2,9.1,9.3,13.5,12.7,12.6,12.3,12.9,14.3,10.1,11.8
1986,14.6,14,13.4,11.9,10.5,12.8,11.5,9.9,10.6,10.3,12.8,12.3,12,13.7,11.9,11.4,11.2
1987,12.4,15.6,12.8,12.3,13.3,10.8,10.6,9.3,10.5,10.8,12.9,13.8,12.1,13.5,12.8,10.2,11.4
1988,12.1,12.1,15.5,12.4,11.4,11.9,8.6,9.4,12.1,10.8,14.6,11.1,11.8,12.7,13.1,10,12.5
1989,12.8,11,12.4,12.4,11,9.9,10.4,10.4,11.2,9.9,13.5,14.4,11.6,11.6,11.9,10.2,11.5
1990,10.8,12.7,13.2,11.8,12.9,10.7,9.9,9.4,11.1,12.6,13.8,12.8,11.8,12.6,12.6,10,12.5
1991,12.6,10.8,12.5,12.1,12.4,12,9,10,9.6,10.5,10.3,12.1,11.2,12,12.4,10.3,10.1
1992,12.5,11.9,13,12.6,12.8,9.5,10,9.3,8.4,10.8,9.8,10.4,10.9,12.1,12.8,9.6,9.7
1993,10.5,10.3,12.9,11.8,11.8,10.3,9.6,9.4,11.6,11.9,13.1,11.9,11.2,10.4,12.2,9.7,12.2
1994,13,12.5,11.3,12.3,10.8,10.7,9.6,10.2,9.7,10,15.1,11.6,11.4,12.5,11.5,10.1,11.6
1995,10.8,12.5,12.3,10.9,9.3,10.7,10.2,10.2,11.3,11.1,11.6,14.5,11.3,11.7,10.8,10.4,11.3
1996,14,10.8,13.6,9,11.9,10.6,9.7,8.8,9.1,12.4,11.8,12.5,11.2,13.1,11.5,9.7,11.1
1997,13.7,9.8,13.4,13.4,12.6,10.3,11.4,9.6,9.2,9.6,10.2,9.3,11,12,13.1,10.4,9.7
1998,10.7,7.5,9.8,9.1,8.6,9.6,9.8,9.5,9.4,12.3,12.1,14.3,10.2,9.2,9.1,9.7,11.2
1999,13.3,12.7,15,12.5,12.1,10.3,10.1,9.4,9.2,13,13.3,10.5,11.8,13.4,13.2,9.9,11.8
2000,11.9,12.7,10.7,12.9,11.4,11.4,9.1,8.4,10.8,10.6,8.6,16,11.2,11.7,11.7,9.6,10
2001,9.8,14,11.7,12.7,9.2,11.3,9.5,9.3,9.3,11.1,10.7,12.6,10.9,13.3,11.2,10,10.4
2002,9.1,12.3,15.4,12.8,12.7,10.8,9,9.6,9.8,13.1,10.2,12.3,11.4,11.4,13.6,9.8,11
2003,11.4,15.4,11.4,11.9,8.8,10.1,9.3,9.5,8.6,11.9,11.9,11.6,11,13,10.7,9.6,10.8
2004,14.5,14.5,10.6,10.9,13.2,11.6,8.1,8.3,9.9,9,10.8,12.5,11.2,13.6,11.6,9.3,9.9
2005,12.7,9.9,12,13.8,10.2,10.9,9.5,9.4,11.1,10.1,12.4,13.2,11.3,11.7,12,9.9,11.2
2006,11.2,10.9,11.5,11.9,9.7,9.2,9.4,10.2,9.1,11.7,9.3,12.1,10.5,11.8,11.1,9.6,10
2007,12.3,13.2,15.4,12.1,10.9,9.2,7.8,8.8,11.7,11.8,11.6,12.2,11.4,12.5,12.8,8.6,11.7
2008,11.2,10.4,12,11.4,10.2,9.4,8.4,9.4,9.6,11.1,11.1,11.9,10.5,11.3,11.2,9.1,10.6
2009,11.9,12.1,12,13.1,11.9,10.1,8.2,9.5,9.1,9.7,9.5,12.2,10.8,12,12.4,9.3,9.4
2010,12.6,12.4,11.9,10.1,13.1,10.2,7.9,8.1,9.7,12.3,9.5,15.9,11.1,12.4,11.7,8.7,10.5
2011,11.2,12.6,12.9,13.2,8.9,9.9,8.4,9.3,9.8,10.4,10.5,9.7,10.6,13.2,11.6,9.2,10.2
2012,11.5,10.4,12.3,13.1,11,9.8,8.6,8.2,9.6,11.1,10.1,12.4,10.7,10.5,12.1,8.9,10.3
2013,14.8,13.1,11.8,12.7,9.8,10.5,10.2,10.5,10.4,10.7,13.8,12.1,11.7,13.4,11.4,10.4,11.6
2014,14.4,11.4,15,13.8,9.4,9.5,10.5,9.1,11.7,10.8,12.9,12.2,11.7,12.7,12.7,9.7,11.8
