Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16,14,18.2,15.9,16.7,16.7,13.4,10.6,15.4,13.8,15.2,13.8,15,15,16.9,13.6,14.8
1954,14.2,15.6,13.5,18.1,17,15.7,15.6,15.1,14,14.2,15.5,14.2,15.2,14.5,16.2,15.4,14.6
1955,11.1,15.1,16,18.6,19.4,20,19.7,18.4,18.3,15.8,18.7,14.2,17.1,13.5,18,19.4,17.6
1956,12.7,14,14.8,18.2,19.1,20.7,16.1,18.3,17.2,16.3,16.7,13.9,16.5,13.7,17.4,18.4,16.7
1957,14.3,15.8,14.5,14.8,16.2,15.3,14.9,14.1,16.7,15.7,15.4,13.5,15.1,14.7,15.2,14.8,15.9
1958,14.1,13.1,13.5,17.2,17.4,16.1,15.7,15,15.7,14.1,12.6,13.4,14.8,13.6,16,15.6,14.1
1959,16.7,15.1,16.7,18.8,21.9,19.7,16.5,15.3,17.3,16.3,15,13,16.9,15.1,19.1,17.2,16.2
1960,13,13.3,16.1,16,16.8,17.8,17.7,15,16.9,14,13.8,16.6,15.6,13.1,16.3,16.8,14.9
1961,14.2,12.6,17.3,17.7,17.2,16.4,15.6,14,17.1,13.9,15,13.3,15.3,14.4,17.4,15.3,15.3
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1967,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1968,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1969,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1970,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18.3,14.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1971,18.6,16.8,11.9,16.6,14.5,15,16.4,15.4,17.8,18.8,15,16.9,16.2,16.7,14.4,15.6,17.2
1972,18,18.6,14.2,14.7,15,17.2,15.4,15.2,18.4,19.4,12.6,11.5,15.9,17.9,14.6,15.9,16.8
1973,14.6,15.1,13.4,15.5,13.4,16.5,13.3,15.5,18.6,18.6,15.9,10.1,15.1,13.8,14.1,15.1,17.7
1974,10.5,11.5,14.4,14.8,15.2,19.3,15.5,15.8,17.3,18.9,19,10.3,15.2,10.7,14.8,16.9,18.4
1975,14,15.8,15.3,13.7,15.2,12.5,16,16.7,18.2,17.7,17.5,16.2,15.7,13.4,14.7,15.1,17.8
1976,16.6,15.9,13.9,14.8,18.1,16.7,18.3,16.2,17.5,17.3,19.3,15.8,16.7,16.2,15.6,17,18
1977,13.9,11.3,12.7,14.9,17.3,13.1,15.7,17.1,12.9,17.6,15.9,14.8,14.8,13.6,15,15.3,15.5
1978,14.6,13.4,13.5,13.8,14.2,13.9,16.2,15.4,13.5,16.9,16.6,15.1,14.8,14.3,13.8,15.2,15.7
1979,16.3,11.9,17.3,14.7,18.4,16.9,15,15.4,16.7,15.3,16.9,15,15.8,14.4,16.8,15.7,16.3
1980,13.3,14.3,15.2,14.7,17.5,17.5,16.2,16.3,17.1,17.4,12.8,13.7,15.5,14.2,15.8,16.7,15.8
1981,12.7,11.5,12.3,12.3,14.2,14.6,16.5,12.3,18,20.9,15.9,12.5,14.5,12.6,12.9,14.5,18.3
1982,17.2,17.3,18.9,15.6,17.1,17.3,15.9,17.6,21,19.1,20,16.3,17.8,15.7,17.2,16.9,20
1983,15.6,14,12.7,14.2,16.7,16.3,13.4,12.8,18,16.5,16.8,15,15.2,15.3,14.5,14.2,17.1
1984,14.9,9.4,12.7,18.8,13.4,14.4,13.1,14.5,16,16.4,17.4,13.9,14.6,13.1,14.9,14,16.6
1985,16.3,9.3,13.1,13.7,16,16.3,18,15.9,18,15.4,14.6,17.3,15.3,13.2,14.3,16.7,16
1986,13.5,10.4,12.8,16.4,12.1,16.8,15.3,17.2,15.4,17.3,13.2,13.7,14.5,13.7,13.7,16.4,15.3
1987,13.1,11.1,13.4,16.9,16.2,19.2,13.8,17.9,16.9,19.1,21,10.8,15.8,12.7,15.5,17,19
1988,15.2,18.4,14.9,17.3,14.4,14.1,10.7,13.2,14.4,17.3,13.1,16.4,14.9,14.8,15.5,12.7,14.9
1989,14.1,18.9,13.2,15.5,15.1,14.1,13.7,14.3,18.2,18.3,14.7,15.5,15.5,16.5,14.6,14,17.1
1990,14.5,17.9,21.5,19.2,15.1,14.7,13.8,15.3,16.7,18.7,18.3,16.2,16.8,15.9,18.6,14.6,17.9
1991,16.1,16.3,13.6,16.8,16.4,14.3,16.3,15,20.8,16.8,16.5,12.2,15.9,16.2,15.6,15.2,18
1992,13.6,11.6,12.8,14.5,14.5,17.1,11.8,12.5,17.4,14.4,12.5,13.8,13.9,12.5,13.9,13.8,14.8
1993,16.9,13.3,12.3,8.4,16.2,17.8,15.1,13.9,20.2,20.7,18,13.2,15.5,14.7,12.3,15.6,19.6
1994,14.9,14.1,14.4,14.5,15.9,13.1,14.1,15.6,16.4,16.5,17.1,13.2,15,14,14.9,14.3,16.7
1995,11.3,13.4,12,15.5,12.3,13.9,15,16.8,16.5,14.6,14.6,10.1,13.8,12.6,13.3,15.2,15.2
1996,15.1,14,14.6,12.4,12.4,13.5,10.8,14.2,14.6,16.4,16.6,11.5,13.8,13.1,13.1,12.8,15.8
1997,11.2,15.4,11.3,16.1,13.6,15,13.2,15.2,15.9,19.7,16.1,13.1,14.7,12.7,13.7,14.5,17.2
1998,12.3,13.4,15.1,14.5,16.1,16.2,16.5,13.5,16.3,15,13.5,16.1,14.9,12.9,15.2,15.4,14.9
1999,14.5,12.5,12.8,13.1,16.2,13.6,13.7,15.7,18.7,14.8,15.1,16.9,14.8,14.4,14,14.3,16.2
2000,15,17.1,14.8,14.5,16.9,16,12.9,13.6,17.8,16.7,16.9,14.4,15.6,16.3,15.4,14.2,17.1
2001,14.7,15,14.2,13.9,16.8,15.3,15.6,14.1,15.4,17.9,14.5,14.3,15.1,14.7,15,15,15.9
2002,12.5,13.8,16.1,17.2,15.9,14.5,15.1,16.9,16.2,17.8,17.1,17.8,15.9,13.5,16.4,15.5,17
2003,19.3,15.4,16.8,15.5,16.7,14.1,13.8,15.4,16.7,13.9,16.6,13.5,15.6,17.5,16.3,14.4,15.7
2004,13.8,14.5,16.7,16.6,15.5,15.8,14,14.9,15.3,19,16.2,15.9,15.7,13.9,16.3,14.9,16.8
2005,17,14.1,14.8,18,17.5,15.3,16.5,14.9,15.3,13.7,15.2,14.7,15.6,15.7,16.8,15.6,14.7
2006,10.5,14.3,11.5,14.4,16.8,13.4,14.3,15.5,16,20.5,16.1,14.5,14.8,13.2,14.3,14.4,17.5
2007,14,15.4,14.9,14.1,15.9,16.2,13.9,16.5,15.4,15.9,15.3,12.3,15,14.6,15,15.5,15.5
2008,15.6,14.8,13.6,15.1,15.8,13.5,12.8,16.2,16.3,16.1,15.5,14.4,15,14.2,14.8,14.2,15.9
2009,15.5,12.4,14.1,13.4,17.7,13.9,14.1,12.8,15,17.4,11.2,13.5,14.3,14.1,15.1,13.6,14.6
2010,14.2,10.5,12.7,16.3,16.3,13.9,11.9,16.8,17.3,19.5,15.4,13.1,14.8,12.8,15.1,14.2,17.4
2011,10.5,18.8,13.9,14.7,18,16.6,13.6,13.6,16.1,17,16.4,16.7,15.5,14.1,15.5,14.6,16.5
2012,14.5,13.8,16.1,14.7,16,15.4,13.3,13.6,18.6,16.2,15.4,15,15.2,15,15.6,14.1,16.7
2013,14.4,13.4,13.7,15.9,14.4,13.1,13.8,13.2,17.2,18.8,13.1,15.5,14.7,14.3,14.7,13.4,16.4
2014,17.6,17.1,14.7,12.9,13.4,14.6,13.6,15,15.4,-9999.9,-9999.9,-9999.9,14.9,16.7,13.7,14.4,-9999.9
