Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,14,17.5,16.2,19.1,18.9,17.6,17.4,16.6,16.3,16.8,14.9,16.2,16.8,15.8,18.1,17.2,16
1954,18,14.9,19.6,21.2,14.2,14.7,13.5,15.8,16,18.6,17.6,14.6,16.6,16.4,18.3,14.7,17.4
1955,17.1,16.9,22.3,14.3,12.6,12.1,15.6,17.5,19.9,17.3,17.4,16.7,16.6,16.2,16.4,15,18.2
1956,19.1,16.3,17.1,16.7,14.3,12.9,12.6,18.2,16.3,16.8,16,17.6,16.2,17.4,16.1,14.5,16.4
1957,19.4,15,16.6,17.9,15.1,11.5,16.1,19.1,17.6,19.3,15.5,16.8,16.7,17.3,16.5,15.6,17.5
1958,14.5,13.9,17,21.4,17.6,17.2,14.9,15.9,18.2,17.2,25.2,23.4,18,15,18.6,16,20.2
1959,17.2,20.6,16.8,15.3,15.9,14,14.9,15.2,22.6,22.2,20.1,19.1,17.8,20.4,16,14.7,21.6
1960,19.4,16.1,14.6,14.8,11.3,12.2,9.2,9.7,14.6,14,18.7,21.3,14.6,18.2,13.5,10.4,15.8
1961,18.9,14.8,16.9,18,18.8,16,14.6,15.3,17,15.4,17.1,20.2,16.9,18.3,17.9,15.3,16.5
1962,23.4,15.1,21.2,22.2,17.9,16.4,15.5,15.6,16.3,18.5,16.6,16.6,17.9,19.6,20.4,15.8,17.1
1963,17.1,19.4,18,22.1,16.6,18.3,13.7,15.2,16.8,18.2,16.7,21.8,17.8,17.7,18.9,15.7,17.2
1964,17,19.3,17.2,18.8,17.2,16.3,15.2,14.2,17.9,15.2,18.7,19.4,17.2,19.4,17.7,15.3,17.3
1965,18.7,15.5,22.1,19.3,14.8,16.1,15.4,16.4,17.4,16.7,17.3,14.9,17,17.8,18.8,16,17.1
1966,15.9,14.5,12.9,16.9,16.6,15.8,15.8,12.9,13.8,17.5,14.3,17.6,15.4,15.1,15.5,14.8,15.2
1967,13.6,18,13.9,16,14.6,15.7,13.9,11.1,12.8,13.4,13.4,12.1,14.1,16.4,14.8,13.6,13.2
1968,17.4,13.2,12.4,11.7,12.6,12.6,11.5,12.7,12.5,12.8,17.6,17.2,13.7,14.3,12.2,12.3,14.3
1969,15.1,12.6,15.5,16,17.2,16.3,18.8,17.6,21.1,19.1,14.5,19,16.9,15,16.2,17.6,18.2
1970,17.3,20.1,19.1,20.2,18.9,18.8,17,15.3,19,15.7,13.6,20.2,17.9,18.8,19.4,17,16.1
1971,16.9,14.8,22.9,18,17.2,16.4,15.1,15.1,16.4,18.2,17.3,15.6,17,17.3,19.4,15.6,17.3
1972,18.9,18.9,17.8,14,13.8,14.3,12.8,12.4,15.8,15.1,14,19.7,15.6,17.8,15.2,13.2,15
1973,16.2,13.7,15,11.3,10.5,10.9,14.3,12,16.4,15.3,16.7,19.9,14.3,16.6,12.3,12.4,16.1
1974,21.9,21.7,19.8,17.1,17,14.1,11.9,12.7,15.3,16,17.2,12.4,16.4,21.1,17.9,12.9,16.2
1975,13.8,16.2,16.9,17.5,12.8,14,15.8,16.4,15.5,17.1,17.3,18,15.9,14.1,15.7,15.4,16.7
