Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,11.3,17.5,13.9,16.7,15,14,15.2,12.2,16.6,13.9,10.7,15.7,14.4,14.4,15.2,13.8,13.8
1954,10.4,17.7,12.5,16.3,15,18.1,16.2,10.5,14.2,16,13.1,13.7,14.5,14.6,14.6,15,14.4
1955,10.7,13.5,15.6,16.1,18.1,18.9,14.4,16.9,15.1,16.1,11.4,11.5,14.9,12.7,16.6,16.7,14.2
1956,7.1,17.2,16.7,16.2,18.8,19.9,16.1,17,14.7,16.4,17.1,15.6,16.1,11.9,17.2,17.7,16.1
1957,13.4,15.4,12.6,15.5,17.6,16.5,17.7,13.6,17.4,14.2,15,11.9,15.1,14.8,15.2,16,15.6
1958,10.1,12.1,15,16.9,19.4,13.1,15.7,15.7,15.9,17.7,13.5,12.7,14.8,11.3,17.1,14.8,15.7
1959,13.1,15,17.8,17.7,19.7,15.5,18,17.4,15.5,14.1,16.3,15.6,16.3,13.6,18.4,17,15.3
1960,10.8,12.3,16.1,19.1,17.4,20.8,15.8,16.7,17.1,14.4,14,13.8,15.7,12.9,17.6,17.8,15.2
1961,11.1,13.6,10.9,17.9,15.5,14.6,12.3,15.5,17.5,19.3,13.4,9.7,14.3,12.8,14.8,14.2,16.7
1962,17.3,9.3,11,17.4,15.2,19.1,12.3,16,12.6,14.3,11.3,11.6,13.9,12.1,14.5,15.8,12.7
1963,17.7,10.9,16.7,12.6,17.3,18,15.9,13.3,13.4,14.1,13.3,13.7,14.7,13.4,15.5,15.8,13.6
1964,12.3,22.6,13,20.2,19.5,18.4,16,16.2,15.9,15.7,13.6,10.8,16.2,16.2,17.6,16.9,15.1
1965,13.4,13,11.9,12.6,18.5,17.7,15.4,14.5,14.6,17.5,9.3,13.8,14.3,12.4,14.4,15.9,13.8
1966,10.7,11,14.6,14.5,20,18.2,13.9,14,15.1,20.6,16.8,12.8,15.2,11.8,16.4,15.3,17.5
1967,14.1,16.9,17.3,16.4,20,16.7,18.5,15.7,16.9,19.4,17.2,12.6,16.8,14.6,17.9,17,17.8
1968,12.3,13.1,15.4,20.7,17.2,18.3,14.2,11.9,16.4,15.4,13.7,12.1,15.1,12.7,17.8,14.8,15.2
1969,9.2,10.2,14.9,14.4,17.2,15.6,17.4,17.4,13.1,11.8,14.5,11,13.9,10.5,15.5,16.8,13.2
1970,14.7,14.9,15,18.3,22.4,19.2,18.5,19.6,19.9,15.3,10.4,13.5,16.8,13.5,18.6,19.1,15.2
1971,14.6,14.1,16,16.3,19.4,17.5,15.4,13.8,17,15.8,13.8,15.6,15.8,14.1,17.2,15.6,15.6
1972,18.4,14.4,15.1,20.7,18,20.1,15.7,13.5,17,18.1,13.8,15,16.7,16.1,18,16.5,16.3
1973,14.5,16.9,15.6,14.8,18.8,20.8,19.6,18.9,15.5,17.6,13.1,10.6,16.4,15.5,16.4,19.8,15.4
1974,17,17,15,13.5,16.9,21.2,16.9,14.7,15.3,16.2,10.7,12.5,15.6,14.9,15.1,17.6,14.1
1975,15.8,12,12,12.8,19.9,19.2,15.2,18,14,14.2,11.6,13.3,14.8,13.4,14.9,17.5,13.2
1976,14.8,12.6,12,12.3,19.4,14,13.7,11.6,12,13.5,14.4,12.9,13.6,13.6,14.5,13.1,13.3
1977,13.6,14.2,12.7,17.4,16.9,18.1,13.3,10.8,14.2,16.9,14.1,9.3,14.3,13.5,15.7,14.1,15.1
1978,10.9,13,14.2,14.7,16.8,18.1,15,13.3,12.4,18,15.1,16.9,14.9,11,15.3,15.5,15.1
1979,9.4,10.7,12.3,12.6,18.5,16.7,13.3,13.9,13.9,14.5,9.7,12.6,13.2,12.3,14.4,14.6,12.7
1980,9.9,9.5,10.3,11.3,15.4,14.3,16.5,14.2,13.2,13.5,14.5,11.4,12.8,10.7,12.4,15,13.7
1981,8.7,12.9,10.2,17,14.6,16,13.8,12.9,12,14.2,8.8,11.1,12.7,11,13.9,14.2,11.7
1982,9.7,11.4,12,14,16.3,12.8,12.7,14.4,12.2,14.6,10.1,9.4,12.5,10.7,14.1,13.3,12.3
1983,10.5,9.3,11.5,13.3,17.3,14.7,13.2,13.2,13.9,13,9.1,9.3,12.4,9.7,14,13.7,12
1984,15.3,12.4,12.7,14,16.1,15.3,16.4,14.5,12,12.8,7.5,12.4,13.4,12.3,14.3,15.4,10.8
1985,13.5,13.7,16.6,18.7,16.1,16.7,14.2,13.1,14.9,14,11.8,13.7,14.7,13.2,17.1,14.6,13.6
1986,9.7,9.7,13.7,15.9,13.7,19.1,14.5,13.9,10.9,12.8,14,11.2,13.3,11,14.4,15.8,12.5
1987,10.5,9.6,11.8,16.2,16.1,17.9,12.6,12.5,14.5,14.7,9.7,11.6,13.2,10.4,14.7,14.3,13
1988,11.2,15.8,12.2,16.3,17.3,14.5,15.5,14.9,15.1,13.4,10.5,10.9,14,12.9,15.3,15,13
1989,16.3,11.6,12.7,13.4,17.9,12.7,10.4,9.6,12.1,11.1,13.3,12,12.8,12.9,14.7,10.9,12.2
1990,12,12,12.4,13.1,14.4,15.3,9.3,14.1,15,15.2,12,12.2,13.1,12,13.3,12.9,14.1
1991,12.3,11.8,11.7,11.8,13.8,15.7,15.4,12.5,15.5,16,12.4,14.6,13.6,12.1,12.4,14.5,14.6
1992,11.3,12.1,13.4,16,17.8,16.7,13.3,14.5,16.9,14.8,12.3,10.5,14.2,12.7,15.7,14.9,14.7
1993,10.3,13,13.7,13,16.3,17.7,13,11.2,13.9,13.7,15.1,13.4,13.7,11.3,14.3,14,14.2
1994,10.3,12.5,13.9,15.3,17.2,15.7,13.4,11.5,14.2,13.7,13.3,9.2,13.3,12.1,15.5,13.5,13.7
1995,5.8,13.5,12,16.5,14.5,13.9,14.3,14.2,12.2,14.9,11.9,9.8,12.8,9.5,14.3,14.1,13
1996,9.3,11.5,15.1,15.8,15,17,15.9,15.4,13.5,14.5,13.6,11.1,14,10.2,15.3,16.1,13.9
1997,13.6,11.5,15.3,16.5,17.6,18.1,15.4,11.5,11.8,11.7,7.4,12.8,13.6,12.1,16.5,15,10.3
1998,6.7,7.7,13.8,13.5,14,12.7,15.6,15.3,14.7,14.4,9.5,14.9,12.7,9.1,13.7,14.5,12.8
1999,12.5,11,12.4,15.5,19.5,17.6,17.1,14.2,13,17.2,9.6,12.7,14.4,12.8,15.8,16.3,13.3
2000,7.3,5.5,10.2,17.1,18.2,18.3,16,16.5,16.9,13.3,12.7,11.1,13.6,8.5,15.2,16.9,14.3
2001,12.9,12.3,17.2,17.5,21.5,14.4,12.5,12.6,15.1,15.7,11.1,7.6,14.2,12.1,18.7,13.2,14
2002,10.8,14.9,12.3,13.8,18.8,15.3,18.5,16.9,13.9,13.1,11.3,8.5,14,11.1,15,16.9,12.7
2003,10.5,10.4,12.4,12.7,17,18.2,17.3,14.9,15.7,14.2,10,9.5,13.6,9.8,14,16.8,13.3
2004,10.3,9.5,15.8,15.4,14.4,12.4,12.8,10.8,17.7,14.8,15.3,16.6,13.8,9.8,15.2,12,15.9
2005,9.9,12.3,16.2,15.4,16.1,12.6,16.2,13.1,17.1,11.6,14,12.1,13.9,12.9,15.9,14,14.3
2006,10.8,14.8,14.4,15.1,18.1,17.1,16.5,15.7,15.8,14,13.9,13.2,15,12.5,15.9,16.4,14.6
2007,15.6,12,12.6,16,17.1,15.7,14.5,13,15.9,15.7,14,10.2,14.4,13.6,15.2,14.4,15.2
2008,10.2,11.4,14.1,19.3,18.5,16.9,17.3,15.4,15.4,16.2,13,13.6,15.1,10.6,17.3,16.5,14.9
2009,14.3,10.1,14.7,13.4,17.4,18.5,13.5,14.7,16.7,14.2,14,9.6,14.3,12.7,15.2,15.6,15
2010,8.7,6.8,12.1,15.2,15.5,15.4,17.2,14.7,13.4,14.8,12.6,9,13,8.4,14.3,15.7,13.6
2011,15.3,17.2,12.5,14.7,16.2,15.7,15.1,12.3,12.6,14.3,12.3,15.1,14.5,13.8,14.5,14.4,13.1
2012,15,10.9,12.1,16.8,19.6,17.7,11.6,12.9,14.8,14.1,10.5,9,13.8,13.6,16.2,14.1,13.1
2013,10.7,13,10.2,18.9,17.3,13.4,12.4,11.4,11.7,13.4,11.7,14.7,13.2,10.9,15.5,12.4,12.2
2014,15.1,10,14.1,15.5,13.8,13.4,13.1,13.8,13.4,11.8,9.7,8,12.6,13.2,14.4,13.4,11.7
