Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,19.8,26,24,19.9,16.1,16.4,16.1,16,18,20,16.7,22.2,19.3,22.9,20,16.2,18.2
1954,21.4,19.4,22.5,20.9,20.6,16.1,15,17.2,17.3,19.3,19.6,22.3,19.3,21,21.3,16.1,18.7
1955,20.7,18.8,23.9,20.6,19.4,17.8,16,14.6,16.9,19.7,25.8,24.9,19.9,20.6,21.3,16.1,20.8
1956,25.5,24,24.9,21.3,22.8,21.5,18.2,17.7,17.2,19.2,20.7,21.8,21.2,24.8,23,19.1,19
1957,24.6,24.1,24.6,25.4,21.7,20.5,18.7,17.1,18.9,18.6,21.5,25.6,21.8,23.5,23.9,18.8,19.7
1958,26,25.1,23.5,26.2,21.4,21.1,18.2,19,20.4,19.4,23.2,23.2,22.2,25.6,23.7,19.5,21
1959,21.6,22.7,28.9,19.5,19.4,17.8,16.9,15.8,16.4,19.9,22.6,20.6,20.2,22.5,22.6,16.8,19.6
1960,22.4,21.2,23.4,21.6,15.9,18.6,17.2,16.1,16.6,18.9,20.4,20.8,19.4,21.4,20.3,17.3,18.6
1961,24.2,18.6,23.4,21.7,21.9,15.8,14.9,15.9,15.5,18.2,18.2,21.9,19.2,21.2,22.4,15.6,17.3
1962,25,19.3,21.8,21.9,17.7,16.8,14.9,17.2,17.9,27.3,24.4,25.6,20.8,22.1,20.5,16.3,23.2
1963,26.6,28.9,25.8,26.7,21.4,25.2,21.7,20.3,22.4,24.3,29.9,30.2,25.3,27,24.6,22.4,25.5
1964,31.3,30.3,31.6,21.6,26,22.4,19.8,21.7,20.5,19.3,18.6,22.3,23.8,30.6,26.4,21.3,19.5
1965,22.2,22.2,23.4,19.5,18.6,19,15.7,18.1,14.2,18.5,21.4,16.9,19.1,22.2,20.5,17.6,18
1966,24.4,22.5,19.4,18.2,20.1,18.2,16.5,17.7,18.1,19.9,17.5,19.7,19.4,21.3,19.3,17.5,18.5
