Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,20.2,17.5,24.5,20.5,22,17.4,15.4,15,15,18,18.4,20.8,18.7,18.8,22.4,16,17.1
1962,23.3,20.4,22.4,22.9,17.6,17.5,16.6,18,17.3,20.1,20,22,19.8,21.5,20.9,17.4,19.1
1963,20.3,21.3,20,20.9,17.6,18.5,15.9,15.8,16.4,16.7,22.2,19.6,18.7,21.2,19.5,16.7,18.4
1964,21.6,20.9,23.1,18.2,18.8,17.8,14.5,15.2,15.1,15.4,18.5,19.1,18.2,20.7,20,15.8,16.3
1965,20.5,20.2,20.8,18.7,17.5,16.6,14.2,15.9,14,18,18,14.6,17.4,19.9,19,15.6,16.7
1966,20.1,18.1,17.5,14.4,15.8,16.3,15.4,14.2,16.5,18.6,17.9,21.8,17.2,17.6,15.9,15.3,17.7
1967,19.6,22.7,17.8,18.8,19.5,16.9,15.5,16.4,17.7,15.9,17.4,19.2,18.1,21.3,18.7,16.3,17
1968,20,17.5,19.6,20.6,19.7,20.9,18.9,16.3,12.7,16.7,18.2,20.6,18.5,18.9,20,18.7,15.9
1969,19.2,19.1,20.7,20.2,21.7,17.1,16.7,15.6,14.2,16.4,16.1,18.7,18,19.6,20.9,16.5,15.6
1970,16.2,19.8,18.7,17.7,17.4,19.4,18.5,15.1,14.7,15.7,16,20.3,17.5,18.3,17.9,17.7,15.5
1971,19.4,19.2,20.6,19.9,17.5,17.1,16.5,17.7,15.7,17,20.5,21.1,18.5,19.6,19.3,17.1,17.7
1972,20.8,21.4,21.7,18.3,19.9,17.5,14.3,17.1,17.6,19.6,21.3,20.1,19.1,21.1,19.9,16.3,19.5
1973,21.9,22.1,19.1,21.2,19.1,19.5,17.5,14.4,15.6,18.6,19.5,21,19.1,21.4,19.8,17.1,17.9
1974,19.6,22.8,25.2,19.9,18.7,16.4,14.9,14.4,15.3,17.1,17.5,18.4,18.4,21.1,21.3,15.2,16.6
1975,18,17.1,19.5,18.9,17.9,16.5,17.5,13.8,15.2,18.5,21.5,20.8,17.9,17.8,18.7,15.9,18.4
1976,20.5,21,20.2,17.7,21,16.8,15.5,16.8,17.4,16.5,18.9,22.9,18.8,20.8,19.6,16.3,17.6
1977,19.7,17.8,19.8,18.8,18.2,16.2,15.8,14.1,14.9,17.7,16.8,21.7,17.6,20.1,18.9,15.3,16.4
1978,20.2,17.7,21.3,20.4,17.1,17.5,14.5,14.2,16,16,16.5,20,17.6,19.9,19.6,15.4,16.2
1979,23.1,21.7,22.2,19.7,17.8,17.7,15.6,15,17.1,18,17.2,18.2,18.6,21.6,19.9,16.1,17.4
1980,21.8,18.3,22,18.8,16.7,17,16.1,13.6,17.6,16.7,20.5,17.6,18.1,19.5,19.2,15.6,18.3
1981,18.6,19.8,17.9,22.5,17.6,15.8,14.2,13.3,16.7,17.9,19.2,18.4,17.7,18.7,19.4,14.4,17.9
1982,22.2,21.9,19.4,23.2,17.5,16,16.8,15.9,15,15.4,19.4,20.4,18.6,20.8,20.1,16.2,16.6
1983,19.5,22.2,21,19.7,18.8,14.2,16.9,16.1,16.3,17.6,22.3,20.6,18.8,20.7,19.8,15.7,18.7
1984,14,18.7,22,21.7,18.8,18.4,17.1,13.1,15.2,15.5,17.4,18.3,17.5,17.8,20.8,16.2,16
1985,19.4,18.4,21.6,19.9,18.2,18.9,17.6,12.8,13.7,18.4,19,18.3,18,18.7,19.9,16.4,17
1986,23.1,19.1,19.7,17.9,16,19.3,16.3,14.4,15.3,16.9,18.6,19.2,18,20.1,17.9,16.7,16.9
1987,17.7,18.8,17.8,22.7,21,20.1,17.6,15.7,17.7,16.3,19.3,21.3,18.8,18.6,20.5,17.8,17.8
1988,20,21.7,19.2,22.1,17.5,17.1,14.7,13.6,17.6,19.3,22.8,18.7,18.7,21,19.6,15.1,19.9
1989,20.1,17.6,18.7,19.9,17.2,15.7,16.1,18.1,16.1,17.2,20.1,21.3,18.2,18.8,18.6,16.6,17.8
1990,20.8,20.9,18.7,21.3,20.3,17.3,15.3,14.7,14.7,19.2,19.6,20.3,18.6,21,20.1,15.8,17.8
1991,18.4,18.8,23.1,17.9,19.5,16.7,15.1,17.9,17.4,18.8,19.3,19.5,18.5,19.2,20.2,16.6,18.5
1992,21.3,20.7,20.8,18.3,16.1,16.6,14.9,14.7,15.2,16.2,14.6,18.7,17.4,20.5,18.4,15.4,15.3
1993,18.9,20.4,21.1,18.9,16.5,16.7,15.2,12.8,15.5,17.9,19.4,22,17.9,19.3,18.8,14.9,17.6
1994,20.1,19.7,20.1,20.7,20.9,19.8,17.1,16,15.2,17.5,21.2,18.9,18.9,20.6,20.6,17.6,18
1995,17.8,21.4,18.9,16.7,16.6,15.4,14.5,14.2,16,18.2,19.8,20.2,17.5,19.4,17.4,14.7,18
1996,21,18.8,18.6,21.5,18,16.8,18.2,12.7,18,17.1,18.9,21.5,18.4,20,19.4,15.9,18
1997,22,18.6,21.3,22.3,18.6,16.1,14.3,15.5,16.6,17.5,18.3,19.7,18.4,20.7,20.7,15.3,17.5
1998,21.4,20,20.7,21.7,17.6,17.6,16.4,15.7,16.3,19.2,18,19.5,18.7,20.4,20,16.6,17.8
1999,21.9,22.4,22.5,20.6,17.2,16.7,16.2,16.4,16.3,19.3,19.6,18.3,19,21.3,20.1,16.4,18.4
2000,21.4,20.5,20.5,21.2,19.1,16.5,16.6,14.2,16.2,18.7,18.6,22.4,18.8,20.1,20.3,15.8,17.8
2001,15.1,21.2,20.1,19.3,18.2,16.7,15.8,15.1,14.1,17.6,16.9,16,17.2,19.6,19.2,15.9,16.2
2002,16.8,21.4,18.7,19.4,20.4,16.5,15.5,14.6,17,16.1,17.9,19.3,17.8,18,19.5,15.5,17
2003,16.1,19.4,18.6,15.4,16.3,16.3,17.4,15.4,14.3,17.8,19.4,22.2,17.4,18.3,16.8,16.4,17.2
2004,19,22,19.5,19.5,19.5,18.3,16.3,16.9,17.8,16.4,22.6,20.5,19,21.1,19.5,17.2,18.9
2005,20.5,16.6,22.5,19.2,20.2,15.7,14.4,14.5,17.1,18.5,18.9,19,18.1,19.2,20.6,14.9,18.1
2006,19.4,19.2,16.4,21.7,16.8,18,17.1,15.5,14.3,17.5,16.9,19.5,17.7,19.2,18.3,16.9,16.3
2007,20.6,18.3,24,20.7,17.4,15.7,14.9,14.2,16.1,17,21.6,19.5,18.3,19.4,20.7,14.9,18.2
2008,18.9,19.8,21.7,17.5,19.3,15.9,13.6,14,16.4,18.4,17.7,22.1,18,19.4,19.5,14.5,17.5
2009,19.6,21.9,20.8,20.9,18.4,15.7,15,14.4,15.1,17.7,16.8,20.3,18,21.2,20,15,16.5
2010,17.8,20.5,19.9,17.2,18.9,16.3,16.6,13.9,17.4,18.6,19.5,22.7,18.3,19.5,18.7,15.6,18.5
2011,18,20,22.1,20.8,17.9,16.5,16.7,16.7,14.1,19,18.8,18,18.2,20.2,20.3,16.6,17.3
2012,19.4,17.7,18.5,20.5,17.3,15.7,14.6,13.7,17,19.3,16,20.6,17.5,18.4,18.8,14.7,17.4
2013,21,21.2,20.3,20.3,18.3,16.4,14.9,15.4,16.7,15.6,20.5,18.1,18.2,20.9,19.6,15.6,17.6
2014,22.1,18.6,20.2,21.3,15.9,16.5,18.5,14.6,15.7,18.4,19.2,19.9,18.4,19.6,19.1,16.5,17.8
