Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,22.4,24.7,18.8,18,19.9,18.3,15.9,16.6,22.5,27.3,20.4,18.4,20.3,23.5,18.9,16.9,23.4
1957,19.7,13.8,16.9,16.4,16.1,-9999.9,-9999.9,18.1,21.9,28,22.7,22.1,19.6,17.3,16.5,-9999.9,24.2
1958,22.7,23.1,18.2,23.5,16.3,14,14.5,9.2,16.9,20,14.6,16.4,17.4,22.6,19.3,12.6,17.2
1959,18.5,15.5,17.4,16.2,17.2,15.4,14.3,16.7,21.3,17.3,19.1,17.3,17.2,16.8,16.9,15.5,19.2
1960,18.4,20.6,15.7,15.5,15.7,15.9,14.1,17.1,25.5,20.1,25.1,19,18.5,18.7,15.6,15.7,23.6
1961,18,14.9,13.1,12.8,15.1,15.7,15.7,21.9,23.9,25.5,15.1,16.8,17.4,17.3,13.7,17.8,21.5
1962,21.7,20.5,16.5,18.4,23.7,15.3,13.4,16.4,21.7,20.5,20.9,22.2,19.3,19.7,19.5,15,21.1
1963,19.7,23.4,18.5,17.4,17.8,14.8,14.4,20.4,24.3,24.3,18.3,21.2,19.5,21.8,17.9,16.5,22.3
1964,22.1,25.9,16.7,19.4,17.5,16.3,19.5,14.5,19.6,19.8,18.2,18.5,19,23.1,17.9,16.8,19.2
1965,17.8,20.5,19,15.7,16,18.2,14.4,14.5,20.1,24.6,20.9,13.8,18,18.9,16.9,15.7,21.9
1966,18.2,19,19.5,15.5,15.6,18.7,11.8,13.1,20.1,23.1,23,19.6,18.1,17,16.9,14.5,22.1
1967,16.6,21.3,24.8,23.5,17.6,19.6,13.4,18.4,28,20.9,21.4,9.8,19.6,19.2,22,17.1,23.4
1968,19.1,23.5,18.7,17.3,22.7,15.4,15.9,15,22.3,21.2,23.3,22.2,19.7,17.5,19.6,15.4,22.3
1969,20.1,20.3,21.4,17.4,20.9,16.6,14.2,13.1,21.3,26.5,26.4,14.8,19.4,20.8,19.9,14.6,24.7
1970,19.9,21.6,17.8,17.8,16.6,20.1,15.5,15.7,26.8,27.2,25.7,21.1,20.5,18.8,17.4,17.1,26.6
1971,20.4,19.8,14.2,18.3,22.5,8.7,11.2,18,21.6,23.8,19.4,13.9,17.6,20.4,18.3,12.7,21.6
1972,13.7,20.7,14.6,16.9,16.5,15.6,13.3,16.8,17.1,26.4,17.6,17.5,17.2,16.1,16,15.3,20.3
1973,21.6,21.1,19.6,21.3,20.8,14.4,15.3,15.3,21.4,23.6,21.5,17.8,19.5,20.1,20.6,15,22.2
1974,16.6,20.9,25.9,23.2,17.1,16.6,14.5,12.8,17.5,25.6,16.9,16.3,18.7,18.4,22.1,14.6,20
1975,18.9,21.3,18.3,16.2,13.9,12.4,16.4,19.1,24.6,24.4,17.1,25.3,19,18.8,16.1,16,22
1976,24.8,21.9,21.2,13.7,15.8,12.8,11.6,17.7,20.8,17.7,26.6,23.8,19,24,16.9,14,21.7
1977,22,20.7,22.4,22.3,20.9,15.8,9.9,11.9,17.5,22.7,24.4,19,19.1,22.2,21.8,12.5,21.6
1978,20,14.2,16.2,22.3,22.3,16.8,10.7,15.4,19.8,24.7,23.6,20.7,18.9,17.8,20.3,14.3,22.7
1979,17.2,14.6,20.3,19.3,18.9,17.8,16.2,19.4,20.1,18.8,20,18.9,18.5,17.5,19.5,17.8,19.6
1980,22.3,17.5,20.4,22.2,17.2,18.2,15,13.3,24.2,19.7,22.6,14.8,19,19.6,19.9,15.5,22.2
1981,20.2,21.3,18.8,15.4,19.2,12.8,16.5,22.5,22.5,22.8,24.7,21.1,19.8,18.8,17.8,17.3,23.3
1982,23.6,22.5,17.4,23.8,18.6,14.6,17.2,17.8,22.6,25.6,25.2,21.9,20.9,22.4,19.9,16.5,24.5
1983,23.2,21.9,18.4,20.1,20.1,16.8,19,14.7,17,22.7,20.7,18.5,19.4,22.3,19.5,16.8,20.1
1984,18.4,13.2,13.8,21.5,17.5,17.4,15.4,22.6,21.5,22.9,21.4,26,19.3,16.7,17.6,18.5,21.9
1985,21.7,18.4,22.8,18.7,14.9,13.9,14.5,23.6,24.1,25.6,23.1,22.1,20.3,22,18.8,17.3,24.3
1986,23.6,23.8,26.7,21,21.9,16.6,17.8,22.5,17.9,26.3,17.1,20.5,21.3,23.2,23.2,19,20.4
1987,19.8,16.2,17.5,20.4,21.8,16.3,16.7,16.8,20.3,19.4,29.6,13,19,18.8,19.9,16.6,23.1
1988,16.7,24.3,18.2,20.6,19.5,21.6,15.2,19.3,15.5,27.7,25.8,19.3,20.3,18,19.4,18.7,23
1989,16.4,19.3,19.9,15.3,18.6,16.1,18,15.9,20.5,24.3,24.7,19.3,19,18.3,17.9,16.7,23.2
1990,16.6,17.4,19.1,20.5,18.9,16.7,15.7,13.3,22.7,22.6,23.9,24.3,19.3,17.8,19.5,15.3,23
1991,13.7,23.4,21.2,19.9,19.1,18.8,15.5,22.5,16.8,20.7,20.9,24.9,19.8,20.4,20.1,18.9,19.5
1992,27.1,21.1,16.1,19.5,17.6,18.3,15.7,17.9,21.7,19.3,22.8,16.5,19.5,24.4,17.7,17.3,21.3
1993,21.3,17.7,19.2,18.1,16.7,15.1,14.4,17.8,18.6,26.7,20.7,18.4,18.7,18.5,18,15.8,22
1994,21.4,24.2,19.8,19.5,19.6,20.5,22.2,16.3,24,20,19.5,22.6,20.8,21.3,19.6,19.6,21.2
1995,21.3,22.6,25.9,20.9,16.9,20,16,20.1,20.4,24.5,27.8,17.8,21.2,22.1,21.2,18.7,24.2
1996,23.1,23.5,21.7,21.2,20.2,16.7,17.3,19.7,17.3,23.6,21.5,21.3,20.6,21.5,21,17.9,20.8
1997,24.3,22,23,17.6,20,18.3,17.9,19.8,21.2,24.9,19.5,17.5,20.5,22.5,20.2,18.7,21.9
1998,22.4,24.8,19.3,16.9,21.3,14.9,12.7,16.5,17.1,28.2,18.2,20.4,19.4,21.6,19.2,14.7,21.2
1999,15.6,18.6,18,20,19.2,18.8,13.4,17.6,19.4,18.8,20.7,23.4,18.6,18.2,19.1,16.6,19.6
2000,22.9,24.4,17.7,20.2,16.4,17.1,15.3,18.9,24.3,25.7,27.7,21.9,21,23.6,18.1,17.1,25.9
2001,20,16.9,13.6,15.7,21.4,19,13.9,17.3,18.2,22,26,18.6,18.5,19.6,16.9,16.7,22.1
2002,22.3,19.8,20.4,23.7,15.7,16.3,21.6,18.3,22.4,22.9,27.8,22.6,21.2,20.3,19.9,18.7,24.4
2003,25.9,22.6,27.9,20.5,23.9,19.8,16,21.6,25.6,23.5,26.1,30.4,23.7,23.7,24.1,19.1,25.1
2004,18.3,23.4,22.9,21.5,16.1,18.1,19,19.9,21.9,26.1,23.3,18.8,20.8,24,20.2,19,23.7
2005,13,22,27.7,23.8,18.9,19.8,20.9,19.5,19.9,19.6,32.2,24.6,21.8,17.9,23.5,20.1,23.9
2006,18.4,20.1,19.4,24,21.5,23,19.5,18,19.5,18.8,25.3,26.1,21.1,21,21.7,20.2,21.2
2007,25.8,25.1,27,22,23.4,17.8,15.4,17.1,20.4,26.2,25.2,24.6,22.5,25.6,24.1,16.8,23.9
2008,23.3,20.6,21.6,20.8,18.6,17.5,15.1,24.1,22.1,28.1,24.8,18.2,21.2,22.8,20.4,18.9,25
2009,20.4,21.5,24.1,23.2,19.9,20.8,16.8,18.2,30.2,25.8,21.4,16.2,21.5,20,22.4,18.6,25.8
2010,21,20.6,21.6,20.2,25.2,17.7,15.7,19.5,19.7,22.1,30.9,20.7,21.2,19.3,22.3,17.6,24.2
2011,9.7,11.6,15.2,19,20.6,16.8,16.1,17.1,22.9,24.7,23.6,23.1,18.4,14,18.3,16.7,23.7
2012,19.8,19.3,22,18.9,18.8,17.9,16,17.2,24,22.9,26.1,20.6,20.3,20.7,19.9,17,24.3
2013,21.6,26.4,20.1,19,19.4,21.4,18.1,23.5,25.6,20.6,22.4,21.8,21.6,22.9,19.5,21,22.9
2014,-9999.9,21.5,21.7,20.2,19,21,14.8,22.4,21.6,24.9,22.3,24.9,21.3,21.6,20.3,19.4,22.9
