Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,11.8,10.4,12,11.8,14.9,16,18.9,15.4,13.4,9.6,10.2,12,13.1,11.1,12.9,16.8,11.1
1954,13.3,13.3,12.2,13.6,14.7,14.9,17.9,15.2,11.5,10,9.3,10.1,13,12.9,13.5,16,10.3
1955,9.4,12,13.4,13.7,14.8,15.5,18,19.9,13.7,10.6,13.5,11.9,13.9,10.5,14,17.8,12.6
1956,9.9,13.4,11.1,13.4,14.6,15.6,20,17.7,14.6,10.8,11.5,12.6,13.8,11.7,13,17.8,12.3
1957,14.6,13.3,12.9,16,18.5,18.1,18.2,15.7,12,12.7,8.8,11.4,14.4,13.5,15.8,17.3,11.2
1958,8.6,9.8,10.2,12,16.7,16.9,18.1,17,12.6,11,10.2,11.1,12.8,9.9,13,17.3,11.3
1959,10.8,12.1,12.6,14.2,14.5,15.9,16.9,15.1,11.6,10,11,8.9,12.8,11.3,13.8,16,10.9
1960,9.9,10.6,12,13.2,14.5,17.1,19.2,15.9,11.9,10.1,9.6,11.1,12.9,9.8,13.3,17.4,10.5
1961,11.9,10.4,11.7,15.8,16.1,21.2,20.9,18.8,13.1,11.4,11.4,10.9,14.5,11.1,14.6,20.3,12
1962,13.6,13.1,12.9,15.5,17,19.1,19.5,15.3,12.9,10.8,9.7,9.9,14.1,12.5,15.1,18,11.1
1963,11.2,10.9,12.1,13.7,16.9,18.7,18.7,18.4,13.5,10.6,12,11.3,14,10.7,14.3,18.6,12
1964,10.9,12.8,13.4,16.9,16.2,17.4,19,15.8,13.6,11.4,10.9,14.6,14.4,11.7,15.5,17.4,12
1965,11.7,12.7,12.7,15.4,17.4,20.2,20.1,17.7,13.5,12.1,11.4,11.1,14.7,13,15.2,19.4,12.3
1966,11.8,10.4,11.6,14.1,19.1,17.1,19,17.3,15.1,11.2,12.2,9.9,14.1,11.1,14.9,17.8,12.8
1967,11.3,13.2,14.6,16.5,17.5,19.1,21.1,18.4,14.2,11.2,11.7,12.6,15.1,11.5,16.2,19.5,12.4
1968,11.3,11.7,10.8,14.6,15.3,17.2,17.5,15.7,14.4,9.6,10.1,13.2,13.5,11.9,13.6,16.8,11.4
1969,15.4,9.8,10.4,14,16,19.1,18.5,17.8,12,9.2,9.8,8.8,13.4,12.8,13.5,18.5,10.3
1970,11.8,10.9,12,13.6,17.4,18.3,20.1,18.8,12.6,9.4,12.2,10.6,14,10.5,14.3,19.1,11.4
1971,13.9,10.4,11,12.4,15.3,15.5,15.9,18,10.9,10,9.1,11.8,12.9,11.7,12.9,16.5,10
1972,16.1,11.8,10.5,13.5,13.5,15.6,15.8,15.4,11.5,10.1,9.4,10.9,12.8,13.2,12.5,15.6,10.3
1973,12.1,9.7,10.8,15.1,15.5,16.2,16.2,16.7,13.1,11.4,15.5,13.8,13.8,10.9,13.8,16.3,13.3
