Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,12.1,11,13.9,14.7,17.1,14.1,13,15.5,15.4,20.3,18.8,14.3,15,11.5,15.2,14.2,18.1
1954,19.5,10.5,17.4,15.5,17.5,17.7,12.9,12.9,14.3,21,23.3,16.7,16.6,14.8,16.8,14.5,19.5
1955,7.5,16.2,13.5,19.2,24.5,25.7,23.7,18.3,19,24.8,22.8,19.6,19.6,13.5,19.1,22.6,22.2
1956,13.5,16.1,18.4,15.1,22.6,21.1,14.2,16.4,19.2,24.8,17.8,10.6,17.5,16.4,18.7,17.2,20.6
1957,15.4,8.5,13.9,23.9,20.3,18.8,13.2,13.9,14.1,23.8,19,21.1,17.1,11.5,19.3,15.3,19
1958,18.3,20.1,17,21.3,14.9,16.2,21,7.3,11.8,21.1,16.5,12.9,16.5,19.8,17.7,14.8,16.5
1959,16,18.7,23.5,16.3,19.5,14.1,12,13.8,19.7,20.7,17,20.5,17.6,15.9,19.8,13.3,19.1
1960,17.2,11.3,7.3,10.3,23.2,12.5,11.6,14.4,22.2,20.9,20.7,16.6,15.7,16.3,13.6,12.8,21.3
1961,20.7,16.8,14.4,18.2,23.3,16.4,12.2,18.2,21.4,23.8,17.6,15.2,18.2,18.1,18.6,15.6,20.9
1962,21.4,11,12.8,19.1,23.4,21,10.9,15,19.5,18.7,24.8,18.6,18,15.9,18.5,15.6,21
1963,19.3,26.5,14.9,14.7,19.4,18.2,12.2,12.3,20.2,25,21,22.8,18.9,21.5,16.3,14.2,22.1
1964,22.8,19.5,15.6,22.1,23.8,21.1,17.4,17,21.6,21.7,18.4,21.8,20.2,21.7,20.5,18.5,20.6
1965,15.5,20.1,21.9,22.3,21.8,20.4,14.3,15.5,21.3,22.1,21.4,14.4,19.2,19.1,22,16.7,21.6
1966,15.3,17.5,15.2,19.1,23.3,21.1,13.7,13.8,17.5,22,23.7,22.2,18.7,15.7,19.2,16.2,21.1
1967,20,14.8,11.9,17.6,17.8,16.4,15,14.5,21.2,19.2,22.7,13.9,17.1,19,15.7,15.3,21.1
1968,19.2,19.4,13,20.1,19,17.6,15.7,15.9,19.1,13.7,19.3,15.9,17.3,17.5,17.3,16.4,17.4
1969,12.8,17.4,16.5,17.2,19.8,13.3,13.8,14.2,16.2,17.4,18.7,16.8,16.2,15.4,17.8,13.7,17.5
1970,16.3,14.9,13.9,17.9,18,19.7,15.9,15.2,16.9,19.5,21.3,22,17.6,16,16.6,16.9,19.2
1971,14.5,14.5,11.8,14.1,19.4,14.2,11.6,13.3,18.1,18.7,14.8,12.3,14.8,17,15.1,13,17.2
1972,13.2,15.7,14.1,16.8,19.2,17.1,14.5,15,17.4,19.1,13.9,20.9,16.4,13.7,16.7,15.5,16.8
1973,24.2,12.9,17.1,14.2,14.8,14.8,11.7,13.2,13.6,15.7,18.6,16.8,15.6,19.3,15.4,13.2,16
1974,21.8,17,17.4,15.4,16.2,15.7,12.4,15,14.2,20.6,19.1,11.8,16.4,18.6,16.3,14.4,17.9
1975,14.1,14.2,16.9,19.7,20.1,15.7,11,14.9,16.3,15.8,19.9,13.6,16,13.4,18.9,13.9,17.3
1976,13.7,16.7,16.9,20.4,19.7,18.4,15.9,18.6,15.5,17.7,17.9,15.6,17.2,14.7,19,17.6,17.1
1977,16.1,18.8,15.2,14.1,17,16.3,10.3,11.2,15.3,19.4,22.5,18.1,16.2,16.8,15.4,12.6,19.1
1978,10.5,15.3,13.9,19.1,24.1,19.8,15.4,15.4,18.9,25.2,18.7,17.8,17.8,14.6,19,16.9,20.9
1979,13.4,28.3,15.4,25.2,20.4,19.8,18.8,20.4,16.3,17.6,17.4,10.8,18.6,19.8,20.3,19.7,17.1
1980,20.8,20,15.3,17.5,16.8,13.3,10.6,13.6,14.1,19.5,19.6,17.6,16.6,17.2,16.6,12.5,17.7
1981,19.9,17.7,15.1,14.1,17.7,15.8,14,17.5,17.4,19,19.5,18.4,17.2,18.4,15.6,15.8,18.6
1982,22,16.1,14.9,16.8,22.2,13.9,16.7,17.9,20.9,20.7,19.5,18.6,18.4,18.8,18,16.2,20.4
1983,13.3,13,15.8,15.3,18.4,16.5,14.5,13.8,15.7,17.8,20.2,17,15.9,15,16.5,15,17.9
1984,9.8,11.2,16.7,19.4,17.9,14.4,12.4,17.8,17.6,16.2,22.1,18.1,16.1,12.7,18,14.9,18.7
1985,19.5,17.2,19.7,21.1,18.1,16.7,13,14.9,17.1,16.1,17.9,15.5,17.2,18.3,19.6,14.9,17
1986,19.6,21.3,17.7,17,18.5,17.3,14.3,18.2,20,22.7,14.9,16.7,18.2,18.8,17.7,16.6,19.2
1987,18.5,20.4,17.3,19.4,20.4,15.3,14.4,14,15.2,15.1,22.4,14.2,17.2,18.5,19,14.5,17.6
1988,17.1,23.5,16,16.7,19.2,19.9,15.9,14.9,13.7,17.4,18.8,18.1,17.6,18.3,17.3,16.9,16.6
1989,15.8,12,13.8,18.2,20.6,16.9,15.8,16.2,17.4,15.9,22.5,17,16.8,15.3,17.5,16.3,18.6
1990,15.5,16.3,18.7,14.9,17.6,17.5,14,14.1,17.5,21.1,17.2,12.9,16.4,16.3,17.1,15.2,18.6
1991,16.4,15.2,14.3,19.6,20.7,18.8,16.8,19.6,17.1,22.3,19.4,25.7,18.8,14.8,18.2,18.4,19.6
1992,17.7,14.4,21.1,17.2,18.3,16.7,13.3,14.8,19.1,20.8,22.9,16.4,17.7,19.3,18.8,14.9,20.9
1993,13.3,10.1,14.2,12.8,15.7,17.4,11.2,13.7,16.1,22.2,17.8,9.5,14.5,13.3,14.2,14.1,18.7
1994,16.8,19.4,15.4,20.3,21.7,19.5,14.9,14.5,18.7,16.4,17.4,16.8,17.7,15.2,19.1,16.3,17.5
1995,15.2,10.9,13.7,16,16.9,19,15.3,19.4,13.8,21.3,25.1,17.1,17,14.3,15.5,17.9,20.1
1996,22.3,18.2,16.1,18.2,20.5,17,13.9,13.2,17.8,22.9,18.5,20.2,18.2,19.2,18.3,14.7,19.7
1997,15.7,15.7,12.8,15.3,14.2,14.2,11.2,15.6,16,20.7,18.2,22.7,16,17.2,14.1,13.7,18.3
1998,19.6,17.7,17.2,18.8,21.5,13.2,13.3,14.1,17.1,19.9,19,14.8,17.2,20,19.2,13.6,18.7
1999,13.1,15.2,14.3,14.1,15.1,18.5,14.4,14.6,14.9,19,19.1,24.7,16.4,14.4,14.5,15.8,17.7
2000,17.2,13.1,14.5,17.1,19.8,18,14.2,16.4,16.4,20.3,22.8,20,17.5,18.3,17.1,16.2,19.9
2001,18.1,15.1,14.7,18.4,16.8,16.3,14.3,12,12.5,16.5,22,17.6,16.2,17.7,16.6,14.2,17
2002,16.2,16.5,12.6,20.1,18.9,16.4,14.6,14.4,14.6,16,20.3,16.8,16.5,16.8,17.2,15.2,17
2003,23.8,16.4,21.5,18.4,19.8,15.6,11.3,17.4,16.7,16.9,18.8,19.7,18,19,19.9,14.8,17.5
2004,19.3,17.6,17.8,21.4,17.2,14.1,12.6,11.9,19.3,21.3,26.1,16.3,17.9,18.9,18.8,12.9,22.2
2005,14.1,20.9,17,21.8,16.9,14.6,16.2,14.2,15.6,18,22.5,21.3,17.7,17.1,18.6,15,18.7
2006,13.3,20.6,18.5,18.6,21.1,18.3,14,9.8,13.9,15.3,17.6,20.1,16.8,18.4,19.4,14,15.6
2007,18,23.3,25.4,16.5,21.1,14.5,10.8,13.7,18.6,21.2,16,17.3,18,20.5,21,13,18.6
2008,16.3,14.1,13.1,15.7,15.5,14.9,15.9,15,19.3,20.8,20.8,12.2,16.1,15.9,14.8,15.2,20.3
2009,20,14.6,16.1,19.9,19.5,14.6,12.9,11.4,19.8,18,17.5,15.4,16.6,15.6,18.5,13,18.4
2010,22.9,22.4,12.4,14.4,13.6,12.9,13.2,13.1,14.5,19.6,22.8,20.1,16.8,20.2,13.5,13,19
2011,21.3,12.8,17.8,14.9,17.1,12.5,16.1,15.2,17.5,18.6,20.9,18.2,16.9,18,16.6,14.6,19
2012,18.7,17.7,19.8,18.1,18.5,14.7,10.6,13.7,18,20,21.1,15.1,17.2,18.2,18.8,13,19.7
2013,21.6,14.6,17.7,19.4,17.2,20.1,14.7,18.2,19.5,18.3,22.7,16.8,18.4,17.1,18.1,17.7,20.2
2014,20.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18.7,-9999.9,-9999.9,-9999.9
