Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,11.4,7.3,9.2,9.2,5.8,7.5,-9999.9,-9999.9,-9999.9,5.3,5.4,5.5,7.4,9.3,8.1,-9999.9,5.3
1954,9.8,9.9,8.2,10,6.9,6,5.5,5,5,5.5,4.6,5.7,6.8,8.4,8.4,5.5,5
1955,6.7,10.9,9.1,7.3,8.1,6.3,6.5,6.9,8.2,8.2,7.6,6.4,7.7,7.8,8.2,6.6,8
1956,6.2,6.8,5.4,6.8,6.2,5.7,6.3,5.8,5.2,6,5.3,6.3,6,6.5,6.1,5.9,5.5
1957,6.5,7,5.6,6.2,7.2,6.5,6.5,5.7,6.1,6.5,5,5.8,6.2,6.6,6.3,6.2,5.8
1958,5.3,6.5,6.2,6.9,6.6,6.8,6,5.8,7.1,7.6,6.6,7,6.5,5.8,6.5,6.2,7.1
1959,6.3,7,6.8,8.7,8.6,8.3,9.3,7.2,7.8,6.8,8.1,6.5,7.6,6.8,8,8.2,7.6
1960,6.4,6.9,6.7,9.2,7.2,8.3,7.3,6.5,5.3,6.6,5.7,6.2,6.9,6.6,7.7,7.4,5.9
1961,7.1,7,6.7,10.1,8.3,7.2,5.9,6.2,6.9,8,8.3,8.1,7.5,6.8,8.4,6.4,7.8
1962,8.1,5.7,6.4,6.8,4.4,6.4,4.8,6,5.3,6.5,6,5.5,6,7.3,5.9,5.7,5.9
1963,9,7,7.8,6.5,6.2,5.7,6.3,5.7,5.7,6.1,7,7.2,6.7,7.2,6.8,5.9,6.3
1964,5.8,8.7,8.4,6.6,6.6,5.3,5.8,5.9,6,7.1,6.8,7.2,6.7,7.2,7.2,5.7,6.6
1965,8.5,7.7,5.1,6.3,5,6.1,3.6,5.2,5.4,6.9,4.5,9.4,6.1,7.8,5.5,4.9,5.6
1966,7.6,6.1,5.9,6.7,6.5,6,3.9,3.8,4.3,6.3,6.7,6.7,5.9,7.7,6.4,4.6,5.7
1967,5.6,7,8,7.7,6.2,4.4,4.3,4.1,7,7.9,6.4,6.6,6.3,6.4,7.3,4.3,7.1
1968,8,4.6,5.7,7.1,4.6,5.7,4.2,4.9,6,7.4,6.8,7.6,6,6.4,5.8,4.9,6.7
1969,7.1,4,5.8,7.8,7.2,8.9,6.8,7.9,-9999.9,5.4,8.2,7.8,7,6.2,6.9,7.8,6.8
1970,6.8,6.7,7,6.4,7.6,7.2,6,6.5,6.7,9.1,8.4,8,7.2,7.1,7,6.6,8.1
1971,10.4,8.1,7.7,5.1,5.3,4.6,4,4.1,5.7,6.4,6.2,8,6.3,8.8,6.1,4.2,6.1
1972,8.7,8,6,8.1,6.6,7.3,6.2,6,6.8,7.8,5.6,7.5,7,8.2,6.9,6.5,6.7
1973,8.6,7.2,5.9,6.1,7.2,7.6,7.4,6.5,6.9,7.5,7.2,7,7.1,7.7,6.4,7.2,7.2
1974,8.2,8.3,8,8.1,8.7,8.8,8.3,8.2,7.1,9.1,6.9,8,8.1,7.8,8.3,8.4,7.7
1975,8.5,10.6,7.9,8.3,8.7,8.2,7.6,8.1,7.1,8.1,8.2,9.2,8.4,9,8.3,8,7.8
