Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16.8,20.5,19.8,17.8,15.4,14.5,14.2,14,14,14.4,14.3,18.2,16.2,18.7,17.7,14.2,14.2
1954,16.8,17.1,20.3,15,17.5,14.5,11.9,14.6,14.2,15.6,15,16.3,15.7,17.4,17.6,13.7,14.9
1955,18.6,14.3,23.5,15.3,16.8,14.9,13.8,12.1,13.6,18.9,18.2,18.9,16.6,16.4,18.5,13.6,16.9
1956,17.5,20.2,17.3,14.1,16.7,13.2,10.8,11.9,11.1,10.9,13.9,14,14.3,18.9,16,12,12
1957,14.9,15.9,14.4,18.4,17.1,15.7,13.3,12.7,14.9,13.9,17.8,20.5,15.8,14.9,16.6,13.9,15.6
1958,25.1,24,16.3,17.4,16.7,16.2,13.4,14,14.3,15.2,16.2,16.5,17.1,23.2,16.8,14.5,15.2
1959,19.2,15.4,18,14,19,16.7,16,16.9,17.7,20.1,19.5,16,17.4,17,17,16.5,19.1
1960,18.3,24.4,18.4,17.6,16.2,15,12.6,12.5,11.6,12.8,18.5,18.4,16.3,19.6,17.4,13.4,14.3
1961,18.8,19.4,21.5,19.4,17.9,17.4,15.1,14.4,16.3,18.3,15.9,21.3,18,18.9,19.6,15.6,16.8
1962,22.3,21.1,17.8,20,19.7,18,16.9,14,18.9,19.4,16.4,19.8,18.7,21.6,19.2,16.3,18.2
1963,18.4,24.9,20.9,19,18.5,18.5,16.8,16.4,16.5,16.9,23.7,22.3,19.4,21,19.5,17.2,19
1964,21.9,17.3,22.6,15.4,20.8,15.6,12.6,13.5,12.7,13.9,16.4,18.9,16.8,20.5,19.6,13.9,14.3
1965,18.6,21.3,15.8,16.2,17.2,17.9,13.2,15.1,12.8,17.5,17.8,17.3,16.7,19.6,16.4,15.4,16
1966,20.8,14.8,16.8,13.9,16.9,14.5,15,14.7,13.5,16.1,15.5,15.9,15.7,17.6,15.9,14.7,15
1967,17.6,18.2,15.3,18.2,20.2,13.1,11.5,12,12.6,15.4,16.5,18.7,15.8,17.2,17.9,12.2,14.8
