Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,12.1,10.4,13.7,12.6,10.1,9.9,11.6,11.3,11.7,12.6,14.6,9.9,11.7,11.2,12.1,11,13
1954,12.1,12.1,13,14.2,10.9,11.8,10.4,7.6,10.5,11,13.8,14.5,11.8,11.4,12.7,9.9,11.8
1955,9,11.4,12.5,12.3,15.1,11,11.5,10.9,10.3,15.1,15.6,10.8,12.1,11.6,13.3,11.2,13.7
1956,11.2,10.4,12.9,11.1,11.4,13.4,11,9.2,9.9,11.3,10.4,14,11.3,10.8,11.8,11.2,10.5
1957,10,10.4,11.9,12.3,9.8,9.6,10.5,10.3,10.9,12.8,9.8,15.9,11.2,11.4,11.3,10.1,11.2
1958,13.6,12.5,10.7,13.3,11,11.4,11.3,11.1,12.4,13.1,13.1,14.2,12.3,14,11.7,11.2,12.8
1959,13.5,10.3,15.4,14.7,14.4,12.9,11.5,11.8,13.7,10.8,13.6,14.7,13.1,12.7,14.8,12.1,12.7
1960,9.2,13.4,12.4,14.8,14.2,12.4,10.4,12.6,10.4,12.1,11.1,9.2,11.8,12.4,13.8,11.8,11.2
1961,14,14.2,13.7,14.6,13.1,12.5,11.6,8.8,13.3,14.4,14.4,13.2,13.1,12.5,13.8,11,14
1962,10.5,10.1,12.4,14.7,12.7,12,9.9,11.8,10,11.7,14.5,14.1,12,11.2,13.3,11.2,12.1
1963,10.8,10.4,15.5,15.6,13.2,14.9,12.5,9.1,10.1,14.4,15.9,13.2,13,11.7,14.8,12.2,13.5
1964,14.5,13.5,18.3,17.6,16.6,12.4,12.2,12.6,10.8,11.9,11,10.7,13.5,13.7,17.5,12.4,11.3
1965,10.1,11,12,13.7,13.1,13.4,10.7,9.1,11.8,13.5,12.3,14.7,12.1,10.6,12.9,11.1,12.5
1966,14.2,9.9,15.7,13.9,13.6,11.8,10,9.9,9.1,15.1,13.7,14,12.6,12.9,14.4,10.6,12.6
1967,13.4,12.6,14.4,11,11.5,12.1,10.5,9.6,11,15.9,12.2,17.4,12.6,13.3,12.3,10.7,13
1968,16.8,7.8,13.7,16.2,12.3,13.2,10.7,11.1,12.8,17.3,15.3,17,13.7,14,14.1,11.7,15.1
1969,12,9.9,8.9,14.4,10.3,8.6,11.1,11.2,11.6,9.3,12.1,12,10.9,13,11.2,10.3,11
1970,11.7,7,13.1,13.3,12.6,11.9,11.7,8.7,10.6,11.5,12.5,15.6,11.7,10.2,13,10.7,11.5
1971,11.4,12.8,15.2,14.9,13.4,13.7,9.8,11.3,14,13.8,14.5,12.7,13.1,13.3,14.5,11.6,14.1
1972,13.4,14,13.6,17.4,12.6,11.8,11.1,10.4,12,10.3,12.3,12.8,12.6,13.4,14.5,11.1,11.5
1973,16.2,11.6,13.2,12.4,14.1,13.5,9.7,9.9,11.1,12.6,12.5,13,12.5,13.5,13.3,11,12
1974,11.4,12,14.6,13.2,11.6,10.7,10.2,7.9,7.3,10.7,13.3,13.2,11.4,12.1,13.1,9.6,10.4
1975,10.3,13.5,13.2,12.6,12.8,13.9,10,12.5,9,15.3,18.7,14.8,13,12.3,12.9,12.1,14.3
1976,11.4,15.3,15.9,14.7,14.9,13,12.5,9,8.4,10.7,10.9,12.1,12.4,13.8,15.2,11.5,10
1977,7,14,14,10.5,11.5,14.1,11.9,10.4,7.8,11.2,12.9,14.4,11.6,11,12,12.2,10.6
1978,11.8,11.3,13.9,14.8,13.1,10.7,11.8,13.1,14.2,12.7,15.4,13.5,13,12.5,13.9,11.9,14.1
1979,8.1,14,13.7,10.6,12.1,12,11.9,9.4,9.8,10.1,10.8,15.6,11.5,11.9,12.2,11.1,10.2
1980,15.6,10.9,15.4,14.8,14.7,11.5,11.1,11.1,10.6,11.6,15.7,18,13.4,14,15,11.2,12.6
1981,13.9,13.5,12.4,15.2,15.5,14.2,11.6,9.7,12.7,11.9,14,12.1,13.1,15.2,14.4,11.8,12.9
1982,10.7,17.7,13.4,16.1,13.2,11.8,11,9.9,10.1,11.9,12.4,11.6,12.5,13.5,14.2,10.9,11.4
