Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,10.3,9,8.8,9.1,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,9.7,9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,3.8,-9999.9,4.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,6.2,5.7,6.5,8.8,6.9,8.1,8.2,6.3,7.6,-9999.9,-9999.9,5.9,7,5.5,7.4,7.5,-9999.9
1962,6.2,-9999.9,-9999.9,-9999.9,7.7,7.7,8.1,6.7,6.4,5.6,6.6,6,6.8,6.1,-9999.9,7.5,6.2
1963,7.1,-9999.9,6.7,8.3,10.3,10.2,8.9,7.8,4.5,6,4.4,6.1,7.3,6.6,8.4,9,5
1964,4.4,6.2,6.8,9.5,9.1,8.7,8.4,6.7,6.9,6.9,4.3,5.8,7,5.6,8.5,8,6.1
1965,7.5,7.1,7.3,7,7.7,7.5,6.5,6.7,5.7,4.8,4,4.5,6.4,6.8,7.3,6.9,4.8
1966,6.4,4.6,5.9,10.2,8.8,8.3,7.4,7.4,3.6,5.6,6.1,4.3,6.5,5.1,8.3,7.7,5.1
1967,5.6,6.7,10.1,9.2,8.6,9.7,8.7,7.5,5.7,4.9,3.2,6.5,7.2,5.5,9.3,8.6,4.6
1968,7.6,5.2,6.9,10.6,9.3,7.9,7.8,6.4,4.9,5.8,4.9,7.3,7.1,6.5,8.9,7.4,5.2
1969,8.1,4.6,6.4,7.5,7.1,8.2,8.7,7.3,5.1,4.1,4.4,5.1,6.4,6.6,7,8.1,4.5
1970,5.4,5.8,6.4,8.6,6.9,8.2,5.9,7,6.2,5.3,5.8,5.6,6.4,5.4,7.3,7,5.8
1971,10.6,6.2,7.4,8.7,8.9,9,9.4,6.8,6.8,6.9,5.2,8.4,7.9,7.5,8.3,8.4,6.3
1972,11,9.2,7.6,11.5,8.2,8.5,7.9,6.3,8,6,6.1,7.2,8.1,9.5,9.1,7.6,6.7
1973,6.7,5.7,7.1,9,7.9,9.2,7.8,8.7,6.9,6.4,8,5.6,7.4,6.5,8,8.6,7.1
1974,9,6.5,8.5,7.7,7.3,8.8,7.1,6.9,6,5.4,5,4.9,6.9,7,7.8,7.6,5.5
1975,6.4,7.9,6.7,8.3,8.1,9.4,7.9,7.5,5.5,7.4,7.4,7.7,7.5,6.4,7.7,8.3,6.8
1976,6.9,7.1,8.5,7.5,7.9,8,6.8,4.7,4.9,5.6,5.5,6.4,6.7,7.2,8,6.5,5.4
1977,4.9,5.2,7.8,8,8.5,8.4,8.2,8.1,6.2,5.8,-9999.9,6.8,7.1,5.5,8.1,8.2,6
1978,5.9,5.7,6.6,8,8.9,6.1,5.6,4.8,3.8,3.3,6.5,6.1,5.9,6.1,7.8,5.5,4.5
1979,5.9,6.1,7.3,8.4,7.8,9.2,8.2,6.8,5.7,6,4.8,8,7,6.1,7.9,8.1,5.5
1980,7.8,5.3,8.3,7.7,6.7,7.9,6.6,6.9,5.9,4.2,5,10.3,6.9,7,7.6,7.1,5
1981,4.3,6.5,6.1,9,7.6,8.6,7.7,6.4,4.7,6,4.9,5,6.4,7,7.5,7.5,5.2
1982,8.1,5.7,6.7,8.5,8.6,7.7,7.5,6.7,4.9,5,4.4,4.2,6.5,6.3,7.9,7.3,4.7
1983,4.4,4.6,6.3,6.2,6.8,7.7,6,5.8,6.3,4.4,5.1,4.5,5.7,4.4,6.4,6.5,5.3
1984,6.5,5.3,5.9,9,9,8.7,7.7,6.4,6.2,6.9,5.1,10.2,7.2,5.4,8,7.6,6.1
1985,5.8,8,6.9,8.7,7.8,9.5,7.8,6.5,6.5,6.9,8.7,5.2,7.4,8,7.8,7.9,7.4
1986,4.9,6.7,6.4,7.5,7.1,8.2,8.3,6.9,5.8,4.1,5.9,5.4,6.4,5.6,7,7.8,5.3
1987,5.4,5.3,5.6,8.3,8.3,8.1,7.9,6.6,5.7,5.3,4.6,5.7,6.4,5.4,7.4,7.5,5.2
1988,5.5,6.3,7.8,8.1,7.3,6.9,8,7,5.8,4.7,5.4,5.7,6.6,5.8,7.7,7.3,5.3
1989,7.5,7.7,7.6,7.8,8.1,7.7,8.1,7,5.1,5,5.4,5.7,6.9,7,7.8,7.6,5.2
1990,7.1,8.6,6.2,7,7.4,7.9,7.4,6.1,4.8,6.5,6.1,6.9,6.8,7.2,6.9,7.1,5.8
1991,5.7,5.2,6.9,7.3,8.5,8.3,7.8,5.8,5.7,6,4.6,4.8,6.4,5.9,7.5,7.3,5.4
1992,4.7,4.4,5.3,7.1,6.6,6.9,5.6,5.5,7.8,5.4,4.4,6.5,5.8,4.6,6.3,6,5.8
1993,6.1,6.1,7.5,8,9.7,9.1,7.8,7.9,5.1,4.7,6.3,6.1,7,6.2,8.4,8.3,5.4
1994,6.2,8.2,8.8,8.6,8.9,8.9,8.1,7.3,5.5,6,4.6,4.4,7.1,6.8,8.8,8.1,5.4
1995,3.6,6.1,6.3,9.3,8.8,7,8.1,6.2,5.6,5.9,5.6,5.2,6.5,4.7,8.1,7.1,5.7
1996,8.5,6.5,8.5,8.3,7.3,7.5,8.1,6.5,5.6,5.6,6.2,8.3,7.2,6.7,8,7.3,5.8
1997,6.7,5.3,8.2,9,7.5,5.4,5.8,7.4,6.7,5.9,5.6,7,6.7,6.8,8.2,6.2,6.1
1998,7.1,6.2,6.5,8,9.2,9.3,9,7.2,5.9,5,5,6.6,7.1,6.8,7.9,8.5,5.3
1999,5.9,6.9,7,7.1,7.7,9,8.4,7.3,5.6,5.7,4.9,6.6,6.8,6.5,7.3,8.2,5.4
2000,5.6,5.4,7.1,9,8.6,8.5,8.1,7.5,6.4,6.2,5.9,5.5,7,5.9,8.2,8.1,6.2
2001,6.5,5.9,7.5,9.4,8.9,8,8.3,7.3,6.7,6.8,5.5,6.6,7.3,6,8.6,7.8,6.3
2002,5.7,6.1,10,9.1,9.1,8.5,8.7,6.7,6.2,6.1,5.7,5.4,7.3,6.2,9.4,8,6
2003,5.8,4.8,10.2,8.5,8.5,8.7,8.9,6.2,6.5,7.6,5.4,5,7.2,5.3,9.1,8,6.5
2004,7,4.6,9.2,7.6,8.8,7.8,7.8,6.2,6,6.1,5.7,6.9,7,5.5,8.5,7.3,5.9
2005,7.2,6.2,7.7,8.4,7.3,8,7.8,7,6.8,5,5.8,4.2,6.8,6.7,7.8,7.6,5.8
2006,5.9,5.3,6.4,7.3,6.7,7.6,7.9,6.3,5.3,6.1,7.4,5.4,6.5,5.1,6.8,7.3,6.3
2007,8.1,5.6,6.9,7.8,7.5,6.8,6.7,7.4,6.3,5.2,6.6,5.9,6.7,6.4,7.4,7,6
2008,6.3,5.1,7.6,8.6,8.1,9.7,8.8,7.4,5.6,5.3,5.7,7.4,7.1,5.8,8.1,8.6,5.5
2009,6.8,5.5,7.3,8,8.9,9.7,7.6,7.2,-9999.9,-9999.9,-9999.9,-9999.9,7.6,6.6,8.1,8.2,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2013,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2014,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
