Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,23.5,32,35,22.6,19.2,15.5,12.7,15.2,22.3,34.7,33.2,31.7,24.8,27.8,25.6,14.5,30.1
1956,31.1,33.8,29.9,25.5,22.4,25.6,18.4,21,23.9,34.8,30.1,36.3,27.7,32.2,25.9,21.7,29.6
1957,28.8,30.6,27.3,21.3,21.4,22.8,28.6,20.8,31.5,32.1,37.1,39.5,28.5,31.9,23.3,24.1,33.6
1958,37.6,37,30.8,28.2,25.5,24.9,23.6,22.7,23.2,31.7,34.4,31.1,29.2,38,28.2,23.8,29.8
1959,-9999.9,32.1,35,26.9,25.1,20,18.5,13.3,18.3,23,27,29.5,24.4,31.6,29,17.3,22.8
1960,23.5,24.1,24.7,26.3,19.5,21.2,15.7,18.9,16.9,24.2,27.2,25.1,22.3,25.7,23.5,18.6,22.7
1961,29.1,25.4,21.4,23.7,18,21.8,19.5,14.6,25.3,33.1,32.4,26.6,24.3,26.5,21.1,18.7,30.3
1962,34.1,26.5,25.8,28.6,22,18.7,18.6,22,24,24.9,26.9,30.6,25.2,29.1,25.4,19.8,25.3
1963,29.1,25.6,25.8,22.4,19.6,23.3,20.1,16.6,26.7,35.3,36.5,37.9,26.6,28.4,22.6,20,32.8
1964,33.6,37.6,26.6,30.3,19.2,20.1,18.9,20.9,24.2,29.4,28.6,34.1,27,36.4,25.4,20,27.4
1965,30.4,34.2,18.3,26.4,21.7,22.8,13.9,17.1,18.2,27.8,26.8,28,23.8,32.9,22.2,17.9,24.3
1966,34.5,26.6,30.2,24,20.9,14.3,21.3,17.8,22.8,33.6,35.8,27.3,25.8,29.7,25,17.8,30.7
1967,34.5,29.1,27.4,12.9,15.5,21.2,10.7,15.6,22.1,27.1,24.3,-9999.9,21.9,30.3,18.6,15.8,24.5
1968,34.9,20.8,21.6,29.6,17.6,17.5,13.5,24,27.8,34.3,35.7,36.9,26.2,27.8,22.9,18.3,32.6
1969,34,22.6,32.2,36.3,26.9,24.4,24,23.6,20.5,23.6,31,31,27.5,31.2,31.8,24,25
1970,28.1,25.9,30.3,29.4,23,19.9,21.2,19.8,21.4,25.8,29.2,32.1,25.5,28.3,27.6,20.3,25.4
1971,35.2,25,28.1,22.4,21.6,22.7,19.4,-9999.9,20.3,22.2,26.3,29.4,24.8,30.8,24,21.1,22.9
1972,32.9,27.7,21.8,23.8,18.2,19.2,20,17.1,24.6,25.1,27.8,27.9,23.8,30,21.2,18.8,25.9
1973,30.4,22.2,22.7,22.5,18.9,22.1,18.4,22.7,20.3,26.5,28.8,24.9,23.4,26.8,21.4,21.1,25.2
1974,31.8,28.2,25.7,23.3,20.8,20.3,19.6,19.3,17.4,28.8,22.7,32.8,24.2,28.3,23.3,19.8,23
1975,35.1,32.9,22.7,18.7,18.1,17.3,14.2,14,16.4,21.2,28.3,28.1,22.3,33.6,19.8,15.2,22
1976,25.7,23.4,23.3,16.3,14.3,13,10.2,8.3,10.6,13.3,14.7,14.4,15.6,25.7,18,10.5,12.9
1977,12.7,20.7,26.9,21,20.2,19.7,15.8,19.1,16.9,30.4,35.3,22,21.7,15.9,22.7,18.2,27.5
1978,32.1,28.6,20.5,20.5,20.3,20.6,17.4,18,24,27.5,32.9,36.6,24.9,27.5,20.5,18.6,28.1
1979,32.2,32.3,28.4,16,17,17.1,17.1,16.5,24.5,30.1,27,30.5,24,33.7,20.5,16.9,27.2
1980,29.9,26.3,22.9,23.8,24.5,17.4,14.6,16.2,14,14.5,17.8,28.1,20.8,28.9,23.7,16.1,15.4
1981,24.6,21.8,20.3,23.2,14.4,16.5,21.4,13,15.5,14.9,20.8,27.3,19.5,24.9,19.3,16.9,17.1
1982,28.3,26.2,21.8,20.5,19.8,12.2,15.4,13.4,16.2,23.3,23.3,22.7,20.2,27.3,20.7,13.7,20.9
1983,29.1,22.2,23.9,21.1,18,16.8,16.3,13.8,19.2,19.2,23.3,29.1,21,24.6,21,15.6,20.6
1984,24.6,22.9,19.9,19.9,18.9,14.1,12.6,14.4,16.5,23.6,20.4,25.4,19.4,25.6,19.5,13.7,20.2
1985,19.8,27.6,21,19.4,17.8,16.8,15.1,18.8,21.1,21.5,26.9,19.4,20.4,24.3,19.4,16.9,23.2
1986,23.5,23.9,20.9,21.8,16.5,17.8,17.1,13.5,20.9,25.6,26.9,22.1,20.9,22.3,19.7,16.1,24.5
1987,23.7,24.4,19.9,20.2,20.5,15.7,19.6,19.2,17.6,19.4,21.7,24.4,20.5,23.4,20.2,18.2,19.6
1988,23,21.3,22.3,16.9,16.5,14.6,12.2,13.5,16.3,17.7,24.4,21.8,18.4,22.9,18.6,13.4,19.5
1989,27.1,24.7,18.8,17.2,16,20.1,15.9,16.2,19.8,20.7,24.5,21.5,20.2,24.5,17.3,17.4,21.7
1990,27.2,23.7,19.8,20.4,22.4,16.3,14,17.8,17,25.7,23.7,25.1,21.1,24.1,20.9,16,22.1
1991,23.1,20.8,23.4,17.3,16.7,15.1,14.7,16.9,17.6,20.9,23.6,23.9,19.5,23,19.1,15.6,20.7
1992,21.2,21.9,17.5,19.5,23.5,16.4,17.7,19.9,23.2,22.7,26.2,30.4,21.7,22.4,20.2,18,24
1993,27.7,22.8,24.6,21.9,17.7,15.7,18.1,20.1,20.5,20.8,26.2,22.1,21.5,27,21.4,18,22.5
1994,19,26.1,21.1,21.9,19.9,14.8,17.7,13.9,18.3,21.5,30.8,24.2,20.8,22.4,21,15.5,23.5
1995,25.3,25.8,26,21.8,16.5,17.3,17.7,13.8,16.4,21.1,22.8,24.4,20.7,25.1,21.4,16.3,20.1
1996,21.6,19.4,26.6,22.7,20.4,18.7,17.6,17.4,22.4,22.5,31.4,31.3,22.7,21.8,23.2,17.9,25.4
1997,20.4,24.8,25.6,16.8,20.6,13.7,11.7,15.1,15.7,23.4,20.1,22.1,19.2,25.5,21,13.5,19.7
1998,24.2,22.3,19,15.6,19.1,20.4,16.1,15.6,19.1,24.8,20.9,28.9,20.5,22.9,17.9,17.4,21.6
1999,25.9,27.8,23,19.9,17.2,15.7,17.9,14.3,18,22,21.3,22.5,20.5,27.6,20,16,20.4
2000,19.7,16.5,19.3,16.6,17.3,15.6,15.4,18.6,18.3,20.2,19.2,22.8,18.3,19.6,17.7,16.6,19.2
2001,20.8,20.1,21.2,16.3,18.1,11.2,16.5,13.8,17.3,-9999.9,-9999.9,23.5,17.9,21.2,18.5,13.8,-9999.9
2002,21.4,21.4,24.6,19.2,17.5,14.5,14.5,17,18.4,18.8,20.4,19.1,18.9,22.1,20.4,15.3,19.2
2003,22.1,17.2,21.7,16.4,15.5,16.6,14.1,14.8,18.4,21.4,25,19.7,18.6,19.5,17.9,15.2,21.6
2004,-9999.9,17,24.1,15.7,16.4,13.9,14,11.3,18.4,20.1,23.4,24.3,18.1,18.4,18.7,13.1,20.6
2005,23.4,17.6,18.8,15.9,13.9,14.4,14.6,14.4,18.4,18.9,20.7,21.1,17.7,21.7,16.2,14.4,19.3
2006,21.4,23.6,17.8,15.5,15.3,13.9,15.3,14.2,14.9,15.9,-9999.9,-9999.9,16.8,22,16.2,14.5,15.4
2007,-9999.9,-9999.9,-9999.9,15.1,13.5,13.2,11,11.6,18.1,19.5,18.3,20.5,15.6,-9999.9,14.3,11.9,18.6
2008,20,19.3,15.9,17.2,12.9,13.7,11.7,11.4,-9999.9,-9999.9,-9999.9,24.4,16.3,19.9,15.3,12.3,-9999.9
2009,23,16.2,18.4,13.1,13.3,13.1,13.4,15.2,15.4,20.7,20.6,17.7,16.7,21.2,14.9,13.9,18.9
2010,19.4,15.5,16.5,16.2,12.9,12.8,17.9,15.4,14.6,18.5,17.9,12.9,15.9,17.5,15.2,15.4,17
2011,18.4,-9999.9,14.6,12.8,12.3,11.5,12.9,13.4,17.4,21.4,26.5,23.5,16.8,15.6,13.2,12.6,21.8
2012,27.1,20.5,19,15.5,17,13.3,14.3,-9999.9,17.7,19.7,20.7,22.9,18.9,23.7,17.1,13.8,19.4
2013,21.2,19.8,18.2,20.5,15.3,13.5,16.2,12.8,12.8,17.5,21.2,23.3,17.7,21.3,18,14.2,17.2
2014,20.9,21.5,20.6,16.3,14.8,15.1,13.9,14.1,16,18,20.3,21.7,17.8,21.9,17.2,14.4,18.1
