Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,12.9,14.7,13.7,14.1,11.2,11.2,-9999.9,-9999.9,-9999.9,13.8,13
1960,7.8,8.7,12,14.2,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,11.2,-9999.9,9.2,13.1,-9999.9,-9999.9
1961,8.7,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,9.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1965,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1966,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,9.4,10.8,11.2,12.6,11,9.1,-9999.9,-9999.9,-9999.9,10.1,11.6
1967,9.5,9.4,11.4,11,12,14.4,12.5,12.2,12.9,12.8,13.4,12,12,9.3,11.5,13,13
1968,8.9,10.2,11.4,12.6,12.8,12.9,12.3,13.4,13.7,11.8,10.7,8.4,11.6,10.4,12.3,12.9,12.1
1969,8.1,7.9,10.7,12.5,14.4,14.4,13.8,12.3,14.3,12.4,12.7,9,11.9,8.1,12.6,13.5,13.2
1970,9.7,10.5,9.6,11.1,11.7,12.4,12.5,12.7,11.5,12.4,10.7,9.5,11.2,9.7,10.8,12.5,11.5
1971,13.1,11.1,11.7,13,14.7,13.7,14.3,12.2,14.5,14.4,12.8,13,13.2,11.2,13.1,13.4,13.9
1972,13.7,10.2,9.6,13.3,10.4,12,10.8,9.7,11.5,11.9,10.3,9.4,11.1,12.3,11.1,10.8,11.3
1973,8.6,9.3,10,11.9,11.8,13,12.3,11,12.5,12.1,12.2,7.9,11.1,9.1,11.3,12.1,12.2
1974,9.8,8.6,13.8,12.1,14.3,12.2,13,10.8,12.8,12.4,10.1,9.6,11.6,8.8,13.4,12,11.8
1975,10.6,10.6,11.8,12.3,12.3,10.9,11.9,12.6,11.8,11.2,8.4,9.6,11.2,10.3,12.1,11.8,10.5
1976,10.9,10.4,10,12.8,15.4,11.6,13.1,11.5,12.7,13.2,11.6,10.8,12,10.3,12.7,12.1,12.5
1977,8.8,9.3,11.3,11.8,15.5,13.2,11.8,10.4,11,12.2,11.5,9.4,11.3,9.6,12.8,11.8,11.5
1978,7.8,8.3,9.3,11.9,12.8,11.7,10.7,11.8,12.8,11.2,11.7,11.1,10.9,8.5,11.3,11.4,11.9
1979,10.7,9.9,11.4,13.1,11.1,11.4,12,10.8,12.9,-9999.9,9.5,9.7,11.1,10.6,11.9,11.4,11.2
1980,10.2,12,11.6,13.4,14.4,13.2,12.4,11.6,11.5,10.6,13.2,11.7,12.2,10.7,13.1,12.4,11.7
1981,8.3,11,11.2,14.1,12.4,12.9,13.6,11.7,14.3,14.6,12.2,11.2,12.3,10.3,12.5,12.7,13.7
1982,11,12.6,10.6,11.5,12.7,10.3,12.2,11,11.2,10.4,12,9.6,11.3,11.6,11.6,11.2,11.2
1983,9,9.2,9.2,11,12,10.9,10.8,9.9,13.7,11,13.1,11.3,10.9,9.3,10.7,10.5,12.6
1984,12.2,10.5,10.3,12.4,13.2,14.4,12.9,12.4,13.5,15.4,9.8,11.8,12.4,11.3,12,13.2,12.9
1985,11.2,10.6,11.1,14.3,12.1,12.1,10.4,9.9,12.9,12.9,9.9,13.3,11.7,11.2,12.5,10.8,11.9
1986,10.9,8.1,11.8,14.1,13.6,13.5,12.4,10.6,12.6,11.6,11,9.4,11.6,10.8,13.2,12.1,11.8
1987,10.3,7.8,9.8,12.3,12,12,9.8,10.8,10.3,15.1,10.4,9.7,10.9,9.2,11.4,10.9,11.9
1988,10.9,13.5,10.7,12.6,12.7,14.6,13.9,12.8,12.6,11.1,13,10.3,12.4,11.4,12,13.8,12.3
1989,10.6,16.6,12.3,11.6,12.3,11.9,9.8,9.6,11.7,11.6,11.6,10.1,11.6,12.5,12,10.4,11.6
1990,10.3,10.5,14,13.8,11.4,12.4,12.5,10.5,12.1,13.5,13.7,10.3,12.1,10.3,13.1,11.8,13.1
1991,11.2,9.6,9.3,11.9,11,11.3,12.4,11.9,14.6,14.9,12.2,10.2,11.7,10.4,10.7,11.8,13.9
1992,9.9,10.3,12.8,14.4,12.3,11.7,9.3,10.4,12.1,11.4,10.3,9.5,11.2,10.1,13.2,10.5,11.2
1993,10.3,11.9,10.6,11.4,13.1,14.1,12,9,12.3,11.5,11.5,10.7,11.5,10.6,11.7,11.7,11.7
1994,10.2,12.6,13.8,12.8,13.9,12.5,9.8,10.4,13.1,13.1,12.2,9.8,12,11.2,13.5,10.9,12.8
1995,9.2,13.9,10.9,12.3,10.6,10.8,11.9,12.9,12.4,10.9,12.1,10.6,11.5,11,11.3,11.9,11.8
1996,8.5,10.9,12.7,11.4,10.4,12.2,10.7,11.2,13.8,11.1,10.4,9.2,11,10,11.5,11.3,11.8
1997,12.3,9.5,8.8,11.5,11.7,12.1,10.8,11.6,13,16.1,11.7,9.7,11.6,10.3,10.6,11.5,13.6
1998,10.4,10,9.9,11.5,13.9,13.8,12.6,11.6,10.9,11.4,9.6,10.3,11.3,10,11.8,12.7,10.6
1999,9.7,11.9,10.9,14.2,14.9,11.9,12,12.3,12.6,12,12.4,11.4,12.2,10.6,13.3,12.1,12.3
2000,7.3,9.6,11.5,11.4,12,12.2,11,12.1,14.2,13.2,10.5,9,11.2,9.4,11.6,11.8,12.6
2001,9.4,10.7,12.7,11.3,15.2,12.1,12.8,12.2,11.9,12.5,12.4,9.6,11.9,9.7,13.1,12.4,12.2
2002,9.2,12,11.2,13.3,12.7,10.9,12.2,10,12.2,10.5,10.4,10.1,11.2,10.3,12.4,11,11.1
2003,11.7,9.1,12.7,13.6,13.4,11.8,11,10.8,11.4,11.3,10.6,7.1,11.2,10.3,13.2,11.2,11.1
2004,10,9.2,12.1,11.8,12.1,11.6,10.3,10.6,13,12.5,12.5,11.3,11.4,8.8,12,10.9,12.7
2005,11.8,10.3,13.1,15,14,11.8,12.4,13.9,9.2,11,13,9.4,12.1,11.2,14.1,12.7,11
2006,9.5,9.7,11.5,13.1,13.8,11.7,11.4,12.5,13.1,12.9,13.7,9.7,11.9,9.5,12.8,11.9,13.2
2007,10.4,10.1,11.9,11.9,13.8,13.1,11.1,12.5,11.7,13.5,13.5,9.7,11.9,10.1,12.5,12.2,12.9
2008,10.6,9.4,10,12.9,11.3,9.8,9.8,12,10.5,12.8,11.5,9.9,10.9,9.9,11.4,10.5,11.6
2009,10.8,10.4,14.2,11.9,12.8,13,11.8,10.3,12.9,11.4,10,9.4,11.6,10.4,13,11.7,11.4
2010,10.2,7.6,8.9,11.6,12.9,10.9,9.4,10.1,12.7,12.8,10,10.2,10.6,9.1,11.1,10.1,11.8
2011,7.3,12.3,10.2,10.8,11.4,13.3,11.9,11.3,11.3,11.3,12,13.1,11.4,10,10.8,12.2,11.5
2012,10.8,8.4,14,13.4,14.2,12.8,10.7,11.3,12,12.6,12.9,9.5,11.9,10.8,13.9,11.6,12.5
2013,10.7,11,10.6,13.4,11.8,10.2,12.1,9.6,11.8,12.4,12,10.8,11.4,10.4,11.9,10.6,12.1
2014,13.6,11.3,11.6,13.9,13.1,12.3,11.3,9.7,11.9,13.4,13.1,10.1,12.1,11.9,12.9,11.1,12.8
