Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,18.2,24,20.6,15.9,19.2,17.7,13.5,16.1,18.2,21.5,23.3,26.9,19.6,21.1,18.6,15.8,21
1954,17,33.6,16.8,22.6,16.9,22.6,17.2,13.6,16.9,22.7,26.4,31.8,21.5,25.8,18.8,17.8,22
1955,19.2,24,24.8,22.5,22.6,18.8,16,16,18,25.4,18.7,16.1,20.2,25,23.3,16.9,20.7
1956,16.3,24.9,25.2,18.7,16,24.5,13.4,14.3,18.1,24.3,22.8,30.3,20.7,19.1,20,17.4,21.7
1957,19.2,24.9,19.2,17.5,14.6,16.8,19.3,14.2,16.3,16.8,27.3,28.8,19.6,24.8,17.1,16.8,20.1
1958,23.9,11.5,12.5,20.2,18,15.1,13.2,15.8,20.2,20.8,26.4,26.2,18.7,21.4,16.9,14.7,22.5
1959,15.4,19.5,27,23.9,19.1,19.8,16.5,19,17.3,22.5,28.6,26,21.2,20.4,23.3,18.4,22.8
1960,22,20.1,17.8,25.1,24,23.4,16.8,21.4,20.2,26.1,22.9,22.1,21.8,22.7,22.3,20.5,23.1
1961,25.3,27.1,19.3,22.6,18.2,20.4,16,16.9,22.4,28.9,25,23.8,22.2,24.8,20,17.8,25.4
1962,34.1,16.7,15.3,25.9,18.6,19.1,16.7,21.5,19.2,22.8,25.3,23.8,21.6,24.9,19.9,19.1,22.5
1963,26.3,19.8,23.3,20.4,18.2,21.4,17.2,13.1,14.4,24,24.9,21.1,20.3,23.3,20.6,17.2,21.1
1964,29.2,34.8,24.2,27.4,26.4,19,21.4,21.8,19.7,23.8,17.1,20,23.7,28.4,26,20.7,20.2
1965,19.9,29.1,16.5,20.5,24.8,19.6,15,16.6,18.4,29.4,21.3,23.7,21.2,23,20.6,17.1,23
1966,19.9,22,24.7,23.1,24.5,20.9,18.3,19.9,18.8,26.9,22.4,24.7,22.2,21.9,24.1,19.7,22.7
1967,22.2,27.1,22.1,21,22.1,17.2,19.7,16.1,20.3,27.6,25.1,25.9,22.2,24.7,21.7,17.7,24.3
