Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.1,20.1,20.4,19.8,13.2,14.3,10.8,10.8,12.8,10.8,13.3,18.8,15.4,20.1,17.8,12,12.3
1954,18.3,18.7,21.4,19.5,16.2,14.9,12.8,13.1,16.1,14.3,15.5,15.5,16.4,18.6,19,13.6,15.3
1955,16.3,15.1,21.8,19.7,15,11.9,11.4,12.4,13.4,14.1,18.3,16.4,15.5,15.6,18.8,11.9,15.3
1956,16.9,16.3,18.1,17.1,16.5,12.4,13.1,11.3,12.9,14.4,18.1,17.7,15.4,16.5,17.2,12.3,15.1
1957,17.3,15.2,18.1,17.7,18.2,14.5,11.3,10.6,12.2,13.8,19.9,19.8,15.7,16.7,18,12.1,15.3
1958,18.4,20.6,15.7,18.2,14.7,13.3,10.6,10.4,11.6,13.1,17.6,16.2,15,19.6,16.2,11.4,14.1
1959,19.9,18.9,20.3,18.2,15,12.4,10.5,11.2,13.2,15.7,19.2,16.9,16,18.3,17.8,11.4,16
1960,19.6,21.9,16.7,17.5,14.5,13.2,11,10.8,11.7,13.2,17.4,19.2,15.6,19.5,16.2,11.7,14.1
1961,17,16.5,22.1,19.1,18.5,12.6,9.9,10,10.3,12,14.2,19.1,15.1,17.6,19.9,10.8,12.2
1962,23.4,20.5,18.2,17.8,15.1,11.1,11.6,10.7,12.7,12.7,13.7,17.3,15.4,21,17,11.1,13.1
1963,18,17.9,20.5,19.5,16,9.8,12,10.8,11.7,10.4,16.9,16.2,15,17.7,18.7,10.9,13
1964,20.6,16.5,20.1,22.3,16,11.6,10.8,12.2,11.6,11.4,16,15.9,15.4,17.8,19.5,11.5,13
1965,22.4,21.9,20.3,17,15.7,13.2,8.6,11.3,13.8,16.4,17.6,17,16.3,20.1,17.7,11,15.9
1966,18.6,14.3,16.7,16.3,14.6,10.7,10.3,9.9,13.7,17.5,16.7,17.9,14.8,16.6,15.9,10.3,16
1967,19.9,20.6,14.8,19,16.4,12.4,9.6,10.8,11.3,15,16.9,17.3,15.3,19.5,16.7,10.9,14.4
1968,16.2,19.3,16.5,18.2,16.3,13.7,12.3,12.3,11.9,14.3,17.7,19.9,15.7,17.6,17,12.8,14.7
1969,20.2,15.4,17.2,15.9,13.3,13.5,11.1,10.8,12.5,15.6,16.1,16.6,14.9,18.5,15.5,11.8,14.8
1970,14.4,18.4,16.8,19,15.6,12.1,10.9,9.9,12.1,13.8,16.6,17.2,14.7,16.5,17.1,11,14.2
1971,20.3,21.3,17.6,15.7,13.4,10.9,12,11.1,11.2,11.6,16.3,17.4,14.9,19.6,15.5,11.4,13
1972,20.5,17.5,17.8,15.7,14.5,14,10.5,11.1,13.7,15,15.3,16.7,15.2,18.5,16,11.9,14.7
1973,20.5,16.4,18.3,18.6,16.6,14,12.4,9.9,13.1,14.2,18.7,18.8,16,17.9,17.8,12.1,15.3
1974,18.6,18,21,19.8,17.7,15.1,12.4,11.7,13.6,15.4,16.9,16.7,16.4,18.5,19.5,13.1,15.3
1975,19.6,18.4,18.4,17.9,11.6,13.8,11.2,11.2,13,15.1,16.8,17.8,15.4,18.2,16,12.1,15
1976,19,20,22.5,17.5,17.1,14.2,13,9.9,12.4,16.1,17.9,18.8,16.5,18.9,19,12.4,15.5
1977,20.2,19,15.3,11.6,14.8,13.8,12.4,12.1,12.6,15.1,18.1,20.8,15.5,19.3,13.9,12.7,15.3
1978,20.9,11,14.3,18.5,15.5,13.6,12.3,10.2,12.5,13.1,15.5,18.5,14.7,17.6,16.1,12,13.7
1979,18.8,16.8,16.2,17.4,12.6,14.3,8.7,10.3,10,13.1,14.9,18,14.3,18,15.4,11.1,12.7
1980,17.6,13.8,18,16,12.1,12.7,8.6,8.6,10.2,13.6,15.3,16.6,13.6,16.4,15.4,10,13
1981,12.7,17.9,15.2,19.3,13.1,12.9,9.9,8.1,11,15.2,12.7,14.2,13.5,15.7,15.9,10.3,13
1982,22.1,16.5,16.5,19,10.5,10.9,10.2,9.9,10.7,12,16.2,17.1,14.3,17.6,15.3,10.3,13
1983,17.4,15.2,18.8,20,18.6,11.1,11.7,8,11.2,15.5,17.1,20.1,15.4,16.6,19.2,10.2,14.6
1984,15.2,16,19.1,18,16,13.3,9.8,7.9,9.7,9.5,15.4,18.9,14.1,17.1,17.7,10.3,11.5
1985,19.6,19.8,21.9,17.2,14.9,13.3,11.3,10.1,10.8,14,17,18.4,15.7,19.4,18,11.5,13.9
1986,19.1,16.2,18.7,16.5,14.5,12.9,10.7,9.5,10.2,12.4,15.3,15.5,14.3,17.9,16.6,11,12.6
1987,14.4,13.6,15.1,16.6,14.5,11.8,10.9,10.8,9.8,12.2,17.7,17.7,13.8,14.5,15.4,11.2,13.3
1988,19.8,19.1,17,17.1,12.9,14.7,8.4,10.6,12.3,14.7,17.6,18.3,15.2,18.8,15.7,11.2,14.9
1989,20.4,16.9,16.7,13,12.9,8.2,8.7,9.8,9.9,13.9,20.8,15.9,13.9,18.5,14.2,8.9,14.9
1990,19.6,17.4,16.7,15.7,16.2,15.2,12.1,9.5,11.7,16.3,17.9,19.5,15.6,17.6,16.2,12.2,15.3
1991,19.9,17.3,18.2,16.7,12.2,9.5,9.9,10.5,12.6,15.9,18,16.7,14.8,18.9,15.7,10,15.5
1992,17.2,15.9,17.7,15.7,12.9,12.5,12.4,12.1,13.7,13.4,17,17.1,14.8,16.6,15.4,12.3,14.7
