Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,25.7,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,28.1,24.9,25.5,20.6,22.1,22.9,23.3,26.9,29.8,35.6,24.5,22,25.5,26.3,22.7,24.4,30
1957,23.3,24.8,28.4,25.7,24,30,23.9,-9999.9,-9999.9,26.3,-9999.9,20.6,25.2,23.4,26.1,27,-9999.9
1958,25.6,24.5,21,26.2,-9999.9,20.2,22,18.7,-9999.9,23.4,25.3,25.9,23.3,23.6,23.6,20.3,24.4
1959,30.4,24,19.9,20.3,24.7,21.7,22.5,22,26.6,24,27.1,23,23.8,26.8,21.6,22.1,25.9
1960,30.9,31,25.1,20.8,22.2,21,21.7,23.9,24,21,23.1,21.5,23.9,28.3,22.7,22.2,22.7
1961,24.5,23.3,15.8,21,21,15.9,14.5,17.5,19,29.7,25.4,33.2,21.7,23.1,19.2,16,24.7
1962,20.8,20.4,24.3,19.6,24.2,21,21.3,20.2,20,24.6,26.8,24.7,22.3,24.8,22.7,20.9,23.8
1963,32.1,24.4,20.8,23.5,22.9,20.6,21.9,21.3,25.2,27.6,24.9,26.3,24.3,27,22.4,21.3,25.9
1964,24.8,27.1,23.7,24.7,20.5,24.2,23.5,23,24.9,22.1,24,28.2,24.2,26.1,22.9,23.6,23.7
1965,23.1,33.8,27.1,23.1,21.6,16.7,14.1,14.9,19.1,21.2,25.7,21.1,21.8,28.4,23.9,15.3,22
1966,22.5,27.1,22.6,20.2,19,21,17,18.6,23.5,25.3,26.5,20.1,22,23.5,20.6,18.9,25.1
1967,26.7,19.5,27.5,24.2,28.4,19,20.6,21.7,31,25.6,24,25.2,24.4,22.1,26.7,20.4,26.8
1968,21.3,27.7,24.7,29,26.9,21.7,22.3,19.3,-9999.9,25.7,25.4,26.2,24.6,24.7,26.9,21.1,25.6
1969,24.8,26.8,20.4,18.1,25.5,16.5,16.2,10.4,21.8,27.2,30.8,24.3,21.9,25.9,21.3,14.4,26.6
1970,28.2,28.5,23.9,22.5,21.8,23.3,21.4,21.6,23.4,31.3,29.5,24.1,25,27,22.7,22.1,28.1
1971,27.5,27.4,24,25.5,24.2,16.3,-9999.9,22.5,24.1,33.6,26.7,19.6,24.7,26.4,24.6,19.4,28.1
1972,24.3,22.9,23.9,25.1,20.5,20.7,19.5,21.1,19.7,22.9,21.9,17.8,21.7,22.3,23.2,20.5,21.5
1973,17.2,23.7,20.7,25.2,23.2,16.5,18.3,20.2,19.2,23.9,27.4,21.8,21.4,19.6,23,18.3,23.5
1974,20.9,18,19,24.2,23.5,22.4,17.9,20.1,21.3,24.7,23.6,19.7,21.3,20.2,22.2,20.1,23.2
1975,20.1,13.2,13.2,11.9,13.1,18.2,12.1,20.1,22.9,24.8,20.3,23.8,17.8,17.7,12.8,16.8,22.7
1976,24.3,17.6,22.3,20.5,22.1,20.9,22.5,20.3,22.3,17.9,20.1,25.2,21.3,21.9,21.6,21.2,20.1
1977,25.1,17.8,29.4,23.1,23.1,21.7,19.6,17.9,22,25.5,33.2,24.3,23.6,22.7,25.2,19.7,26.9
1978,19.7,19.4,20.5,27.3,24.9,27.8,23.6,20.4,23.5,28.5,18.7,24.3,23.2,21.1,24.2,23.9,23.6
1979,24.2,20.3,26,24.5,23.6,21.5,27.2,30,25.9,26.1,21.1,27.8,24.8,22.9,24.7,26.2,24.4
1980,27.5,18.9,25.2,23.1,23.5,19.3,19.6,20.7,24.5,23.6,25.9,24.9,23,24.7,23.9,19.8,24.6
1981,26.9,27.4,23.3,23,22.5,20.6,21.7,25.2,30,28.9,26,33.1,25.7,26.4,23,22.5,28.3
1982,29.6,21.4,21.1,22.9,23.4,22.3,22.1,21.3,23.4,24.4,26.5,14.8,22.8,28,22.5,21.9,24.8
1983,16.4,22.4,18.1,23.3,26.1,20.1,18.6,16.2,19.7,26.5,21.9,27.8,21.4,17.9,22.5,18.3,22.7
1984,22.4,17.8,23.2,22.2,19.9,21.4,22.5,19.6,18.4,22.7,20,22.8,21.1,22.7,21.8,21.2,20.4
1985,22.1,19.2,29.2,21.9,21.1,22.5,20.5,27.8,29.8,27.6,26,25.1,24.4,21.4,24.1,23.6,27.8
1986,23.2,21.8,21.4,23.9,22.8,18.3,15.7,27.4,23.3,26.5,29.2,28.2,23.5,23.4,22.7,20.4,26.3
1987,28.3,18.6,24.1,21.1,23,23,19.9,21.4,20.4,23.2,27.9,19.5,22.5,25,22.7,21.4,23.8
1988,23.1,32.6,23.4,26.6,28.2,18.1,20.6,22.9,19.5,24.1,23.5,19,23.5,25.1,26,20.5,22.4
1989,15.7,18,25.8,24.3,26.9,22.5,22.5,20.8,22.5,22.8,32.2,20.9,22.9,17.6,25.7,21.9,25.8
1990,16.8,-9999.9,24.8,22.9,28.5,20.1,18,18.2,22.3,23.6,30.2,24.4,22.7,18.8,25.4,18.8,25.4
1991,19.2,23.2,28.3,19.6,17.2,17.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.3,21.7,-9999.9,-9999.9
1992,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1993,14,14.4,16,17.2,23,22.2,20.2,25.3,-9999.9,-9999.9,-9999.9,-9999.9,19,14.2,18.7,22.6,-9999.9
1994,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.5,22.3,-9999.9,27,12.8,11.6,9.3,-9999.9,-9999.9,-9999.9,22.4,17.2
1995,12.3,12,15.2,26.9,25.1,22.4,21.8,21.7,22.5,19.4,35.2,13,20.6,11.2,22.4,22,25.7
1996,14.7,-9999.9,15.7,26,25.4,21.5,21.2,22.5,22.6,22.3,-9999.9,23,21.5,13.9,22.4,21.7,22.5
1997,20.5,13.7,18.2,19.9,21.4,17.9,17.2,20.6,20.3,27.7,18.6,23.6,20,19.1,19.8,18.6,22.2
1998,18.8,20.6,17.7,20.2,22.2,18.4,18.6,20,25.5,26.8,24.2,20.4,21.1,21,20.1,19,25.5
1999,19.5,19,19.8,19.5,18.4,20,16.8,19.3,22.8,22.7,19,24.3,20.1,19.6,19.2,18.7,21.5
2000,23,19.5,20.2,-9999.9,-9999.9,20.8,18,-9999.9,22.8,-9999.9,29.2,25,22.3,22.3,-9999.9,19.4,26
2001,20.1,23.8,21.3,19.3,25.3,22.3,-9999.9,-9999.9,17.9,24,20.3,21.9,21.6,23,22,-9999.9,20.7
2002,17.9,17.7,20.6,22,16.4,16.9,22.4,18.3,22.5,22.7,28.9,18.2,20.4,19.2,19.6,19.2,24.7
2003,23.6,17.1,15.9,19.2,24.9,17.6,19,23.8,-9999.9,-9999.9,-9999.9,-9999.9,20.1,19.6,20,20.1,-9999.9
2004,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,33.4,26.9,17.5,-9999.9,-9999.9,-9999.9,-9999.9,30.1
2005,17.8,27.7,27.4,25.4,20.3,17.1,19.1,16.3,18.9,21.1,31.4,17.7,21.7,21,24.3,17.5,23.8
2006,19.8,25.5,19.9,21.9,-9999.9,-9999.9,17.9,16.3,19.3,23.5,23.7,21.2,20.9,21,20.9,17.1,22.2
2007,19.6,23.8,18.9,15.6,17.3,22,17.7,17.2,19.2,23.5,22.5,18.3,19.6,21.5,17.3,19,21.8
2008,22.2,17.9,24.6,25,23,20.3,18.6,21.8,22.9,29.7,21.1,19.8,22.2,19.5,24.2,20.2,24.5
2009,18,17.4,20.6,17,16.7,18.6,16.7,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18.4,18.1,17.6,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,16.2,18.8,21,28.2,30.8,25.2,-9999.9,-9999.9,-9999.9,17.5,26.7
2011,20.9,18.5,18.8,19.2,19.9,17.8,18.3,17.8,22,26.2,26.2,26.3,21,21.5,19.3,18,24.8
2012,18.1,18.6,22.5,18.3,18.8,23.7,16,19.8,24.4,26.2,25.3,20.2,21,21,19.9,19.8,25.3
2013,19.4,18.2,22.1,19.4,17.7,17.3,18.6,21.8,25,21.8,22.8,19,20.3,19.3,19.7,19.2,23.2
2014,21.6,19.1,18.5,19.1,16.9,21.3,15.7,20.2,17.3,24.2,18.8,21.8,19.6,19.9,18.2,19.1,20.1
