Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,29.1,28.1,24.7,23,20.1,18.3,13.8,17.9,17,34.8,27.1,24.6,23.2,28.6,22.6,16.7,26.3
1956,28.6,28.6,27.4,18.6,15.9,24.3,15.2,16.1,17.4,32.3,31.4,38.5,24.5,27.3,20.6,18.5,27
1957,14,21.5,26.4,18.3,15.1,20.2,21.8,14.7,14.9,18.3,29.7,30.6,20.4,24.6,19.9,18.9,21
1958,32,25.2,14.8,20,18.1,13.7,13.1,20.3,22.6,26.5,29.3,30.3,22.2,29.3,17.6,15.7,26.1
1959,26.2,24,35.7,22.6,17.9,19.4,15.1,16.4,20.2,22.6,28.2,37.5,23.8,26.8,25.4,17,23.7
1960,26.9,24.2,33.4,28.3,21.6,16.7,14.5,19,18.6,32,26.5,24.9,23.9,29.5,27.7,16.8,25.7
1961,31.8,34.4,24.3,21.6,15.3,17.1,12.1,15.5,19.1,32.5,29.5,31.1,23.7,30.4,20.4,14.9,27
1962,33.4,16.9,21.4,24.9,16.4,16.5,12.6,17.3,16.7,26.3,35.6,27.8,22.2,27.1,20.9,15.5,26.2
1963,16.1,27.8,20.1,19,17.2,16.6,15.2,10.9,19.3,38.6,34.1,29.5,22,23.9,18.8,14.2,30.7
1964,33.8,33.9,25.5,26.3,19.2,17.6,18.5,22.7,23.7,27.6,24.8,30.2,25.3,32.4,23.7,19.6,25.3
1965,29.7,33.3,14.8,22.1,20.5,20.2,15.6,14.1,21.2,32.1,25.3,31.5,23.4,31.1,19.2,16.6,26.2
1966,33,27.1,34.5,21.5,22.8,21.1,20.1,22.4,20.5,28.4,24.5,27.2,25.3,30.5,26.3,21.2,24.4
1967,-9999.9,31.3,19.4,17.7,20.4,18.5,19.6,12.6,21.8,27.3,23.4,31.6,22.1,29.2,19.2,16.9,24.2
1968,31.5,20.6,23.5,31.6,16.4,19,16.2,18.4,22.5,33.1,30.3,29.2,24.4,27.9,23.8,17.9,28.6
1969,24.9,-9999.9,-9999.9,28.2,17.7,14.9,17.2,25.1,19.1,17.1,40.3,28.7,23.3,27.1,23,19.1,25.5
1970,25.2,21.8,24.7,29.8,19.5,14.6,14.2,14.7,20.6,18.8,16.2,25.4,20.5,25.2,24.7,14.5,18.5
1971,25.5,19.3,31.3,27.3,16.2,14.2,11.6,18.6,16.3,24.5,26.2,21.2,21,23.4,24.9,14.8,22.4
1972,23.6,27.2,22.8,24.1,14.2,15.5,13.6,17.4,24.1,24.2,31,28.3,22.2,24,20.4,15.5,26.4
1973,36.6,20.3,19.8,20,18.7,18,16.2,15.4,18.9,22.8,25.9,21.4,21.1,28.4,19.5,16.5,22.5
1974,25.9,26.1,21.8,21,19.3,19.5,16.1,16.6,20.6,29,23.9,30.7,22.5,24.4,20.7,17.4,24.5
1975,26.9,31.3,21.9,20.1,18,18.9,17.8,19.1,19,25.5,30.8,28.1,23.1,29.7,20,18.6,25.1
1976,27.8,28.2,29.7,22.3,24.2,19.9,18.2,16.9,17.7,25.1,24,27.5,23.5,28.1,25.4,18.4,22.3
1977,18.8,27.3,29.9,25.2,22.7,22.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,24.5,25.9,-9999.9,-9999.9
1978,-9999.9,-9999.9,-9999.9,-9999.9,17.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1979,-9999.9,28.5,21.6,18.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,20.2,-9999.9,-9999.9
1980,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1981,-9999.9,-9999.9,20.2,23.8,16,21.6,-9999.9,-9999.9,21.3,20.5,-9999.9,-9999.9,-9999.9,-9999.9,20,-9999.9,20.9
1982,30,27.5,24.6,28.6,28.6,-9999.9,19.6,-9999.9,20.5,28.6,23.7,25.8,25.7,28.8,27.2,-9999.9,24.3
1983,28.7,24.7,22.1,-9999.9,-9999.9,21,-9999.9,16,17.8,-9999.9,24.6,24.8,22.5,26.4,-9999.9,18.5,21.2
1984,29.5,34.7,23.9,28.4,22.5,18.6,15,17.8,16.8,27.8,26,27.3,24,29.7,24.9,17.1,23.5
1985,21.5,32.1,26.1,26,16.7,16.3,14.7,19.3,16.2,30.1,26.8,20.4,22.2,27,22.9,16.8,24.4
1986,30.7,25.3,28.8,25,18.9,19.2,20.1,14.9,15.9,20.4,32.4,24.5,23,25.5,24.2,18.1,22.9
1987,31.6,28.6,18.5,27,24.3,20.5,13.6,16.8,24.1,19.3,31.3,30.7,23.9,28.3,23.3,17,24.9
1988,32.8,26.8,30.4,19.9,21.6,17.6,18.3,-9999.9,19,18.3,34.7,24.3,24,30.1,24,17.9,24
1989,38.6,15,26.9,17.3,15.2,21.5,12.8,13.1,15.5,21.5,33.8,28.9,21.7,26,19.8,15.8,23.6
1990,34,26.9,19,18.8,16.5,16.4,14.9,14.7,15.3,31.8,29.2,31.5,22.4,29.9,18.1,15.3,25.4
1991,24.4,24.8,22.9,19.6,20.1,16.1,15.7,19.5,15.4,22.8,33.6,38.2,22.8,26.9,20.9,17.1,24
1992,29.9,23.4,14.2,20.4,24.2,15.6,15.6,18.1,26.4,24.4,29,32.8,22.8,30.5,19.6,16.4,26.6
1993,25,23.6,23.4,20.6,15.4,12.6,15.2,15.4,15.8,18.9,26.9,26.9,20,27.2,19.8,14.4,20.6
1994,25.1,28.2,23.8,20.1,20.4,15,17.4,12.4,21.7,27.3,37.3,32,23.4,26.7,21.4,14.9,28.8
1995,22.6,26,23.7,24.4,18.3,17.2,17.7,17.8,13.5,30.2,30.2,27.2,22.4,26.9,22.2,17.6,24.6
1996,28,22.5,24.4,24.7,19.8,22.2,18.5,17.5,19,30.2,27.8,35.1,24.1,25.9,23,19.4,25.7
1997,27.5,27,30.9,22,18,17.1,14.2,17,20.4,29.8,21,37.7,23.6,29.9,23.6,16.1,23.8
1998,32.6,31.6,20.4,22.4,18.8,17.7,17,16.7,19.4,24.8,27.9,35.9,23.8,34,20.5,17.1,24
1999,28.1,35.8,25.9,21,24.3,20.9,17.1,16.7,19,24.4,25.2,27,23.8,33.3,23.7,18.2,22.9
2000,28,20.5,30,23.3,18.7,13.9,15.5,23.4,18.2,19.4,22.6,19.2,21.1,25.2,24,17.6,20.1
2001,25.8,16.1,28.2,20.5,25.8,13.3,16.7,21.8,22.8,35.9,28,-9999.9,23.2,20.4,24.8,17.3,28.9
2002,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2003,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2004,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2005,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2006,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2007,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2008,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2013,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2014,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
