Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn,,
1953,13.3,16.9,17.1,14.5,18.9,15.5,14.1,13.3,15.1,14.7,18,19.4,15.9,15.1,16.8,14.3,15.9,,
1954,14.1,21.3,13.6,16.4,16.1,18.7,13.8,12.5,13.1,16.1,17.4,17.6,15.9,18.3,15.4,15,15.5,,
1955,13.3,15.4,18.9,19.2,19.6,15.4,13.1,13.9,14.8,19.4,14.5,14.1,16,15.4,19.2,14.1,16.2,,
1956,10.3,14.3,17.3,14.6,14.1,19.6,12.3,12.9,14.8,18.5,16.9,17.6,15.3,12.9,15.3,14.9,16.7,,
1957,14.3,18.5,14.1,14.8,14.4,14.2,15.7,13.1,15.3,12.5,18.3,21.1,15.5,16.8,14.4,14.3,15.4,,
1958,14.9,10.9,11.8,18.1,15.6,13.9,12.9,14,17.9,16.8,19.7,18.3,15.4,15.6,15.2,13.6,18.1,,
1959,15.4,14.9,19.6,21.9,16.3,17.7,14.8,15.5,18.8,16.4,19.6,16.6,17.3,16.2,19.3,16,18.3,,
1960,14.7,14.1,13.9,20,18.2,17.7,13.8,16.2,16.2,17.5,16.8,15.7,16.2,15.2,17.4,15.9,16.8,,
1961,18.4,15.9,15.7,19.3,15,17.6,13.5,11.1,17.6,19,19.6,15.1,16.5,16.7,16.7,14.1,18.7,,
1962,20.8,10.6,11.5,19.3,15.3,15.4,13.5,15,13.8,15.1,18.2,15.4,15.3,15.5,15.4,14.6,15.7,,
1963,17.7,13.5,17.5,16.4,16.6,15.1,13.4,11,14.1,18.1,18.7,16.5,15.7,15.5,16.9,13.2,17,,
1964,18.4,22.4,17,19.9,22.6,14.7,15.1,17.6,17.9,17.4,13.8,14,17.6,19.1,19.8,15.8,16.4,,
1965,14.1,22.5,14.4,17.7,20.4,17.2,11.9,13.1,15.1,16.6,13.8,17.2,16.2,16.8,17.5,14.1,15.1,,
1966,12,14.3,19,18.2,18.5,15.7,15.3,15.4,12.9,18.7,15.7,15.1,15.9,14.5,18.6,15.5,15.8,,
1967,15.1,17.8,16.7,16.5,17.6,13.4,15.3,12.5,16.1,18.8,17.4,20.4,16.5,16,17,13.8,17.4,,
1968,17.6,13.1,16.5,21.2,16.9,14.7,11.3,14.1,17,20.6,15.5,14.3,16.1,17,18.2,13.4,17.7,,
1969,7.1,8.2,11,15,13.9,11.5,11.6,13.9,12,13.2,15,11.6,12,9.9,13.3,12.3,13.4,,
1970,11.3,11.9,13.4,16.9,14.5,15,12.1,12.1,16,16.4,12.8,16,14,11.6,14.9,13.1,15,,
1971,13.8,15.1,15.8,16,16,14.7,15.1,13.4,15,15.8,14.6,14.3,15,15,16,14.4,15.2,,
1972,15.2,12,14.4,21.7,14.7,17.1,13.8,12.1,15.4,16.3,12.7,15.3,15.1,13.9,17,14.3,14.8,,
1973,18.9,12.1,15.6,17.1,15.3,16.5,14.5,14.8,13.2,16,13.2,13.8,15.1,15.4,16,15.3,14.2,,
