Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16.4,23.1,17.9,16.4,14.8,17.8,17.5,16,18.6,18.1,15.1,19.3,17.6,19.8,16.4,17.1,17.3
1954,18.7,17.5,20.1,19.2,18.5,14.8,15.7,17.3,16.4,15.9,14.7,16.9,17.1,18.5,19.3,15.9,15.7
1955,17.6,19.9,23.1,19.2,18.4,19.8,18.6,14.7,18.5,19.2,21.2,17.6,19,18.1,20.2,17.7,19.6
1956,22.2,20.1,20.8,18,22.2,18.2,14,16.2,17.3,18.8,17.5,15,18.4,20,20.3,16.2,17.9
1957,14.8,20.1,20,20.2,18.5,18.6,15.4,15.7,16.8,16.8,18.4,19.5,17.9,16.6,19.5,16.6,17.3
1958,21,19.3,17.9,20,19.6,18.9,16.7,17.4,17.8,18.8,19.3,18.7,18.8,19.9,19.2,17.6,18.6
1959,18.7,20.3,22.4,16.6,17.3,20,18.9,15.1,18.1,17.5,19.4,17.6,18.5,19.2,18.8,18,18.4
1960,19.1,18,20.2,19.9,15.6,18.3,18.1,18.5,19.4,19,17.8,20.2,18.7,18.2,18.6,18.3,18.7
1961,19.5,16.6,17.4,17.5,19.7,20.1,16.4,16.3,14,15.8,13.9,16.4,17,18.7,18.2,17.6,14.5
1962,19.5,13.4,17.2,17.3,16.2,16.5,16.7,15.4,15.8,16.4,15.5,16.2,16.4,16.4,16.9,16.2,15.9
1963,16.2,18.7,16.7,18.4,15.5,16.1,14.9,15.1,16.2,16.3,18.7,17.5,16.7,17,16.9,15.4,17.1
1964,16.1,19.5,20.8,16.2,18.3,17.4,14.4,16.3,16.7,15.6,16.5,16.7,17,17.7,18.4,16.1,16.3
1965,19.5,18,19.4,17.8,17.8,18.7,17.5,16.9,15.2,17.9,18.2,16.2,17.8,18.1,18.3,17.7,17.1
1966,19.1,17.1,15.7,16.9,17.9,17.4,18,16.4,18,18.7,14.9,18.4,17.4,17.5,16.8,17.2,17.2
1967,15.1,19.5,17.6,18.6,19.8,15.2,14.4,13.6,15.4,14.7,15.3,16,16.3,17.7,18.7,14.4,15.2
1968,18.9,17,17,19.6,13.7,15.2,15.1,15.9,11.6,16.5,18.8,20.4,16.7,17.3,16.8,15.4,15.7
1969,16.2,19.4,18.6,18.2,16.8,15.5,15.9,14.4,15.9,17.8,14.6,17.9,16.8,18.7,17.9,15.3,16.1
1970,16.5,17.1,17,16.6,16,17,15.6,14,14.7,14.2,13.6,19.9,16,17.2,16.6,15.5,14.1
1971,16.9,15.2,19.2,16.6,14.6,15,14.1,15.6,15.6,15.5,17,16.4,16,17.3,16.8,14.9,16
1972,16.1,17.5,17.2,15,16.5,15,13.9,14.2,16.4,17.1,16.3,14.6,15.8,16.7,16.2,14.4,16.6
1973,18.2,17.3,16.2,18.6,16.2,16.2,14.9,13.2,14.2,15.5,17.6,16.5,16.2,16.7,17,14.8,15.8
1974,14.5,19.2,22,17.2,17.7,14.8,12.9,13.8,14.6,16.7,18.5,16.4,16.5,16.7,19,13.9,16.6
1975,16.6,16.4,18.5,18.7,15.8,17.7,16.6,14.1,15.1,16.1,16,14.7,16.4,16.5,17.7,16.1,15.7
1976,13.4,16.3,18,14.6,16,15.1,14.5,14.1,13.8,16.9,17.4,19.5,15.8,14.8,16.2,14.5,16
1977,16.3,14.8,17.9,18.4,16.4,14.6,16,13.5,15.2,16.3,16.2,17.1,16.1,16.9,17.6,14.7,15.9
1978,15.4,14.2,16.3,13.4,13.6,14.6,13,12.9,14.9,13.6,14.8,16.1,14.4,15.6,14.4,13.5,14.4
1979,17.9,22.1,18.7,14.8,15.9,14.8,12.7,12.3,14.9,12.2,11.3,16.1,15.3,18.7,16.5,13.2,12.8
1980,18.2,14.5,19.1,15,15.3,14.5,10.9,11.2,15.4,15.6,18.1,16.7,15.4,16.3,16.5,12.2,16.4
1981,15.8,16.3,18,20,15.9,15.1,14.3,13.2,14.2,15.4,19.7,16.5,16.2,16.3,18,14.2,16.4
1982,18.9,18.8,17.6,21.5,15.2,10.8,13.7,11.3,11.1,12.5,15.6,16.1,15.3,18.1,18.1,12,13.1
1983,14.7,17.7,18.8,15.9,16.5,12.9,12.8,13.3,13,14.7,17,17.9,15.4,16.2,17.1,13,14.9
1984,12.5,15.9,20,18.2,16.9,15.7,14.6,12.7,14.4,11.4,12.4,12.3,14.8,15.4,18.4,14.3,12.7
1985,15.7,13.3,16.6,16.1,13.2,14.2,13.6,12.8,14.2,16.1,14.3,14.1,14.5,13.8,15.3,13.6,14.9
1986,18,14.7,17.2,15.2,16.7,16.3,14.6,12.3,12.2,14,16.1,14.7,15.2,15.6,16.4,14.4,14.1
1987,14.7,18,14.2,14.9,15.3,13.7,13.5,11,15.2,11.8,12.8,13.8,14.1,15.8,14.8,12.8,13.3
1988,13.4,13.6,15.6,17,15.8,16.3,11.6,12.7,13.3,12.2,13.6,12.5,14,13.6,16.1,13.6,13
1989,14.1,13.1,15.6,14.6,12.9,11.9,12.5,14,13.8,12.9,15.9,17.2,14,13.3,14.4,12.8,14.2
1990,14.9,15.4,16.8,14.5,16.8,13.8,10.1,10.1,11.4,16.8,19.2,17.9,14.8,15.8,16,11.4,15.8
1991,17.5,13.4,16.2,13.4,14.1,14.2,12,13.4,-9999.9,-9999.9,-9999.9,-9999.9,14.3,16.3,14.6,13.2,-9999.9
1992,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1993,14.5,9.4,16.6,13.5,12,12,10.4,11,12.6,12.6,15.9,18.4,13.3,12,14,11.1,13.7
1994,16.5,14.6,12.9,14.2,15,14.5,13,13.4,11.5,13.4,19.3,14,14.4,16.5,14,13.6,14.7
1995,15.3,15,13.1,11.2,10.3,11,10.9,11.5,12.4,13.6,14.7,15.4,12.9,14.8,11.5,11.1,13.5
1996,16.6,13.4,16.3,14.3,13,13.6,13.7,10,13.1,14.3,14.6,16.3,14.1,15.1,14.5,12.4,14
1997,18,13.6,15.8,15.3,15.3,10.9,12.6,9.8,13.7,12.1,14.3,13.2,13.7,16,15.5,11.1,13.4
1998,17.3,13.1,15.4,12.1,11.4,12.4,12.4,11.6,10.6,15.6,12.1,14.1,13.2,14.5,12.9,12.1,12.7
1999,13.3,12,18.2,12.2,13.7,12.9,11.4,10.1,11.1,16,15.4,13.7,13.3,13.2,14.7,11.5,14.2
2000,14.9,16.9,12.5,15.3,14.6,14.2,11.1,10.1,13.8,15.1,12.6,16.1,13.9,15.2,14.1,11.8,13.8
2001,9.3,15.6,17.2,13.6,14,11.9,12.9,12.4,12.1,13.4,14.2,12.9,13.3,13.7,14.9,12.4,13.2
2002,10,14,15.8,15.9,15.9,13.7,11.2,10.7,12.9,12.9,13.7,13.3,13.3,12.3,15.9,11.9,13.2
2003,12.4,17.3,15.2,12.8,11.1,11.2,9.6,10,8.1,12.3,13.5,16.1,12.5,14.3,13.1,10.2,11.3
2004,14.6,14.6,13.3,13.5,15.5,12.7,11.1,11.6,12.4,11.9,12.9,13.7,13.2,15.1,14.1,11.8,12.4
2005,12.7,10,14.8,14.5,13.6,12.2,8.3,-9999.9,12.2,12.8,12.8,13.3,12.5,12.1,14.3,10.3,12.6
2006,11.4,12.4,10.4,14.8,11.1,14.2,11.2,10.8,10.1,11.6,10.6,11.8,11.7,12.4,12.1,12.1,10.8
2007,12.3,12.4,15,15.2,11.3,11,9.9,9.6,11.7,11.4,12.6,11.7,12,12.2,13.8,10.2,11.9
2008,10.9,11.2,13.2,12,11,11.2,11.4,11.1,11.3,11.4,12.8,-9999.9,11.6,11.3,12.1,11.2,11.9
2009,10.6,13.5,12.8,13.3,12.7,12.4,10.6,10.4,11.3,10.1,10.6,12.1,11.7,12.1,12.9,11.2,10.7
2010,12.1,11.5,11.8,12.6,11.4,10.1,11.6,9.2,10.8,12.7,10.5,14.3,11.6,11.9,11.9,10.3,11.3
2011,10.2,11.6,13.2,12.9,14.3,10.2,10.6,11.4,10.2,11.3,11.7,11.1,11.5,12,13.5,10.7,11.1
2012,11.2,10.4,12.7,12.2,11.9,12.1,9.6,10.3,11.6,11.1,10.8,12.8,11.4,10.9,12.3,10.7,11.2
2013,12.6,12.4,13.8,13.5,12.7,11.6,10.3,10,11.4,9.8,12.7,7.5,11.5,12.6,13.3,10.6,11.3
2014,12.8,11,13.5,13,12.3,9.7,13.1,9.5,11.8,12.1,13.4,10.8,11.9,10.4,12.9,10.8,12.4
