Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1959,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1960,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1961,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1962,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1963,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1964,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,24.3,19.6,23.3,26.4,-9999.9,-9999.9,-9999.9,-9999.9,22.4
1965,24.1,22.1,23.9,23.1,18.1,20.5,21.1,20.1,-9999.9,21.8,22.9,23.5,21.9,24.2,21.7,20.6,22.4
1966,23.9,23.5,16.7,15.6,18.9,16.8,22,17.5,22,21.7,18.2,24.6,20.1,23.7,17.1,18.8,20.7
1967,23.1,27.9,19.9,17.7,19.8,15.8,16.9,16.7,20.2,19.6,21.3,16.6,19.6,25.2,19.1,16.5,20.4
1968,21.7,24.4,17.9,21,16.5,18.9,18.9,19.8,13.6,22.8,28,27.4,20.9,20.9,18.5,19.2,21.5
1969,23.9,22,22.3,18.5,17.5,19.5,18.5,17.7,20.4,22.9,19.9,25.1,20.7,24.4,19.5,18.6,21.1
1970,21.5,21.2,18.7,18.2,17.8,18.6,18.8,-9999.9,-9999.9,19.1,20.2,29.5,20.4,22.6,18.2,18.7,19.6
1971,24.3,20.3,22.1,19.6,16.3,16.8,16.8,20.4,18.5,19.1,26.1,24.4,20.4,24.7,19.3,18,21.2
1972,23,26.2,24,14.6,15.1,17.9,15.6,17.3,20.1,22.8,22.8,22.3,20.2,24.5,17.9,16.9,21.9
1973,22.8,23.9,16.4,19.3,15.7,17.2,16.4,14.7,19.3,20.5,23.9,23.6,19.5,23,17.2,16.1,21.2
1974,18.7,27.1,25.7,17.4,17.4,14.4,14.2,17.5,18.1,22.5,23.1,22.7,19.9,23.1,20.1,15.4,21.2
1975,20.1,21.7,21,21.3,15.1,18.6,17.5,15.1,17,20.5,24.3,23.4,19.6,21.5,19.1,17.1,20.6
1976,22.5,23,24.4,16.5,19,17.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.9,20,-9999.9,-9999.9
1977,22,18,20.2,17.6,16.6,16.1,18.2,12.3,23,23.3,23,30,20,20,18.2,15.5,23.1
1978,25.7,20.1,22.9,18.6,15,19.6,17.2,18.2,21.2,20.3,22.4,25.3,20.5,25.3,18.8,18.3,21.3
1979,-9999.9,25.1,23.9,16,16.8,20.2,18.4,17.5,21.1,20,19.4,23.7,20.2,25.2,18.9,18.7,20.1
1980,28.8,18,25.5,19.1,14,14.1,10.6,-9999.9,-9999.9,21.6,24.9,26.8,20.3,23.5,19.5,12.3,23.3
1981,25.2,-9999.9,23.6,19.4,16.1,17.4,17.6,17.9,19.1,22.3,24.6,23.1,20.6,26,19.7,17.6,22
1982,28.6,25.6,19.2,23.4,17.3,-9999.9,18.4,19,17.5,19.4,22.1,19.6,20.9,25.7,20,18.7,19.7
1983,18.1,14.6,15.6,12.9,17.7,16.7,16.3,17.2,17.4,20.5,19.9,20,17.2,17.5,15.4,16.7,19.2
1984,16.8,18.2,20.7,17.8,16.3,16.7,17.3,15.7,20.8,17.9,19.2,22.6,18.3,18.3,18.2,16.6,19.3
1985,28.9,20.6,23.6,20.1,17.1,18.2,18.6,15.7,17.8,24.6,22.4,24,21,24,20.3,17.5,21.6
1986,27.6,22.9,21.6,17.7,19,20.2,18.2,18.3,19.3,21.3,23.9,24.6,21.2,24.8,19.4,18.9,21.5
1987,23.8,22.5,20.8,17.1,19.7,16.6,17.9,14.7,20.2,19.7,24.1,27.5,20.4,23.6,19.2,16.4,21.3
1988,-9999.9,21.6,21.5,21.9,20.8,20.6,17.6,18.8,23.7,24.4,26.4,22.8,21.8,24.6,21.4,19,24.8
1989,23.3,20.8,18.9,17.8,16.9,16.9,19.7,19.7,21.2,19.7,22.8,24,20.1,22.3,17.9,18.8,21.2
1990,19.8,17.9,15.3,16.5,18.7,19.7,17.3,16.1,18.6,21.9,23.8,24.7,19.2,20.6,16.8,17.7,21.4
1991,21.8,20,22,15.6,17.3,18.3,17.4,-9999.9,-9999.9,24.2,25.3,24.9,20.7,22.1,18.3,17.8,24.7
1992,25.4,25.2,23,19.2,19.9,15.2,18.3,20.3,20.1,22.5,20,23.2,21,25.2,20.7,17.9,20.9
1993,22.9,20.8,20.5,18,17.3,16.8,16.7,14.3,18.2,20.5,23.5,24.1,19.5,22.3,18.6,15.9,20.7
1994,25.6,22.3,18.8,18,18.7,16.6,-9999.9,14.7,13.4,14.9,22.3,23.4,19,24,18.5,15.6,16.9
1995,22.6,23.2,-9999.9,17.9,-9999.9,15.2,15.5,19.2,18.2,18.7,21.1,25.9,19.7,23.1,-9999.9,16.6,19.3
1996,22.3,20.4,21.5,17.6,16.6,16.7,16.5,13.9,19.6,19.6,23.1,-9999.9,18.9,22.9,18.6,15.7,20.8
1997,24.5,19.6,22.7,21.5,18.5,14.4,16.1,14.1,17.8,18.8,21.2,20,19.1,22.1,20.9,14.9,19.3
1998,24.5,15.1,18.4,17.7,14.6,15.8,16.6,17.9,17.7,26,20.7,23.9,19.1,19.9,16.9,16.8,21.5
1999,24.1,17.4,25.9,20,17.1,15.8,17.5,17,17.2,24.1,22.6,26.2,20.4,21.8,21,16.8,21.3
2000,24,22.8,17.9,21,19.8,18.3,14.8,15.6,19.5,23.9,24.7,27.1,20.8,24.3,19.5,16.2,22.7
2001,20.9,23.5,20.6,21.2,15.6,16.8,15.9,16,19.4,19.7,22.1,21.2,19.4,23.9,19.1,16.2,20.4
2002,19.3,20.1,22.6,19.8,17.7,16.6,14.4,16.8,18.6,22.2,22.5,23.2,19.5,20.2,20,15.9,21.1
2003,23.4,24.8,21.5,18.3,16.2,16.2,17,17.1,17.6,22.5,21.4,25.5,20.1,23.8,18.7,16.8,20.5
2004,25.9,23,20.5,17.4,19,18,15.2,19,20.7,20.5,23.9,24.4,20.6,24.8,19,17.4,21.7
2005,23.2,15.3,21.2,20.3,18.8,18.1,15.7,18.1,20.1,22.9,22.1,26.6,20.2,20.9,20.1,17.3,21.7
2006,21.9,20.9,16.9,21.6,14.7,16.5,16,18.1,18.7,23.6,18.8,23.2,19.2,23.1,17.7,16.9,20.4
2007,21.8,24.2,24.4,22,18,16.6,14.9,16.9,19.8,20.3,22.6,23.9,20.5,23.1,21.5,16.1,20.9
2008,23.2,19.5,21.5,15.1,16,-9999.9,14.5,17.6,20.7,20.2,23.7,22.6,19.5,22.2,17.6,16,21.5
2009,25.3,22.3,21.1,21.8,18.8,16.5,15.2,17,19.1,20.2,21.3,25.9,20.4,23.4,20.6,16.2,20.2
2010,23.2,20.7,22.6,19.7,17.3,17.2,14.9,14.3,19.4,23.1,21.4,29.1,20.2,23.3,19.9,15.5,21.3
2011,24.6,-9999.9,22.5,20.6,20.2,13.8,14.5,15.7,18.5,22.9,20.2,21.4,19.5,26.9,21.1,14.6,20.5
2012,21.4,18.8,20.9,19.3,15.9,16.7,15.6,14.8,18.5,19.8,20.1,23.6,18.8,20.5,18.7,15.7,19.5
2013,22.7,22.8,22.6,17.1,17.4,17,17.7,17.1,20.6,17.8,21.7,23.4,19.8,23,19,17.3,20
2014,24.5,20.5,25.5,19.4,15.2,14.8,18.1,14.9,20.2,20.5,25.2,20.5,19.9,22.8,20.1,15.9,22
