Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.1,27.4,22.9,19.7,16.5,17.5,17.8,16.5,20,20.8,17.5,22.8,19.9,23.7,19.7,17.3,19.4
1954,22.8,20.5,22.4,22.1,20,16.1,16.6,17.6,18.4,20.1,20.4,20.6,19.8,22,21.5,16.8,19.6
1955,21.5,20.9,24.3,20.2,18.4,17.9,16.8,16.3,19.9,20.8,23.1,23.2,20.3,21,21,17,21.3
1956,24,22.8,22.4,20.2,21.9,19.6,14.5,16.9,16.7,19.3,19.5,18.4,19.7,23.3,21.5,17,18.5
1957,21.9,20.9,22.3,21.2,19.4,19.1,16.5,13.6,15.5,15.6,17.7,20.8,18.7,20.4,21,16.4,16.2
1958,21.6,22,19.8,20.9,19.4,18.3,15,17.9,18.6,18.8,20.9,21.2,19.5,21.5,20,17,19.4
1959,21.2,19.8,25,18.5,18.4,19.1,17.4,15.6,18.4,19.8,21.7,19.4,19.5,20.7,20.6,17.4,20
1960,23.6,19.3,22.9,20.8,16.3,18.1,17.3,17.2,17.8,18.6,18.7,19.7,19.2,20.8,20,17.5,18.4
1961,21.6,18.3,19.5,18.7,20.2,16.7,14.7,15.1,14.8,17.6,15.5,19.1,17.7,19.9,19.5,15.5,16
1962,20.5,16.4,19.7,22.6,19.2,17.9,17.6,17,16.8,20.9,20.8,19.5,19.1,18.6,20.5,17.5,19.5
1963,20.1,24.7,19.8,21.6,17.8,19,15.3,15.3,16.5,18.7,21.3,24.1,19.5,21.4,19.7,16.5,18.8
1964,21.3,21.3,23.5,17,18.8,17.3,14.1,15.9,16.1,16.3,19.2,19.9,18.4,22.2,19.7,15.8,17.2
1965,19.2,17.7,23.7,20.5,20,19.5,19,20.7,19,19.7,20.4,17.3,19.7,18.9,21.4,19.7,19.7
1966,21.7,20,18.6,18.8,19.3,18.1,17,16.7,18.8,19,17.5,21.1,18.9,19.7,18.9,17.3,18.4
1967,19.1,24,21,21.3,21.9,16.3,14.4,14.7,17.6,17.6,19.6,19.6,18.9,21.4,21.4,15.1,18.3
1968,22.7,21.2,19.5,23.2,16.9,18.1,16.6,18,14.3,19.7,20.6,21.9,19.4,21.2,19.9,17.6,18.2
1969,18.9,19.8,21.4,18.9,21.5,16.4,17.6,15.8,17.2,18.3,16.7,19.9,18.5,20.2,20.6,16.6,17.4
1970,18.5,18.1,18.6,18,16.9,17.1,17.2,15.4,16.8,18.1,16.6,23.5,17.9,18.8,17.8,16.6,17.2
1971,20.7,19,20.7,20.4,15.4,14.1,14.8,16.7,16.2,16.9,20.3,20.2,18,21.1,18.9,15.2,17.8
1972,20.2,21.7,20.7,16.2,18.4,16,14.6,15.2,16.6,18.7,21,20,18.3,20.7,18.5,15.3,18.8
1973,22,22.8,19.1,21.2,19.2,17.5,17.1,14.8,16.7,18.6,19.8,20.8,19.1,21.6,19.8,16.5,18.4
1974,20,23.4,23.7,19.2,20,17.3,14.6,15.2,15.5,18.8,20,19.5,18.9,21.4,21,15.7,18.1
1975,19,18.8,21.3,19.8,18.6,17.1,15.1,13.3,15,18.4,19.8,20.3,18,19.1,19.9,15.2,17.7
1976,19.8,20.4,21.7,18.7,20.4,17.1,15.6,15.4,15.7,17.8,19.8,22.9,18.8,20.2,20.3,16,17.7
1977,19,17.2,20.3,19.8,18.1,16.4,15.8,14.9,17.8,18.2,17.6,21.3,18,19.7,19.4,15.7,17.8
1978,20,17.6,20.8,18.1,17.5,16.1,13.6,14.5,16,16.1,17.7,20.3,17.4,19.6,18.8,14.8,16.6
1979,21.7,23.1,21.5,19.2,17.2,17,15.1,14.3,16.9,15.9,17.2,19.7,18.2,21.7,19.3,15.5,16.7
1980,23,18,22.1,17.6,16.8,17.3,14.5,14.1,17,17.8,19.9,19.6,18.1,20.2,18.8,15.3,18.2
