Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,15.2,25.5,22.4,16.6,15,15.9,17.3,15.9,18.3,17.3,17.6,22.5,18.3,20.4,18,16.3,17.8
1954,20.4,17.3,24.9,20.4,19,14.3,15.1,17.2,15.9,18.3,19.5,21.8,18.7,20.1,21.4,15.6,17.9
1955,17.9,16.8,23.3,13.8,16.3,16.6,15.4,15.2,20.3,18.1,22.1,25,18.4,18.8,17.8,15.7,20.1
1956,23.2,24.9,22.4,17.3,23,16.2,16.7,16.8,17.1,18.7,19.5,19.5,19.6,24.4,20.9,16.6,18.4
1957,20.9,23.6,18.1,21.5,16.7,14.4,13.9,16.7,17.4,16.1,20.5,22.7,18.5,21.3,18.7,15,18
1958,23.3,22.2,15.2,16.6,19.7,17.2,14.1,15.9,16.7,20.2,24.7,21.9,19,22.8,17.2,15.7,20.5
1959,26.1,25.8,26.8,18.3,15.9,17.5,14.1,12.7,17.5,18.6,18.6,17.9,19.1,24.6,20.3,14.8,18.2
1960,18.7,21.4,18.5,15.5,13.9,14,13.2,17,15.5,15.2,16.7,23.9,17,19.3,16,14.7,15.8
1961,16.9,14.6,13.7,15.4,18.1,17.5,13.9,17,15.6,16.2,15.8,20.5,16.3,18.5,15.8,16.2,15.9
1962,24.6,16.1,15.4,16.3,13.4,11.8,12.2,12.6,18.4,19.5,19.2,22.1,16.8,20.4,15.1,12.2,19
1963,22.6,29.4,25.5,22,21.1,17,18.8,16.4,18.2,22.2,23.6,26.2,21.9,24.7,22.9,17.4,21.3
1964,21.6,24.6,25.2,19.2,19.2,17.2,14.8,17.5,18.8,18.8,22.2,22.8,20.2,24.1,21.2,16.5,19.9
1965,24.2,24.2,21.6,16.7,13.3,19.1,19.8,19.1,18.5,23.2,26.6,24.5,20.9,23.7,17.2,19.3,22.8
1966,20.3,20.9,20.6,18.7,21.6,17.8,18.9,20.2,20.4,22.8,19.2,21.2,20.2,21.9,20.3,18.9,20.8
1967,20.5,27.1,20.2,18.7,19.5,12.6,14.3,16.3,18.3,18.8,22.2,22.9,19.3,22.9,19.5,14.4,19.8
1968,22.9,23.9,20.7,22.9,16.8,14.4,17.3,15.3,12.9,17.6,21,26.9,19.4,23.2,20.1,15.7,17.2
1969,20.5,21.9,20.5,17.4,15.7,13.8,15.6,13.6,17.2,17.7,16,18.1,17.3,23.1,17.9,14.3,16.9
1970,20.1,18.6,15.8,15.6,14.5,16.5,13.9,13.9,15.6,13.1,17.4,21,16.3,19,15.3,14.8,15.4
1971,20.5,17.7,19.9,15.3,15.9,16.6,15.9,17.5,16.3,15.8,18,17.8,17.3,19.8,17.1,16.7,16.7
1972,21.7,25.7,20.8,16.5,15.7,19.2,14.2,16.8,17.7,19.2,18.1,16.3,18.5,21.7,17.7,16.7,18.3
1973,21,20.4,16.2,21,16.5,14.3,15.4,12.9,16.9,18.2,21.2,18,17.7,19.3,17.9,14.2,18.8
1974,19.7,23.9,25.9,16.9,17,17.3,13.8,15.5,15.6,21.2,20.3,20.1,18.9,20.6,19.9,15.5,19
1975,19.1,20.3,23.4,22.5,15.1,19.5,15.2,16.3,17.9,18.9,23.5,21.5,19.4,19.8,20.4,17,20.1
1976,20.1,23.7,25.4,20.2,21.8,18,18.6,17.2,17.5,22.5,26,27.8,21.6,21.8,22.5,18,22
1977,23.5,21.8,20.9,22.4,20,18.4,18.5,17.1,17.4,22.6,24.4,23.6,20.9,24.4,21.1,18,21.4
1978,22.7,23.4,24.3,17.8,15.6,13,12.3,14.5,14,19.1,22.2,22,18.4,23.2,19.3,13.3,18.4
1979,23.5,27.3,21.7,18.7,18.8,15.8,19.4,12.4,17.2,-9999.9,16.6,24.1,19.6,24.3,19.7,15.9,16.9
1980,28.9,20.9,23.9,18.7,14.6,16.4,13.5,13,18.5,19.7,22,24.1,19.5,24.6,19.1,14.3,20.1
1981,23.8,22.5,22.5,21.4,19.3,17,15.5,16.5,17,17.9,22.5,20.7,19.7,23.5,21.1,16.3,19.1
1982,25.6,24,22.1,23,15.5,15.3,16,15.7,14.3,16.8,21.9,21.2,19.3,23.4,20.2,15.7,17.6
1983,21.9,20,21.1,18.2,22.5,16.3,14.8,16.1,16,18,21.7,25,19.3,21,20.6,15.8,18.6
1984,18.5,21.4,23.4,19.4,16.8,16.9,16,14.1,18.8,16.5,20.7,20.6,18.6,21.6,19.9,15.7,18.6
1985,23.5,20.4,23.2,18.7,15.6,16.1,16.6,12.4,15.2,20.5,18.6,23.5,18.7,21.5,19.2,15.1,18.1
1986,27.1,22.6,22.7,19.3,17.8,19.6,17.1,16.9,17.3,17.9,23.5,22.8,20.4,24.4,19.9,17.8,19.6
1987,19.4,21.5,18.3,19.6,17.8,16.8,15.8,14,17.4,17.7,20.1,21.5,18.3,21.2,18.6,15.5,18.4
1988,25,20.9,21.3,20.6,18.3,17.8,13.1,14.6,18.9,19.6,22.4,21,19.4,22.4,20.1,15.1,20.3
1989,21.6,21.2,19.3,18.8,15.5,12,11.7,12.2,13.8,12.7,21.4,26.5,17.2,21.3,17.9,12,16
1990,20.5,21.8,21.4,19.1,18.4,18.9,16.7,14.1,18.6,19.4,21.8,23.4,19.5,23,19.6,16.6,19.9
1991,18.9,19.8,19.1,17.3,15.6,15,14.6,15.4,16.5,18.4,19.2,21.1,17.6,20.7,17.3,15,18
1992,23.4,20.4,19.8,17.4,17.2,13.3,16.3,16.9,17.7,17.4,16.8,19.6,18,21.6,18.1,15.5,17.3
1993,19.3,17.5,18.9,19.4,16.6,13.1,13.4,13.2,18,21.3,22.4,19.5,17.7,18.8,18.3,13.2,20.6
1994,22.9,23.3,19.1,21,17.8,17.6,14.8,17.2,14.4,18.2,24.7,20.3,19.3,21.9,19.3,16.5,19.1
1995,22.1,23.7,15.9,19,16.5,15.2,15.2,15.4,17.9,19,20,19.8,18.3,22,17.2,15.3,19
1996,21.7,20.5,21.7,19.3,17.8,15.5,17.9,14.7,16,19.3,20.7,20.5,18.8,20.7,19.6,16.1,18.7
1997,25.2,20.7,24.6,18.4,20.2,15.9,17.6,13.9,17.8,17.6,19.5,19.9,19.3,22.1,21.1,15.8,18.3
1998,19.6,17.8,20.8,19.6,17.4,17.2,17.9,16,16.7,21.6,20.7,23.4,19.1,19.1,19.3,17,19.7
1999,24.1,19.4,23.2,18.1,18,16.8,17.2,15.9,16.4,21.5,23.4,22.1,19.7,22.3,19.8,16.6,20.5
2000,22.7,22.2,17.3,18.7,17.1,16.9,13.1,15,17.8,19.4,15.4,24.8,18.4,22.4,17.7,15,17.6
2001,18.1,23,21.4,19.8,15.8,14.4,15.8,15.9,18,18.8,21.2,20.4,18.6,22,19,15.4,19.4
2002,18,19.4,24.9,20.6,19.2,16.1,14.5,15.5,14.9,21.6,21.3,22,19,19.3,21.6,15.4,19.3
2003,22.1,25.9,21.5,19.1,14.8,15.7,15.7,16.4,16,19.5,21,21.6,19.1,23.3,18.5,15.9,18.9
2004,24.5,20,17.4,19.5,18.4,17.8,14.3,15.8,15.6,15.6,19.7,22.1,18.4,22,18.4,16,16.9
2005,20.9,17.8,18.9,21.6,20.1,18.1,14.6,15.6,18.1,19.3,21.6,24.4,19.2,20.3,20.2,16.1,19.6
2006,20.3,20.7,16.5,19.4,17.4,16.6,14.7,16.2,15.8,19.3,17.9,23.2,18.2,21.8,17.7,15.8,17.7
2007,23.3,24.3,22.6,20.3,17,15.4,14.8,14.7,18.5,17.6,21.1,22,19.3,23.6,19.9,15,19.1
2008,21,19.7,22,18.5,17.5,15.6,16.2,16.1,14.1,18.8,21.1,22.4,18.6,20.9,19.3,16,18
2009,21.6,22.7,20.8,20,18.4,17.8,15.6,15.5,15.4,16,18,22.1,18.7,22.2,19.8,16.3,16.5
2010,22,19.5,18.2,16.6,16.2,13.9,14,14.1,16.9,21.2,17.5,20.8,17.6,21.2,17,14,18.5
2011,20.8,21.5,20.2,19.8,18.8,14.5,13.7,15.1,15.1,18.5,20.4,19.3,18.1,21,19.6,14.4,18
2012,20.7,20,20.6,19.2,17.2,15.4,14.7,15.2,18.3,19.4,21.1,20.8,18.5,20,19,15.1,19.6
2013,24.2,22.2,19.5,20.6,14.9,16.1,16.6,16,17.4,17.4,23.7,19.7,19,22.4,18.3,16.2,19.5
