Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,14.9,17.9,17.1,17.4,12.7,13,11.4,11.1,11.9,11.1,16.3,19.2,14.5,16.4,15.7,11.8,13.1
1954,17.5,17.3,20.4,18.5,15.1,13.6,11.9,13.1,15.1,14.7,15,15.4,15.6,18,18,12.8,14.9
1955,16.2,16.1,23.4,17.4,16,13.7,12.8,12.2,13.6,17.3,17.4,17.7,16.2,15.9,18.9,12.9,16.1
1956,13,17.2,18.6,19.1,20.1,17.1,14.4,14.4,12.6,13.2,17.9,21.8,16.6,16,19.3,15.3,14.6
1957,20.8,19.9,18.9,19.8,17.2,14.1,13,13.4,14.3,11.4,19.9,15.6,16.5,20.9,18.6,13.5,15.2
1958,19.8,18.5,17.7,20.3,16.9,19,14.4,13.9,14.6,17.3,21.6,14.7,17.4,18,18.3,15.8,17.8
1959,22.1,21.1,19.9,16.2,14.4,15.6,14.3,12.3,13.6,16.6,17.9,17.3,16.8,19.3,16.8,14.1,16
1960,17.2,22,17.8,17.3,14.6,14.5,14.8,13.2,15,16,19.7,16.9,16.6,18.9,16.6,14.1,16.9
1961,19.1,21.1,18.9,17.2,15,15.9,12.7,12.9,13.9,15.6,15.6,18,16.3,19,17.1,13.8,15
1962,21.2,16.4,16.2,17.5,15.8,14.4,13.7,12.1,16.5,16.4,14.4,17.9,16,18.6,16.5,13.4,15.8
1963,17,20.1,16.9,16.5,16.5,14.4,15.1,13,12,15.3,19.4,16.2,16,18.3,16.6,14.1,15.6
1964,18.7,18.1,21.3,16.8,19.5,16.1,13,14.4,13.9,14.9,16.7,18.4,16.8,17.7,19.2,14.5,15.1
1965,18.5,19.7,14.1,15.3,14.5,16.7,14.5,14.5,14.2,18.2,18.8,13.5,16,18.9,14.6,15.2,17.1
1966,18.3,12.9,17.6,12.3,16.1,13.8,13.7,13.3,16.2,18.8,14.4,15.8,15.3,14.9,15.4,13.6,16.5
1967,16.6,18.4,13.5,18.3,16.8,14.1,11.8,7.2,10.8,14.1,17.6,19.3,14.9,16.9,16.2,11,14.1
1968,19.3,19.3,17.1,18,9.4,9.3,9.1,8.8,9.2,13.2,15.6,19.2,14,19.3,14.9,9.1,12.7
1969,18.3,16,17.5,14.2,13.9,13.4,11.3,13.1,11.7,14.1,16.1,14.1,14.5,17.8,15.2,12.6,13.9
1970,13,16.3,15.6,14.7,13.5,13.8,12.2,12,13.3,11.3,14.7,16.2,13.9,14.5,14.6,12.7,13.1
1971,16.3,17.8,16.8,11.8,13.5,14,14,15.9,13.7,13.6,15.4,18,15.1,16.7,14.1,14.6,14.2
1972,21.4,21.9,21,16.1,16.8,15.7,10.9,11.7,12.9,12.1,15.6,18.4,16.2,20.4,17.9,12.8,13.6
1973,19,17.5,16.5,22.3,16.9,14.5,14.2,11.6,13.1,13.9,18.6,16.3,16.2,18.3,18.5,13.4,15.2
1974,17,15.4,21.6,17.1,15.7,16.4,15.6,10,11.8,12.7,11.9,11.2,14.7,16.3,18.1,14,12.1
1975,15.9,16.1,18.3,18.3,13.4,16.6,17.9,15.3,17.3,19.3,19.4,20,17.3,14.4,16.7,16.6,18.7
1976,20,22.4,22.2,19.5,17.8,13,12,11.8,11.8,15.7,17.1,18,16.8,20.8,19.8,12.3,14.9
