Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,19,21.9,20.9,19.3,16.5,17.4,15.6,13.9,16.6,14.5,16.3,19.2,17.6,20.5,18.9,15.6,15.8
1954,20.1,18.8,20.5,20,15.6,15,12.5,14.5,16.5,15.2,17,15.2,16.7,19.4,18.7,14,16.3
1955,13.6,12.8,22,18.5,16.8,14.9,15.3,14.9,16.5,20.5,18.4,17.2,16.8,13.9,19.1,15,18.5
1956,15.8,17.8,17.6,18.2,19.5,16.9,15.1,15.6,14.5,14.3,18.7,17.9,16.8,16.9,18.5,15.9,15.8
1957,17.7,15.7,14.6,19.1,18.3,16.8,15.3,12.5,17.7,15.6,21.5,20.5,17.1,17.1,17.4,14.9,18.3
1958,19.9,19.6,16.7,18.7,18.8,18.2,14.9,15.2,17,20,22.6,14.1,18,20,18.1,16.1,19.9
1959,23.7,22.5,20.4,18.3,17.5,17,16.2,14,14.2,17.2,21.3,18,18.4,20.1,18.7,15.7,17.6
1960,18.5,23.6,18.1,18.2,16,16.2,16.7,14.3,14.7,16.7,22,20.9,18,20,17.4,15.7,17.8
1961,17.8,19.2,18.7,19.5,16.8,17,13.5,14.4,15.4,17.6,17.9,19.4,17.3,19.3,18.3,14.9,17
1962,24.9,17,16.4,18.4,17.7,15.3,14.8,13.8,17,16.3,13.6,17.3,16.9,20.4,17.5,14.6,15.6
1963,17.8,21.5,17.7,19.1,18.4,16.3,17.6,14.3,14,18.9,20.7,19.1,18,18.9,18.4,16.1,17.9
1964,20.1,19.1,21.2,16.1,18.3,19.7,15,17.1,15.9,17.3,18.7,22.4,18.4,19.4,18.5,17.3,17.3
1965,21,21.9,16.2,16.5,17.2,19.3,16.9,16.2,14.2,17.7,17.8,15.6,17.5,21.8,16.6,17.5,16.6
1966,20.1,15.9,19.2,15.4,18.6,16.5,15.2,14.7,16.5,19.4,14.7,15.8,16.8,17.2,17.7,15.5,16.9
1967,18.5,20.5,15.9,19.5,18.6,15.5,14.8,13.6,14.4,15.5,18.2,18.1,16.9,18.3,18,14.6,16
1968,17.1,19.8,18.2,21,14.6,15.6,16.9,15.1,13.1,15.5,15.8,20.8,17,18.3,17.9,15.9,14.8
