Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,16.5,23,16.6,19.7,19.5,19.1,16.8,15.8,16.9,19,19.5,20.2,18.5,19.7,18.6,17.2,18.5
1955,15.9,15.6,21.4,20.6,21,17.5,15.5,15.2,17.8,18.8,23.1,21.6,18.7,17.2,21,16,19.9
1956,14.9,21.6,22.2,14.4,17,19.5,12,12.6,17.5,18.6,19.6,20.2,17.5,19.4,17.9,14.7,18.6
1957,19.5,22.4,16.4,15.6,21,13.9,16,15.2,19.1,15,18.1,21.9,17.8,20.7,17.7,15,17.4
1958,16,17.2,15.7,20.8,19,16.2,15.6,14.9,21.5,19.1,22,21,18.2,18.3,18.5,15.6,20.9
1959,21.1,17,18.2,19.2,16.1,18.6,16.5,17.1,24.3,19.6,21.2,21.1,19.2,19.7,17.9,17.4,21.7
1960,18.2,14,19.6,21.4,22.8,21.3,12.5,16.4,20.2,19.5,20,19.5,18.8,17.7,21.3,16.7,19.9
1961,21,17.7,20.7,20.4,19.4,17.9,15.3,14.9,20.3,20.7,24,20.3,19.4,19.4,20.2,16,21.7
1962,26.1,16.6,17.2,20.2,17.5,16.9,15.5,15.8,17.9,18.7,18.9,20.7,18.5,21,18.3,16,18.5
1963,24.3,16.2,19.9,16.9,17.7,18.3,14.5,13.2,17.1,17.5,16.5,14.6,17.2,20.4,18.2,15.4,17
1964,18.9,23.7,22.1,23.3,25.5,16,14.2,18.1,20.7,20.3,15.4,20.3,19.9,19.1,23.6,16.1,18.8
1965,16,23.2,14.6,17.7,21.8,19.6,13.8,14.4,17.3,19.6,15.8,19,17.7,19.8,18,15.9,17.6
1966,16.6,15.4,19,20.7,21.6,17.1,14.2,14.6,14.8,20.5,19.3,17,17.6,17,20.4,15.3,18.2
1967,21.4,20.9,14.4,15.2,17.1,14.6,14.2,12.2,17.6,19.1,19.5,20.5,17.2,19.7,15.6,13.6,18.7
1968,21,15.8,17.4,17.8,19.4,17,14.9,13.1,15.6,15.8,17.8,19.4,17.1,19.1,18.2,15,16.4
1969,17.6,18.4,20.2,20.6,20.9,19.6,15.6,15.1,18.8,16,19.2,17.6,18.3,18.5,20.6,16.8,18
1970,18.1,22.9,18.4,23.6,19.3,20.8,18.3,19.1,18.9,21.4,18.3,20.7,20,19.5,20.4,19.4,19.5
1971,20.1,17.6,20.4,17.9,18.4,16,19,17.1,18.6,19.7,20.2,17.5,18.5,19.5,18.9,17.4,19.5
1972,21.3,16.5,17,20.5,14,16.5,13.9,11.8,18.3,17.1,14.5,17,16.5,18.4,17.2,14.1,16.6
