Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,14.1,17.3,15.8,16.3,17.6,17.6,14.9,12.4,16.5,15,14.5,14.4,15.5,15.7,16.6,15,15.3
1954,11.8,12.3,16,16.6,17.2,14.8,11.5,13,12,14.3,15.2,15.2,14.2,12.8,16.6,13.1,13.8
1955,9.9,12.7,17,13.1,15.4,10.1,13.2,13.3,17.6,16.9,17.3,15.9,14.4,12.6,15.2,12.2,17.3
1956,7.4,15.8,14.3,14.9,13.2,12.5,11.2,11.9,15.9,19.4,16.7,14.1,14,13,14.2,11.9,17.3
1957,14.8,15.2,13.9,16.2,18.8,17.6,15.4,15.9,15.1,13.5,18.3,16.9,16,14.7,16.3,16.3,15.6
1958,15,18.5,13.5,17.4,19.9,19.9,15.1,16.5,16.1,-9999.9,19,14.4,16.8,16.8,16.9,17.2,17.6
1959,17.3,16.5,17.7,18.3,19.1,16.9,17.3,15.1,17.4,17.1,17.7,10.9,16.8,16.1,18.4,16.4,17.4
1960,11.6,15.1,12.5,15.9,14.6,14.7,15.2,15.2,15.5,15.5,18.1,15.3,15,12.6,14.3,15.1,16.4
1961,14.3,13,15.7,15.2,17.4,16.8,13.3,13.7,15.6,15.6,17.6,14.1,15.2,14.2,16.1,14.6,16.2
1962,15.9,13.4,12.1,15.8,15.8,15.4,13.2,13.8,13.8,13.6,16.7,15.9,14.6,14.5,14.6,14.1,14.7
1963,13.2,15.3,15,14.8,14.7,14.6,14.6,13.4,13.5,13.9,15.3,15.3,14.5,14.8,14.8,14.2,14.2
1964,14.1,14.2,15.3,16.9,15.5,14.5,13.4,15.7,15.7,15.5,15.7,12.6,14.9,14.5,15.9,14.6,15.6
1965,14.9,15.9,11.9,14.4,16.7,15.5,14.7,14,15.6,15.8,15.5,12.6,14.8,14.5,14.3,14.7,15.6
1966,13.5,14.7,16.3,15.3,17.1,15.3,14.3,12.6,15.6,15.9,15.1,10.3,14.7,13.6,16.2,14.1,15.5
1967,10.8,11.7,12.4,14.8,14.1,13.3,11.4,12.4,12.8,15,13.4,11.6,12.8,11,13.8,12.4,13.7
1968,10.5,15,12.2,13.7,14.6,13.4,13.2,13,11.2,14.9,12,13.9,13.1,12.4,13.5,13.2,12.7
1969,14.7,13.9,14.6,12.9,14,14,12.1,12.8,14.2,12.7,13.2,11.4,13.4,14.2,13.9,13,13.3
1970,13.3,14.5,15.6,15.8,15.9,16.2,14.6,13.6,15.3,13.3,13.9,12.6,14.5,13.1,15.8,14.8,14.2
1971,14,12.8,13.9,15.8,17.6,15.3,15,13.1,14,16.1,14,15.7,14.8,13.2,15.8,14.5,14.7
1972,17.2,16.1,17.4,13.4,14.3,16.1,14.2,13.7,15.9,16.3,13.1,13.3,15.1,16.3,15.1,14.7,15.1
1973,15.5,15.7,18.1,18.9,17.6,15,15.1,11.2,16.2,14.5,17.1,13.5,15.7,14.8,18.2,13.7,16
1974,12.8,13,15.9,16.7,13.4,15.8,14.2,14.9,15,16.6,14.2,11,14.5,13.1,15.3,15,15.3
1975,14.1,12.9,18,19.3,16.4,15.7,15.5,13.6,13.7,15.9,15.8,13.8,15.4,12.7,17.9,14.9,15.1
1976,14.1,16.1,14.5,16.5,15.5,14.6,14.1,15,14.5,15.8,16.8,14.1,15.1,14.7,15.5,14.6,15.7
1977,15.4,15.5,17.1,14.8,16.1,17.7,17,15.1,14.1,15.5,14,12.6,15.4,15,16,16.6,14.5
1978,16.8,10.1,13.1,14.9,15.7,13.3,13.4,13.4,13.1,15.3,16,12.3,13.9,13.2,14.5,13.4,14.8
1979,14.2,11.4,14.7,14.1,14.5,15.9,16.2,14.2,14.9,14.7,15.3,14.8,14.6,12.6,14.5,15.4,14.9
1980,16.9,11.2,13.3,14.3,14.2,14.5,12.9,13,15.8,16.4,14.3,12.2,14.1,14.3,13.9,13.5,15.5
1981,12.9,13.6,11.7,16.4,14.8,13.8,16.1,11.5,14.9,13.1,14,12.3,13.8,12.9,14.3,13.8,14
1982,17.3,14.4,17,16,12.9,14.3,14,13.5,15.2,15.4,16.3,14.3,15,14.7,15.3,13.9,15.6
1983,14.2,13.2,14.8,13.8,15.4,12.8,13,12.9,14.6,14.9,13.3,17.1,14.2,13.9,14.7,12.9,14.3
1984,16.1,14.7,15.5,16,16.4,15.1,15.5,15.3,16.6,13.6,16.2,15.5,15.6,16,16,15.3,15.5
1985,15.5,15.2,17.3,16.3,14.7,15,12.1,13,15.2,17.2,16.6,14.1,15.2,15.4,16.1,13.4,16.4
1986,14.5,11.6,12.7,15.3,14.5,15.1,13.5,12.9,14.2,12.9,15.1,14.5,13.9,13.4,14.1,13.9,14
1987,15.3,14.6,14.6,15.8,15.7,15.2,14.2,15.2,14.4,14.9,14.4,13.9,14.9,14.8,15.3,14.9,14.6
1988,14,14.4,14.4,13.6,13.7,14.2,11.3,12.3,13.3,13.8,14.5,14.7,13.7,14.1,13.9,12.6,13.9
1989,14.7,14.5,14.4,12.8,14,13.4,13.1,12.7,14.3,14.9,15.5,12,13.8,14.6,13.7,13.1,14.9
1990,15.3,15.9,16.2,15.9,15.2,15.2,13.5,11.3,13.8,16.1,17,17.5,15.3,14.4,15.8,13.3,15.7
1991,15.5,16.7,14.5,15.4,15.5,14.2,13.3,12.7,14.8,15.1,16,12.9,14.7,16.6,15.1,13.4,15.3
1992,12.3,11.5,13.6,15.3,16.3,15.5,13.9,13.6,16,13.4,13.5,12.4,13.9,12.2,15,14.3,14.3
1993,13.9,12.4,13.7,13.9,15.5,15.9,16.1,14.2,14.9,-9999.9,-9999.9,-9999.9,14.5,12.9,14.3,15.4,-9999.9
1994,-9999.9,14.8,15.7,16.4,16.8,15.9,13.1,15.3,13.6,15.1,17.1,13,15.1,-9999.9,16.3,14.7,15.2
1995,13.1,15.4,13.1,15.1,13.1,12.8,13.3,15.3,16.2,17,15.3,13.7,14.4,13.9,13.8,13.8,16.2
1996,15.3,13.9,15.7,13.5,12.7,12.7,12.7,14.2,13.4,15.9,15.6,12.4,14,14.3,14,13.2,15
1997,16.1,13.3,13.3,14.5,14.8,13.3,13.6,12.9,14.1,15.5,13.6,13.4,14,13.9,14.2,13.3,14.4
1998,11.1,11.4,13.1,13.4,14.1,12.7,13,13,12.9,15.9,15.6,15,13.4,11.9,13.6,12.9,14.8
1999,13.3,14.4,15.7,12.2,14.9,14.9,13.6,13.3,13.4,15.6,17.3,16.8,14.6,14.2,14.3,13.9,15.4
2000,12.6,15.7,14.4,14.6,15.4,15.4,12.7,13.2,15,13.3,11.7,15.1,14.1,15,14.8,13.8,13.3
2001,13.4,14.3,13.3,14.6,15.8,15.6,14,13.6,13.4,16.8,13.8,14.5,14.4,14.2,14.6,14.4,14.6
2002,11.7,14,14.3,13.6,16.2,14.6,12.9,14.4,14.3,14.1,-9999.9,14.5,14,13.4,14.7,14,14.2
2003,14.9,14.7,13.9,14.2,13.3,13.7,12.9,14.1,13.9,14.1,14.7,12.5,13.9,14.7,13.8,13.6,14.2
2004,13.5,12.9,15.6,15.3,14.6,14.7,13.6,14.6,15,15.3,16.1,14.2,14.6,13,15.1,14.3,15.5
2005,15.7,13.6,12.7,13.6,13.5,14.4,13.4,12,14.2,13.1,16.5,14.2,13.9,14.5,13.2,13.3,14.6
2006,12.4,14,17.8,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,13.6,-9999.9,-9999.9,-9999.9
2007,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2008,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2013,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2014,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
