Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,15.9,8.5,9.7,10.7,19.2,24.6,22.4,20.6,15.2,25.1,15.8,9.4,16.4,12.2,13.2,22.5,18.7
1954,22.6,12.3,13.6,13.6,16.6,20.6,16.8,13.5,17.7,19.8,16.9,11.7,16.3,14.8,14.6,16.9,18.1
1955,9.8,12,10.7,12.6,14,17.1,18,15.6,13.4,10.6,11.7,11.7,13.1,11.2,12.4,16.9,11.9
1956,10.9,11.6,10.8,10.3,12.3,10.9,14.4,9.7,16.9,13.6,12.4,14.2,12.3,11.4,11.1,11.7,14.3
1957,16.6,8.8,7.7,9.2,13.1,16,12.6,16.1,17.4,18.9,12.5,5.4,12.9,13.2,10,14.9,16.3
1958,12.5,13.6,6.3,9.3,11.2,6.6,15.2,6.9,16,8.8,7.5,17.7,11,10.5,8.9,9.6,10.8
1959,19,11.6,3.4,7.3,11.6,12.3,13.1,10,15.2,6.4,11.2,6.3,10.6,16.1,7.4,11.8,10.9
1960,12.5,10.3,8.6,3.8,12.1,11.1,19.5,20.2,17.6,12,16.3,14.5,13.2,9.7,8.2,16.9,15.3
1961,17.3,13.5,14.4,13,15.3,17.4,19.2,16.9,14.5,12.3,14.7,17.9,15.5,15.1,14.2,17.8,13.8
1962,16.1,14.3,12.7,16.2,11.3,15.5,13.2,13.2,21.9,12.9,9.1,15.2,14.3,16.1,13.4,14,14.6
1963,16.5,8.5,8.4,12.7,14,10.4,13.3,21.7,25.1,24.4,11.6,13.7,15,13.4,11.7,15.1,20.4
1964,10.4,9,15.6,11.5,12.7,21.6,21.3,16.6,14.3,6.8,12.1,17,14.1,11,13.2,19.8,11.1
1965,20,15.1,13.8,9.9,13,15.7,17.3,15.9,17.5,17.7,12.7,9.6,14.9,17.4,12.2,16.3,16
1966,18.6,11.7,11.1,16.6,18.9,24.8,16.6,19.1,12.8,11,20.6,17.9,16.6,13.3,15.5,20.1,14.8
1967,4.4,18.6,19.8,16.5,14.7,18.8,18.4,17.2,14.7,17.1,8.7,12.2,15.1,13.6,17,18.1,13.5
1968,3.3,12.8,8.6,7.9,15.8,19.2,17.2,17.3,17.7,14.4,11,12.3,13.1,9.5,10.8,17.9,14.4
1969,11.7,8.9,13.9,8,15.3,17.6,19.5,15.6,14.8,15.8,15.7,12.3,14.1,11,12.4,17.6,15.4
1970,18.3,13.2,11,7.7,14,16.3,15.6,16.6,14.9,12.2,11.8,9,13.4,14.6,10.9,16.2,13
1971,16.3,4.9,10.9,12.1,13.2,16.2,14.3,16.6,18,19.3,9.6,11.5,13.6,10.1,12,15.7,15.6
1972,-9999.9,-9999.9,11.7,11.4,14.2,15.5,16,12.5,9.7,12.6,12.8,11.1,12.7,-9999.9,12.4,14.7,11.7
1973,16.1,13.2,9.2,7.4,17.1,15.7,19.4,15.6,16,16.4,15.2,19.7,15.1,13.5,11.2,16.9,15.9
1974,17.3,6.5,11.8,17,11.8,11.7,15.1,13.4,20.8,8.8,8.6,12.5,12.9,14.5,13.5,13.4,12.7
1975,12.5,12.9,9.3,9.6,15.7,11.7,23.2,20.6,20,10.5,12.7,12.5,14.3,12.6,11.5,18.5,14.4
1976,7.1,13.9,14.2,5.8,11,18.3,16.5,18.5,12.2,17.5,14.6,14.8,13.7,11.2,10.4,17.8,14.8
1977,15.8,4.6,11.2,10.3,18.7,22,16.6,14.6,23.5,16.4,8,13.1,14.6,11.7,13.4,17.7,16
1978,23.2,14.3,17.2,11,17,18.9,17.5,20.5,12.7,11,11.4,8.2,15.2,16.9,15.1,19,11.7
1979,14.4,15.1,14.7,8.5,12.9,17.7,16.8,12.6,13,7.5,9.7,14,13.1,12.5,12,15.7,10.1
1980,12.8,17.1,14.8,9.6,10.5,18.3,15.4,20.2,24.8,15.6,13.4,19,16,14.6,11.7,18,17.9
1981,11.1,13.8,11.9,8.6,16.4,13.3,16,19.5,13.5,19.9,12.6,16.5,14.4,14.6,12.3,16.3,15.3
1982,13.7,11.4,14,7.7,12.3,16.5,18.5,16.5,13.7,9.9,10.8,11.1,13,13.9,11.3,17.2,11.5
1983,10.1,11.7,16.5,14.8,15.8,17.9,15.6,15.6,19.7,11.1,11.7,16,14.7,11,15.7,16.4,14.2
1984,10.3,9.1,9.6,6.2,16.8,13.3,16.8,15.5,18.9,15.7,12.7,14.1,13.3,11.8,10.9,15.2,15.8
1985,14.3,11.6,11.6,14.8,11.4,17.3,23.6,21.5,22.1,15.8,12.5,10,15.5,13.3,12.6,20.8,16.8
1986,14,12.9,16.9,8.8,11.9,17.4,17.5,16.3,16.5,15.6,12,9.7,14.1,12.3,12.5,17,14.7
1987,9.6,9.9,10.9,9.7,11.5,17,16.6,15.1,17.2,12.8,10.6,7.9,12.4,9.7,10.7,16.2,13.5
1988,15.4,15.8,11.8,15.3,15.7,14.2,12,14.9,18.9,17.3,9.4,9.3,14.2,13,14.3,13.7,15.2
1989,8.3,16,15.7,13.4,14.8,15.8,17.3,14.6,20.6,16.7,13.1,12.8,14.9,11.2,14.6,15.9,16.8
1990,10.5,11.5,17.2,17.6,15.7,14.2,17.7,16,20.8,13.1,12.7,14.3,15.1,11.6,16.8,16,15.6
1991,14.8,13,12.4,11.1,13.1,18.7,17.1,20.4,13.4,12.8,20.1,19.8,15.6,14,12.2,18.7,15.4
1992,14.9,10.1,8.9,6.7,16,16.6,18,14.5,18.1,16.6,16.7,15.5,14.4,14.9,10.5,16.3,17.1
1993,17.4,14.6,13.2,17.1,16,17,17.2,19.7,18,15.9,19.5,14.9,16.7,15.8,15.4,18,17.8
1994,17.7,13.3,12.1,13.4,20.2,20.5,20.6,19.7,24.2,7.7,12,10.6,16,15.3,15.2,20.3,14.6
1995,12.1,16.1,16.7,16.4,14.7,16.6,17,22.9,20.5,12.4,13.3,13.7,16,13,15.9,18.8,15.4
1996,17,14.2,17.2,11.5,13.7,19.4,21.5,21,22.1,8.4,16.7,16.9,16.6,15,14.1,20.6,15.7
1997,21.6,16.5,12.4,13.4,17,14.7,16.7,22.1,10.7,13.1,17.3,16.1,16,18.4,14.3,17.8,13.7
1998,14.1,12.4,12.1,12.8,14.8,15,19.3,15,15.2,20.6,11.7,16.8,15,14.2,13.3,16.4,15.8
1999,14.5,6.4,13,11.8,12.9,17.9,18.6,15.6,22.2,15.7,11.2,7.4,14,12.6,12.6,17.4,16.4
2000,14.4,11.2,12.7,13.7,19.1,16.5,17,19.4,16.8,11.9,12.4,15.3,15,11,15.1,17.6,13.7
2001,12.8,12.8,12.6,14.8,-9999.9,-9999.9,-9999.9,-9999.9,18.8,9.7,14.9,14.3,13.8,13.6,13.7,-9999.9,14.5
2002,11.4,12,16.8,14.3,18.7,14.7,-9999.9,15.8,18.7,21.3,10.5,17.3,15.6,12.6,16.6,15.2,16.8
2003,15.1,19.1,11.1,10.1,16.2,17.6,17.6,18.2,16.9,12.9,11.2,12.4,14.9,17.2,12.5,17.8,13.7
2004,-9999.9,-9999.9,17.1,11.4,13.4,17.4,17.9,20.2,17.3,-9999.9,-9999.9,17.3,16.5,-9999.9,14,18.5,-9999.9
2005,13.9,9.6,13.3,15.5,17,20,20.3,14.6,17.5,15.4,12,13.3,15.2,13.6,15.2,18.3,15
2006,16.3,13.6,13.1,13.8,13.4,19.2,14.1,13.4,16.7,17.1,14.2,16.2,15.1,14.4,13.5,15.6,16
2007,14.6,11.1,15.9,13.4,11.6,17.5,18.1,17,14.5,12.3,14.8,11.6,14.4,14,13.6,17.5,13.9
2008,-9999.9,-9999.9,-9999.9,10.2,12.9,12.9,19,16.6,-9999.9,22.8,-9999.9,-9999.9,-9999.9,-9999.9,11.5,16.2,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,15,12.3,16.6,13.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.1,-9999.9
2010,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19,18,13.6,15.2,18.4,15.5,11.6,-9999.9,-9999.9,-9999.9,16.9,16.4
