Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,27.3,24.7,23.7,24.3,24.8,20.6,18.8,21.2,24,24.1,26.4,29.8,24.1,26,24.2,20.2,24.8
1958,26.8,30.4,22.9,25.8,25.4,23.6,20.6,21,21.6,19.4,25.3,20,23.6,29,24.7,21.7,22.1
1959,22.4,24.2,21.8,-9999.9,18.9,-9999.9,16.7,-9999.9,-9999.9,-9999.9,-9999.9,21.8,-9999.9,22.2,20.4,-9999.9,-9999.9
1960,24.4,28.1,30.4,24,19.5,22.5,21.1,22.5,23.3,22,22.3,26.2,23.9,24.8,24.6,22,22.6
1961,22.3,13.3,22.1,21.6,25.3,22,18,17.6,21,20.8,21.4,25.8,20.9,20.6,23,19.2,21.1
1962,29.8,20.4,24.5,24.2,18.4,19,20.7,19.2,21.7,21.5,21.4,23.8,22.1,25.4,22.4,19.7,21.6
1963,26.8,28.6,22.2,27.1,23.6,20.5,19.4,21,21.8,23.1,25.6,27.5,23.9,26.4,24.3,20.3,23.5
1964,22.3,26.7,25.1,20.6,20.4,16.4,16.4,19.4,21.6,19.7,23.9,26.1,21.6,25.5,22,17.4,21.8
1965,28.5,22,27.6,22.7,16.8,18.8,18.5,18.5,19.4,20.7,26.4,19.9,21.7,25.5,22.4,18.6,22.2
1966,22.5,18.1,16.1,20.5,21.4,15.9,17.2,18.9,30.1,30.3,24.4,26.9,21.9,20.2,19.3,17.3,28.2
1967,23.6,30.3,22.6,24.5,23.2,20.1,19.7,20.8,25,24.8,27.8,24,23.9,26.9,23.4,20.2,25.8
1968,28.2,20.9,21.4,21.1,20.7,22.3,20.4,18.1,16.2,22.2,24.1,-9999.9,21.4,24.4,21.1,20.2,20.8
1969,-9999.9,21.9,25.8,23.6,20.7,21.4,19.5,18.1,20.3,22.7,22.8,24.8,21.9,-9999.9,23.3,19.6,21.9
1970,19.6,24,20.5,21,17.4,17.6,15.9,16.8,19.2,17.3,18.1,22.8,19.2,22.8,19.6,16.8,18.2
1971,21.1,18.4,22.1,19.6,17.8,18.4,17.1,15.7,18.1,21.8,26.9,23.4,20,20.8,19.8,17.1,22.3
1972,24.3,26.9,24.5,20.6,19.5,21.4,19.8,20.1,22.5,25.6,26.5,25.5,23.1,24.9,21.5,20.4,24.8
1973,21.6,27.1,24.8,24.5,22.2,19.3,18.9,19.1,20,22.7,24.3,25.4,22.5,24.7,23.8,19.1,22.4
1974,20.5,27.4,25.6,21.7,20.5,19,18.2,19.4,19.6,22.5,22.1,22.4,21.6,24.4,22.6,18.9,21.4
1975,21.8,21.8,22,23.4,20.4,20.8,17.7,17.6,19.2,21,23.5,22.6,21,22,21.9,18.7,21.3
1976,23.9,23.1,24.2,19.8,22.2,20.3,19.4,19.2,21,22.8,25.4,29.6,22.6,23.2,22.1,19.6,23.1
1977,26.2,19.4,21.8,23.8,22.7,20.8,21.1,17.8,21.8,22.2,21.9,25.7,22.1,25.1,22.8,19.9,21.9
1978,22.3,19.3,22.5,20.7,18.4,19.3,16.8,19.5,22,20.9,23.8,21.5,20.6,22.4,20.5,18.5,22.2
1979,24.6,22.9,23.5,21.1,19.8,20.2,19.3,19.1,21.6,19.8,18.6,22.2,21,23,21.5,19.5,20
1980,24.6,19.6,23,22.1,19.6,20,16.5,18.1,22,21.5,21.4,23,21,22.2,21.6,18.2,21.6
1981,22.4,21.6,22.4,21.7,18.7,18.6,16.5,14.8,16.6,19.5,19.5,19.4,19.3,22.3,20.9,16.6,18.5
1982,24.7,21.3,22.7,26.2,19.2,20.1,18.4,19.7,20.2,20.2,23.8,23.3,21.7,21.8,22.7,19.4,21.4
1983,18.9,19.3,22.9,20.9,20.5,18.1,16.2,17.8,19.6,19.5,20.4,25.4,20,20.5,21.4,17.4,19.8
1984,17.7,22.1,23.3,20.1,20.1,19.1,16.7,16.4,22.3,17.5,22.8,24.2,20.2,21.7,21.2,17.4,20.8
1985,25.8,20.9,22.9,23,19.4,17.8,19.5,16.4,17.1,22.7,21.3,21.6,20.7,23.6,21.8,17.9,20.4
1986,24.8,24.1,23.8,20.6,17.8,21.3,17,20.3,20.4,19.8,24.3,22.7,21.4,23.5,20.7,19.5,21.5
1987,22.3,22.2,21.3,19.7,20.7,18,19.3,18.4,19.4,21.8,24,22.1,20.8,22.4,20.6,18.6,21.8
1988,24.2,20.9,21.3,22.5,18.5,21.3,16.6,17.3,20.7,19.6,22.8,20.3,20.5,22.4,20.8,18.4,21
1989,21.5,18.4,20.4,19.2,16.7,16.5,17.7,17.9,19.6,17.3,23.4,21.6,19.2,20.1,18.8,17.4,20.1
1990,21.2,23.1,23.4,23.4,22.6,18.5,18.8,19.2,18.6,21.7,22.7,21.7,21.2,21.9,23.1,18.9,21
1991,21.5,17.3,21.9,17.4,16.3,19.1,15.1,16.5,16.2,17.1,17.7,20.2,18,20.2,18.5,16.9,17
1992,19.5,21.9,22.4,18.7,17.9,17.1,18.2,17.6,18.7,21.3,18.3,18.6,19.2,20.5,19.7,17.6,19.4
1993,19.8,16.7,19.7,18.3,17.4,16.7,17.6,17.1,19.7,21.2,24.1,20.5,19.1,18.4,18.4,17.2,21.7
1994,24.7,21.4,21.5,21.5,19,18.9,17.4,17.9,19.4,17.8,21.7,19.8,20.1,22.2,20.7,18.1,19.7
1995,18.5,21.4,21.7,18.1,15.4,16.2,15.9,16,18,18,19.5,19.3,18.2,19.9,18.4,16,18.5
1996,20.1,18.9,22.1,19.2,17.9,18.2,18,17,16.2,18.8,20,24.8,19.3,19.4,19.7,17.7,18.3
1997,23.2,20,19.4,20.4,19.8,18.3,17.9,15.9,17,17.6,18.8,18.5,18.9,22.7,19.9,17.4,17.8
1998,22.1,18.2,20,18.9,17.1,17.3,15.8,15.2,18.5,21,18.5,22.9,18.8,19.6,18.7,16.1,19.3
1999,22,18.4,24.5,18.7,15.1,17.2,15.1,15,16.9,21.2,18.8,19.3,18.5,21.1,19.4,15.8,18.9
2000,19.9,18.7,16.8,19.5,18.2,18.7,15.9,15.7,17.3,18,18.3,21.5,18.2,19.3,18.2,16.8,17.8
2001,18.2,21.9,19,19,16.4,18.2,17.7,15,17.2,19.5,19.8,19.9,18.5,20.5,18.1,17,18.9
2002,17.6,20.5,24.3,19.5,18.5,18.5,16.7,16.6,17.2,21.5,19.4,19,19.1,19.3,20.7,17.3,19.3
2003,19.7,23.9,19.4,20.4,16.9,18.7,16.1,16,17,19.1,18.7,20.6,18.9,20.9,18.9,16.9,18.3
2004,21.9,23.6,17.9,17.6,20.7,17.6,14,14.3,15.7,16.4,19.3,22.6,18.4,22,18.7,15.3,17.1
2005,18.9,15.4,21.7,21.4,16.7,15.7,15.9,15.3,17.3,16,19.6,23.8,18.1,19,19.9,15.6,17.6
2006,19.9,18.6,17.6,20.6,17.6,14.8,15.4,15.4,16.3,20.7,17.3,18.4,17.7,20.8,18.6,15.2,18.1
2007,19,20.6,21.2,18.3,18.1,15.3,13.7,14.9,20.2,18.6,19.9,18.2,18.2,19.3,19.2,14.7,19.6
2008,21.3,20.4,21.3,17.4,15.4,18.4,13.3,14.8,15.7,17.3,19.1,20.6,17.9,20,18,15.5,17.4
2009,21.7,21.3,18.7,20.8,18.4,14.8,16.4,15.3,15.9,17.2,17.5,19.8,18.1,21.2,19.3,15.5,16.9
2010,20.5,20.4,19,17.5,18.8,17.7,14.4,14.7,17.6,19.1,-9999.9,-9999.9,18,20.2,18.4,15.6,18.3
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,14.7,12.8,14.8,15.9,-9999.9,-9999.9,19.8,-9999.9,-9999.9,-9999.9,14.1,-9999.9
2013,18.3,20.3,21.9,18,16,15.5,-9999.9,14.6,17.9,15,17.8,18.1,17.6,19.5,18.6,15,16.9
2014,22.2,17.2,21.1,19.1,13.9,15,14.3,14.2,16.9,15.5,21.2,18.3,17.4,19.2,18,14.5,17.9
