Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,13.6,14.3,19.4,15.9,17,17.6,16.6,17.5,19,16.4,17.8,17.3,16.9,14,17.4,17.2,17.7
1954,13.9,16.8,19.2,20.7,23,18.3,17.6,17.1,17.6,15.1,15.8,14.9,17.5,16,21,17.7,16.2
1955,13.2,14.3,17.8,18.3,21.8,17.8,16.1,15.2,17.4,17.6,19.3,19.5,17.4,14.1,19.3,16.4,18.1
1956,19,15.9,20.3,17.2,20.1,22.1,15.8,16.3,19.6,18.5,18,15.9,18.2,18.1,19.2,18.1,18.7
1957,16.6,20,17.5,18.3,21.9,15.3,16.7,15.8,17.2,15.1,15,16.3,17.2,17.5,19.2,15.9,15.8
1958,13.7,16,18,19.7,18.9,16,14.8,16.7,19.4,14.5,14.3,15.8,16.5,15.3,18.9,15.8,16.1
1959,19.1,13.2,17.2,19.7,18.2,18.3,17.9,16.3,21.1,16.7,16.3,15.1,17.4,16,18.3,17.5,18
1960,13.5,16.3,18.8,20.7,19.1,21.4,14.7,16.2,17.5,17.2,16.6,14.3,17.2,14.9,19.5,17.5,17.1
1961,14.8,14.5,18.6,19.2,19.8,18.2,16.1,14.8,17.9,17.7,17.3,18,17.2,14.5,19.2,16.4,17.6
1962,18.1,13.2,14.6,20.5,17.9,18.5,16.6,16,16.6,16.1,17.5,16,16.8,16.4,17.7,17,16.7
1963,18.3,15.1,16.2,16.2,16.1,16.7,14.1,11.5,15.3,15.1,15.8,13.6,15.3,16.5,16.2,14.1,15.4
1964,15.1,16.7,17.2,18.7,20.5,15.6,16.6,19.8,17,15.8,16.4,13.9,17,15.2,18.8,17.3,16.4
1965,13.1,18.8,13.8,17.7,19.7,19,14.5,14.6,14.3,16.3,12.7,12.6,15.6,15.2,17.1,16,14.5
1966,17,12.1,16,21.1,21,15.1,14.2,16.3,16.5,18,16.3,16.2,16.6,13.9,19.3,15.2,16.9
1967,16.6,16.9,17.6,15.7,19.2,18.4,18.4,15.1,19.2,20.4,19.3,17.2,17.8,16.6,17.5,17.3,19.6
1968,16.7,15.5,17.2,19.1,21.6,19.3,16.1,16.3,17.8,18.5,15.7,16.3,17.5,16.5,19.3,17.2,17.3
1969,11.9,17.5,15.7,18.7,19,17.5,16.7,19.3,19.9,16.5,15.5,14.4,16.9,15.2,17.8,17.8,17.3
1970,15.2,16,16.2,16.9,17.8,19.1,15.7,17.9,15.7,16.9,15.2,16.8,16.6,15.2,17,17.6,15.9
1971,17.3,14.3,16.2,18.9,18.3,17.4,16.8,18,17.6,16.9,19.4,16.3,17.3,16.1,17.8,17.4,17.9
1972,16.8,14.8,15.4,23.1,17,21.5,16.6,14.3,18.6,18.7,15.3,15,17.3,16,18.5,17.4,17.5
1973,14.4,17.2,17.1,18.7,19.1,19.8,17.9,16.5,17.6,17.7,20.2,15.7,17.7,15.5,18.3,18.1,18.5
1974,15.9,18.2,20.4,17,20.5,18.4,17.8,15.6,16.2,16,16.3,15.4,17.3,16.6,19.3,17.3,16.2
1975,14.6,14.4,17.1,19.9,20.2,17.1,14.1,16.7,16.2,13.6,10.3,13.4,15.6,14.8,19.1,15.9,13.4
1976,15.4,15.6,14.9,19.2,19.3,14.4,13.6,15.7,14.6,14.5,10.2,14,15.1,14.8,17.8,14.5,13.1
1977,11.6,12.7,18.4,16.5,20.6,17.6,15.8,14.5,14.3,16.8,16,16.1,15.9,12.8,18.5,16,15.7
1978,14.8,17.6,14.9,21.4,19.2,17,15.4,17.3,18.2,19.3,17.4,18.9,17.6,16.2,18.5,16.6,18.3
1979,14.1,15.3,13,17.3,17.8,16.1,14.7,16.5,19,-9999.9,10.5,15.3,15.4,16.1,16,15.8,14.7
1980,16.8,15.7,16.8,18.4,17.7,17.9,14.9,15.3,16.1,16.9,13.9,14.2,16.2,15.9,17.6,16,15.6
1981,13.2,15.1,14.2,20.5,18.3,15.4,14.6,14.1,15.8,18.6,12.9,14.9,15.6,14.2,17.7,14.7,15.8
1982,14.7,15.4,18.8,17.9,20.3,14.4,14.9,13.6,13.7,13.8,12.7,12.7,15.2,15,19,14.3,13.4
1983,13.3,16.5,18.6,17.8,18,19.1,15.9,13,17.1,14.2,15.2,12.6,15.9,14.1,18.1,16,15.5
1984,15.8,14.5,15.8,18.7,20,16.9,15.4,15.8,13.6,19,14.4,13,16.1,14.3,18.2,16,15.7
1985,15,15.6,16.2,19.7,17.4,18.4,15.1,16.9,17.6,18.2,12.5,16.7,16.6,14.5,17.8,16.8,16.1
1986,17.9,11.4,16.3,19.2,19.1,17,14.7,13.9,15.6,14.3,15.1,14.3,15.7,15.3,18.2,15.2,15
1987,14.7,13.9,18,18.9,18.1,18,14.1,12.8,14.7,17.5,13.8,16,15.9,14.3,18.3,15,15.4
1988,15.5,15.7,18.6,18.1,19.2,20.2,17,15.9,16.5,14.6,15.6,13.2,16.7,15.7,18.6,17.7,15.6
1989,13.3,15.6,14.3,14.7,16.5,16.9,15,14.7,15.5,14.7,14.1,15,15,14.1,15.2,15.6,14.7
1990,13.8,16.2,19.2,18.1,17.5,15.3,14.9,13.3,14.6,17,15.8,15.6,15.9,15,18.2,14.5,15.8
