Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,16.9,16.1,16.7,17.6,15.2,15.2,14.4,13.7,15.2,14.4,15.5,18,15.8,16.5,16.5,14.4,15
1954,17,15.9,20.1,17.7,16.4,16.6,13.6,13.7,15.9,14.9,14.9,16.4,16.1,17,18.1,14.6,15.2
1955,13.5,15,20.2,17.1,15.7,13.1,13.7,13.9,14.9,16.8,17.3,14.3,15.4,15,17.7,13.6,16.3
1956,17.2,15,16.2,16.3,16.5,14.6,14.3,12.4,13.9,13.8,16.4,16.8,15.3,15.5,16.3,13.7,14.7
1957,15.2,15.3,16.1,16.6,18.3,16.5,14.2,12.9,15.8,15.6,18.2,17.4,16,15.8,17,14.5,16.5
1958,16.8,19.9,13.9,17.2,16.1,15.7,14.5,16.2,15.3,16.7,17.1,13.5,16.1,18,15.7,15.5,16.4
1959,15.7,17.5,16.5,18.3,15.7,15.7,13.8,13.6,15.5,17,16.4,18.4,16.2,15.6,16.8,14.4,16.3
1960,15.1,15.9,16,15.5,14.4,13.8,13.6,12.2,13,14.1,17.5,15.6,14.7,16.4,15.3,13.2,14.8
1961,13.3,16.3,19.1,15,15.1,13.6,11.3,11.2,15.5,15.4,15.4,13.7,14.6,15.1,16.4,12,15.4
1962,16,15,14.8,16.9,14.9,13.8,13.3,12.4,15.1,13.8,14,13.1,14.4,14.9,15.5,13.1,14.3
1963,13.6,14.9,16.2,17.7,15.1,14,13.7,14.6,12.6,13.3,16,11.2,14.4,13.9,16.3,14.1,14
1964,14.1,15,18,18.1,16.6,14.5,12.6,15.2,13.6,13.9,17.7,17.4,15.6,13.4,17.6,14.1,15.1
1965,18.3,17.9,15.8,15.8,15.2,15,12.1,12.6,13.7,15.7,15.3,15.3,15.2,17.9,15.6,13.2,14.9
1966,16.7,14.7,17.1,15.3,16.2,13.7,14.4,12,14.4,12.9,16.8,15,14.9,15.6,16.2,13.4,14.7
1967,18.3,19.6,18.7,20.4,19.1,16.2,14.5,14.7,15.2,17.6,16.3,18.4,17.4,17.6,19.4,15.1,16.4
1968,17.6,15.3,15.8,16.5,13.3,13.8,14,12.7,12.1,14.2,15.6,15.6,14.7,17.1,15.2,13.5,14
