Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,22.7,24.1,22.7,23.2,20.7,20.6,20.4,19.1,20.8,18.6,21.7,23.6,21.5,23.4,22.2,20,20.3
1954,21.5,22.5,24.3,23.1,20.8,21,19.1,20.4,21,20.7,21.3,19.5,21.3,22.5,22.7,20.2,21
1955,19.7,19.5,24.5,20.9,20.3,18.9,20.5,18.8,21.8,25.2,23.4,21,21.2,19.6,21.9,19.4,23.5
1956,20.7,21.9,21.1,22,23.3,19.4,18.1,18.8,19.1,19.9,22.1,22.7,20.8,21.2,22.1,18.8,20.4
1957,21.2,21.4,20.6,22.9,20.8,20.2,17.8,14.5,19.7,16.8,20.5,19.4,19.7,21.8,21.4,17.5,19
1958,20.7,22.4,19.1,21,20.5,20.9,19.4,18.9,21.4,20.6,21.4,15.6,20.1,20.8,20.2,19.7,21.1
1959,20.5,19.1,18.9,20,18.6,18.1,15.8,16.3,18,18.8,20.1,18.5,18.5,18.4,19.2,16.7,19
1960,18.9,22.4,21.2,22.1,20.3,20.3,18.8,17.6,19.1,20.3,22.9,22.8,20.6,19.9,21.2,18.9,20.7
1961,21.5,22.6,24,23.6,21.9,19.2,16.9,17.3,18.4,21,21.7,22.4,20.9,22.3,23.1,17.8,20.4
1962,25.5,23,23.9,22.8,22.6,18.9,17.1,14.2,17.3,16.8,15.9,18.6,19.7,23.6,23.1,16.7,16.7
1963,17.5,20.3,22.9,24.1,21.1,18.4,18.6,18.7,18.1,20.3,21.4,18.3,20,18.8,22.7,18.6,19.9
1964,20.9,20.3,23,19.9,21.1,19.8,17,18.9,17.3,17.4,21,21.4,19.8,19.8,21.3,18.6,18.6
1965,22.1,23.1,18.4,18.6,18.2,18.2,17.6,17.7,16,19.6,19.6,17.8,18.9,22.2,18.4,17.8,18.4
1966,23.2,17.1,20,19.1,20.7,17.2,16.6,17.3,20,22.5,21.2,21.1,19.7,19.4,19.9,17,21.2
1967,21.5,23,20.2,24.5,22,18.8,16.4,16,19.4,19,19.9,21.2,20.2,21.9,22.2,17.1,19.4
1968,20.3,22,22.2,22.5,19.3,18.5,17.1,17,15.2,18.3,21.5,25.3,19.9,21.2,21.4,17.5,18.3
1969,23.5,22,23.8,20.8,18.8,17,13.9,15.1,14.7,18.1,18.1,21.9,19,23.6,21.1,15.4,17
1970,17.9,21.3,20.3,20.7,19.1,17.7,17,16.1,17.7,18,19.3,21.8,18.9,20.4,20,16.9,18.3
1971,21.5,22.9,20.5,18.5,17.4,15.1,15.6,16.6,16.5,15.8,17.3,17.8,18,22.1,18.8,15.8,16.5
1972,21.9,22.2,23,18.4,18.7,17.4,13.6,15.5,17.5,18.5,19.3,21.1,18.9,20.6,20,15.5,18.4
1973,22.2,20.6,22.8,26.1,18.1,16.2,15.8,14.2,16.6,16.6,19.2,20,19,21.3,22.3,15.4,17.5
1974,18.7,18.8,24.5,22.1,19.1,18.6,18.3,15,16.8,19.3,18.3,18.2,19,19.2,21.9,17.3,18.2
1975,19.4,18.6,22.7,23.4,17.4,16,15.2,14.6,17.6,19.7,21.3,20.7,18.9,18.7,21.2,15.3,19.5
1976,21.5,21.3,22.3,22.2,18.1,12.7,14.2,16.9,16.5,19.8,19,18.8,18.6,21.1,20.9,14.6,18.4
1977,19.9,22,19.3,21.2,17.4,16.7,16.6,15.3,16.9,16.9,20,21,18.6,20.3,19.3,16.2,17.9
1978,21.6,16.4,19.4,21.9,18.6,18.9,14.6,13.9,15.6,17.6,18.5,21.1,18.2,19.7,19.9,15.8,17.2
1979,21.3,20,18.4,21.1,17.1,17,14,14.1,14.9,16.7,15.4,19.1,17.4,20.8,18.9,15,15.7
1980,19.7,19.2,20.7,19.1,17.7,17.2,15.1,14.6,16.9,17.7,18.8,17.2,17.8,19.3,19.2,15.6,17.8
1981,17.3,17.5,15.7,22.2,16.2,15.6,15.3,13.4,17,17.9,19.1,19.5,17.2,17.3,18,14.7,18
1982,21.2,17.2,21.2,24.2,16.2,16.7,15.9,15.8,16,16.7,18.5,20.3,18.3,19.3,20.5,16.1,17
1983,20.9,19.2,22.1,20.4,17.6,13.9,16.9,13.9,15.6,18.5,19.8,20.5,18.3,20.1,20,14.9,18
1984,17.2,19.9,19.9,19.3,19.4,17.6,15.3,14.1,16.6,15.2,20.8,21,18,19.2,19.5,15.7,17.5
1985,21,21.6,21.8,21.6,19.9,18.5,17,16.3,16.3,17,19.5,18.1,19,21.2,21.1,17.3,17.6
1986,21.8,19.7,19.9,18.3,19,18.2,14.7,14.5,14.9,16.6,20,19.5,18.1,19.9,19,15.8,17.2
1987,17.8,19.2,18.3,20,18.3,15.1,13.7,14.2,14.5,16,16.7,16.7,16.7,18.9,18.9,14.4,15.7
1988,18.1,19.1,18.3,19.6,15.8,18.1,12.4,13.8,15.5,17.1,18.2,18.7,17.1,18,17.9,14.8,16.9
1989,19.5,17.3,17.2,17.3,15.8,14.8,14.2,13.6,14.7,17.6,20.3,17.9,16.7,18.5,16.8,14.2,17.5
1990,19.9,20.1,17.2,19,18.9,17,15.7,14.4,16.2,19,20.5,19.6,18.1,19.3,18.4,15.7,18.6
1991,19.1,17.3,17.6,16.9,16.5,16,15.1,16,14.4,15.3,16,17.2,16.4,18.7,17,15.7,15.2
1992,16.9,18.1,17.4,17.5,15.6,14.2,14.2,14.8,15,15.2,16.3,17.6,16.1,17.4,16.8,14.4,15.5
1993,17.2,17.6,17,18.3,16.8,15.3,15.8,13.4,15.8,18.6,17.7,15.3,16.6,17.5,17.4,14.8,17.4
1994,19.7,18.6,17.2,19.6,17.5,15.5,13.9,12.5,13.8,15,19.5,16.1,16.6,17.9,18.1,14,16.1
1995,17.4,20.2,17.4,19.8,16.5,15.2,14.1,13.5,13.4,18.4,17.5,17.6,16.7,17.9,17.9,14.3,16.4
1996,17.7,18,18.3,20.2,16.5,14.3,15.9,12.6,15,17.5,14.5,15.6,16.4,17.8,18.4,14.3,15.7
1997,20,15.9,18,17,19.2,15.2,14.3,13.9,15.7,14.5,15.8,18.1,16.5,17.2,18.1,14.5,15.3
1998,18.8,17.4,19.1,19.5,17.6,17.2,15.4,12.7,13.4,15.8,16.9,15.7,16.6,18.1,18.7,15.1,15.4
1999,17.7,15.4,17,16.5,14.1,15.4,13.9,12.6,13,16.3,19.3,17.2,15.7,16.3,15.9,13.9,16.2
2000,21.1,17.4,18.6,19.6,16.5,15.7,13.7,13.8,14.6,14.8,14.8,18.7,16.6,18.6,18.2,14.4,14.7
