Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,10.3,11.7,12.6,13.2,11.2,10,9.8,8.1,9.8,12.2,13.3,14.5,11.4,11,12.3,9.3,11.8
1954,13,17.1,11.4,16.6,11.4,11.1,9.8,8.3,10.1,12.7,11.9,16.7,12.5,14.9,13.1,9.7,11.5
1955,10.1,13.6,12.7,10,11.9,10.9,10.4,8.2,10.2,14.3,11.7,10.2,11.2,13.5,11.5,9.8,12.1
1956,8.2,13.8,13.7,12.6,11.5,11.8,8.4,9.1,9.3,14.3,14.4,16.2,11.9,10.8,12.6,9.8,12.7
1957,7.5,12.6,10.3,10.7,10.3,10.5,10.3,8.3,8.3,9.9,8.7,9.9,9.8,12.1,10.4,9.7,9
1958,10.1,10.2,9.9,11.8,9.9,10.8,9.3,7.2,10.7,12.9,10.6,12.9,10.5,10.1,10.6,9.1,11.4
1959,9.1,12.3,14.8,10.8,11,9.1,8.2,9.3,9.1,12.6,14.1,15.4,11.3,11.4,12.2,8.9,11.9
1960,10.2,12.2,13.9,13.9,12.8,11,9.3,10.4,8.8,14.3,12.5,9.9,11.6,12.6,13.5,10.2,11.8
1961,12.9,16.7,11.1,14.4,10.6,9.2,10.8,9.1,12.8,20.4,13.1,13.6,12.9,13.2,12,9.7,15.4
1962,16.4,8.6,11.6,14.5,10,12.3,9.3,11.7,9.8,11.7,15.1,12.6,12,12.9,12,11.1,12.2
1963,12.5,10.9,13.6,12.1,12.8,10.5,9.9,9.2,7.8,15.4,15.5,12.3,11.9,12,12.8,9.9,12.9
1964,14,20.7,16,15.5,13.2,10.7,9.6,9.9,13.2,11.9,11.5,11.9,13.2,15.7,14.9,10.1,12.2
1965,10.9,14.2,8.3,9.9,10.1,9,7.2,7.4,9.7,12.2,9.3,12.5,10.1,12.3,9.4,7.9,10.4
1966,11.6,11.8,12.4,13.2,13.4,9.8,10.5,7.3,8,14,13.1,12.5,11.5,11.9,13,9.2,11.7
1967,11.3,12.8,14.4,12.8,12.6,11,9.5,7.7,8.9,14.7,9.5,9.8,11.2,12.2,13.3,9.4,11
1968,15.4,7.3,10.7,14.4,11,9.3,7.8,9.3,10.2,14.3,14.2,14.2,11.5,10.8,12,8.8,12.9
1969,11.5,9.2,12,13.6,12.4,12.7,12.1,12.7,11,10.4,19.5,11.9,12.4,11.7,12.6,12.5,13.6
1970,12,10.6,14.5,13.2,12.2,11.4,10.2,9.4,12.5,12.5,10.4,12,11.7,11.5,13.3,10.3,11.8
1971,15.7,10.4,16.2,13.9,11.3,10.4,8.7,10.2,12.3,14.8,14.4,12.9,12.6,12.7,13.8,9.8,13.9
1972,14.6,15.6,12.8,16.2,11.7,10.4,9.9,6.5,12.3,13.7,11.5,12.2,12.3,14.4,13.6,8.9,12.5
1973,15.8,12.4,11.3,9.8,11.3,10.8,9.1,8.9,9.7,12.9,15.1,11.3,11.5,13.5,10.8,9.6,12.6
1974,12,15.4,12.7,10,12,10.8,10,9.5,8.3,11.1,9.6,17.2,11.5,12.9,11.5,10.1,9.7
1975,15.2,15.8,11.2,10.6,10.6,10.9,8.6,7.6,7.1,11.9,13.4,13.8,11.4,16,10.8,9,10.8
1976,14.5,13.5,11.9,7.9,9,7.3,7.6,7.5,7.3,12,10.8,13.7,10.2,13.9,9.6,7.4,10
1977,8.4,11.6,14.7,13.7,12.4,10,9.3,8.6,8.4,15.3,15.1,7,11.2,11.2,13.6,9.3,12.9
1978,8.2,9.9,11.3,12.9,11.3,11.1,9.5,10.1,9.5,14.9,14.9,14.3,11.5,8.4,11.8,10.2,13.1
1979,8.7,11.7,11.6,11.2,10.7,9.9,8.1,8.2,8.6,10,9.6,13.8,10.2,11.6,11.2,8.7,9.4
1980,11.8,10.7,11.5,10.4,10,10.3,9.3,8.3,10.3,8.9,15.5,16,11.1,12.1,10.6,9.3,11.6
1981,7.1,12,9.1,13.9,10.4,11.5,10.4,8,10.2,10.6,12.5,10.8,10.5,11.7,11.1,10,11.1
1982,10.5,11.8,11.3,13.1,11.2,9,9.5,9,8.4,13.3,9.3,8.7,10.4,11,11.9,9.2,10.3
1983,11,10,10.2,12.1,14.3,11.4,9.8,8.8,10.9,13.1,10.6,7.7,10.8,9.9,12.2,10,11.5
1984,14.2,14.9,11.1,13.5,11.4,9.1,8.9,9.3,8.9,12.7,10.2,13.1,11.4,12.3,12,9.1,10.6
1985,9.8,18.4,14.3,13.3,10.3,11.5,9.9,10,11.8,14.4,12.6,11.7,12.3,13.8,12.6,10.5,12.9
1986,12.3,13.1,13.3,15.6,12.3,12.4,10.3,9.3,12.1,11.2,17.5,12.2,12.6,12.4,13.7,10.7,13.6
1987,12.8,9.8,10.8,13.7,12.3,11.8,10.4,9.9,11.5,11.1,12.5,14.7,11.8,11.6,12.3,10.7,11.7
1988,12.4,13.1,12.3,13,11.3,11.3,10.4,9.6,11.1,9.7,14,10.8,11.6,13.4,12.2,10.4,11.6
1989,17,10.6,11.6,10.6,11.5,10.8,11.5,9,10.2,11.7,16.1,13.7,12,12.8,11.2,10.4,12.6
1990,15.2,15.5,9.8,10.9,9.9,12.4,9.7,7.4,9.2,15.9,15.2,15.9,12.2,14.8,10.2,9.8,13.5
1991,11.1,13.3,11.8,10.7,12.2,11,8.8,8.8,7.9,13.6,16,19,12,13.4,11.6,9.5,12.5
1992,15.4,12.9,8.6,11.6,12,11.2,9.9,9.8,13.7,11.8,13.3,13.3,12,15.8,10.7,10.3,12.9
1993,13.3,13.5,13.6,11.4,12.2,11.2,11.6,8.1,8.5,9.2,14.4,12,11.6,13.4,12.4,10.3,10.7
1994,9.5,-9999.9,11.7,12.3,11.4,10.2,8.4,8.4,9.8,11.7,18.5,13.7,11.4,10.8,11.8,9,13.3
1995,4.8,11.6,10.8,11.9,10.1,7.8,10.2,8.5,8.1,12.7,10,8.5,9.6,10,10.9,8.9,10.3
1996,10.5,9.2,14.7,10.6,9.3,8.3,8.3,7.6,7.4,11.9,12.8,12.6,10.3,9.4,11.5,8,10.7
1997,9.7,8.9,15.8,13.9,12.2,11.1,10.2,10,8.8,12.8,7.7,16.5,11.5,10.4,14,10.4,9.8
1998,9.8,11.4,11.5,9.7,10.6,10.8,9,8.4,8.2,11.7,9.3,14.9,10.4,12.6,10.6,9.4,9.7
1999,13.2,14.4,10.4,10.3,10.9,10.6,11.1,8.7,8.2,13.4,12.9,14.7,11.6,14.2,10.5,10.1,11.5
2000,11.4,8.3,14.2,14.2,11.5,10.7,9.8,10.3,11.1,10,12.7,9.3,11.1,11.4,13.3,10.3,11.3
2001,11.4,9.7,13.9,12.9,13.4,9.5,8.3,7.8,8.9,12.8,13.7,12.2,11.2,10.1,13.4,8.5,11.8
2002,13.4,15,16.1,12.2,13.9,10.1,11.3,11.1,9.9,9.1,11.9,10.2,12,13.5,14.1,10.8,10.3
2003,14,9.3,15.3,14.5,12.9,11.2,10.3,10.4,11.7,12.5,13.3,13.3,12.4,11.2,14.3,10.6,12.5
2004,12.7,9.9,14.4,10.5,12.5,10.5,8.3,8.3,10.3,12.3,14.4,14.8,11.6,12,12.5,9,12.3
2005,11.6,11.2,15.3,15.8,11.5,10.8,9.7,8.5,10,11.8,13.7,10.8,11.7,12.5,14.2,9.6,11.8
