Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,21.8,23,16.1,13.5,9.5,9.8,9.6,13.8,24.6,19.2,25.5,17,-9999.9,17.6,9.6,19.2
1954,19.2,22.9,12.3,17.9,11.4,13.3,10.2,7.8,12.7,18.9,22.4,25.3,16.2,22.5,13.8,10.4,18
1955,18.5,18.3,17.4,16.3,15.4,12.1,9.7,14.1,13.1,20.8,16.1,13.7,15.5,20.7,16.4,12,16.6
1956,16.1,17.9,17.2,16.5,15.5,16.5,11,13.6,11.8,20.2,21.7,26.4,17,15.9,16.4,13.7,17.9
1957,11.5,17.6,16.3,16.1,12.4,12.5,11.7,9.8,11.1,13.1,20.1,21.1,14.4,18.5,14.9,11.3,14.8
1958,23.6,15.8,10.3,15.7,14.1,8.8,11,12.4,13.2,22.4,21,18.9,15.6,20.2,13.4,10.7,18.9
1959,16.4,16.2,24.6,14,12.1,12.4,10.3,12.6,12.6,16.6,21.2,27.3,16.4,17.2,16.9,11.8,16.8
1960,17.7,15.8,22.5,20.5,13.6,11.8,11.5,11.6,12,20.3,18,18.6,16.2,20.3,18.9,11.6,16.8
1961,19.4,21.7,16.7,16.8,11.6,13.3,9.3,10,12,21.4,18.2,19,15.8,19.9,15,10.8,17.2
1962,22.5,9.9,14.1,19.8,10,11.1,8.2,10.5,12.1,16.3,19.9,17.5,14.3,17.1,14.7,10,16.1
1963,14.4,16.3,16,17.1,15.2,15.2,13.1,10.2,15.7,20.6,19.2,17.9,15.9,16,16.1,12.8,18.5
1964,18.6,21.6,19,20,16.1,14.4,13.2,13.1,15,20.4,16.2,19.4,17.3,19.3,18.4,13.6,17.2
1965,16.9,18.8,10,15.7,15.4,15.2,13.2,14.1,12.4,20.2,12.9,16.6,15.1,18.3,13.7,14.2,15.2
1966,13,16.2,21.3,15.4,17.5,13.5,12.3,11.8,16,19.3,14.9,15.9,15.6,15.2,18.1,12.5,16.8
1967,18.6,23.2,14.7,13.6,15.9,12,13.5,12.9,16.8,20.1,13.9,16.9,16,19.2,14.7,12.8,16.9
1968,16.3,14,17,22.6,13.1,14.4,12,13.1,15.6,19.4,20,15,16.1,15.8,17.6,13.2,18.3
1969,10.9,12.8,11.6,17.5,13.7,10,11.3,14.3,9.4,12,23.1,16.9,13.6,12.9,14.3,11.8,14.8
1970,14.5,16.3,18.5,20,15.8,14.3,11.7,10.6,13.2,12,10.5,13.5,14.2,15.9,18.1,12.2,11.9
1971,16,16,20.9,20.4,15.3,12.5,10.1,13.9,15.1,16.9,18.7,15.6,15.9,15.2,18.9,12.1,16.9
1972,17.2,17.3,17.5,17,14.2,13.7,10.5,11.1,12.6,15.3,14.2,15.6,14.7,16.7,16.2,11.8,14.1
1973,16.9,15.6,15.4,16.7,16.2,13.9,10.6,10.7,12.6,18.2,12,15.1,14.5,16,16.1,11.7,14.3
1974,14.9,20.1,12.8,15,16.2,15.3,11.5,10.1,9.4,20.4,17.2,20.4,15.3,16.7,14.7,12.3,15.6
1975,18,16,12.7,13.7,12.2,11.4,9.8,8.9,10,13.5,15.6,22.2,13.7,18.1,12.9,10.1,13
1976,20.3,17.7,18.1,15.8,19.1,11.8,12.9,12.1,14.1,16.3,14.7,18.9,16,20.1,17.6,12.2,15.1
