Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,3.2,4.2,7,6.4,6.8,7.3,7.8,6.3,6.3,4.2,3.6,4.4,5.6,3.7,6.7,7.1,4.7
1954,3.2,5.4,5.1,8.7,7.2,8.6,7.4,5.5,4.7,4.2,3.3,2.5,5.5,4.3,7,7.2,4
1955,2.5,3.7,5.9,7.3,7.2,7.5,5.9,7.5,5.1,4.3,4.2,2.5,5.3,2.9,6.8,7,4.5
1956,2.3,4.6,4.9,6.8,6.6,8.3,6.7,6.7,6,5.2,3.2,3.6,5.4,3.1,6.1,7.2,4.8
1957,2.6,4,6.2,7.5,5.8,7.1,7.9,6.6,5.1,4.6,3.3,3.8,5.4,3.4,6.5,7.2,4.3
1958,2.7,3,5.3,8.9,7.5,7.2,8.1,8.2,7.2,4.5,3.8,3.2,5.8,3.2,7.2,7.8,5.2
1959,3.7,4.1,6.9,8.5,8.1,8.2,8.3,8.1,5.9,4.5,4.5,3.3,6.2,3.7,7.8,8.2,4.9
1960,3.1,4.5,5.6,8.4,9.4,9.2,8.2,8,5.2,5.1,3.7,2.5,6.1,3.6,7.8,8.5,4.7
1961,2.6,3.8,5.1,8.3,7.1,7.9,7.3,6.7,7.1,5.1,3.4,3.4,5.7,3,6.8,7.3,5.2
1962,4.6,4.4,4.6,8.2,8,9,8,6.2,5.6,4.9,3.7,2.5,5.8,4.1,6.9,7.8,4.7
1963,3.9,2.9,6,7.1,8.4,7.4,7.2,5.6,4.4,4.8,4.4,2.9,5.4,3.1,7.2,6.7,4.5
1964,3.3,5.4,6.5,8.2,7.7,7,6.1,6.2,5.3,3.9,3,3.3,5.5,3.8,7.5,6.4,4.1
1965,3.5,4.3,4.3,5.6,7.2,7.8,7,4.9,4.5,4.5,2.6,2.4,4.9,3.7,5.7,6.6,3.8
1966,2.6,3.8,5.7,7.5,8,8.4,6.4,6.4,4.2,3.4,2.8,2.1,5.1,2.9,7.1,7.1,3.5
1967,2.7,4.7,5.7,6.7,7,5.9,7.2,5.3,5.8,4.8,2.8,3.1,5.1,3.2,6.5,6.1,4.5
1968,3.4,2.5,5,8.1,6.9,6.3,5.3,5.2,5,4.6,3,2.5,4.8,3,6.7,5.6,4.2
1969,1.9,1.9,4.7,8.1,8.1,9.6,9.2,9.4,6.2,4.2,3.4,1.8,5.7,2.1,7,9.4,4.6
1970,1.6,3.4,6,9.2,8.9,8.8,7.7,7.6,5,2.4,0.7,0.4,5.1,2.2,8,8,2.7
1971,1.6,2.3,4.9,6.9,7.5,7,6.4,8.2,5.9,3.1,0.1,-9999.9,4.9,1.4,6.4,7.2,3
1972,3.1,2.6,3.5,10,6.8,7.8,7.3,6.5,6.3,2.5,1,1.9,4.9,2.8,6.8,7.2,3.2
1973,1.4,0.8,6.1,9.9,10.5,11.8,10.3,10.2,5.5,3.9,1.6,0,6,1.4,8.9,10.8,3.7
1974,1.4,3.1,7.2,8.9,11,10.8,8.2,8.2,5.2,4.4,2.5,1.9,6.1,1.5,9,9.1,4
1975,2.1,2.3,6,8.7,10.4,9.4,6.7,7,3.5,5.6,3.7,1.8,5.6,2.1,8.4,7.7,4.3
1976,1.2,4.1,6,7.8,8.5,9.8,8.6,4.8,5.4,4.2,1.5,1.6,5.3,2.4,7.4,7.7,3.7
1977,1.3,3.1,8.1,8.6,8.9,10,10,7,4.8,4.3,3.6,2.1,6,2,8.5,9,4.2
1978,1.5,2.4,4.1,6.4,10.5,9,8.3,7.5,5,4,3,3.4,5.4,2,7,8.3,4
1979,1.3,3.3,4.7,6.5,7.7,8.5,7.8,5.6,5.2,3.8,1.4,3.4,4.9,2.7,6.3,7.3,3.5
1980,2.9,2.5,6,7.3,6.2,6,6.9,6.6,5.9,3.3,2.5,2.4,4.9,2.9,6.5,6.5,3.9
1981,1.9,3.1,5.1,7.6,6.2,7.5,6.1,5.4,4.8,3.3,2.4,2.1,4.6,2.5,6.3,6.3,3.5
1982,2.6,3.1,4.9,7.9,7.3,6.4,6.2,5.4,4.9,4,2.2,2,4.7,2.6,6.7,6,3.7
1983,2.6,3.2,5,5.6,7.5,7.5,5.8,6,5.7,4.2,3.4,1.9,4.9,2.6,6.1,6.4,4.4
1984,3.6,3.7,4.6,7.3,9.2,7.5,7.6,6.9,6.5,4.9,2.4,3,5.6,3.1,7,7.3,4.6
1985,2.1,3.5,5.1,7.4,7.1,8.5,8.3,7.7,5.8,6.6,4.1,2,5.7,2.9,6.5,8.2,5.5
1986,2.5,3.3,5.4,7.1,7.4,7.1,7,6.7,5.5,3.2,3.9,2.3,5.1,2.6,6.6,6.9,4.2
1987,2.4,3,3.9,7.1,8,8.3,8.2,7.3,5,4.4,2.7,2,5.2,2.6,6.3,7.9,4
1988,2.4,3.3,6.4,7.7,7.6,7.6,8.6,7.1,6,3.9,3.9,1.6,5.5,2.5,7.3,7.8,4.6
1989,4,2.8,5.6,6.5,6.9,6.7,7.8,5.4,5.1,4.6,3.8,2.3,5.1,2.8,6.3,6.6,4.5
1990,3.8,5.3,4,4.7,6.1,7.7,7.7,5.7,4.9,7,4.1,3.8,5.4,3.8,4.9,7,5.3
1991,2.6,3.5,4.8,6.6,6.3,6.7,6.6,5.8,4.6,4.4,3.1,2.8,4.8,3.3,5.9,6.4,4
1992,2.1,2.2,4,7.6,10.6,7.3,5.9,6,3.8,3.9,3.4,2.2,4.9,2.4,7.4,6.4,3.7
1993,2.2,2.6,6.2,7.8,7.7,7.8,6.6,5.9,3.9,3.3,3.8,2.6,5,2.3,7.2,6.8,3.7
1994,1.9,3.7,6.3,6.1,7.2,7.6,10.9,6,4.8,4.2,3.1,2.2,5.3,2.7,6.5,8.2,4
1995,1.5,3.9,5.2,7.3,6.9,6.4,8,7.3,4.5,5.2,2.7,2.3,5.1,2.5,6.5,7.3,4.1
1996,2.4,3.2,5.3,7.1,6.8,7.3,6.4,7.2,5.3,4,2.5,2,5,2.6,6.4,7,3.9
1997,2.5,3,6.1,7.7,7.2,7.3,7,6.5,5.4,5.2,2.3,2.9,5.3,2.5,7,6.9,4.3
1998,2.5,3.2,4.4,5.9,6.3,6.8,6.9,6.5,5.7,3.8,3.3,3.2,4.9,2.9,5.6,6.7,4.3
1999,2.7,5.2,6.3,6.7,8.9,7.8,6.4,5.9,4.7,4.2,1.4,2.5,5.2,3.7,7.3,6.7,3.5
2000,1,1.7,6.5,7.9,7.5,7.6,6.6,6.5,4.7,3.7,1.4,1.2,4.7,1.7,7.3,6.9,3.3
2001,1.8,1.7,5.4,8.9,10.3,7.6,7.7,7,5.6,4.9,1.8,1.6,5.4,1.6,8.2,7.4,4.1
2002,1.8,3.1,6.1,8.4,8.7,9.3,8.7,7.1,6.2,3.8,1.8,0.9,5.5,2.2,7.7,8.4,3.9
2003,0.9,1.3,6,6.5,7.1,7.9,8,6.9,5.8,3.6,1.3,0.4,4.6,1,6.5,7.6,3.6
2004,1.6,1.3,6.2,4.9,7.2,5.4,6.9,4.5,4,3,2.4,1.9,4.1,1.1,6.1,5.6,3.1
2005,1,1.5,5.6,7.2,6.7,6.2,8,6.8,5.1,3.4,1.6,0.9,4.5,1.5,6.5,7,3.4
2006,1.6,4.2,4.8,6.9,6.9,7.1,7.6,7,4.1,3.5,2.6,0.8,4.7,2.2,6.2,7.2,3.4
2007,2.3,2.9,6.7,7.9,7.8,7.5,5.8,6,5.2,2.8,2.4,1,4.9,2,7.5,6.4,3.5
2008,1.7,2.1,6.1,9.3,6.4,7.7,8,7.3,4,3.4,2.3,2.1,5,1.6,7.2,7.7,3.3
2009,2.3,2,5.4,7.2,8.5,7.6,6.1,6.1,4.3,3.8,2.5,1.4,4.8,2.1,7,6.6,3.5
2010,0.5,1.2,6.1,8.9,8,7.2,7.7,6.5,4.2,3.6,2.7,0.5,4.8,1,7.6,7.1,3.5
2011,1.2,3.1,5.1,8.1,6.6,7.5,7.4,6.3,4.9,2.7,1.9,1.4,4.7,1.6,6.6,7,3.2
