Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,20.7,21.9,24.3,21.1,21.2,20.9,20.3,20.6,25.1,20.5,25.4,24.4,22.2,21.3,22.2,20.6,23.7
1954,21.4,24.5,22.9,24.7,25.2,24.5,23.3,23.5,22.4,24.4,23.2,23.1,23.6,23.4,24.2,23.8,23.3
1955,20.2,22.9,26.4,26.2,27.9,22.9,22.2,21,23.5,23.3,28.7,29.4,24.6,22,26.9,22.1,25.2
1956,26.5,24,27,20.8,22.3,24.6,19.7,19,23.2,23.3,23.2,23.6,23.1,26.6,23.4,21.1,23.3
1957,23.3,27,24.1,21.8,27.4,20.7,23,21.6,24.4,21.5,21.2,25.2,23.4,24.7,24.4,21.8,22.4
1958,19.8,22.4,22.7,27.6,25.2,19.5,16.8,19.5,25.3,21.2,23.7,24.7,22.4,22.5,25.2,18.6,23.4
1959,27.6,21.4,22,24.6,21.6,22.5,18.9,20.6,25.4,21.4,21.9,25.9,22.8,24.5,22.7,20.7,22.9
1960,21.3,21.2,26.4,27.7,27.1,26.1,18.3,20,21.8,23,25,24.1,23.5,22.8,27,21.5,23.3
1961,25,24.4,29,29.2,25.9,18.8,19,16.9,23.4,23.3,25.3,23.8,23.7,24.5,28,18.2,24
1962,26.2,16.8,19.3,23.7,21.6,21.5,19.8,21,23.2,23.3,21.7,20.2,21.5,22.3,21.5,20.8,22.7
1963,22.2,23.3,25.9,23.2,23.9,23.5,19.4,17.1,21,20.9,23.3,20.8,22.1,21.9,24.4,20,21.7
1964,23.4,24.8,26.2,25.9,28.7,21.2,20.2,24.5,27.4,23.3,20.4,22,24,23,27,22,23.7
1965,20.5,27,22,25.3,28,26.3,18.5,19.9,22.1,22.1,20.1,20.7,22.7,23.2,25.1,21.6,21.5
1966,26.2,21.9,23.8,25.1,27.3,21.2,18.8,18.8,18.8,21.4,21.4,22,22.2,22.9,25.4,19.6,20.6
1967,24.4,26.2,25.2,22.9,24.1,21.7,21.3,20.7,23.1,24.8,23,22.8,23.4,24.2,24.1,21.2,23.7
1968,23.8,21.9,21.9,21.6,26.3,20.5,19.9,18.9,20.7,21.3,21.2,22,21.7,22.8,23.3,19.8,21.1
1969,21.2,25.6,20.5,25,22.1,18.9,17,17.9,22,21.2,21.7,21.8,21.3,23,22.5,18,21.6
1970,22.2,23,20,25.6,21.5,21.9,20.3,21.3,18.6,20.7,24.4,26.7,22.2,22.3,22.4,21.2,21.2
1971,24.6,21.6,22.3,20.9,21.7,19.3,21.4,21.5,21.8,25.1,26.4,25.3,22.7,24.3,21.6,20.7,24.5
1972,26.4,22.8,24.2,28.8,20,25.1,19.2,18.9,24.6,23.1,20.2,22.1,23,24.9,24.4,21.1,22.6
1973,22.4,24.1,24.9,20.9,19,23.2,19.9,18.2,19.8,19.8,23.4,22.9,21.6,22.9,21.6,20.4,21
1974,22.4,23.5,25.6,19.7,21.6,19.8,18.4,19.9,19.4,18.9,21.1,20.1,20.9,22.9,22.3,19.4,19.8
1975,20.8,23.8,22.7,22.7,20.8,16.6,15.4,20.6,22.1,19.7,18.9,21.7,20.5,21.6,22.1,17.5,20.2
1976,23.6,23.1,21.3,24.9,25,20.2,21.3,20.6,19.6,23.4,21.6,24.7,22.5,22.8,23.7,20.7,21.6
1977,21.3,20.7,24.1,22.1,19.7,17,16.1,15.5,14.3,19.7,20.3,19.9,19.2,22.2,21.9,16.2,18.1
1978,20.7,23.4,20.4,25.8,22.2,19,18.3,18.7,22.2,21.5,20.5,25.1,21.5,21.3,22.8,18.7,21.4
1979,19.7,23.3,22.7,23.5,22.2,23.2,18.8,19.9,23.5,24,17.5,21.6,21.7,22.7,22.8,20.6,21.7
1980,26.7,21.8,22.8,22,22.1,22.3,18.1,19.5,20.5,22.7,21.5,19.7,21.6,23.4,22.3,20,21.6
1981,16.6,21.2,19.9,25.7,25.8,22.9,19.9,16.5,20.7,24.8,20,22.7,21.4,19.2,23.8,19.8,21.8
1982,27.3,27.1,30.7,24.9,23.3,18.5,16.9,17.3,18.9,18.8,17.4,16.3,21.5,25.7,26.3,17.6,18.4
1983,19.9,19.5,21.3,20.6,20.7,21.8,17.9,15.7,21.9,16.6,16.4,16.6,19.1,18.6,20.9,18.5,18.3
1984,19.4,17.2,17.1,21.4,23.1,19.2,16.9,19.6,20.5,24.2,22.8,20.1,20.1,17.7,20.6,18.6,22.5
1985,21.3,21.2,18.3,19.8,19.5,20.1,15.7,17.6,18.6,20.3,16.3,22.2,19.2,20.9,19.2,17.8,18.4
1986,23.9,18,21.6,21.9,25.1,22.5,19.9,17.7,19.5,19.6,18.2,19.7,20.7,21.4,22.9,20.1,19.1
1987,19.7,18.3,22.3,24.2,21.7,18.8,17.5,17.1,16,20.8,18,22.1,19.7,19.2,22.8,17.8,18.3
1988,21.7,22.1,22.8,22.5,24.4,24.1,21,21.8,22.4,20.1,19.6,17.4,21.7,22,23.2,22.3,20.7
1989,21.8,24.4,18.3,19.9,19.9,20.8,17.6,18,20,17.9,18.1,17.4,19.5,21.2,19.4,18.8,18.7
1990,20.7,22.6,24.1,22.2,23.7,17.7,18.7,17.7,19.1,21.9,20,20.3,20.7,20.2,23.3,18.1,20.4
1991,22,18.3,20.8,23.7,22.1,23.6,18.9,19.2,21.5,23.8,20.3,21.8,21.3,20.2,22.2,20.6,21.9
1992,21.1,20,19.6,22.8,20.5,20.8,15.4,16.6,19.3,19.2,18.2,19,19.4,21,21,17.6,18.9
1993,19.1,16.3,18.6,18.9,19.8,21.6,17.3,16.5,20.1,18.8,18.1,19.9,18.7,18.1,19.1,18.5,19
1994,20.2,22.9,20.9,18.7,20,18.2,17.1,15.9,17.9,22.8,21.7,20.1,19.7,21,19.9,17.1,20.8
1995,18.2,22.7,20.7,19.7,17.5,17.9,16.5,20.7,16.2,18.7,20.7,22.5,19.3,20.3,19.3,18.3,18.5
1996,18.4,20.9,19.7,20.4,16,19.4,16,17.2,19.9,19.4,15.4,20.6,18.6,20.6,18.7,17.5,18.2
1997,20.8,17.4,19.3,23,21.2,20.1,15,15.4,21.3,22.8,16.5,16.2,19.1,19.6,21.2,16.8,20.2
1998,19.4,18.7,15.2,17.6,19.4,17.2,15.2,16,16.9,19.2,17.7,18.5,17.6,18.1,17.4,16.1,17.9
1999,20,23,22.5,19.9,21.7,18.3,16,14.9,17.7,17.7,17.3,18.4,18.9,20.5,21.4,16.4,17.6
2000,17.9,17.1,19.9,20.8,20.6,17.4,16.5,17.3,18.4,17.6,18.6,21,18.6,17.8,20.4,17.1,18.2
2001,17.5,17.8,18.9,20.1,24.4,17.7,16.2,16.8,18,19.5,17.4,17.4,18.5,18.8,21.1,16.9,18.3
2002,15.9,19.6,18.6,20.1,23.5,18.7,16.6,16.3,17.9,15.9,17.7,19.5,18.4,17.6,20.7,17.2,17.2
2003,17.7,16.6,19,21.5,19.8,17.9,18.1,17.8,20.2,17.7,18.6,19.9,18.7,17.9,20.1,17.9,18.9
2004,22.6,19.6,23.4,21.4,21.5,17.9,16.4,16.3,16.2,18.2,17.3,20.6,19.3,20.7,22.1,16.9,17.2
2005,19.7,16.8,21.3,22.6,22.5,18,16.2,18.7,18,18.4,18.8,17,19,19,22.1,17.6,18.4
2006,19.4,22.2,24.3,19.8,20.1,18.8,15.6,17.1,17,19.1,21.9,20.1,19.6,19.6,21.4,17.2,19.3
2007,20.3,17.9,21.2,20.5,22.2,18.3,15.9,19.1,17.4,16.4,21.8,17.1,19,19.4,21.3,17.8,18.5
2008,18.6,18.9,19.4,19.8,20.6,17.6,16.7,17,16.6,21.5,19.1,19.6,18.8,18.2,19.9,17.1,19.1
2009,20.6,18.2,21.8,19.3,20.4,17.4,17.6,15.1,19.8,17.9,17,16.8,18.5,19.5,20.5,16.7,18.2
2010,21.8,14.7,18.1,22.3,21.4,16.9,15,16.9,17.5,19.6,16.8,21.1,18.5,17.8,20.6,16.3,18
2011,17.3,19.7,22.1,18.1,21.9,17.2,17.8,15.5,17,17.9,19.2,19.8,18.6,19.4,20.7,16.8,18
2012,20.4,14.5,21,22.8,20.5,19.4,14.9,15.9,18.2,21.4,20,17.1,18.8,18.2,21.4,16.7,19.9
2013,20.8,18.9,19.6,20.7,21.9,17,15.8,13.3,17.4,16.2,19.3,19.4,18.4,18.9,20.8,15.4,17.6
2014,23.9,19.1,18,21.3,18.8,18.6,16.5,14.9,16.2,18.1,20.3,17.4,18.6,20.8,19.3,16.7,18.2
