Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,18.5,22.6,20.5,19.3,21.7,21.9,20.6,22.6,20,22.4,20.6,15.8,20.6,20.6,20.5,21.7,21
1954,23.4,25.2,19.5,21.2,22.8,29.3,28.7,18.3,25.2,30,22.7,22,24,21.5,21.2,25.4,25.9
1955,20.2,20.9,19.9,17.8,20.6,21.9,24.4,28.3,26.6,28.4,19.5,21.6,22.5,21,19.4,24.8,24.8
1956,28.3,21,18.7,33.6,21.6,18,17.9,25.5,27.9,20.1,23.5,18.5,22.9,23.6,24.6,20.5,23.8
1957,23.3,19.4,23.1,18.5,19.4,27.4,22.6,22.6,24.6,23.5,16.3,18,21.6,20.4,20.3,24.2,21.5
1958,30.9,21.8,24.4,24.2,29.3,24.4,23.9,17.8,20.2,29.3,18.8,20.9,23.8,23.6,26,22,22.8
1959,25.8,26.7,13.7,20.9,14.3,28.4,26.1,21,23.2,20.9,27.1,28.4,23,24.5,16.3,25.2,23.7
1960,26.7,25.7,19.8,15,25.4,20.9,21.1,31.5,20.9,29.1,22.9,24,23.6,26.9,20.1,24.5,24.3
1961,21.5,15.6,12.7,29.9,18.5,18.6,21.1,28.4,18.5,25.5,16.2,28.7,21.3,20.4,20.4,22.7,20.1
1962,16,20.1,27,21,19.6,19.8,15.8,20.3,28.3,22.6,21.9,26.7,21.6,21.6,22.5,18.6,24.3
1963,35.1,30,21.8,18.7,16.4,19.2,19,23.6,22.7,22.5,19.2,25.1,22.8,30.6,19,20.6,21.5
1964,17.9,20.7,21.5,26.9,16.7,28.9,18.2,23.1,24.8,16.5,23.3,31.4,22.5,21.2,21.7,23.4,21.5
1965,28.8,30.5,20.9,23.1,30,29.8,19.8,21.8,23.3,23.3,29.6,15.2,24.7,30.2,24.7,23.8,25.4
1966,14.7,26.9,25.2,22.5,21.2,24.8,25,25.1,20.4,22.6,17.7,12,21.5,18.9,22.9,24.9,20.2
1967,19,15.1,18.8,16.2,27.2,21.5,23,26.8,27,27.7,10.1,21.8,21.2,15.4,20.7,23.8,21.6
1968,13.8,16.4,19.4,16.4,19.4,20.7,22.4,20.3,28.6,29.9,15.9,23.3,20.5,17.3,18.4,21.1,24.8
1969,18.8,18.3,21.9,19.1,19.7,14.1,13.7,21,28.1,28.8,25.1,21,20.8,20.1,20.2,16.3,27.3
1970,22.1,28.1,16.6,11.6,18,19.2,14.9,16.9,27,24.6,27.4,23.4,20.8,23.7,15.4,17,26.3
1971,27.5,21.4,22.6,24.8,27.7,21.8,23.6,23.4,24.5,25.9,21.8,19,23.7,24.1,25.1,22.9,24.1
1972,18.6,20,25.9,17.5,20.4,21.5,23.2,23.2,28.4,29.2,20.5,16.1,22,19.2,21.3,22.6,26
1973,21.2,18.5,20,11.5,26,26.3,24.4,19.8,28.9,32,21.5,20.5,22.6,18.6,19.2,23.5,27.5
1974,17.3,17,16.7,19.4,22,24.2,22.4,22.4,31,27,23.7,22.7,22.2,18.3,19.4,23,27.2
1975,22.7,25,16,16.8,19.9,17.6,18.2,17.8,20.9,23.3,27.7,17.6,20.3,23.5,17.6,17.9,23.9
1976,20,18,19.2,19.2,17,20,21.2,25.5,22.3,19.4,23,17.4,20.2,18.5,18.5,22.2,21.6
1977,25.4,15.7,26,26,26.3,25.4,21,15.9,25.6,24.4,20.7,23.6,23,19.5,26.1,20.8,23.6
1978,22.9,25.3,18.3,27,22.2,20.1,23.7,17.9,19.9,13.6,19.3,18.3,20.7,23.9,22.5,20.6,17.6
1979,26.2,17.9,22.9,19.4,17.6,17.2,21.9,20.2,20.4,16.4,22.3,19.2,20.1,20.8,20,19.8,19.7
1980,27.5,21,21.4,16.4,19.2,17.5,20.6,16.8,18.6,16.2,26.6,23.1,20.4,22.6,19,18.3,20.5
1981,25.7,22.2,18.4,21.6,20.6,18,19.5,19,24.3,26,23.5,24.8,22,23.6,20.2,18.8,24.6
1982,28,24.6,23.7,24.1,20.7,19,16.8,14.2,23.8,20.4,18.2,15,20.7,25.8,22.8,16.6,20.8
1983,26.2,17.9,21.7,20.7,20.2,25.1,23.7,20.2,25.1,21.9,23,25.3,22.6,19.7,20.9,23,23.3
1984,15.8,15.8,18.1,20.5,18,18.1,18.1,19.2,20.4,29.4,24.7,17.5,19.6,18.9,18.8,18.5,24.8
1985,19.2,18.3,15.6,15.7,14.4,17,20.8,22.1,32.5,24.4,28.1,21.1,20.8,18.3,15.2,20,28.3
1986,18.3,30,24.5,19.5,25.5,17.9,19.3,25.5,18.9,16.7,12.7,21.7,20.9,23.1,23.2,20.9,16.1
1987,23.7,18.6,16.3,22.4,16.4,22.6,19.1,25.8,30.2,20.3,27.4,14.8,21.5,21.3,18.4,22.5,26
1988,18.4,26.7,20.3,20.1,20.7,24.7,22.4,19.9,22.8,26.4,19.6,15.3,21.4,20,20.4,22.3,22.9
1989,15.7,22.5,20.5,23.9,19.6,18.3,21.6,23,21.5,26.3,22.7,15.6,20.9,17.8,21.4,21,23.5
1990,7.3,16.8,20.2,22.8,21.1,19.3,14.9,16.5,18.5,12.1,14.4,22.9,17.2,13.2,21.4,16.9,15
1991,14.8,24.6,24.1,12.9,21.9,24.3,19.8,22,22.1,25.4,22.1,17.5,21,20.7,19.6,22,23.2
1992,19.1,24.5,23.2,17.7,12.6,14.7,18.4,18.9,16.9,26.7,20.7,21.9,19.6,20.4,17.8,17.3,21.4
1993,16.3,17.6,23.5,19.4,21.3,18.5,20.9,24.1,25,27.5,22.4,20,21.4,18.6,21.4,21.2,25
1994,24.7,20.1,21,22.1,17,23.5,27.7,21.1,25.5,24.7,20.6,15.9,22,21.6,20,24.1,23.6
1995,13,17.4,22,20.6,20.7,18.8,19.5,19.1,20.5,20.8,26.5,15.6,19.5,15.4,21.1,19.1,22.6
1996,23.7,21.7,21.6,19,25.1,20.9,17.9,20.2,25.1,24.2,22.2,22.9,22,20.3,21.9,19.6,23.8
1997,23,19.4,15.7,22.5,16.8,18,19.6,27.2,21.9,25.5,18.7,21.5,20.8,21.8,18.3,21.6,22
1998,15.2,19.5,20,17.3,22.7,17.5,20.2,16.5,29.1,27.3,17.9,16.1,19.9,18.7,20,18.1,24.8
