Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1957,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1958,14.7,13.5,9.7,12.1,14.5,17.7,13.1,13.4,17.4,17.5,19.8,12.4,14.7,14.1,12.1,14.7,18.3
1959,14.7,15,15.6,13.6,14.9,12.4,13.8,10.5,14.2,14.9,15.3,12.1,13.9,14.1,14.7,12.2,14.8
1960,9.9,14.3,15,13.2,11.2,15,15.7,16.7,16.2,16.5,17.6,19.4,15.1,12.1,13.1,15.8,16.8
1961,14.1,14.3,15.7,13.2,14.7,16.6,12,13.3,13.2,13,13,11.1,13.7,15.9,14.5,13.9,13.1
1962,14.8,9,10.1,12.9,12.3,12.4,11.3,10.8,12.3,12.7,13.8,14.2,12.2,11.7,11.8,11.5,12.9
1963,13.1,16.8,14.6,16.6,15,12.5,14.4,13.7,16.8,20,19.4,16,15.7,14.7,15.4,13.5,18.7
1964,14.4,17,17.9,14.7,18.1,17.2,11.3,14.3,17.5,13.6,14.7,13,15.3,15.8,16.9,14.3,15.3
1965,15.7,15.1,14.9,15.9,15.5,17.1,15.8,15.5,14.3,15,14.9,11.8,15.1,14.6,15.4,16.2,14.7
1966,12.2,13.8,13.3,11,14,12.9,14.4,12.5,15,15.1,11,11.3,13,12.6,12.8,13.3,13.7
1967,10,14,12.7,13.9,13.3,11.9,12.7,12.5,13.3,11.8,13.8,13.3,12.8,11.8,13.3,12.4,13
1968,12,13.5,12.3,13.9,12.4,12.9,15,13.9,11,15.3,14.8,18.8,13.8,12.9,12.9,14,13.7
1969,15,15.5,16.7,16.1,17.1,15.5,14.7,17.6,15.1,16.1,14.2,15.8,15.8,16.4,16.6,15.9,15.1
1970,15.3,15.8,13.7,15.1,16.4,14.8,13,13.9,13.4,11.1,13.8,15.9,14.4,15.6,15.1,13.9,12.8
1971,14.6,15,17.4,15.9,17.4,16.9,15.3,16.1,15.9,15.7,14,15.2,15.8,15.2,16.9,16.1,15.2
1972,17,15.2,14.7,14.7,13.9,14.7,12.5,13.7,17.1,17.3,15.1,14.2,15,15.8,14.4,13.6,16.5
1973,17.5,14.8,12.3,18.3,12.3,15.1,13.7,10.1,15.1,13.4,14.1,13.3,14.2,15.5,14.3,13,14.2
1974,8.4,13.4,15.6,12.2,12,13.6,12.5,12.3,12.1,14.9,12.1,11.3,12.5,11.7,13.3,12.8,13.1
1975,11.5,11.8,16.1,15.8,11.9,13.2,13.2,10.9,11.2,13.1,14.5,10.8,12.8,11.5,14.6,12.5,13
1976,12.2,13.5,14.4,13.3,13.1,12.6,13.1,14.2,13,17.5,15,15.3,13.9,12.2,13.6,13.3,15.2
1977,12.8,13.6,14.6,16.3,15,11.9,13.9,12.8,11.8,13.6,15.4,14.1,13.8,13.9,15.3,12.9,13.6
1978,14.8,16.5,17.3,16.3,14.3,12.7,12,13.7,14.2,15.4,17.2,12.2,14.7,15.1,16,12.8,15.6
1979,12.8,21,12.6,14.5,13.7,15.5,12.6,11,15.7,-9999.9,10.2,14.2,14,15.3,13.6,13,13
1980,15.4,16,14.6,12.1,14.9,14.9,13.6,11.8,16.8,12.8,14.7,15.3,14.4,15.2,13.8,13.5,14.8
1981,14.6,14.8,13.3,16.6,14.5,14.5,12.4,11.3,13.1,13.6,15.4,14.9,14.1,14.9,14.8,12.7,14
1982,15.1,13.5,15.8,18.6,10.8,11.7,14.1,13.2,13.6,15.3,15.1,14,14.2,14.5,15.1,13,14.7
1983,13.6,13.4,13.5,12.4,12.3,13.3,14.7,12.4,14.3,14.2,14.8,12.1,13.4,13.7,12.7,13.5,14.4
1984,10.7,12.8,12.9,11,15.2,14.4,13.4,11.9,15.4,12.4,14.9,14.6,13.3,11.9,13.1,13.2,14.2
1985,15.5,15.7,18.8,15.5,15.7,12.4,14.4,11.8,14.7,17.5,12,13.1,14.8,15.3,16.7,12.9,14.7
1986,15.1,13.8,16.8,11.1,12.9,17.1,13.8,13.5,13.1,13.2,16.3,15.4,14.3,14,13.6,14.8,14.2
1987,12,16.8,12,14.1,15.2,13.4,13.2,14.6,14.3,14.2,12.6,10.9,13.6,14.7,13.8,13.7,13.7
1988,15.4,12.3,14.9,10.1,12.2,14.2,8.4,12.3,14.7,13.6,13.9,13.8,13,12.9,12.4,11.6,14
1989,14.6,14.8,14.5,14.8,11.6,11.4,11.7,14.4,15.7,14.3,15,15.8,14,14.4,13.6,12.5,15
1990,14.1,15.8,15.2,13.9,14.2,13.5,12.2,9.5,14.6,14.4,14.9,15,13.9,15.2,14.4,11.7,14.6
1991,13.3,14.3,14.3,13,13.1,11.8,12.6,12.9,13.3,13.8,13.3,14.7,13.4,14.2,13.5,12.4,13.5
1992,12.6,14.3,13.8,14.9,15.8,13,12.4,13.2,14.1,12.7,11.9,12.8,13.5,13.9,14.9,12.8,12.9
1993,12.7,13.5,13.2,12.8,14.3,13.5,11.2,12.1,14.2,16.7,15.5,10.8,13.4,13,13.4,12.3,15.5
1994,14.2,16.4,14.9,15,13.2,15.4,12.4,15.1,11.9,14.9,18.2,12.4,14.5,13.8,14.4,14.3,15
1995,12.6,15.1,12.8,14.9,12,12.9,13.3,14.5,16.1,15.6,13.2,15.2,14,13.4,13.2,13.6,15
1996,13.7,14.8,16.7,14.2,14.1,12.9,10.9,13.3,11.3,13.8,11,12.9,13.3,14.6,15,12.4,12
1997,14,14.3,15.4,11.8,14.8,11.7,13.4,12,15.1,13.2,12.4,13.4,13.5,13.7,14,12.4,13.6
1998,10.3,12.8,12.2,13.9,12.5,11.9,14.1,13.2,14.3,15.5,15,14.9,13.4,12.2,12.9,13.1,14.9
1999,14.8,13,17.5,15.8,13.9,13.2,12.7,12.6,12.5,15.6,16.4,13.1,14.3,14.2,15.7,12.8,14.8
2000,16.8,16.8,12.9,13.1,14.1,14.1,10.5,11.2,15.9,15.1,12,17.2,14.1,15.6,13.4,11.9,14.3
2001,14.2,14.5,12.4,15.7,12.1,12.7,12,12.2,12.8,14.7,15.4,12.7,13.5,15.3,13.4,12.3,14.3
2002,11.4,13.7,15.1,13.7,16.6,14.1,13,14,13.7,12.8,13.1,14.4,13.8,12.6,15.1,13.7,13.2
2003,13.5,14.5,14.8,14,9.1,12.3,11.1,11.8,11.2,13.2,15.1,13.4,12.8,14.2,12.6,11.8,13.1
2004,16.1,13.6,12.6,14.7,14.6,13.8,10.3,12.7,14.1,11.9,14.1,13.9,13.5,14.4,14,12.3,13.4
2005,13.6,14.4,15.8,13.8,10.1,12.9,11.4,11,14.1,11.7,15.6,12.6,13.1,14,13.2,11.7,13.8
2006,12.1,13,15.8,12.1,11.3,11.3,10.4,13.3,10.3,14.2,12.7,13.5,12.5,12.6,13.1,11.7,12.4
2007,14.3,16.8,16,11.9,15.3,10.7,10.9,11.3,14.9,13.2,15.2,13.6,13.7,14.9,14.4,11,14.4
2008,13.1,13,17.1,13.6,12.8,10.6,12.8,11.1,12.6,14.8,15,15.4,13.5,13.2,14.5,11.5,14.1
2009,12.1,16.4,15.5,15.7,14.6,12,10.2,12.9,12.6,11.5,12.2,14.2,13.3,14.6,15.3,11.7,12.1
2010,15.3,17.5,13.1,15.4,13.4,11.6,12.6,12.6,11.3,15.7,13.4,14.9,13.9,15.7,14,12.3,13.5
2011,13.3,15.5,16.2,15.5,11.1,11.1,11.9,12.9,11.6,12.7,14.2,15,13.4,14.6,14.3,12,12.9
2012,12.9,13.7,15.2,15.7,12.9,10.9,12.9,11.1,12.3,12.1,13.5,13.5,13.1,13.9,14.6,11.7,12.6
2013,14.3,10.3,12.8,14.8,9.8,10.6,12.1,11.1,14.3,13.4,17.4,11.3,12.7,12.7,12.5,11.3,15
2014,14.5,13.4,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,13.1,-9999.9,-9999.9,-9999.9
