Year,     Jan,     Feb,     Mar,     Apr,     May,     Jun,     Jul,     Aug,     Sep,     Oct,     Nov,     Dec,   Annual,   Winter,   Spring,   Summer,   Autumn
1953,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1954,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1955,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,27.9,26,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1956,20.1,19.7,21.6,24,23.1,21.7,22.9,24.5,24.3,23.2,16.3,20.4,21.8,21.9,22.9,23,21.2
1957,23.8,21.4,19.8,20.2,23.5,22.7,19.1,21.4,26.7,27.3,21.9,15.1,21.9,21.9,21.1,21.1,25.3
1958,22.8,16,17.2,20.2,19.2,19,23,20,21.5,22.9,21.6,19.1,20.2,17.9,18.9,20.7,22
1959,25.8,18.5,15.6,20.8,18.6,23.1,20.7,24.2,24.9,24.7,23.7,19.5,21.7,21.1,18.4,22.7,24.4
1960,19.2,25.4,17.3,24,22.7,21,23.4,24.5,25.4,27.7,22.1,23,23,21.3,21.4,23,25
1961,19.4,19.6,20.3,23.7,23.4,23.5,20.3,25.1,24.6,21.2,19.3,20.7,21.8,20.7,22.5,23,21.7
1962,22,21.3,22.2,22,21.6,21.5,24.3,25.6,28.4,29.9,18.5,26.7,23.7,21.3,21.9,23.8,25.6
1963,21.7,20.6,20,27,22,24.2,23.4,24.6,22.4,27.7,19.6,24.1,23.1,23,23,24.1,23.2
1964,15.6,18.7,22.8,17.5,22.3,22.7,22.1,19.8,19.1,20.5,19,21,20.1,19.5,20.9,21.5,19.6
1965,20.9,14.6,16,13.7,19.1,17.7,14.9,17.4,26.4,27.4,26.1,19.9,19.5,18.8,16.3,16.6,26.6
1966,23.2,22.3,20.5,18.3,27,19.7,19.7,18.9,25.2,22.9,18.4,15.7,21,21.8,21.9,19.5,22.1
1967,12.1,17.5,17.2,17.1,20,18.6,17.4,21.1,21.4,21,20.7,21.3,18.8,15.1,18.1,19,21
1968,21,20.9,18.6,19.8,21.5,19.4,20.4,22.9,25.2,29.2,24.6,20.6,22,21.1,20,20.9,26.3
1969,16.5,15.3,17.3,27.7,19.9,20.2,21.8,22.9,22.2,22.5,19.7,22.8,20.7,17.5,21.6,21.6,21.5
1970,16.3,14.7,26.3,23.8,19.9,21.1,20.7,20.2,26.1,22.4,18,16.5,20.5,18,23.3,20.7,22.1
1971,19.9,11.3,20.7,21.5,20.8,17.7,20.2,24.1,22.3,26.9,23.6,13.6,20.2,15.9,21,20.7,24.3
1972,17.2,20.3,16.9,21.6,20.6,20.6,19.2,20,16.7,23.3,17.9,16.7,19.2,17,19.7,19.9,19.3
1973,19.2,19.7,17.3,16.9,24.1,17.8,21.9,20.9,18.5,24.6,24.5,27.6,21.1,18.5,19.4,20.2,22.5
1974,26.1,19.9,17.8,19,18.2,19.1,21.9,24.3,27.8,19.9,17.7,17.8,20.8,24.5,18.3,21.8,21.8
1975,22.5,17.4,20,17.8,22.2,19.4,22.8,24.3,22,21.3,15,19.4,20.3,19.2,20,22.2,19.4
1976,21,19,20.8,18.2,19.4,19.7,18.1,21.9,22.2,22.8,23.4,17.6,20.3,19.8,19.5,19.9,22.8
1977,14.9,18.7,21.4,19,19.6,19.3,17.9,18.6,19.6,20.2,20.6,17,18.9,17.1,20,18.6,20.2
1978,20,20.8,16.6,16.1,14.9,15.8,23.9,26.8,24.8,23.5,19.3,18.8,20.1,19.3,15.9,22.2,22.5
1979,20.6,14.7,16.7,22.3,24.2,18.8,18.8,18.8,22.9,27.5,21.6,24.1,20.9,18,21,18.8,24
1980,23.4,20.8,20.7,21.4,21.5,24.3,20.6,19.7,20.9,22.1,20,16.7,21,22.8,21.2,21.5,21
1981,22.9,18.9,17.9,18.4,18.6,15.8,19.4,22.8,26,27.3,20.6,26.1,21.2,19.5,18.3,19.3,24.6
1982,17,19.2,16.8,20.4,17.7,20.9,20.9,20.1,19.6,21.2,14.2,14.1,18.5,20.8,18.3,20.6,18.3
1983,17.7,16.1,19.3,17.8,17.3,21.9,14.9,18,21.7,19,22.7,20.7,18.9,16,18.1,18.2,21.1
1984,17.2,12.4,15.6,21,19.5,18.9,20.7,21.6,18.5,20.5,15.6,17,18.2,16.8,18.7,20.4,18.2
1985,19.9,17.5,22.9,16.9,18.1,17.6,22,20.3,25.7,22,22.2,19.3,20.4,18.2,19.3,20,23.3
1986,17.3,24.6,17.6,18.7,17.6,19,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,20.4,18,-9999.9,-9999.9
1987,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1988,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1989,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1990,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1991,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,22.4,-9999.9,-9999.9,-9999.9,14.6,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
1992,18.2,13,19.3,17.7,17.3,17.7,22.5,23.1,22.5,26.3,25.6,21.2,20.4,15.3,18.1,21.1,24.8
1993,14.4,-9999.9,19.6,-9999.9,-9999.9,17.9,20.8,19.6,19.8,24.3,17.3,21.4,19.5,17.8,-9999.9,19.4,20.5
1994,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,20.6,17.9,21,18.9,22.7,23.5,20.5,-9999.9,-9999.9,-9999.9,19.9,21.7
1995,17.9,16.5,17.1,20.2,26.8,25.2,20.5,21.1,25.6,22.7,21.3,16.8,21,18.3,21.4,22.3,23.2
1996,17.7,16.2,20.4,16.6,15.1,18.6,16,22.2,24.3,18.5,14.5,-9999.9,18.2,16.9,17.4,18.9,19.1
1997,18.8,17.8,15.2,19.4,19.6,20.5,18.6,21,20.5,24.9,-9999.9,19.3,19.6,18.3,18.1,20.1,22.7
1998,14.6,-9999.9,18.6,21.8,23.4,19.3,24.3,21.1,20.6,25.1,21.3,18.1,20.7,16.9,21.3,21.6,22.3
1999,-9999.9,-9999.9,17.2,17.3,18.6,20.7,23.7,18,25.5,23.5,18.4,16.8,20,-9999.9,17.7,20.8,22.5
2000,10.1,10,14.9,14.6,15.3,17.1,-9999.9,18.1,20.4,19.8,14.2,16.8,15.6,12.3,15,17.6,18.2
2001,18.5,18.1,16.4,22.8,18.7,19.3,20,17.5,20.2,24.6,19.8,14.7,19.2,17.8,19.3,18.9,21.5
2002,12.3,-9999.9,18.4,19.5,18.6,15.3,18.4,16.9,20.7,24.2,20.9,21,18.7,13.5,18.8,16.8,21.9
2003,17.4,17.9,19.9,15.7,21.6,17.3,19.2,16.1,20.5,20.9,18.1,19.4,18.7,18.8,19.1,17.5,19.8
2004,18,14.3,20.2,18.8,16,21,19,20.6,-9999.9,21,-9999.9,-9999.9,18.7,17.2,18.3,20.2,-9999.9
2005,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,19.6,16.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2006,12.5,22.2,16.7,14.3,15.6,17.3,17.7,18.9,24.4,21.5,18.1,20.5,18.3,17,15.5,18,21.3
2007,19.3,15.5,16.8,-9999.9,16.3,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,18.1,-9999.9,18.4,16.5,-9999.9,-9999.9
2008,17.7,17.7,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,9.6,-9999.9,17.9,-9999.9,-9999.9,-9999.9
2009,-9999.9,-9999.9,-9999.9,-9999.9,16.2,16.8,20.3,17.6,-9999.9,21.4,-9999.9,19.6,-9999.9,-9999.9,-9999.9,18.2,-9999.9
2010,14.5,-9999.9,17.7,15.5,8.8,20.5,16.6,18.3,16.8,17.6,18.8,17.2,16.6,17.1,14,18.5,17.7
2011,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,21.5,-9999.9,-9999.9,18.3,14,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
2012,19.3,19.4,11.1,16.6,17.2,18.2,18.4,16.9,20.3,19,22.4,14.6,17.8,17.6,14.9,17.9,20.5
2013,13.6,14.4,20.6,23,18.5,-9999.9,21.5,-9999.9,23.7,24.1,-9999.9,-9999.9,19.9,14.2,20.7,-9999.9,23.9
2014,-9999.9,-9999.9,16.8,-9999.9,-9999.9,-9999.9,19.7,-9999.9,29.5,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9,-9999.9
